Well name,Cell,Drug,Drug time,Primary,Secondary
M11,HEK293 ARMC5 KO 1A3,Vehicle,240 min,pSer2 Pol II 3E10,Goat anti-rat Alexa488
N11,HEK293 ARMC5 KO 2B6,Vehicle,240 min,pSer2 Pol II 3E10,Goat anti-rat Alexa488
C12,HEK293 parental,None,None,None,None
D12,HEK293 ARMC5 KO 1A3,None,None,None,None
E12,HEK293 ARMC5 KO 2B6,None,None,None,None
F12,HEK293 parental,None,None,None,None
G12,HEK293 ARMC5 KO 1A3,None,None,None,None
H12,HEK293 ARMC5 KO 2B6,None,None,None,None
I12,HEK293 parental,None,None,None,Goat anti-mouse Alexa488
J12,HEK293 ARMC5 KO 1A3,None,None,None,Goat anti-mouse Alexa488
K12,HEK293 ARMC5 KO 2B6,None,None,None,Goat anti-mouse Alexa488
L12,HEK293 parental,None,None,None,Goat anti-rat Alexa488
M12,HEK293 ARMC5 KO 1A3,None,None,None,Goat anti-rat Alexa488
N12,HEK293 ARMC5 KO 2B6,,None,None,Goat anti-rat Alexa488
