,WELL,IF_647_Intensity,RFP_561_Intensity,GFP_488_Intensity,DAPI_Intensity,NucleusArea,CELL,DRUG,DRUG_TIME_MINUTES,SIRNA,PRIMARY,SECONDARY,TotalNumberCells,EXPERIMENT
131,I14,1889.6537153693005,275.8736599004249,423.41191324651425,447.0366480581595,1518.2859174964437,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,60,ARMC5 pool,Total Pol II (F12),Goat anti-mouse Alexa647,1406,250825_mACmChPOLR2A_ARMC5
132,I15,2399.481620437833,273.5492447640387,1053.4910464805578,468.1321102976343,1573.5380667236955,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,30,ARMC5 pool,Total Pol II (F12),Goat anti-mouse Alexa647,1169,250825_mACmChPOLR2A_ARMC5
133,I16,2719.1268341563487,272.39367209159263,1041.715295259059,459.833587132963,1505.8803986710964,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,1440,ARMC5 pool,Total Pol II (F12),Goat anti-mouse Alexa647,1204,250825_mACmChPOLR2A_ARMC5
134,I17,2309.3055637182697,267.05414998385305,976.4370255212303,446.4933584386941,1505.2524752475247,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,480,ARMC5 pool,Total Pol II (F12),Goat anti-mouse Alexa647,1414,250825_mACmChPOLR2A_ARMC5
135,I18,2070.490033594197,274.56816015098605,627.5068017346491,453.4812480800119,1511.542600896861,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,240,ARMC5 pool,Total Pol II (F12),Goat anti-mouse Alexa647,1561,250825_mACmChPOLR2A_ARMC5
136,I19,2790.6335692244643,277.82123749991393,1087.2845217725985,472.504470312942,1421.677880571909,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,120,ARMC5 pool,Total Pol II (F12),Goat anti-mouse Alexa647,1189,250825_mACmChPOLR2A_ARMC5
137,I20,2560.525751875298,271.7180379634491,1044.4242798686505,459.322800246189,1516.6801275239106,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,60,ARMC5 pool,Total Pol II (F12),Goat anti-mouse Alexa647,1882,250825_mACmChPOLR2A_ARMC5
138,I21,2041.1486022691734,260.3914734346735,926.4028240474953,418.5221547511352,1522.1766072811774,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,30,ARMC5 pool,Total Pol II (F12),Goat anti-mouse Alexa647,1291,250825_mACmChPOLR2A_ARMC5
139,I22,1124.5769542442188,149.4979862161529,245.80322758007816,377.05152430471117,1542.4846567541917,HCT116,No addition,No addition,No transfection,Total Pol II (F12),Goat anti-mouse Alexa647,3161,250825_mACmChPOLR2A_ARMC5
140,J03,1015.8855699667207,150.65732475143852,259.975771734598,365.6348552183484,1669.4616639477977,HCT116,No addition,No addition,No transfection,Total Pol II (F12),Goat anti-mouse Alexa647,4291,250825_mACmChPOLR2A_ARMC5
141,J04,1366.3868638064268,260.92209875689383,277.919287903908,494.48610006321474,1505.0,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,1440,Scrambled,Total Pol II (F12),Goat anti-mouse Alexa647,973,250825_mACmChPOLR2A_ARMC5
142,J05,1375.5030678584797,261.27614327023093,286.42431610494447,485.97528635288677,1408.3140569395018,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,480,Scrambled,Total Pol II (F12),Goat anti-mouse Alexa647,1124,250825_mACmChPOLR2A_ARMC5
143,J06,1271.9603928769436,252.1376616235557,290.4843361496282,486.5742923796741,1545.1877962085307,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,240,Scrambled,Total Pol II (F12),Goat anti-mouse Alexa647,1688,250825_mACmChPOLR2A_ARMC5
144,J07,1248.5325650668112,245.85657233100932,298.1435085585275,502.01323425654,1375.6206244087039,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,120,Scrambled,Total Pol II (F12),Goat anti-mouse Alexa647,1057,250825_mACmChPOLR2A_ARMC5
145,J08,1222.6553513888716,233.72511741321787,326.0797887461757,485.14591968646624,1546.9108771929825,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,60,Scrambled,Total Pol II (F12),Goat anti-mouse Alexa647,1425,250825_mACmChPOLR2A_ARMC5
146,J09,1197.0334444468886,228.98657935533663,388.0754845667489,480.0863374754323,1511.3074558032283,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,30,Scrambled,Total Pol II (F12),Goat anti-mouse Alexa647,1301,250825_mACmChPOLR2A_ARMC5
147,J10,1186.6741410632187,254.4037645848882,271.89698189259997,437.0361416188288,1597.330448465775,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,1440,Scrambled,Total Pol II (F12),Goat anti-mouse Alexa647,1271,250825_mACmChPOLR2A_ARMC5
148,J11,1282.660450687763,248.70291951286674,276.2395297451121,470.3145813176388,1625.1387587822014,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,480,Scrambled,Total Pol II (F12),Goat anti-mouse Alexa647,1708,250825_mACmChPOLR2A_ARMC5
149,J12,1312.3952465198906,248.72560746059014,280.10142967681594,498.2609129010481,1536.091320754717,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,240,Scrambled,Total Pol II (F12),Goat anti-mouse Alexa647,1325,250825_mACmChPOLR2A_ARMC5
150,J13,1269.8952714168906,243.78252205360891,291.6624944706582,501.59250202945714,1476.239552238806,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,120,Scrambled,Total Pol II (F12),Goat anti-mouse Alexa647,1340,250825_mACmChPOLR2A_ARMC5
151,J14,1200.024417646837,232.3991049598735,324.7002093648935,494.09149834399756,1482.9915188897455,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,60,Scrambled,Total Pol II (F12),Goat anti-mouse Alexa647,1297,250825_mACmChPOLR2A_ARMC5
152,J15,1288.4079486537973,234.10613664279558,382.00797332643054,494.0519919126586,1446.0750213128729,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,30,Scrambled,Total Pol II (F12),Goat anti-mouse Alexa647,1173,250825_mACmChPOLR2A_ARMC5
153,J16,1365.9916582209758,256.85425239364434,270.3466361838421,481.96319716550704,1520.3494071146245,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,1440,Scrambled,Total Pol II (F12),Goat anti-mouse Alexa647,1265,250825_mACmChPOLR2A_ARMC5
154,J17,1374.452340344366,255.10122402660022,277.6868429769663,498.21959271397424,1432.2617037605526,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,480,Scrambled,Total Pol II (F12),Goat anti-mouse Alexa647,1303,250825_mACmChPOLR2A_ARMC5
155,J18,1427.790503567855,256.11755577280354,284.15430679595454,527.578112005933,1459.0827439886846,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,240,Scrambled,Total Pol II (F12),Goat anti-mouse Alexa647,1414,250825_mACmChPOLR2A_ARMC5
