,WELL,GFP_Intensity,DAPI_Intensity,NucleusArea,CELL,DRUG,DRUG_CONCENTRATION,TIME_MINUTES,EU,PRIMARY,SECONDARY,CLICK,TotalNumberCells,EU_647_Intensity,IF_568_Intensity,DAPI_Intensity_2,NucleusArea_2,EXPERIMENT
27,D10,290.31851008248265,3657.0899629037676,2205.589430894309,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,3,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,4223,268.17104847555686,776.6072265538959,1696.9243507939716,2216.9133633020024,260515_mACPOLR2A_CRC_EU
28,D11,347.9478792630472,3685.9918842599723,2268.173751547668,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,4014,278.32274725791046,903.7361090084761,1747.122157922732,2287.1460446247465,260515_mACPOLR2A_CRC_EU
29,D12,344.5458243918724,3641.601878640373,2233.0203572912337,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,4085,269.6183710358904,915.9638931272077,1741.0738308403181,2262.197756543415,260515_mACPOLR2A_CRC_EU
30,D13,336.7509256772833,3842.103004831873,2206.943800178412,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,3682,265.8068880995455,877.0995975905103,1777.0447461450592,2233.114436619718,260515_mACPOLR2A_CRC_EU
31,D14,348.42203099065244,3793.461848379396,2294.1032537960955,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,3716,268.72709080304713,901.5701839132098,1768.1606320370904,2321.667531344574,260515_mACPOLR2A_CRC_EU
32,D15,155.67820894417105,3738.824274263534,1704.5191997418522,HCT116 OsTIRF74G,Vehicle,0,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,3789,347.2151871688358,895.8562656426712,1817.12974686405,1666.6344017772135,260515_mACPOLR2A_CRC_EU
33,D16,155.2508110954912,3282.1988152560975,1689.781335522715,HCT116 OsTIRF74G,No addition,0,240,No addition,Total Pol II (D84LY),Goat anti-rabbit Alexa568,No click,3673,158.19754766803604,1702.5075586741116,1677.716050853227,1676.0173333333332,260515_mACPOLR2A_CRC_EU
34,D17,289.47048139854473,3768.839385069004,2162.4693788276463,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,3,240,No addition,Total Pol II (D84LY),Goat anti-rabbit Alexa568,No click,4156,158.42390688311906,1238.4653037278786,1703.0363787422953,2185.2595781317264,260515_mACPOLR2A_CRC_EU
35,D18,349.93554240205793,3447.5316575121888,2229.217938931298,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,240,No addition,Total Pol II (D84LY),Goat anti-rabbit Alexa568,No click,3706,159.0943098497446,1622.76916765388,1632.482288856065,2239.6688188378275,260515_mACPOLR2A_CRC_EU
36,D19,355.4475483407504,3984.0949617901174,2168.897885739991,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,240,No addition,Total Pol II (D84LY),Goat anti-rabbit Alexa568,No click,3969,159.47139437752352,1593.876606627568,1620.9266061813137,2173.2348785871964,260515_mACPOLR2A_CRC_EU
