,WELL,IF_647_Intensity,RFP_561_Intensity,GFP_488_Intensity,DAPI_Intensity,NucleusArea,CELL,DRUG,DRUG TIME MINUTES,PRIMARY,SECONDARY,TotalNumberCells,EXPERIMENT
44,E17,124.42836530783714,130.1476508557914,231.8572370702259,315.6294654487632,1867.5750677506776,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,No addition,No primary,Goat anti-rat Alexa647,1845,250510_mACmChPOLR2A_90min_IF
45,F03,251.94357600849366,130.269612182736,229.79271446954064,321.47630225160196,1876.780332056194,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,No addition,Total Pol II F12,Goat anti-mouse Alexa647,2349,250510_mACmChPOLR2A_90min_IF
46,F04,260.7379330428412,130.3481921000083,236.1649472716556,328.7985887114517,1909.7451433857539,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,Total Pol II F12,Goat anti-mouse Alexa647,2162,250510_mACmChPOLR2A_90min_IF
47,F05,224.5786402059842,130.89522795700822,194.30831311032836,327.41470163617663,1871.387254901961,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,Total Pol II F12,Goat anti-mouse Alexa647,2244,250510_mACmChPOLR2A_90min_IF
48,F06,258.3427178796365,131.19941448476519,235.08428401924172,339.6570378642189,1894.9444695259594,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,Total Pol II F12,Goat anti-mouse Alexa647,2215,250510_mACmChPOLR2A_90min_IF
49,F07,225.26604323671535,131.5516996922764,196.17855524636082,336.170626725564,1873.614973262032,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,Total Pol II F12,Goat anti-mouse Alexa647,2244,250510_mACmChPOLR2A_90min_IF
50,F08,264.3112614869068,130.78641943162802,234.45798150778762,330.38888585767404,1844.5827848101267,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,Total Pol II F12,Goat anti-mouse Alexa647,1975,250510_mACmChPOLR2A_90min_IF
51,F09,222.05729235635795,131.73148563598085,196.65216873394334,335.86557464399897,1820.171921182266,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,Total Pol II F12,Goat anti-mouse Alexa647,2030,250510_mACmChPOLR2A_90min_IF
52,F10,266.1955446347816,130.85295533563112,234.28676287030427,328.5757280940612,1815.9502487562188,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,Total Pol II F12,Goat anti-mouse Alexa647,2211,250510_mACmChPOLR2A_90min_IF
53,F11,231.73621446332942,131.854323708843,196.02449256195126,329.1017800637727,1805.0756180319922,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,Total Pol II F12,Goat anti-mouse Alexa647,2063,250510_mACmChPOLR2A_90min_IF
