,WELL,IF_647_Intensity,RFP_561_Intensity,GFP_488_Intensity,DAPI_Intensity,NucleusArea,CELL,DRUG,DRUG_TIME_MINUTES,SIRNA,PRIMARY,SECONDARY,TotalNumberCells,EXPERIMENT
191,L14,2713.3712817478445,330.83207666114924,329.3302629407066,1005.019622615775,1377.714054054054,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,60,Scrambled,pSer2 Pol II (3E10,Goat anti-mouse Alexa647,1850,251103_mACmChPOLR2A_7SK
192,L15,2764.8874496247254,335.5874528176105,301.88570886191263,851.0139601222114,1172.0774647887324,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,60,HEXIM1 + HEXIM2 pool,pSer2 Pol II (3E10,Goat anti-mouse Alexa647,142,251103_mACmChPOLR2A_7SK
193,L16,3195.1718566796494,338.2286476523529,601.7148017082694,1084.9996478562482,1400.4677002583978,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,60,LARP7 pool,pSer2 Pol II (3E10,Goat anti-mouse Alexa647,1161,251103_mACmChPOLR2A_7SK
194,L17,2729.888718037163,325.0117708538581,568.3236627255405,970.9916060814274,1399.8228840125391,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,60,Scrambled,pSer2 Pol II (3E10,Goat anti-mouse Alexa647,1914,251103_mACmChPOLR2A_7SK
195,L18,2895.352814401648,333.1922782989411,560.42656101248,952.0980335716396,1273.6666666666667,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,60,HEXIM1 + HEXIM2 pool,pSer2 Pol II (3E10,Goat anti-mouse Alexa647,348,251103_mACmChPOLR2A_7SK
196,L19,3234.7770569018057,344.0644334599743,340.4264016527942,1113.0993989628123,1354.7747105966162,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,60,LARP7 pool,pSer2 Pol II (3E10,Goat anti-mouse Alexa647,1123,251103_mACmChPOLR2A_7SK
197,L20,2624.7009773391082,326.0133080838171,326.15666287581945,966.5366386894909,1421.3048026628626,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,60,Scrambled,pSer2 Pol II (3E10,Goat anti-mouse Alexa647,2103,251103_mACmChPOLR2A_7SK
198,L21,2947.1927404418843,335.1767990520576,306.6695443895484,941.2679762833833,1220.2118644067796,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,60,HEXIM1 + HEXIM2 pool,pSer2 Pol II (3E10,Goat anti-mouse Alexa647,236,251103_mACmChPOLR2A_7SK
199,L22,2151.4689642757266,285.38545745657217,506.2185942037044,776.5908423574381,1649.7327981651376,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Media only,480,No transfection,pSer2 Pol II (3E10,Goat anti-mouse Alexa647,3488,251103_mACmChPOLR2A_7SK
200,M03,2157.965396238912,285.00944450916506,501.1041386920433,768.9238240856231,1695.057252958987,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Media only,480,No transfection,pSer2 Pol II (3E10,Goat anti-mouse Alexa647,3633,251103_mACmChPOLR2A_7SK
201,M04,3019.0195162252458,332.46282278233457,575.566383752809,1033.2275437793014,1386.3719391131701,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,30,LARP7 pool,pSer2 Pol II (3E10,Goat anti-mouse Alexa647,1511,251103_mACmChPOLR2A_7SK
202,M05,2696.5986438665545,325.3406468247465,552.9622804577339,979.0855425842512,1433.822425164891,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,30,Scrambled,pSer2 Pol II (3E10,Goat anti-mouse Alexa647,1971,251103_mACmChPOLR2A_7SK
203,M06,2847.471809635798,338.6526654642655,549.4420938786474,1046.855477961826,1175.4325259515572,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,30,HEXIM1 + HEXIM2 pool,pSer2 Pol II (3E10,Goat anti-mouse Alexa647,578,251103_mACmChPOLR2A_7SK
204,M07,2928.282367522832,332.94776172346144,411.5062902956989,1079.3762173565985,1439.1462140992166,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,30,LARP7 pool,pSer2 Pol II (3E10,Goat anti-mouse Alexa647,1532,251103_mACmChPOLR2A_7SK
205,M08,2602.123446613644,324.3673775924526,407.42498193896523,971.1033283404299,1364.9824394874229,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,30,Scrambled,pSer2 Pol II (3E10,Goat anti-mouse Alexa647,2107,251103_mACmChPOLR2A_7SK
