,WELL,IF_561_Intensity,GFP_488_Intensity,DAPI_Intensity,NucleusArea,CELL,DRUG,DRUG_CONCENTRATION,TIME_MINUTES,PRIMARY,SECONDARY,TotalNumberCells,EXPERIMENT,ROW,COLUMN,GFP_Intensity_BGS,GFP_Intensity_FC,IF_561_Intensity_BGS,IF_561_Intensity_FC,IF_647_Intensity,TIME_IN_AUXIN,TIME_IN_AUXIN_HRS
70,G04,993.8167001415899,610.2629461200148,313.0108683464078,1864.8710648781823,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1000,60,Total Pol II (F12),Goat anti-mouse Alexa647,3653,250905_mACPOLR2A_Kinetic_pSer2,G,04,350.0205878707664,0.549189156939288,804.3733643380042,0.5891820215703892,,60,1.0
71,G05,780.3951238082163,488.59164722429955,296.8909049173863,1827.7244740892766,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1000,120,Total Pol II (F12),Goat anti-mouse Alexa647,3898,250905_mACPOLR2A_Kinetic_pSer2,G,05,228.34928897505114,0.3582845062422345,590.9517880046307,0.4328564128845235,,120,2.0
72,G06,712.4070382613986,411.9561461924932,310.61433516676516,1899.3618506073922,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1000,240,Total Pol II (F12),Goat anti-mouse Alexa647,3869,250905_mACPOLR2A_Kinetic_pSer2,G,06,151.71378794324477,0.23804190434472253,522.9637024578129,0.3830569547458994,,240,4.0
73,G07,791.710477870995,411.92380882961015,298.02000021333834,1877.8056470588235,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1000,480,Total Pol II (F12),Goat anti-mouse Alexa647,4250,250905_mACPOLR2A_Kinetic_pSer2,G,07,151.68145058036174,0.23799116638908568,602.2671420674093,0.4411446077416212,,480,8.0
74,G08,970.8500318749223,605.9344069569778,305.1392131397619,1898.4634020618557,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1000,60,Total Pol II (F12),Goat anti-mouse Alexa647,3880,250905_mACPOLR2A_Kinetic_pSer2,G,08,345.6920487077294,0.5423975942252551,781.4066960713366,0.5723595500192232,,60,1.0
75,G09,755.9333498686307,475.2981227834076,294.7988773076378,1874.4913414318946,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1000,120,Total Pol II (F12),Goat anti-mouse Alexa647,3869,250905_mACPOLR2A_Kinetic_pSer2,G,09,215.0557645341592,0.33742670606294684,566.490014065045,0.41493881633060936,,120,2.0
76,G10,693.0790515053058,405.9979188548449,295.20546751489815,1834.7500642838777,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1000,240,Total Pol II (F12),Goat anti-mouse Alexa647,3889,250905_mACPOLR2A_Kinetic_pSer2,G,10,145.7555606055965,0.22869332896999678,503.6357157017201,0.36889972028897217,,240,4.0
77,G11,773.0876383440998,399.42227420209593,298.0647661429687,1822.9774748073503,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1000,480,Total Pol II (F12),Goat anti-mouse Alexa647,3374,250905_mACPOLR2A_Kinetic_pSer2,G,11,139.17991595284752,0.21837601373678858,583.6443025405141,0.42750387481050633,,480,8.0
78,G12,1657.9812749438147,252.68991522010433,347.96998517265865,1605.6201482773658,HCT116 OsTIRF74G,Vehicle,0,480,Total Pol II (F12),Goat anti-mouse Alexa647,2293,250905_mACPOLR2A_Kinetic_pSer2,G,12,-7.5524430291440865,-0.01184993101474092,1468.537939140229,1.075664846818416,,0,0.0
89,H03,1560.9833963288459,267.9180499224067,331.6231449269366,1591.1636582430806,HCT116 OsTIRF74G,5PhIAA,10000,480,Total Pol II (F12),Goat anti-mouse Alexa647,1662,250905_mACPOLR2A_Kinetic_pSer2,H,03,7.675691673158269,0.012043310550818524,1371.5400605252603,1.0046164894956446,,480,8.0
90,H04,878.2662180871795,602.8680854877049,281.9068278364633,1891.5763222800767,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10000,60,Total Pol II (F12),Goat anti-mouse Alexa647,3649,250905_mACPOLR2A_Kinetic_pSer2,H,04,342.6257272384565,0.5375864757911687,688.8228822835938,0.5045443773760414,,60,1.0
91,H05,744.4196902326098,492.2334866892447,296.6831476382566,1844.5213756866492,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10000,120,Total Pol II (F12),Goat anti-mouse Alexa647,4187,250905_mACPOLR2A_Kinetic_pSer2,H,05,231.99112843999632,0.3639986236820919,554.9763544290241,0.40650536793366115,,120,2.0
92,H06,682.3649280229331,411.8751038944129,312.83689639297285,1893.8672517827756,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10000,240,Total Pol II (F12),Goat anti-mouse Alexa647,3646,250905_mACPOLR2A_Kinetic_pSer2,H,06,151.6327456451645,0.2379147473919562,492.9215922193474,0.36105191078586374,,240,4.0
93,H07,738.4331147036386,409.4251857888074,290.80137718926903,1873.8657004830918,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10000,480,Total Pol II (F12),Goat anti-mouse Alexa647,4140,250905_mACPOLR2A_Kinetic_pSer2,H,07,149.182827539559,0.2340707779066968,548.9897789000529,0.40212036113355915,,480,8.0
94,H08,936.1138546531141,614.042503041373,295.8124596638889,1859.006508600651,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10000,60,Total Pol II (F12),Goat anti-mouse Alexa647,4302,250905_mACPOLR2A_Kinetic_pSer2,H,08,353.8001447921246,0.5551193557652244,746.6705188495284,0.5469162272731803,,60,1.0
95,H09,747.0188165776683,477.33919656917556,304.1408396573185,1866.8135376756065,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10000,120,Total Pol II (F12),Goat anti-mouse Alexa647,3915,250905_mACPOLR2A_Kinetic_pSer2,H,09,217.09683831992714,0.34062919080384624,557.5754807740826,0.4084091586137003,,120,2.0
96,H10,673.6744458750112,406.1321809150907,294.6820161736711,1815.7797921198937,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10000,240,Total Pol II (F12),Goat anti-mouse Alexa647,4137,250905_mACPOLR2A_Kinetic_pSer2,H,10,145.8898226658423,0.22890398877182122,484.2311100714255,0.3546863645515625,,240,4.0
97,H11,722.730324396474,396.62463180523645,295.8126500769091,1823.0507731958762,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10000,480,Total Pol II (F12),Goat anti-mouse Alexa647,3880,250905_mACPOLR2A_Kinetic_pSer2,H,11,136.38227355598804,0.21398645802895078,533.2869885928883,0.3906184863231154,,480,8.0
98,H12,1569.5022299973486,254.03667792947715,337.2896062970034,1581.6802557953638,HCT116 OsTIRF74G,5PhIAA,10000,480,Total Pol II (F12),Goat anti-mouse Alexa647,2502,250905_mACPOLR2A_Kinetic_pSer2,H,12,-6.205680319771261,-0.009736833949631091,1380.058894193763,1.0108563077998733,,480,8.0
109,I03,1639.1529119690388,268.9816918131845,337.37348289825417,1570.9710055521284,HCT116 OsTIRF74G,Vehicle,0,480,Total Pol II (F12),Goat anti-mouse Alexa647,1621,250905_mACPOLR2A_Kinetic_pSer2,I,03,8.7393335639361,0.013712185507103273,1449.7095761654532,1.0618735734469151,,0,0.0
110,I04,1360.1138139395814,951.7970641942187,281.2423984772955,1910.9255121042831,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,60,Total Pol II (F12),Goat anti-mouse Alexa647,3759,250905_mACPOLR2A_Kinetic_pSer2,I,04,691.5547059449702,1.0850628765743975,1170.6704781359958,0.8574848813754438,,0,0.0
111,I05,1509.6334230414445,967.9666361339459,307.3937572257468,1873.0167768174886,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,120,Total Pol II (F12),Goat anti-mouse Alexa647,3934,250905_mACPOLR2A_Kinetic_pSer2,I,05,707.7242778846976,1.1104332516019566,1320.1900872378587,0.9670040045348129,,0,0.0
112,I06,1520.6623915818666,945.7018967267883,298.09701293019555,1829.4023215608793,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,240,Total Pol II (F12),Goat anti-mouse Alexa647,4049,250905_mACPOLR2A_Kinetic_pSer2,I,06,685.4595384775398,1.0754994394542994,1331.219055778281,0.9750824296400874,,0,0.0
113,I07,1480.0222618298287,952.4819296168647,298.67201884651263,1881.0197305101058,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,480,Total Pol II (F12),Goat anti-mouse Alexa647,4156,250905_mACPOLR2A_Kinetic_pSer2,I,07,692.2395713676162,1.0861374438344773,1290.5789260262432,0.945314619235407,,0,0.0
114,I08,1457.1021411072043,946.2908956047756,300.331867886256,1796.8959722592692,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,60,Total Pol II (F12),Goat anti-mouse Alexa647,3749,250905_mACPOLR2A_Kinetic_pSer2,I,08,686.0485373555273,1.0764235902284234,1267.6588053036185,0.9285262425179517,,0,0.0
115,I09,1432.336901123745,955.0164285544475,290.968267913328,1866.092649310873,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,120,Total Pol II (F12),Goat anti-mouse Alexa647,3918,250905_mACPOLR2A_Kinetic_pSer2,I,09,694.7740703051991,1.0901141223014839,1242.8935653201593,0.9103863651860625,,0,0.0
116,I10,1482.0370913628196,957.6234454335187,296.3094248192463,1818.9705221084187,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,240,Total Pol II (F12),Goat anti-mouse Alexa647,4003,250905_mACPOLR2A_Kinetic_pSer2,I,10,697.3810871842702,1.0942045828388287,1292.593755559234,0.9467904280948218,,0,0.0
117,I11,1386.8240175543658,965.1297689845712,286.2181957307497,1860.2001009336361,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,480,Total Pol II (F12),Goat anti-mouse Alexa647,3963,250905_mACPOLR2A_Kinetic_pSer2,I,11,704.8874107353229,1.105982151489271,1197.3806817507802,0.8770493926584187,,0,0.0
118,I12,1639.3226449866122,255.86431317652594,347.62142582545755,1521.0508140108534,HCT116 OsTIRF74G,Vehicle,0,480,Total Pol II (F12),Goat anti-mouse Alexa647,2027,250905_mACPOLR2A_Kinetic_pSer2,I,12,-4.378045072722472,-0.0068692384558201895,1449.8793091830266,1.061997898352307,,0,0.0
129,J03,1561.7808898504527,269.818524030839,331.4875439984655,1591.4544989775052,HCT116 OsTIRF74G,Vehicle,0,480,Total Pol II (F12),Goat anti-mouse Alexa647,1956,250905_mACPOLR2A_Kinetic_pSer2,J,03,9.57616578159059,0.01502519164456793,1372.337554046867,1.0052006322160294,,0,0.0
130,J04,1131.1909107381553,798.4145109299888,287.9391592776392,1918.967865970887,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10,60,Total Pol II (F12),Goat anti-mouse Alexa647,3641,250905_mACPOLR2A_Kinetic_pSer2,J,04,538.1721526807403,0.8444026467610607,941.7475749345696,0.6898049644714545,,60,1.0
131,J05,1089.6045225461237,744.3569857898544,281.33735931081304,1899.134881422925,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10,120,Total Pol II (F12),Goat anti-mouse Alexa647,4048,250905_mACPOLR2A_Kinetic_pSer2,J,05,484.114627540606,0.7595853311896237,900.161186742538,0.6593440450140368,,120,2.0
