,EXPERIMENT,WELL,CELL,DRUG,DRUG_CONCENTRATION,TIME_MINUTES,TIME_IN_AUXIN_HRS,PRIMARY,SECONDARY,TotalNumberCells,GFP_488_Intensity,GFP_Intensity_BGS,GFP_Intensity_FC
47,250905_mACPOLR2A_Kinetic_pSer2,E21,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10,480,8.0,pSer2 Pol II (3E10),Goat anti-rat Alexa647,3143,608.786468521674,348.5441102724256,0.5468725346731375
48,250905_mACPOLR2A_Kinetic_pSer2,E22,HCT116 OsTIRF74G,Vehicle,0,480,0.0,pSer2 Pol II (3E10),Goat anti-rat Alexa647,1332,251.0438204571797,-9.19853779206872,-0.014432685933793096
49,250905_mACPOLR2A_Kinetic_pSer2,F03,HCT116 OsTIRF74G,Vehicle,0,480,0.0,Total Pol II (F12),Goat anti-mouse Alexa647,1526,270.63788806145493,10.395529812206519,0.016310789854483747
50,250905_mACPOLR2A_Kinetic_pSer2,F04,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,100,60,1.0,Total Pol II (F12),Goat anti-mouse Alexa647,3438,651.6589263837187,391.4165681344703,0.6141402606443445
51,250905_mACPOLR2A_Kinetic_pSer2,F05,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,100,120,2.0,Total Pol II (F12),Goat anti-mouse Alexa647,3652,538.3549960475532,278.1126377983048,0.4363641750781971
52,250905_mACPOLR2A_Kinetic_pSer2,F06,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,100,240,4.0,Total Pol II (F12),Goat anti-mouse Alexa647,4223,471.08210740656455,210.83974915731613,0.33081169537304306
53,250905_mACPOLR2A_Kinetic_pSer2,F07,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,100,480,8.0,Total Pol II (F12),Goat anti-mouse Alexa647,3834,479.6163765730891,219.3740183238407,0.34420213082476303
54,250905_mACPOLR2A_Kinetic_pSer2,F08,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,100,60,1.0,Total Pol II (F12),Goat anti-mouse Alexa647,4298,645.8664599664138,385.6241017171654,0.6050517673997889
55,250905_mACPOLR2A_Kinetic_pSer2,F09,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,100,120,2.0,Total Pol II (F12),Goat anti-mouse Alexa647,4225,534.9131738137758,274.67081556452735,0.4309638885910462
56,250905_mACPOLR2A_Kinetic_pSer2,F10,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,100,240,4.0,Total Pol II (F12),Goat anti-mouse Alexa647,4228,456.88441693736706,196.64205868811865,0.3085352409887587
57,250905_mACPOLR2A_Kinetic_pSer2,F11,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,100,480,8.0,Total Pol II (F12),Goat anti-mouse Alexa647,3052,468.478400127511,208.2360418782626,0.3267264276629389
58,250905_mACPOLR2A_Kinetic_pSer2,F12,HCT116 OsTIRF74G,Vehicle,0,480,0.0,Total Pol II (F12),Goat anti-mouse Alexa647,1968,253.94718515098558,-6.295173098262836,-0.009877249871651337
59,250905_mACPOLR2A_Kinetic_pSer2,F13,HCT116 OsTIRF74G,Vehicle,0,480,0.0,pSer2 Pol II (3E10),Goat anti-rat Alexa647,2042,252.61815881347482,-7.6241994357735905,-0.011962518221972284
60,250905_mACPOLR2A_Kinetic_pSer2,F14,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,100,60,1.0,pSer2 Pol II (3E10),Goat anti-rat Alexa647,4212,618.1453677578244,357.90300950857596,0.5615568308531064
61,250905_mACPOLR2A_Kinetic_pSer2,F15,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,100,120,2.0,pSer2 Pol II (3E10),Goat anti-rat Alexa647,3696,507.70573307326663,247.46337482401822,0.3882748812567899
62,250905_mACPOLR2A_Kinetic_pSer2,F16,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,100,240,4.0,pSer2 Pol II (3E10),Goat anti-rat Alexa647,3946,440.38792774170395,180.14556949245554,0.2826519263845066
63,250905_mACPOLR2A_Kinetic_pSer2,F17,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,100,480,8.0,pSer2 Pol II (3E10),Goat anti-rat Alexa647,3595,450.5864833036194,190.34412505437098,0.2986536597828711
64,250905_mACPOLR2A_Kinetic_pSer2,F18,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,100,60,1.0,pSer2 Pol II (3E10),Goat anti-rat Alexa647,3638,603.1882045631479,342.9458463138995,0.5380887488895375
65,250905_mACPOLR2A_Kinetic_pSer2,F19,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,100,120,2.0,pSer2 Pol II (3E10),Goat anti-rat Alexa647,2831,500.33716897474784,240.09481072549943,0.3767134598851625
66,250905_mACPOLR2A_Kinetic_pSer2,F20,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,100,240,4.0,pSer2 Pol II (3E10),Goat anti-rat Alexa647,2838,435.47082061360373,175.22846236435532,0.2749368890071665
67,250905_mACPOLR2A_Kinetic_pSer2,F21,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,100,480,8.0,pSer2 Pol II (3E10),Goat anti-rat Alexa647,3469,438.07957425525314,177.83721600600472,0.27903007455900813
68,250905_mACPOLR2A_Kinetic_pSer2,F22,HCT116 OsTIRF74G,Vehicle,0,480,0.0,pSer2 Pol II (3E10),Goat anti-rat Alexa647,1243,251.4460027606533,-8.796355488595111,-0.013801654023572653
69,250905_mACPOLR2A_Kinetic_pSer2,G03,HCT116 OsTIRF74G,Vehicle,0,480,0.0,Total Pol II (F12),Goat anti-mouse Alexa647,1728,268.0106487000382,7.768290450789777,0.012188599846315144
70,250905_mACPOLR2A_Kinetic_pSer2,G04,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1000,60,1.0,Total Pol II (F12),Goat anti-mouse Alexa647,3653,610.2629461200148,350.0205878707664,0.549189156939288
71,250905_mACPOLR2A_Kinetic_pSer2,G05,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1000,120,2.0,Total Pol II (F12),Goat anti-mouse Alexa647,3898,488.59164722429955,228.34928897505114,0.3582845062422345
72,250905_mACPOLR2A_Kinetic_pSer2,G06,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1000,240,4.0,Total Pol II (F12),Goat anti-mouse Alexa647,3869,411.9561461924932,151.71378794324477,0.23804190434472253
73,250905_mACPOLR2A_Kinetic_pSer2,G07,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1000,480,8.0,Total Pol II (F12),Goat anti-mouse Alexa647,4250,411.92380882961015,151.68145058036174,0.23799116638908568
74,250905_mACPOLR2A_Kinetic_pSer2,G08,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1000,60,1.0,Total Pol II (F12),Goat anti-mouse Alexa647,3880,605.9344069569778,345.6920487077294,0.5423975942252551
75,250905_mACPOLR2A_Kinetic_pSer2,G09,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1000,120,2.0,Total Pol II (F12),Goat anti-mouse Alexa647,3869,475.2981227834076,215.0557645341592,0.33742670606294684
