,EXPERIMENT,WELL,CELL,DRUG,DRUG_CONCENTRATION,TIME_MINUTES,TIME_IN_AUXIN_HRS,PRIMARY,SECONDARY,TotalNumberCells,IF_561_Intensity,IF_561_Intensity_BGS,IF_561_Intensity_FC
175,250905_mACPOLR2A_Kinetic_pSer2,L09,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1000,120,2.0,Total Pol II (F12),Goat anti-mouse Alexa647,3947,661.9399379368564,472.4966021332707,0.34609115066749035
176,250905_mACPOLR2A_Kinetic_pSer2,L10,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1000,240,4.0,Total Pol II (F12),Goat anti-mouse Alexa647,4079,627.2971916404312,437.85385583684547,0.3207162635807256
177,250905_mACPOLR2A_Kinetic_pSer2,L11,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1000,480,8.0,Total Pol II (F12),Goat anti-mouse Alexa647,4075,663.4756169483564,474.03228114477076,0.3472159945578937
178,250905_mACPOLR2A_Kinetic_pSer2,L12,HCT116 OsTIRF74G,Vehicle,0,480,0.0,Total Pol II (F12),Goat anti-mouse Alexa647,1629,1586.6633553327745,1397.220019529189,1.0234263740972207
189,250905_mACPOLR2A_Kinetic_pSer2,M03,HCT116 OsTIRF74G,5PhIAA,10000,480,8.0,Total Pol II (F12),Goat anti-mouse Alexa647,1343,1608.994805688682,1419.5514698850961,1.0397835654819958
190,250905_mACPOLR2A_Kinetic_pSer2,M04,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10000,60,1.0,Total Pol II (F12),Goat anti-mouse Alexa647,3680,886.2732044877038,696.8298686841181,0.5104092812170954
191,250905_mACPOLR2A_Kinetic_pSer2,M05,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10000,120,2.0,Total Pol II (F12),Goat anti-mouse Alexa647,3564,680.7871727202005,491.3438369166148,0.3598962471351007
192,250905_mACPOLR2A_Kinetic_pSer2,M06,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10000,240,4.0,Total Pol II (F12),Goat anti-mouse Alexa647,3580,619.0317015481074,429.58836574452175,0.31466201268459704
193,250905_mACPOLR2A_Kinetic_pSer2,M07,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10000,480,8.0,Total Pol II (F12),Goat anti-mouse Alexa647,3763,656.6221344788966,467.1787986753109,0.34219600156064073
194,250905_mACPOLR2A_Kinetic_pSer2,M08,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10000,60,1.0,Total Pol II (F12),Goat anti-mouse Alexa647,3664,860.7831954710323,671.3398596674466,0.4917385299116368
195,250905_mACPOLR2A_Kinetic_pSer2,M09,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10000,120,2.0,Total Pol II (F12),Goat anti-mouse Alexa647,3468,670.7966935438366,481.3533577402509,0.3525784877729029
196,250905_mACPOLR2A_Kinetic_pSer2,M10,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10000,240,4.0,Total Pol II (F12),Goat anti-mouse Alexa647,4028,618.2053946312495,428.76205882766385,0.31405676492118734
197,250905_mACPOLR2A_Kinetic_pSer2,M11,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10000,480,8.0,Total Pol II (F12),Goat anti-mouse Alexa647,3300,654.0741831328928,464.63084732930713,0.3403296952016069
198,250905_mACPOLR2A_Kinetic_pSer2,M12,HCT116 OsTIRF74G,5PhIAA,10000,480,8.0,Total Pol II (F12),Goat anti-mouse Alexa647,1579,1581.8899818210682,1392.4466460174826,1.0199300053957878
209,250905_mACPOLR2A_Kinetic_pSer2,N03,HCT116 OsTIRF74G,Vehicle,0,480,0.0,Total Pol II (F12),Goat anti-mouse Alexa647,1245,1521.0836685276868,1331.640332724101,0.9753910037594995
210,250905_mACPOLR2A_Kinetic_pSer2,N04,HCT116 OsTIRF74G,Vehicle,0,480,0.0,Total Pol II (F12),Goat anti-mouse Alexa647,1642,1566.9755569636923,1377.5322211601065,1.0090055872367398
211,250905_mACPOLR2A_Kinetic_pSer2,N05,HCT116 OsTIRF74G,Vehicle,0,480,0.0,Total Pol II (F12),Goat anti-mouse Alexa647,1069,1650.9600395041884,1461.5167037006026,1.0705219792476517
212,250905_mACPOLR2A_Kinetic_pSer2,N06,HCT116 OsTIRF74G,Vehicle,0,480,0.0,Total Pol II (F12),Goat anti-mouse Alexa647,1454,1525.6004215172588,1336.157085713673,0.978699404777378
213,250905_mACPOLR2A_Kinetic_pSer2,N07,HCT116 OsTIRF74G,Vehicle,0,480,0.0,Total Pol II (F12),Goat anti-mouse Alexa647,1017,1571.9716775756092,1382.5283417720234,1.0126651122442112
214,250905_mACPOLR2A_Kinetic_pSer2,N08,HCT116 OsTIRF74G,Vehicle,0,480,0.0,Total Pol II (F12),Goat anti-mouse Alexa647,1465,1553.1363281608185,1363.692992357233,0.9988687214918593
216,250905_mACPOLR2A_Kinetic_pSer2,N10,HCT116 OsTIRF74G,Vehicle,0,480,0.0,Total Pol II (F12),Goat anti-mouse Alexa647,1975,1579.5751816452162,1390.1318458416304,1.018234476046351
