,EXPERIMENT,WELL,CELL,DRUG,DRUG_CONCENTRATION,TIME_MINUTES,TIME_IN_AUXIN_HRS,PRIMARY,SECONDARY,TotalNumberCells,IF_561_Intensity,IF_561_Intensity_BGS,IF_561_Intensity_FC
188,250905_mACPOLR2A_Kinetic_pSer2,L22,HCT116 OsTIRF74G,Vehicle,0,480,0.0,pSer2 Pol II (3E10),Goat anti-rat Alexa647,2029,1971.2869252285323,1790.5616599148154,1.2951677253793727
199,250905_mACPOLR2A_Kinetic_pSer2,M13,HCT116 OsTIRF74G,5PhIAA,10000,480,8.0,pSer2 Pol II (3E10),Goat anti-rat Alexa647,1513,1997.5917754422296,1816.8665101285128,1.3141948238482075
200,250905_mACPOLR2A_Kinetic_pSer2,M14,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10000,60,1.0,pSer2 Pol II (3E10),Goat anti-rat Alexa647,3303,1394.3231007678346,1213.5978354541178,0.8778322373691492
201,250905_mACPOLR2A_Kinetic_pSer2,M15,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10000,120,2.0,pSer2 Pol II (3E10),Goat anti-rat Alexa647,3553,1163.6579225730966,982.9326572593799,0.7109850961313996
202,250905_mACPOLR2A_Kinetic_pSer2,M16,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10000,240,4.0,pSer2 Pol II (3E10),Goat anti-rat Alexa647,3420,1086.7988738569652,906.0736085432485,0.6553906078046307
203,250905_mACPOLR2A_Kinetic_pSer2,M17,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10000,480,8.0,pSer2 Pol II (3E10),Goat anti-rat Alexa647,3607,1064.2814017526575,883.5561364389408,0.6391030351510215
204,250905_mACPOLR2A_Kinetic_pSer2,M18,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10000,60,1.0,pSer2 Pol II (3E10),Goat anti-rat Alexa647,3406,1336.6234379493512,1155.8981726356344,0.8360963157749567
205,250905_mACPOLR2A_Kinetic_pSer2,M19,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10000,120,2.0,pSer2 Pol II (3E10),Goat anti-rat Alexa647,3037,1220.5827051369872,1039.8574398232704,0.7521605232621789
206,250905_mACPOLR2A_Kinetic_pSer2,M20,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10000,240,4.0,pSer2 Pol II (3E10),Goat anti-rat Alexa647,3733,1043.9318535731497,863.206588259433,0.6243835878300033
207,250905_mACPOLR2A_Kinetic_pSer2,M21,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10000,480,8.0,pSer2 Pol II (3E10),Goat anti-rat Alexa647,4109,1073.6724136489142,892.9471483351975,0.6458958397714801
208,250905_mACPOLR2A_Kinetic_pSer2,M22,HCT116 OsTIRF74G,5PhIAA,10000,480,8.0,pSer2 Pol II (3E10),Goat anti-rat Alexa647,1167,2125.804943559847,1945.07967824613,1.4069353091563077
219,250905_mACPOLR2A_Kinetic_pSer2,N13,HCT116 OsTIRF74G,Vehicle,0,480,0.0,pSer2 Pol II (3E10),Goat anti-rat Alexa647,1232,2244.810930130121,2064.0856648164045,1.4930159599282466
220,250905_mACPOLR2A_Kinetic_pSer2,N14,HCT116 OsTIRF74G,Vehicle,0,480,0.0,pSer2 Pol II (3E10),Goat anti-rat Alexa647,1619,1897.530203261709,1716.8049379479921,1.241817244376806
222,250905_mACPOLR2A_Kinetic_pSer2,N16,HCT116 OsTIRF74G,Vehicle,0,480,0.0,pSer2 Pol II (3E10),Goat anti-rat Alexa647,1422,2032.5140407628903,1851.7887754491735,1.3394551608435874
223,250905_mACPOLR2A_Kinetic_pSer2,N17,HCT116 OsTIRF74G,Vehicle,0,480,0.0,pSer2 Pol II (3E10),Goat anti-rat Alexa647,1779,1990.7754031672932,1810.0501378535764,1.309264334397714
224,250905_mACPOLR2A_Kinetic_pSer2,N18,HCT116 OsTIRF74G,Vehicle,0,480,0.0,pSer2 Pol II (3E10),Goat anti-rat Alexa647,1065,2075.8486210554784,1895.1233557417615,1.3708003811977925
