,WELL,IF_647_Intensity,RFP_561_Intensity,GFP_488_Intensity,DAPI_Intensity,NucleusArea,CELL,DRUG,TIME_MINUTES,PRIMARY,SECONDARY,TotalNumberCells,EXPERIMENT,DRUG_AND_TIME,IF_647_Intensity_BGS,IF_647_Intensity_FC,DRUG_AND_TIME_LABEL
168,K15,2232.5755423834394,225.38217352035537,249.93511210525887,596.3249579820983,1650.2761000862813,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,5PhIAA,240,CCNT1,Goat anti-rabbit Alexa647,1159,250915_mACmChPOLR2A_PTEFB,5PhIAA_240,2071.2231913952946,0.9250208462482077,4 hrs
171,K18,2337.75354669126,233.2934283345441,245.5985548332277,619.9367462289285,1674.8910788381743,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,5PhIAA,1440,CCNT1,Goat anti-rabbit Alexa647,964,250915_mACmChPOLR2A_PTEFB,5PhIAA_1440,2176.4011957031153,0.9719939812322633,24 hrs
174,K21,2359.939252780367,230.56517860334537,245.9935603306504,569.4443377507895,1711.0328305235137,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,5PhIAA,1440,CCNT1,Goat anti-rabbit Alexa647,1127,250915_mACmChPOLR2A_PTEFB,5PhIAA_1440,2198.5869017922223,0.9819022522029717,24 hrs
60,F06,1682.681346377916,213.99739066183307,440.29324608472115,636.7016034258718,1787.96678700361,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,Vehicle,1440,CDK7,Goat anti-mouse Alexa647,1385,250915_mACmChPOLR2A_PTEFB,Vehicle_1440,1521.3289953897715,1.0262535312350964,Vehicle
63,F09,1782.0836315070646,214.77286946110266,444.28835638974766,647.2997401602534,1660.4331210191083,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,Vehicle,1440,CDK7,Goat anti-mouse Alexa647,1413,250915_mACmChPOLR2A_PTEFB,Vehicle_1440,1620.7312805189201,1.093308025322676,Vehicle
66,F12,1907.2761989128182,228.0343842420715,253.7183420612257,671.3796396124453,1607.7137931034483,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,5PhIAA,240,CDK7,Goat anti-mouse Alexa647,1160,250915_mACmChPOLR2A_PTEFB,5PhIAA_240,1745.9238479246737,1.1777600503441443,4 hrs
69,F15,1741.3364882180947,230.84402945869115,250.3681743413584,672.2630239916202,1656.1028985507246,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,5PhIAA,240,CDK7,Goat anti-mouse Alexa647,1380,250915_mACmChPOLR2A_PTEFB,5PhIAA_240,1579.9841372299502,1.065820940139412,4 hrs
72,F18,1871.657676546721,234.6912426987545,243.9404472038744,679.0244421384773,1648.7605177993528,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,5PhIAA,1440,CDK7,Goat anti-mouse Alexa647,1236,250915_mACmChPOLR2A_PTEFB,5PhIAA_1440,1710.3053255585764,1.1537326148148437,24 hrs
75,F21,2068.912230628118,238.56457481499575,249.49448153634344,682.7775690386765,1562.6725978647687,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,5PhIAA,1440,CDK7,Goat anti-mouse Alexa647,1124,250915_mACmChPOLR2A_PTEFB,5PhIAA_1440,1907.5598796399734,1.2867959977462744,24 hrs
179,L06,1525.1928948195257,217.8873296006157,453.305924601268,622.7660503070193,1627.7133757961783,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,Vehicle,1440,CDK7,Goat anti-mouse Alexa647,1099,250915_mACmChPOLR2A_PTEFB,Vehicle_1440,1363.8405438313812,0.9200154459620705,Vehicle
