,EXPERIMENT,WELL,CELL,DRUG,TIME_MINUTES,PRIMARY,SECONDARY,TotalNumberCells,GFP_488_Intensity,RFP_561_Intensity,IF_647_Intensity,IF_647_Intensity_BGS,IF_647_Intensity_FC
173,250915_mACmChPOLR2A_PTEFB,K20,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1440,CCNT1,Goat anti-rabbit Alexa647,771,333.4750145155172,156.98802489522996,2639.498736215602,2478.1463852274574,1.2642844296011375
59,250915_mACmChPOLR2A_PTEFB,F05,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,1440,CDK7,Goat anti-mouse Alexa647,2027,706.762194158395,161.69186825845696,1613.0987160832026,1451.746365095058,1.1028134008966526
62,250915_mACmChPOLR2A_PTEFB,F08,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,1440,CDK7,Goat anti-mouse Alexa647,1984,709.3475826136354,160.9183746597055,1565.839013303596,1404.4866623154514,1.0669127540613286
65,250915_mACmChPOLR2A_PTEFB,F11,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,240,CDK7,Goat anti-mouse Alexa647,1963,330.6119338157425,157.7561405380334,1580.7622935584868,1419.4099425703423,1.0782491650530326
68,250915_mACmChPOLR2A_PTEFB,F14,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,240,CDK7,Goat anti-mouse Alexa647,1987,334.8311346863259,158.06358862424628,1668.7534598026652,1507.4011088145207,1.145091307473862
71,250915_mACmChPOLR2A_PTEFB,F17,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1440,CDK7,Goat anti-mouse Alexa647,1045,332.9416551857546,161.7903005218792,1439.2682236371018,1277.9158726489572,0.9707637528567403
74,250915_mACmChPOLR2A_PTEFB,F20,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1440,CDK7,Goat anti-mouse Alexa647,769,334.08504415237485,160.4228087798155,1609.3431682233543,1447.9908172352098,1.0999605137759203
178,250915_mACmChPOLR2A_PTEFB,L05,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,1440,CDK7,Goat anti-mouse Alexa647,2153,716.3059936097382,163.34276951158847,1433.8959266930265,1272.543575704882,0.9666827086702551
181,250915_mACmChPOLR2A_PTEFB,L08,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,1440,CDK7,Goat anti-mouse Alexa647,2284,706.8651804893897,157.10899667969332,1298.1859187854477,1136.8335677973032,0.8635911363717641
184,250915_mACmChPOLR2A_PTEFB,L11,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,240,CDK7,Goat anti-mouse Alexa647,1800,340.72388562495973,157.5851751728248,1436.9973274768026,1275.6449764886581,0.969038675544452
187,250915_mACmChPOLR2A_PTEFB,L14,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,240,CDK7,Goat anti-mouse Alexa647,1267,339.3641306374145,157.10960006166133,1441.3256054449596,1279.973254456815,0.9723266348332473
190,250915_mACmChPOLR2A_PTEFB,L17,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1440,CDK7,Goat anti-mouse Alexa647,724,351.1717961504096,163.89846647954406,1467.4958235495544,1306.14347256141,0.992206737807189
193,250915_mACmChPOLR2A_PTEFB,L20,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1440,CDK7,Goat anti-mouse Alexa647,712,336.5082078351296,159.99479379196677,1382.1203685417277,1220.7680175535831,0.9273516101113015
79,250915_mACmChPOLR2A_PTEFB,G05,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,1440,pSer5,Goat anti-rat Alexa647,2198,697.1016351278365,168.3649972039459,4494.362604114255,4333.010253126111,0.9866274101001324
82,250915_mACmChPOLR2A_PTEFB,G08,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,1440,pSer5,Goat anti-rat Alexa647,1675,702.8324720019849,167.3854443037,4668.401234900229,4507.048883912084,1.0262560455103198
85,250915_mACmChPOLR2A_PTEFB,G11,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,240,pSer5,Goat anti-rat Alexa647,2276,331.51484781544303,159.55022904280256,1866.2692438084944,1704.9168928203499,0.38820996031239935
88,250915_mACmChPOLR2A_PTEFB,G14,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,240,pSer5,Goat anti-rat Alexa647,2026,330.48815257179797,158.54271741925925,1822.5933643057929,1661.2410133176484,0.37826495271715843
91,250915_mACmChPOLR2A_PTEFB,G17,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1440,pSer5,Goat anti-rat Alexa647,878,326.8391161586109,163.28349633750088,2489.8843801617504,2328.532029173606,0.5302072672505851
94,250915_mACmChPOLR2A_PTEFB,G20,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1440,pSer5,Goat anti-rat Alexa647,793,331.93178243463404,162.29562307676105,2561.703547162275,2400.3511961741306,0.5465605077448014
198,250915_mACmChPOLR2A_PTEFB,M05,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,1440,pSer5,Goat anti-rat Alexa647,1780,728.0590871214611,168.67679029916985,4572.568537868731,4411.216186880587,1.004434918822036
201,250915_mACmChPOLR2A_PTEFB,M08,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,1440,pSer5,Goat anti-rat Alexa647,1747,719.929494032418,162.99700978333692,4477.033747585997,4315.681396597853,0.9826816255675117
204,250915_mACmChPOLR2A_PTEFB,M11,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,240,pSer5,Goat anti-rat Alexa647,1602,347.47487681422564,158.9056611246259,1913.6043526550354,1752.252001666891,0.3989881752530117
207,250915_mACmChPOLR2A_PTEFB,M14,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,240,pSer5,Goat anti-rat Alexa647,1735,350.03306052463734,159.17931661892888,1892.8509471942818,1731.4985962061373,0.3942626201575147
210,250915_mACmChPOLR2A_PTEFB,M17,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1440,pSer5,Goat anti-rat Alexa647,645,342.7452930564506,164.82360141666638,2518.585473276155,2357.2331222880102,0.5367425126140313
213,250915_mACmChPOLR2A_PTEFB,M20,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1440,pSer5,Goat anti-rat Alexa647,778,340.0410337995889,162.6392154584099,2397.5941444440637,2236.241793455919,0.509192759800948
99,250915_mACmChPOLR2A_PTEFB,H05,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,1440,pSer2,Goat anti-rat Alexa647,1956,706.4670007519006,160.47831682991762,1529.1314907508167,1367.7791397626722,1.022619033213988
102,250915_mACmChPOLR2A_PTEFB,H08,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,1440,pSer2,Goat anti-rat Alexa647,2205,706.0476599936151,158.52919571340706,1465.0567288736704,1303.704377885526,0.9747135862457054
105,250915_mACmChPOLR2A_PTEFB,H11,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,240,pSer2,Goat anti-rat Alexa647,2098,332.8970307747307,156.29782550958623,1125.9652879273885,964.612936939244,0.7211921284087387
108,250915_mACmChPOLR2A_PTEFB,H14,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,240,pSer2,Goat anti-rat Alexa647,1134,334.6370506654195,156.06515600325642,1139.2189224967597,977.8665715086152,0.731101198210939
111,250915_mACmChPOLR2A_PTEFB,H17,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1440,pSer2,Goat anti-rat Alexa647,828,329.2219639199958,160.89850901203792,1261.4054257222585,1100.053074734114,0.8224538443859186
114,250915_mACmChPOLR2A_PTEFB,H20,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1440,pSer2,Goat anti-rat Alexa647,830,338.9096637808019,162.84312153275638,1316.4363290733966,1155.083978085252,0.8635976574079521
218,250915_mACmChPOLR2A_PTEFB,N05,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,1440,pSer2,Goat anti-rat Alexa647,1686,713.693133643326,158.9633343851527,1534.0813813282641,1372.7290303401196,1.0263198151382558
221,250915_mACmChPOLR2A_PTEFB,N08,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,1440,pSer2,Goat anti-rat Alexa647,1952,707.7374678016827,158.50647759696332,1467.2422178312079,1305.8898668430634,0.9763475654020511
