,WELL,IF_647_Intensity,RFP_561_Intensity,GFP_488_Intensity,DAPI_Intensity,NucleusArea,CELL,DRUG,TIME_MINUTES,PRIMARY,SECONDARY,TotalNumberCells,EXPERIMENT,DRUG_AND_TIME,IF_647_Intensity_BGS,IF_647_Intensity_FC,DRUG_AND_TIME_LABEL
164,K11,1670.996885350072,156.16600044443328,339.43827926762856,567.3691666648593,2051.2403022670023,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,240,CCNT1,Goat anti-rabbit Alexa647,1985,250915_mACmChPOLR2A_PTEFB,5PhIAA_240,1509.6445343619275,0.7701805229924145,4 hrs
167,K14,1660.1554237299258,155.1063981472096,337.0798566419468,557.1424023022458,2083.524952015355,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,240,CCNT1,Goat anti-rabbit Alexa647,2084,250915_mACmChPOLR2A_PTEFB,5PhIAA_240,1498.8030727417813,0.764649497383041,4 hrs
170,K17,2546.1509426862235,158.51853893299003,333.60730955872134,601.9524407400108,1795.1978021978023,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1440,CCNT1,Goat anti-rabbit Alexa647,728,250915_mACmChPOLR2A_PTEFB,5PhIAA_1440,2384.798591698079,1.2166608660375255,24 hrs
173,K20,2639.498736215602,156.98802489522996,333.4750145155172,587.8606754512239,1793.5162127107653,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1440,CCNT1,Goat anti-rabbit Alexa647,771,250915_mACmChPOLR2A_PTEFB,5PhIAA_1440,2478.1463852274574,1.2642844296011375,24 hrs
59,F05,1613.0987160832026,161.69186825845696,706.762194158395,629.2720096206242,1930.6630488406513,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,1440,CDK7,Goat anti-mouse Alexa647,2027,250915_mACmChPOLR2A_PTEFB,Vehicle_1440,1451.746365095058,1.1028134008966526,Vehicle
62,F08,1565.839013303596,160.9183746597055,709.3475826136354,635.4167683499517,2009.9964717741937,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,1440,CDK7,Goat anti-mouse Alexa647,1984,250915_mACmChPOLR2A_PTEFB,Vehicle_1440,1404.4866623154514,1.0669127540613286,Vehicle
65,F11,1580.7622935584868,157.7561405380334,330.6119338157425,601.3380640709635,2077.680081507896,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,240,CDK7,Goat anti-mouse Alexa647,1963,250915_mACmChPOLR2A_PTEFB,5PhIAA_240,1419.4099425703423,1.0782491650530326,4 hrs
68,F14,1668.7534598026652,158.06358862424628,334.8311346863259,620.3707936166163,1964.3880221439356,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,240,CDK7,Goat anti-mouse Alexa647,1987,250915_mACmChPOLR2A_PTEFB,5PhIAA_240,1507.4011088145207,1.145091307473862,4 hrs
71,F17,1439.2682236371018,161.7903005218792,332.9416551857546,671.1222385600392,1943.8,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1440,CDK7,Goat anti-mouse Alexa647,1045,250915_mACmChPOLR2A_PTEFB,5PhIAA_1440,1277.9158726489572,0.9707637528567403,24 hrs
74,F20,1609.3431682233543,160.4228087798155,334.08504415237485,648.1938986087182,1801.7581274382314,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1440,CDK7,Goat anti-mouse Alexa647,769,250915_mACmChPOLR2A_PTEFB,5PhIAA_1440,1447.9908172352098,1.0999605137759203,24 hrs
178,L05,1433.8959266930265,163.34276951158847,716.3059936097382,560.3356002351377,2079.171853228054,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,1440,CDK7,Goat anti-mouse Alexa647,2153,250915_mACmChPOLR2A_PTEFB,Vehicle_1440,1272.543575704882,0.9666827086702551,Vehicle
181,L08,1298.1859187854477,157.10899667969332,706.8651804893897,543.1157661455233,2022.8362521891418,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,1440,CDK7,Goat anti-mouse Alexa647,2284,250915_mACmChPOLR2A_PTEFB,Vehicle_1440,1136.8335677973032,0.8635911363717641,Vehicle
184,L11,1436.9973274768026,157.5851751728248,340.72388562495973,563.198023021703,2039.7683333333334,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,240,CDK7,Goat anti-mouse Alexa647,1800,250915_mACmChPOLR2A_PTEFB,5PhIAA_240,1275.6449764886581,0.969038675544452,4 hrs
187,L14,1441.3256054449596,157.10960006166133,339.3641306374145,574.8481661662881,2076.8476716653513,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,240,CDK7,Goat anti-mouse Alexa647,1267,250915_mACmChPOLR2A_PTEFB,5PhIAA_240,1279.973254456815,0.9723266348332473,4 hrs
190,L17,1467.4958235495544,163.89846647954406,351.1717961504096,678.3603137685741,1733.5773480662983,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1440,CDK7,Goat anti-mouse Alexa647,724,250915_mACmChPOLR2A_PTEFB,5PhIAA_1440,1306.14347256141,0.992206737807189,24 hrs
193,L20,1382.1203685417277,159.99479379196677,336.5082078351296,635.0235570373354,1836.5983146067415,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1440,CDK7,Goat anti-mouse Alexa647,712,250915_mACmChPOLR2A_PTEFB,5PhIAA_1440,1220.7680175535831,0.9273516101113015,24 hrs
79,G05,4494.362604114255,168.3649972039459,697.1016351278365,615.2670833517736,2035.5846223839853,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,1440,pSer5,Goat anti-rat Alexa647,2198,250915_mACmChPOLR2A_PTEFB,Vehicle_1440,4333.010253126111,0.9866274101001324,Vehicle
82,G08,4668.401234900229,167.3854443037,702.8324720019849,628.089507620853,2024.797014925373,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,1440,pSer5,Goat anti-rat Alexa647,1675,250915_mACmChPOLR2A_PTEFB,Vehicle_1440,4507.048883912084,1.0262560455103198,Vehicle
85,G11,1866.2692438084944,159.55022904280256,331.51484781544303,587.309102966361,1987.1507029876977,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,240,pSer5,Goat anti-rat Alexa647,2276,250915_mACmChPOLR2A_PTEFB,5PhIAA_240,1704.9168928203499,0.38820996031239935,4 hrs
88,G14,1822.5933643057929,158.54271741925925,330.48815257179797,587.7567184765286,1999.5044422507403,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,240,pSer5,Goat anti-rat Alexa647,2026,250915_mACmChPOLR2A_PTEFB,5PhIAA_240,1661.2410133176484,0.37826495271715843,4 hrs
91,G17,2489.8843801617504,163.28349633750088,326.8391161586109,651.1093217469927,1791.0979498861047,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1440,pSer5,Goat anti-rat Alexa647,878,250915_mACmChPOLR2A_PTEFB,5PhIAA_1440,2328.532029173606,0.5302072672505851,24 hrs
94,G20,2561.703547162275,162.29562307676105,331.93178243463404,635.506004059672,1878.6960907944515,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1440,pSer5,Goat anti-rat Alexa647,793,250915_mACmChPOLR2A_PTEFB,5PhIAA_1440,2400.3511961741306,0.5465605077448014,24 hrs
198,M05,4572.568537868731,168.67679029916985,728.0590871214611,561.1846969190012,2040.0241573033709,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,1440,pSer5,Goat anti-rat Alexa647,1780,250915_mACmChPOLR2A_PTEFB,Vehicle_1440,4411.216186880587,1.004434918822036,Vehicle
201,M08,4477.033747585997,162.99700978333692,719.929494032418,525.7054020554845,2016.5352032054952,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,1440,pSer5,Goat anti-rat Alexa647,1747,250915_mACmChPOLR2A_PTEFB,Vehicle_1440,4315.681396597853,0.9826816255675117,Vehicle
204,M11,1913.6043526550354,158.9056611246259,347.47487681422564,536.9343219023857,1887.980024968789,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,240,pSer5,Goat anti-rat Alexa647,1602,250915_mACmChPOLR2A_PTEFB,5PhIAA_240,1752.252001666891,0.3989881752530117,4 hrs
207,M14,1892.8509471942818,159.17931661892888,350.03306052463734,549.0764223759146,2010.5544668587897,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,240,pSer5,Goat anti-rat Alexa647,1735,250915_mACmChPOLR2A_PTEFB,5PhIAA_240,1731.4985962061373,0.3942626201575147,4 hrs
