,EXPERIMENT,WELL,CELL,DRUG,TIME_MINUTES,PRIMARY,SECONDARY,TotalNumberCells,GFP_488_Intensity,RFP_561_Intensity,IF_647_Intensity,IF_647_Intensity_BGS,IF_647_Intensity_FC
75,250915_mACmChPOLR2A_PTEFB,F21,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,5PhIAA,1440,CDK7,Goat anti-mouse Alexa647,1124,249.49448153634344,238.56457481499575,2068.912230628118,1907.5598796399734,1.2867959977462744
179,250915_mACmChPOLR2A_PTEFB,L06,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,Vehicle,1440,CDK7,Goat anti-mouse Alexa647,1099,453.305924601268,217.8873296006157,1525.1928948195257,1363.8405438313812,0.9200154459620705
182,250915_mACmChPOLR2A_PTEFB,L09,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,Vehicle,1440,CDK7,Goat anti-mouse Alexa647,1353,448.3718116318608,216.42227945882004,1585.0934728795964,1423.741121891452,0.9604229974801571
185,250915_mACmChPOLR2A_PTEFB,L12,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,5PhIAA,240,CDK7,Goat anti-mouse Alexa647,1393,257.3888073579697,222.85565038769533,1506.7646664322099,1345.4123154440654,0.9075841871651892
188,250915_mACmChPOLR2A_PTEFB,L15,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,5PhIAA,240,CDK7,Goat anti-mouse Alexa647,1396,252.93830629918114,224.5684698778527,1479.872872065843,1318.5205210776985,0.889443601523711
191,250915_mACmChPOLR2A_PTEFB,L18,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,5PhIAA,1440,CDK7,Goat anti-mouse Alexa647,1159,246.76932219622014,236.30660440907678,1471.0508863170703,1309.6985353289258,0.8834924929504704
194,250915_mACmChPOLR2A_PTEFB,L21,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,5PhIAA,1440,CDK7,Goat anti-mouse Alexa647,1098,248.1454012312653,236.0101838269322,1733.2697426105626,1571.917391622418,1.060379299185751
80,250915_mACmChPOLR2A_PTEFB,G06,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,Vehicle,1440,pSer5,Goat anti-rat Alexa647,1202,441.7429165422979,220.86844408992513,4775.452252384767,4614.099901396623,0.9616526964988893
83,250915_mACmChPOLR2A_PTEFB,G09,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,Vehicle,1440,pSer5,Goat anti-rat Alexa647,1015,445.07582673921456,222.9235497810612,5185.902031685913,5024.549680697769,1.047197037860646
86,250915_mACmChPOLR2A_PTEFB,G12,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,5PhIAA,240,pSer5,Goat anti-rat Alexa647,1242,248.21480024468212,229.6222408323435,4459.903864727242,4298.551513739098,0.8958873328632023
89,250915_mACmChPOLR2A_PTEFB,G15,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,5PhIAA,240,pSer5,Goat anti-rat Alexa647,1230,248.05282187531924,231.04831957421726,4568.452709871552,4407.100358883407,0.9185106595933561
92,250915_mACmChPOLR2A_PTEFB,G18,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,5PhIAA,1440,pSer5,Goat anti-rat Alexa647,1000,243.77163884955016,240.45844976734082,4693.222180503073,4531.869829514929,0.9445146257920992
95,250915_mACmChPOLR2A_PTEFB,G21,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,5PhIAA,1440,pSer5,Goat anti-rat Alexa647,733,243.92767181678317,239.5985092572779,4823.73550212328,4662.383151135135,0.9717157030004858
199,250915_mACmChPOLR2A_PTEFB,M06,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,Vehicle,1440,pSer5,Goat anti-rat Alexa647,1017,455.2490015453848,223.88383188936592,4962.938097270944,4801.5857462828,1.0007277646905406
202,250915_mACmChPOLR2A_PTEFB,M09,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,Vehicle,1440,pSer5,Goat anti-rat Alexa647,980,458.4377635652092,223.56292640178606,4913.492474560627,4752.1401235724825,0.9904225009499243
205,250915_mACmChPOLR2A_PTEFB,M12,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,5PhIAA,240,pSer5,Goat anti-rat Alexa647,1065,263.93964831855095,234.71040951258257,4729.247543016065,4567.8951920279205,0.9520228912703742
208,250915_mACmChPOLR2A_PTEFB,M15,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,5PhIAA,240,pSer5,Goat anti-rat Alexa647,995,259.7044044534481,237.543413941517,4788.341904002996,4626.9895530148515,0.9643391073916939
211,250915_mACmChPOLR2A_PTEFB,M18,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,5PhIAA,1440,pSer5,Goat anti-rat Alexa647,808,250.9738395251765,238.74087155770908,4722.200190791932,4560.847839803788,0.9505541096197074
214,250915_mACmChPOLR2A_PTEFB,M21,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,5PhIAA,1440,pSer5,Goat anti-rat Alexa647,1059,248.59906780672992,235.69335830510562,4443.99587119765,4282.643520209505,0.8925718509272805
100,250915_mACmChPOLR2A_PTEFB,H06,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,Vehicle,1440,pSer2,Goat anti-rat Alexa647,1355,444.7099706296113,216.110073101829,1876.2813096136522,1714.9289586255077,1.006593876855595
103,250915_mACmChPOLR2A_PTEFB,H09,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,Vehicle,1440,pSer2,Goat anti-rat Alexa647,1372,433.8781074949305,211.35895335108137,1734.4391128676557,1573.0867618795112,0.9233382492646418
106,250915_mACmChPOLR2A_PTEFB,H12,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,5PhIAA,240,pSer2,Goat anti-rat Alexa647,1146,250.54605723389332,228.7624474311396,1813.5394104000638,1652.1870594119193,0.969766921865397
109,250915_mACmChPOLR2A_PTEFB,H15,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,5PhIAA,240,pSer2,Goat anti-rat Alexa647,373,248.65910157793357,229.00470899156127,1918.9023251112394,1757.549974123095,1.0316106876158637
112,250915_mACmChPOLR2A_PTEFB,H18,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,5PhIAA,1440,pSer2,Goat anti-rat Alexa647,938,240.67457403782527,233.15872354231746,1965.572779530395,1804.2204285422506,1.0590043550981847
115,250915_mACmChPOLR2A_PTEFB,H21,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,5PhIAA,1440,pSer2,Goat anti-rat Alexa647,656,244.16773506945654,234.1658155243886,1877.0525326749485,1715.700181686804,1.007046553572777
219,250915_mACmChPOLR2A_PTEFB,N06,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,Vehicle,1440,pSer2,Goat anti-rat Alexa647,961,448.21062247665367,218.1881017810364,1862.6225444425454,1701.270193454401,0.9985767346191821
222,250915_mACmChPOLR2A_PTEFB,N09,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,Vehicle,1440,pSer2,Goat anti-rat Alexa647,895,455.20025685964424,216.18185207782977,1986.8464513185568,1825.4941003304123,1.0714911392605808
225,250915_mACmChPOLR2A_PTEFB,N12,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,5PhIAA,240,pSer2,Goat anti-rat Alexa647,629,261.91333770557185,226.99579085110645,1951.2017425852368,1789.8493915970923,1.0505691381638016
228,250915_mACmChPOLR2A_PTEFB,N15,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,5PhIAA,240,pSer2,Goat anti-rat Alexa647,823,265.0199502552882,230.13744954113926,1985.5299045145093,1824.1775535263648,1.0707183795815967
231,250915_mACmChPOLR2A_PTEFB,N18,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,5PhIAA,1440,pSer2,Goat anti-rat Alexa647,957,252.06559242456956,237.76914616221748,1885.1277059957183,1723.7753550075738,1.0117863534218328
234,250915_mACmChPOLR2A_PTEFB,N21,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,5PhIAA,1440,pSer2,Goat anti-rat Alexa647,965,252.22531104966063,230.07744951973743,1855.6068173890149,1694.2544664008703,0.9944587868416636
1,251007_mACmChPOLR2A_PTEFB,C15,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,5PhIAA,240,CDK7,Goat anti-mouse Alexa647,771,319.3220390376101,338.70147896249597,1508.3984086718312,1304.017449686665,1.1855464716079895
4,251007_mACmChPOLR2A_PTEFB,C18,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,Vehicle,1440,CDK7,Goat anti-mouse Alexa647,940,577.7548271065066,310.66373437502403,1423.8378428299893,1219.456883844823,1.108668297550534
7,251007_mACmChPOLR2A_PTEFB,C21,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,Vehicle,1440,CDK7,Goat anti-mouse Alexa647,1268,556.0347436336177,307.7396584089128,1385.927887268133,1181.5469282829667,1.0742024903130818
