,WELL,IF_647_Intensity,IF_561_Intensity,GFP_488_Intensity,DAPI_Intensity,NucleusArea,CELL,DRUG,DRUG_CONCENTRATION,TIME_MINUTES,PRIMARY,SECONDARY,TotalNumberCells,EXPERIMENT,ROW,COLUMN
45,E08,1472.372364925941,965.4158415578435,516.3629459034737,401.40260264716994,2341.9973684210527,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10,60,pSer2 Pol II (3E10),Goat anti-rat Alexa568,2280,260522_mACPOLR2A_Kinetic_pSer2,E,08
46,E09,1270.3627364109898,911.8273746910107,474.57646208753147,393.0184926892071,2507.178881388621,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10,120,pSer2 Pol II (3E10),Goat anti-rat Alexa568,2074,260522_mACPOLR2A_Kinetic_pSer2,E,09
47,E10,1329.6237803529777,913.4377154882492,458.9216105032894,388.6839939382572,2539.7076923076925,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10,240,pSer2 Pol II (3E10),Goat anti-rat Alexa568,2080,260522_mACPOLR2A_Kinetic_pSer2,E,10
48,E11,1449.951283235527,920.8745052940079,479.48261209905615,388.06212282499354,2389.6185220729367,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10,480,pSer2 Pol II (3E10),Goat anti-rat Alexa568,2084,260522_mACPOLR2A_Kinetic_pSer2,E,11
49,E12,2229.0517234276776,1022.1600133460131,241.80665607400533,401.3173944190525,1682.524803469775,HCT116 OsTIRF74G,Vehicle,0,480,pSer2 Pol II (3E10),Goat anti-rat Alexa568,3689,260522_mACPOLR2A_Kinetic_pSer2,E,12
50,E13,2670.397429174102,766.6686081587197,241.7240163923437,408.9837244199903,1713.75146009085,HCT116 OsTIRF74G,Vehicle,0,480,Total Pol II (F12),Goat anti-mouse Alexa568,3082,260522_mACPOLR2A_Kinetic_pSer2,E,13
51,E14,1614.7496505802528,579.2465529987985,497.1355446088388,389.959091839685,2473.941505595117,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10,60,Total Pol II (F12),Goat anti-mouse Alexa568,1966,260522_mACPOLR2A_Kinetic_pSer2,E,14
52,E15,1607.7309535791128,578.503504552659,491.61232321184895,396.0766693629732,2467.4105263157894,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10,120,Total Pol II (F12),Goat anti-mouse Alexa568,1710,260522_mACPOLR2A_Kinetic_pSer2,E,15
53,E16,1567.6899014392059,571.2077568969019,468.5086343567362,395.0767698528651,2393.0330542089027,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10,240,Total Pol II (F12),Goat anti-mouse Alexa568,2269,260522_mACPOLR2A_Kinetic_pSer2,E,16
54,E17,1704.178063847691,600.9038054311591,492.81124871745493,389.2176509411437,2445.6568047337278,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10,480,Total Pol II (F12),Goat anti-mouse Alexa568,2197,260522_mACPOLR2A_Kinetic_pSer2,E,17
55,E18,1624.3763198580673,574.436413007647,500.8340027562024,400.03903994308735,2353.8771583621115,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10,60,Total Pol II (F12),Goat anti-mouse Alexa568,2027,260522_mACPOLR2A_Kinetic_pSer2,E,18
56,E19,1501.9614481315223,562.678462372959,482.49452329594016,403.51118289211314,2415.775641025641,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10,120,Total Pol II (F12),Goat anti-mouse Alexa568,1560,260522_mACPOLR2A_Kinetic_pSer2,E,19
57,E20,1633.877452097381,581.832385882774,491.11286238616253,400.3000894802902,2363.1423541247486,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10,240,Total Pol II (F12),Goat anti-mouse Alexa568,1988,260522_mACPOLR2A_Kinetic_pSer2,E,20
58,E21,1820.0174147403081,640.2530017678009,498.74575529071075,414.1708532741355,2134.490932642487,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10,480,Total Pol II (F12),Goat anti-mouse Alexa568,1544,260522_mACPOLR2A_Kinetic_pSer2,E,21
59,E22,2619.1647251947534,728.3046586632821,241.92608201473513,398.9700970596003,1809.4971026490066,HCT116 OsTIRF74G,Vehicle,0,480,Total Pol II (F12),Goat anti-mouse Alexa568,2416,260522_mACPOLR2A_Kinetic_pSer2,E,22
60,F03,2264.7760528548556,1084.2047099789438,244.4422311826997,403.10806737448536,1723.8476714100905,HCT116 OsTIRF74G,Vehicle,0,480,pSer2 Pol II (3E10),Goat anti-rat Alexa568,3092,260522_mACPOLR2A_Kinetic_pSer2,F,03
61,F04,1069.2283382656688,893.1314761656156,444.0672100067417,393.313004936322,2450.8999528079285,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,100,60,pSer2 Pol II (3E10),Goat anti-rat Alexa568,2119,260522_mACPOLR2A_Kinetic_pSer2,F,04
