,WELL,IF_561_Intensity,GFP_488_Intensity,DAPI_Intensity,NucleusArea,CELL,DRUG,DRUG_CONCENTRATION,TIME_MINUTES,PRIMARY,SECONDARY,TotalNumberCells,EXPERIMENT,ROW,COLUMN
11,D05,1711.5500413485618,954.0250072058177,313.3313370092708,1924.3519629225736,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,120,Total Pol II (F12),Goat anti-mouse Alexa647,3668,250905_mACPOLR2A_Kinetic_pSer2,D,05
12,D06,1819.6547659863543,947.0677623609596,316.36510871037353,1918.4043377226956,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,240,Total Pol II (F12),Goat anti-mouse Alexa647,3873,250905_mACPOLR2A_Kinetic_pSer2,D,06
13,D07,1365.4373861278698,654.6884288542891,313.60627102485466,1947.665731125456,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,10,480,Total Pol II (F12),Goat anti-mouse Alexa647,3563,250905_mACPOLR2A_Kinetic_pSer2,D,07
14,D08,1738.7069068077337,878.2847181769259,315.48391014528715,1931.66395821242,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,60,Total Pol II (F12),Goat anti-mouse Alexa647,3446,250905_mACPOLR2A_Kinetic_pSer2,D,08
15,D09,1706.8166458320363,912.1070714791866,307.6671284693622,1926.3664143537987,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,120,Total Pol II (F12),Goat anti-mouse Alexa647,3567,250905_mACPOLR2A_Kinetic_pSer2,D,09
16,D10,1784.7868723318281,885.0246513711513,317.333457927131,1969.4789966757328,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,240,Total Pol II (F12),Goat anti-mouse Alexa647,3309,250905_mACPOLR2A_Kinetic_pSer2,D,10
17,D11,1367.6753257209475,640.7361176110888,313.5791765104266,1834.847046773643,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,10,480,Total Pol II (F12),Goat anti-mouse Alexa647,2929,250905_mACPOLR2A_Kinetic_pSer2,D,11
18,D12,2295.7352831338662,263.8334551355617,421.10088442621304,1525.521597392013,HCT116 OsTIRF74G,Vehicle,0,480,Total Pol II (F12),Goat anti-mouse Alexa647,1227,250905_mACPOLR2A_Kinetic_pSer2,D,12
19,D13,2067.819038574722,255.37422020059287,374.2811420834219,1621.884771573604,HCT116 OsTIRF74G,Vehicle,0,480,pSer2 Pol II (3E10),Goat anti-rat Alexa647,1970,250905_mACPOLR2A_Kinetic_pSer2,D,13
20,D14,1450.88613111987,877.9089511055573,291.44960889724666,1952.9344262295083,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,60,pSer2 Pol II (3E10),Goat anti-rat Alexa647,3416,250905_mACPOLR2A_Kinetic_pSer2,D,14
21,D15,1620.6017277813821,880.8716726832007,320.22184422384885,1923.5027027027027,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,120,pSer2 Pol II (3E10),Goat anti-rat Alexa647,3700,250905_mACPOLR2A_Kinetic_pSer2,D,15
22,D16,1647.0771540084068,853.2474395686636,334.4977303171649,1908.443113772455,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,240,pSer2 Pol II (3E10),Goat anti-rat Alexa647,3340,250905_mACPOLR2A_Kinetic_pSer2,D,16
23,D17,1544.1015995256466,869.5557048414837,315.36344944561586,1944.182956627978,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,480,pSer2 Pol II (3E10),Goat anti-rat Alexa647,3274,250905_mACPOLR2A_Kinetic_pSer2,D,17
24,D18,1708.1631439865018,868.7795985530018,347.01973675424335,1893.4752840036845,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,60,pSer2 Pol II (3E10),Goat anti-rat Alexa647,3257,250905_mACPOLR2A_Kinetic_pSer2,D,18
25,D19,1633.020485669859,877.4649174256006,303.17638297847475,1945.2791270679338,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,120,pSer2 Pol II (3E10),Goat anti-rat Alexa647,2841,250905_mACPOLR2A_Kinetic_pSer2,D,19
26,D20,1759.4231165656654,868.9932531377451,351.24669058419244,1955.9199512393336,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,240,pSer2 Pol II (3E10),Goat anti-rat Alexa647,2461,250905_mACPOLR2A_Kinetic_pSer2,D,20
27,D21,1645.742313870537,870.298879382914,338.29316547212085,1993.4733475479745,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,480,pSer2 Pol II (3E10),Goat anti-rat Alexa647,2814,250905_mACPOLR2A_Kinetic_pSer2,D,21
28,D22,2404.992971904621,252.4986553370627,410.83393579600965,1582.715179968701,HCT116 OsTIRF74G,Vehicle,0,480,pSer2 Pol II (3E10),Goat anti-rat Alexa647,1278,250905_mACPOLR2A_Kinetic_pSer2,D,22
29,E03,1910.0314494869099,268.71455760678157,367.1328794653151,1573.1090094574415,HCT116 OsTIRF74G,Vehicle,0,480,Total Pol II (F12),Goat anti-mouse Alexa647,2009,250905_mACPOLR2A_Kinetic_pSer2,E,03
30,E04,1340.0159962245766,797.1879915063496,287.9298021345777,1915.8285870755751,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10,60,Total Pol II (F12),Goat anti-mouse Alexa647,3652,250905_mACPOLR2A_Kinetic_pSer2,E,04
31,E05,1374.6951114220767,732.7593720049415,317.14831754961205,1835.3828182039426,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10,120,Total Pol II (F12),Goat anti-mouse Alexa647,4109,250905_mACPOLR2A_Kinetic_pSer2,E,05
32,E06,1379.345871908386,677.6590660141177,337.5768078650541,2036.4329019073568,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10,240,Total Pol II (F12),Goat anti-mouse Alexa647,2936,250905_mACPOLR2A_Kinetic_pSer2,E,06
33,E07,1741.5357181722406,933.6464795933653,316.9651504521654,1869.9359203472045,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,0,480,Total Pol II (F12),Goat anti-mouse Alexa647,3917,250905_mACPOLR2A_Kinetic_pSer2,E,07
34,E08,1414.391575306382,778.8715721204479,311.86673627273154,1860.7681198181333,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10,60,Total Pol II (F12),Goat anti-mouse Alexa647,3739,250905_mACPOLR2A_Kinetic_pSer2,E,08
35,E09,1282.3713748342398,706.067340797212,306.64178416860995,1880.5657561962569,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10,120,Total Pol II (F12),Goat anti-mouse Alexa647,3954,250905_mACPOLR2A_Kinetic_pSer2,E,09
36,E10,1300.2059024048674,653.754430509106,313.7485965740762,1891.9290838852098,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10,240,Total Pol II (F12),Goat anti-mouse Alexa647,3624,250905_mACPOLR2A_Kinetic_pSer2,E,10
37,E11,1669.0351171746477,909.7480505135586,314.6941715122989,1909.1819727891157,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,0,480,Total Pol II (F12),Goat anti-mouse Alexa647,2940,250905_mACPOLR2A_Kinetic_pSer2,E,11
38,E12,1912.639700177735,254.49412961290054,377.9424239276591,1544.792611795204,HCT116 OsTIRF74G,Vehicle,0,480,Total Pol II (F12),Goat anti-mouse Alexa647,1543,250905_mACPOLR2A_Kinetic_pSer2,E,12
39,E13,2117.274499881182,255.52171089537617,382.03116194944073,1488.378787878788,HCT116 OsTIRF74G,Vehicle,0,480,pSer2 Pol II (3E10),Goat anti-rat Alexa647,1716,250905_mACPOLR2A_Kinetic_pSer2,E,13
40,E14,1402.9010988359978,748.4186068782467,280.13460029725366,1912.431948051948,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10,60,pSer2 Pol II (3E10),Goat anti-rat Alexa647,3850,250905_mACPOLR2A_Kinetic_pSer2,E,14
41,E15,1493.274386817592,666.8739381725246,298.19960642738323,1894.015606242497,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10,120,pSer2 Pol II (3E10),Goat anti-rat Alexa647,4165,250905_mACPOLR2A_Kinetic_pSer2,E,15
42,E16,1491.2889896357453,628.6055578075274,299.7947388794605,1885.004227804029,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10,240,pSer2 Pol II (3E10),Goat anti-rat Alexa647,4021,250905_mACPOLR2A_Kinetic_pSer2,E,16
43,E17,1431.4512211191854,622.5573128755115,303.48089575168734,2003.6441048034935,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10,480,pSer2 Pol II (3E10),Goat anti-rat Alexa647,3664,250905_mACPOLR2A_Kinetic_pSer2,E,17
44,E18,1647.8477756568982,736.6377248222251,326.76309576909125,1815.18937287612,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10,60,pSer2 Pol II (3E10),Goat anti-rat Alexa647,3237,250905_mACPOLR2A_Kinetic_pSer2,E,18
45,E19,1482.258923561388,706.0213990080869,301.82309580267463,1905.0553167096589,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10,120,pSer2 Pol II (3E10),Goat anti-rat Alexa647,3489,250905_mACPOLR2A_Kinetic_pSer2,E,19
46,E20,1581.8074761195862,638.9877248296744,321.2652636453007,1926.8968328629664,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10,240,pSer2 Pol II (3E10),Goat anti-rat Alexa647,3189,250905_mACPOLR2A_Kinetic_pSer2,E,20
47,E21,1472.1559597030925,608.786468521674,318.5974529414873,2049.225262488069,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10,480,pSer2 Pol II (3E10),Goat anti-rat Alexa647,3143,250905_mACPOLR2A_Kinetic_pSer2,E,21
48,E22,2290.0658338113267,251.0438204571797,366.2534317149947,1524.6006006006005,HCT116 OsTIRF74G,Vehicle,0,480,pSer2 Pol II (3E10),Goat anti-rat Alexa647,1332,250905_mACPOLR2A_Kinetic_pSer2,E,22
49,F03,1786.1962154510331,270.63788806145493,362.93804010854217,1526.002621231979,HCT116 OsTIRF74G,Vehicle,0,480,Total Pol II (F12),Goat anti-mouse Alexa647,1526,250905_mACPOLR2A_Kinetic_pSer2,F,03
50,F04,1012.3654011222718,651.6589263837187,283.32872927454537,1928.7079697498546,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,100,60,Total Pol II (F12),Goat anti-mouse Alexa647,3438,250905_mACPOLR2A_Kinetic_pSer2,F,04
51,F05,936.8434316955991,538.3549960475532,322.2655782288383,1912.0101314348303,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,100,120,Total Pol II (F12),Goat anti-mouse Alexa647,3652,250905_mACPOLR2A_Kinetic_pSer2,F,05
52,F06,879.1923044505437,471.08210740656455,309.057387081976,1845.030547004499,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,100,240,Total Pol II (F12),Goat anti-mouse Alexa647,4223,250905_mACPOLR2A_Kinetic_pSer2,F,06
53,F07,940.7330757058058,479.6163765730891,304.8877934927633,1878.2063119457487,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,100,480,Total Pol II (F12),Goat anti-mouse Alexa647,3834,250905_mACPOLR2A_Kinetic_pSer2,F,07
54,F08,1097.4686948474332,645.8664599664138,299.38526933064793,1842.350395532806,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,100,60,Total Pol II (F12),Goat anti-mouse Alexa647,4298,250905_mACPOLR2A_Kinetic_pSer2,F,08
55,F09,924.3764969012393,534.9131738137758,295.28407696078114,1829.9917159763313,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,100,120,Total Pol II (F12),Goat anti-mouse Alexa647,4225,250905_mACPOLR2A_Kinetic_pSer2,F,09
56,F10,825.7859065109466,456.88441693736706,288.29934118658883,1887.0882213812677,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,100,240,Total Pol II (F12),Goat anti-mouse Alexa647,4228,250905_mACPOLR2A_Kinetic_pSer2,F,10
57,F11,954.2929096118578,468.478400127511,299.47189740332317,1866.800131061599,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,100,480,Total Pol II (F12),Goat anti-mouse Alexa647,3052,250905_mACPOLR2A_Kinetic_pSer2,F,11
58,F12,1813.031488142542,253.94718515098558,366.29621998721007,1569.9623983739837,HCT116 OsTIRF74G,Vehicle,0,480,Total Pol II (F12),Goat anti-mouse Alexa647,1968,250905_mACPOLR2A_Kinetic_pSer2,F,12
59,F13,2022.4287559184895,252.61815881347482,352.78670957119556,1541.4902056807052,HCT116 OsTIRF74G,Vehicle,0,480,pSer2 Pol II (3E10),Goat anti-rat Alexa647,2042,250905_mACPOLR2A_Kinetic_pSer2,F,13
60,F14,1317.760267872654,618.1453677578244,275.98799940113895,1804.1156220322887,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,100,60,pSer2 Pol II (3E10),Goat anti-rat Alexa647,4212,250905_mACPOLR2A_Kinetic_pSer2,F,14
61,F15,1379.2858126225822,507.70573307326663,304.5746084281146,1914.2881493506493,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,100,120,pSer2 Pol II (3E10),Goat anti-rat Alexa647,3696,250905_mACPOLR2A_Kinetic_pSer2,F,15
62,F16,1294.4961636868657,440.38792774170395,300.92811765744324,1824.113786112519,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,100,240,pSer2 Pol II (3E10),Goat anti-rat Alexa647,3946,250905_mACPOLR2A_Kinetic_pSer2,F,16
63,F17,1328.6510295893254,450.5864833036194,317.5174060824354,1855.1326842837275,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,100,480,pSer2 Pol II (3E10),Goat anti-rat Alexa647,3595,250905_mACPOLR2A_Kinetic_pSer2,F,17
64,F18,1512.127198457986,603.1882045631479,310.2960207613173,1853.0035733919735,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,100,60,pSer2 Pol II (3E10),Goat anti-rat Alexa647,3638,250905_mACPOLR2A_Kinetic_pSer2,F,18
65,F19,1418.2873185653475,500.33716897474784,322.65622621949234,1886.83927940657,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,100,120,pSer2 Pol II (3E10),Goat anti-rat Alexa647,2831,250905_mACPOLR2A_Kinetic_pSer2,F,19
66,F20,1383.288665163366,435.47082061360373,309.29261884261007,1964.867864693446,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,100,240,pSer2 Pol II (3E10),Goat anti-rat Alexa647,2838,250905_mACPOLR2A_Kinetic_pSer2,F,20
67,F21,1260.8212494727056,438.07957425525314,299.50933947710456,1923.260305563563,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,100,480,pSer2 Pol II (3E10),Goat anti-rat Alexa647,3469,250905_mACPOLR2A_Kinetic_pSer2,F,21
68,F22,2358.864338398841,251.4460027606533,365.10266901070764,1518.9356395816574,HCT116 OsTIRF74G,Vehicle,0,480,pSer2 Pol II (3E10),Goat anti-rat Alexa647,1243,250905_mACPOLR2A_Kinetic_pSer2,F,22
69,G03,1856.3118663925043,268.0106487000382,365.64760361773585,1612.179398148148,HCT116 OsTIRF74G,Vehicle,0,480,Total Pol II (F12),Goat anti-mouse Alexa647,1728,250905_mACPOLR2A_Kinetic_pSer2,G,03
70,G04,993.8167001415899,610.2629461200148,313.0108683464078,1864.8710648781823,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1000,60,Total Pol II (F12),Goat anti-mouse Alexa647,3653,250905_mACPOLR2A_Kinetic_pSer2,G,04
71,G05,780.3951238082163,488.59164722429955,296.8909049173863,1827.7244740892766,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1000,120,Total Pol II (F12),Goat anti-mouse Alexa647,3898,250905_mACPOLR2A_Kinetic_pSer2,G,05
72,G06,712.4070382613986,411.9561461924932,310.61433516676516,1899.3618506073922,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1000,240,Total Pol II (F12),Goat anti-mouse Alexa647,3869,250905_mACPOLR2A_Kinetic_pSer2,G,06
73,G07,791.710477870995,411.92380882961015,298.02000021333834,1877.8056470588235,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1000,480,Total Pol II (F12),Goat anti-mouse Alexa647,4250,250905_mACPOLR2A_Kinetic_pSer2,G,07
74,G08,970.8500318749223,605.9344069569778,305.1392131397619,1898.4634020618557,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1000,60,Total Pol II (F12),Goat anti-mouse Alexa647,3880,250905_mACPOLR2A_Kinetic_pSer2,G,08
75,G09,755.9333498686307,475.2981227834076,294.7988773076378,1874.4913414318946,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1000,120,Total Pol II (F12),Goat anti-mouse Alexa647,3869,250905_mACPOLR2A_Kinetic_pSer2,G,09
76,G10,693.0790515053058,405.9979188548449,295.20546751489815,1834.7500642838777,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1000,240,Total Pol II (F12),Goat anti-mouse Alexa647,3889,250905_mACPOLR2A_Kinetic_pSer2,G,10
77,G11,773.0876383440998,399.42227420209593,298.0647661429687,1822.9774748073503,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1000,480,Total Pol II (F12),Goat anti-mouse Alexa647,3374,250905_mACPOLR2A_Kinetic_pSer2,G,11
78,G12,1657.9812749438147,252.68991522010433,347.96998517265865,1605.6201482773658,HCT116 OsTIRF74G,Vehicle,0,480,Total Pol II (F12),Goat anti-mouse Alexa647,2293,250905_mACPOLR2A_Kinetic_pSer2,G,12
79,G13,1952.40100195008,252.69886553482237,336.4963773961,1557.8779097387173,HCT116 OsTIRF74G,Vehicle,0,480,pSer2 Pol II (3E10),Goat anti-rat Alexa647,2105,250905_mACPOLR2A_Kinetic_pSer2,G,13
80,G14,1364.7799740693197,592.4806281634095,273.1976015272777,1823.1991396761134,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1000,60,pSer2 Pol II (3E10),Goat anti-rat Alexa647,3952,250905_mACPOLR2A_Kinetic_pSer2,G,14
81,G15,1302.5566480928583,461.150565436036,296.7053082286382,1902.75,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1000,120,pSer2 Pol II (3E10),Goat anti-rat Alexa647,3580,250905_mACPOLR2A_Kinetic_pSer2,G,15
82,G16,1141.7147753704528,384.7029073114199,286.6122986678788,1909.8669432918396,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1000,240,pSer2 Pol II (3E10),Goat anti-rat Alexa647,3615,250905_mACPOLR2A_Kinetic_pSer2,G,16
83,G17,1199.7767180472977,392.55521812045765,294.50710619085095,1918.5657614483493,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1000,480,pSer2 Pol II (3E10),Goat anti-rat Alexa647,3756,250905_mACPOLR2A_Kinetic_pSer2,G,17
84,G18,1438.4446226730477,574.9599571257813,302.9953176708237,1858.554919908467,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1000,60,pSer2 Pol II (3E10),Goat anti-rat Alexa647,3496,250905_mACPOLR2A_Kinetic_pSer2,G,18
85,G19,1268.7056270589121,461.70239949505856,290.17506350154656,1825.403069466882,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1000,120,pSer2 Pol II (3E10),Goat anti-rat Alexa647,3714,250905_mACPOLR2A_Kinetic_pSer2,G,19
86,G20,1188.664831301844,383.2608977188653,295.8601838196157,1837.4556464811783,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1000,240,pSer2 Pol II (3E10),Goat anti-rat Alexa647,3055,250905_mACPOLR2A_Kinetic_pSer2,G,20
87,G21,1155.4843899529294,389.68057485261664,282.26689984842625,2030.6926229508197,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1000,480,pSer2 Pol II (3E10),Goat anti-rat Alexa647,3416,250905_mACPOLR2A_Kinetic_pSer2,G,21
88,G22,2103.1560153087275,250.13934604468076,333.1652199292846,1562.0461997019374,HCT116 OsTIRF74G,Vehicle,0,480,pSer2 Pol II (3E10),Goat anti-rat Alexa647,1342,250905_mACPOLR2A_Kinetic_pSer2,G,22
89,H03,1560.9833963288459,267.9180499224067,331.6231449269366,1591.1636582430806,HCT116 OsTIRF74G,5PhIAA,10000,480,Total Pol II (F12),Goat anti-mouse Alexa647,1662,250905_mACPOLR2A_Kinetic_pSer2,H,03
90,H04,878.2662180871795,602.8680854877049,281.9068278364633,1891.5763222800767,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10000,60,Total Pol II (F12),Goat anti-mouse Alexa647,3649,250905_mACPOLR2A_Kinetic_pSer2,H,04
91,H05,744.4196902326098,492.2334866892447,296.6831476382566,1844.5213756866492,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10000,120,Total Pol II (F12),Goat anti-mouse Alexa647,4187,250905_mACPOLR2A_Kinetic_pSer2,H,05
92,H06,682.3649280229331,411.8751038944129,312.83689639297285,1893.8672517827756,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10000,240,Total Pol II (F12),Goat anti-mouse Alexa647,3646,250905_mACPOLR2A_Kinetic_pSer2,H,06
93,H07,738.4331147036386,409.4251857888074,290.80137718926903,1873.8657004830918,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10000,480,Total Pol II (F12),Goat anti-mouse Alexa647,4140,250905_mACPOLR2A_Kinetic_pSer2,H,07
94,H08,936.1138546531141,614.042503041373,295.8124596638889,1859.006508600651,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10000,60,Total Pol II (F12),Goat anti-mouse Alexa647,4302,250905_mACPOLR2A_Kinetic_pSer2,H,08
95,H09,747.0188165776683,477.33919656917556,304.1408396573185,1866.8135376756065,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10000,120,Total Pol II (F12),Goat anti-mouse Alexa647,3915,250905_mACPOLR2A_Kinetic_pSer2,H,09
96,H10,673.6744458750112,406.1321809150907,294.6820161736711,1815.7797921198937,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10000,240,Total Pol II (F12),Goat anti-mouse Alexa647,4137,250905_mACPOLR2A_Kinetic_pSer2,H,10
97,H11,722.730324396474,396.62463180523645,295.8126500769091,1823.0507731958762,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10000,480,Total Pol II (F12),Goat anti-mouse Alexa647,3880,250905_mACPOLR2A_Kinetic_pSer2,H,11
98,H12,1569.5022299973486,254.03667792947715,337.2896062970034,1581.6802557953638,HCT116 OsTIRF74G,5PhIAA,10000,480,Total Pol II (F12),Goat anti-mouse Alexa647,2502,250905_mACPOLR2A_Kinetic_pSer2,H,12
99,H13,2043.2320303706956,253.29867289815056,348.2247614044534,1571.3146666666667,HCT116 OsTIRF74G,5PhIAA,10000,480,pSer2 Pol II (3E10),Goat anti-rat Alexa647,2250,250905_mACPOLR2A_Kinetic_pSer2,H,13
100,H14,1385.2088251661037,581.9909567648908,291.88587212672826,1781.7475930262815,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10000,60,pSer2 Pol II (3E10),Goat anti-rat Alexa647,3843,250905_mACPOLR2A_Kinetic_pSer2,H,14
101,H15,1290.1936515212515,454.21947216586653,302.2470154174356,1855.2015247776367,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10000,120,pSer2 Pol II (3E10),Goat anti-rat Alexa647,3935,250905_mACPOLR2A_Kinetic_pSer2,H,15
102,H16,1154.6459042510644,384.6127988246872,301.95935959464805,1852.2371625198518,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10000,240,pSer2 Pol II (3E10),Goat anti-rat Alexa647,3778,250905_mACPOLR2A_Kinetic_pSer2,H,16
103,H17,1188.7682172980346,385.6433031702281,296.14142264614077,1873.3679012345679,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10000,480,pSer2 Pol II (3E10),Goat anti-rat Alexa647,3645,250905_mACPOLR2A_Kinetic_pSer2,H,17
104,H18,1390.1127447971376,570.1428112383786,301.42561483137376,1749.9091153535896,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10000,60,pSer2 Pol II (3E10),Goat anti-rat Alexa647,3719,250905_mACPOLR2A_Kinetic_pSer2,H,18
105,H19,1317.224091290189,454.0205610359301,310.5776960549438,1800.1939174947306,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10000,120,pSer2 Pol II (3E10),Goat anti-rat Alexa647,3321,250905_mACPOLR2A_Kinetic_pSer2,H,19
