,WELL,CELL_IF_647_Intensity,CELL_IF_561_Intensity,CellArea,NUCLEUS_IF_647_Intensity,NUCLEUS_IF_561_Intensity,Nucleus_DAPI_Intensity,NucleusArea,CYTOPLASM_IF_647_Intensity,CYTOPLASM_IF_561_Intensity,CytoplasmArea,CELL,CELL_STAIN,DRUG,DRUG_TIME_MINUTES,PRIMARY_1,SECONDARY_1,PRIMARY_2,SECONDARY_2,TotalNumberCells
27,F10,352.19089956290765,144.85877125789054,14601.48067868031,480.13207252636863,157.36024475710175,557.5524076891529,5754.898517182487,254.0171290513621,134.10365682342047,7747.684602001565,HCT116,Concanavalin A 488,Mg132 plus CB6644,Total Pol II (F12),Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,62651
28,F11,392.18403764816713,155.15795826341827,11481.399013795462,571.5326124436369,159.29559527337932,541.9331784909236,5276.101128719644,214.64153785768337,146.90356900087218,5505.0352439858625,HCT116,Concanavalin A 488,Media only,Total Pol II (F12),Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,70168
29,F12,383.41316795115125,147.94377674414523,11914.842466533102,570.0098095843105,157.71318470610612,572.7535041117426,5372.667949184955,206.47492729514133,137.15041885772425,5885.271400601038,HCT116,Concanavalin A 488,No addition,Total Pol II (F12),Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,87848
30,F13,349.0446521307945,863.751261399291,13836.301337750032,484.1345467728874,1263.3217425713044,533.8072155870676,6283.97851106298,220.1256967212062,476.43055698291505,6746.739516711258,HCT116 mChPOLR2A clone 2,Concanavalin A 488,No addition,Total Pol II (F12),Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,117735
31,F14,377.22264380952225,923.2576473401185,13807.620324581028,522.5217162657618,1341.216359802585,539.2595220763687,6333.257486557557,234.85940921808077,502.31040448304725,6896.859757054829,HCT116 mChPOLR2A clone 2,Concanavalin A 488,Media only,Total Pol II (F12),Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,101916
32,F15,395.8089042329528,1200.7025178082574,14084.670247439139,539.2001340345836,1622.9893888518905,596.3834550508294,5898.39137953971,285.93723791865136,867.0583764073825,7629.561117023635,HCT116 mChPOLR2A clone 2,Concanavalin A 488,Mg132 plus leptomycin B,Total Pol II (F12),Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,90204
33,F16,357.3309647264903,853.6405088497171,14850.938532054395,524.0349698485545,1331.9139265503345,567.2053605565806,6225.50438623118,221.26825221795409,454.76201699997483,7614.589136109762,HCT116 mChPOLR2A clone 2,Concanavalin A 488,Vehicle,Total Pol II (F12),Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,65888
34,F17,350.5933145564854,865.3798186577326,16924.501018192608,555.2768854131239,1477.447714463006,541.897614735893,6608.878356326954,211.4928137859339,446.76081656536235,9477.018637644805,HCT116 mChPOLR2A clone 2,Concanavalin A 488,Mg132,Total Pol II (F12),Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,74151
35,F18,284.9213702902113,698.9217545012685,15441.322853818565,349.0849152221533,852.20764768661,524.0781482957306,6351.611978073384,235.3301616008369,575.6176793750966,8389.383271959601,HCT116 mChPOLR2A clone 2,Concanavalin A 488,CB6644,Total Pol II (F12),Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,83369
36,F19,300.5166097623954,791.3715837799602,12783.618546630327,342.77551427018165,886.4266035608076,533.5047250966763,6372.826890953316,254.95844794134993,682.5382803686218,5761.67916068341,HCT116 mChPOLR2A clone 2,Concanavalin A 488,Leptomycin B,Total Pol II (F12),Total Pol II (F12),Goat anti-mouse Alexa647,mCherry,Goat anti-rabbit Alexa568,102369
