,EXPERIMENT,WELL,CELL,DRUG,DRUG TIME MINUTES,PRIMARY,SECONDARY,TotalNumberCells,IF_647_Intensity_BGS,IF_647_Intensity_FC
83,250324_mACmChPOLR2A_90min_IF,H11,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,CDK9,Goat anti-rabbit Alexa647,982,61.910903772320864,1.1278781581339843
84,250324_mACmChPOLR2A_90min_IF,H12,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,CDK9,Goat anti-rabbit Alexa647,946,58.76842321244612,1.0706291927679192
85,250324_mACmChPOLR2A_90min_IF,H13,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,CDK9,Goat anti-rabbit Alexa647,859,57.272381964625,1.0433746682129192
86,250324_mACmChPOLR2A_90min_IF,H14,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,CDK9,Goat anti-rabbit Alexa647,1339,54.36178838015414,0.9903501647554644
87,250324_mACmChPOLR2A_90min_IF,H15,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,CDK9,Goat anti-rabbit Alexa647,1270,60.917653447776814,1.109783359344864
91,250324_mACmChPOLR2A_90min_IF,I04,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,Cyclin T1,Goat anti-rabbit Alexa647,722,293.2688013168257,1.0370231834975046
92,250324_mACmChPOLR2A_90min_IF,I05,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,Cyclin T1,Goat anti-rabbit Alexa647,889,273.6555836879628,0.9676691939398506
93,250324_mACmChPOLR2A_90min_IF,I06,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,Cyclin T1,Goat anti-rabbit Alexa647,766,299.72714872823076,1.059860443931057
94,250324_mACmChPOLR2A_90min_IF,I07,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,Cyclin T1,Goat anti-rabbit Alexa647,1200,265.71137042130783,0.9395777866876023
95,250324_mACmChPOLR2A_90min_IF,I08,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,Cyclin T1,Goat anti-rabbit Alexa647,1242,255.59011616253113,0.903788179114974
