,WELL,IF_647_Intensity,RFP_561_Intensity,GFP_488_Intensity,DAPI_Intensity,NucleusArea,CELL,DRUG,DRUG TIME MINUTES,PRIMARY,SECONDARY,TotalNumberCells,EXPERIMENT,IF_647_Intensity_BGS,IF_647_Intensity_FC
110,J08,199.60986624572055,129.84368844071284,180.79015969025247,260.0390139666785,1760.4949333333334,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,CDK9,Goat anti-rabbit Alexa647,1875,250523_mACmChPOLR2A_90min_IF,74.01976217214214,1.0717898480585086
111,J09,192.01692956228766,128.68316435340753,211.29186421791394,254.0123365173509,1749.393203883495,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,CDK9,Goat anti-rabbit Alexa647,2266,250523_mACmChPOLR2A_90min_IF,66.42682548870924,0.9618457977746342
112,J10,197.9747331723477,130.2699327784697,181.11168232647154,264.556839302214,1684.704071969697,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,CDK9,Goat anti-rabbit Alexa647,2112,250523_mACmChPOLR2A_90min_IF,72.38462909876928,1.0481134814121251
113,J11,194.2948577597202,129.5389929062492,213.00886883307479,260.91975722929374,1751.0314029363785,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,CDK9,Goat anti-rabbit Alexa647,2452,250523_mACmChPOLR2A_90min_IF,68.70475368614179,0.9948296961953896
114,J12,199.23729454884574,129.79974616310707,180.60025356258024,258.1832808731619,1740.9564482029598,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,CDK9,Goat anti-rabbit Alexa647,2365,250523_mACmChPOLR2A_90min_IF,73.64719047526732,1.0663950919735634
115,J13,194.93954191644116,129.59105376974244,213.35990564918615,258.64900313224325,1741.8875,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,CDK9,Goat anti-rabbit Alexa647,2160,250523_mACmChPOLR2A_90min_IF,69.34943784286274,1.0041645807465012
116,J14,195.16490491847847,129.17282587140392,179.62216111804642,253.14486532020786,1737.404970760234,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,CDK9,Goat anti-rabbit Alexa647,2052,250523_mACmChPOLR2A_90min_IF,69.57480084490005,1.0074277873635373
117,J15,191.64749275154384,128.54963355988073,210.3904463241986,250.34976623339597,1766.3986697965572,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,CDK9,Goat anti-rabbit Alexa647,2556,250523_mACmChPOLR2A_90min_IF,66.05738867796542,0.9564964341501808
16,D04,673.6198496586322,129.79579759640788,179.1342256348783,269.1441843213254,1791.0473469387755,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,GTF2B,Goat anti-rabbit Alexa647,2450,250523_mACmChPOLR2A_90min_IF,548.0297455850538,1.0321046961442057
17,D05,653.0938982948256,128.57230594748066,208.5437560424798,261.1503402968081,1784.1444444444444,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,GTF2B,Goat anti-rabbit Alexa647,2610,250523_mACmChPOLR2A_90min_IF,527.5037942212472,0.9934481615927897
18,D06,659.2214028713638,129.72714076616666,178.75703477496404,269.8612985661024,1738.7227542179662,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,GTF2B,Goat anti-rabbit Alexa647,2193,250523_mACmChPOLR2A_90min_IF,533.6312987977853,1.004988094050906
19,D07,613.9068405948532,128.04119784393708,207.12979399545253,254.31193481511787,1797.684042976522,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,GTF2B,Goat anti-rabbit Alexa647,2513,250523_mACmChPOLR2A_90min_IF,488.3167365212748,0.9196471560706572
20,D08,633.9473028966398,128.5907156327784,177.1330248334688,255.98494451142648,1701.5949786830886,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,GTF2B,Goat anti-rabbit Alexa647,2111,250523_mACmChPOLR2A_90min_IF,508.3571988230614,0.9573893688268164
21,D09,667.7287219394178,129.41915218174066,207.99952463261752,264.5111233264087,1759.7281063732232,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,GTF2B,Goat anti-rabbit Alexa647,2181,250523_mACmChPOLR2A_90min_IF,542.1386178658394,1.0210099323406545
22,D10,671.7293570480574,129.49507585948933,178.72402182597182,265.3875486989935,1757.3085263676687,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,GTF2B,Goat anti-rabbit Alexa647,2029,250523_mACmChPOLR2A_90min_IF,546.139252974479,1.0285443304576367
23,D11,685.7274049355827,128.93609679881587,208.01956079742283,261.3936807671372,1789.7974434611604,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,GTF2B,Goat anti-rabbit Alexa647,2034,250523_mACmChPOLR2A_90min_IF,560.1373008620043,1.0549068611011931
24,D12,709.8915145906269,130.55648566471606,179.67641842419187,271.34606029208385,1695.5703927492448,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,GTF2B,Goat anti-rabbit Alexa647,1655,250523_mACmChPOLR2A_90min_IF,584.3014105170485,1.100415140996639
25,D13,628.2588249990255,129.81030986547248,210.94145470608362,261.17794597743523,1738.8470319634703,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,GTF2B,Goat anti-rabbit Alexa647,1752,250523_mACmChPOLR2A_90min_IF,502.6687209254471,0.9466762555344485
26,D14,619.3923255049035,129.5441257615979,178.45707382976198,259.14749996741887,1776.8938486663037,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,GTF2B,Goat anti-rabbit Alexa647,1837,250523_mACmChPOLR2A_90min_IF,493.8022214313251,0.9299779725672089
27,D15,690.7211763695032,129.65900289513527,208.1689088079962,268.3148186418303,1699.818871503082,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,GTF2B,Goat anti-rabbit Alexa647,2109,250523_mACmChPOLR2A_90min_IF,565.1310722959247,1.0643116333602567
31,E04,393.4137474788499,130.28271707139743,179.76769990186025,269.8354039624468,1735.2724853645557,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,Cyclin T1,Goat anti-rabbit Alexa647,1879,250523_mACmChPOLR2A_90min_IF,267.8236434052715,1.0464057717903676
32,E05,380.4281454991137,129.43139130791127,211.6740165006336,271.38458809576275,1797.3897002305919,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,Cyclin T1,Goat anti-rabbit Alexa647,2602,250523_mACmChPOLR2A_90min_IF,254.83804142553532,0.9956701134705879
33,E06,389.520485164203,129.7999809899749,179.24949139789587,267.40569005617937,1795.0647709320695,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,Cyclin T1,Goat anti-rabbit Alexa647,2532,250523_mACmChPOLR2A_90min_IF,263.9303810906246,1.0311945226812822
34,E07,387.7706420523794,129.80650076378447,210.67148909179025,268.40766379174113,1775.4432607688746,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,Cyclin T1,Goat anti-rabbit Alexa647,2159,250523_mACmChPOLR2A_90min_IF,262.180537978801,1.0243577628319318
35,E08,378.1855567062601,129.25753973084193,178.418695298824,260.1381632421392,1753.9447943682846,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,Cyclin T1,Goat anti-rabbit Alexa647,2699,250523_mACmChPOLR2A_90min_IF,252.5954526326817,0.9869081616624592
36,E09,382.25473654817404,129.4734191731618,209.59343294334428,266.66067118459193,1770.5540885860307,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,Cyclin T1,Goat anti-rabbit Alexa647,2348,250523_mACmChPOLR2A_90min_IF,256.66463247459563,1.0028067328972194
37,E10,372.7383447271051,129.64152504859038,179.3566833128087,266.3507021182497,1747.6382544861337,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,Cyclin T1,Goat anti-rabbit Alexa647,2452,250523_mACmChPOLR2A_90min_IF,247.14824065352667,0.965625522151323
38,E11,378.0332291488592,129.2956306690214,209.23991264825048,269.28420163282067,1732.2829868476877,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,Cyclin T1,Goat anti-rabbit Alexa647,2357,250523_mACmChPOLR2A_90min_IF,252.44312507528082,0.9863130072046961
39,E12,393.0869267641218,129.87032262094255,179.07123897434485,266.2744766803642,1741.4578158458244,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,Cyclin T1,Goat anti-rabbit Alexa647,2335,250523_mACmChPOLR2A_90min_IF,267.4968226905434,1.0451288603202527
40,E13,388.15962302321236,129.19854287958458,208.3945808669667,265.8408741900597,1764.7397072278134,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,Cyclin T1,Goat anti-rabbit Alexa647,2186,250523_mACmChPOLR2A_90min_IF,262.56951894963396,1.0258775387853205
41,E14,385.35872955067305,129.53676938457284,179.35430674718353,267.6135708590752,1704.1299032093734,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,Cyclin T1,Goat anti-rabbit Alexa647,1963,250523_mACmChPOLR2A_90min_IF,259.76862547709464,1.0149342514094553
42,E15,372.5718062953923,129.6657480668021,211.1018424496134,273.2453054326458,1768.5928022644562,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,Cyclin T1,Goat anti-rabbit Alexa647,2473,250523_mACmChPOLR2A_90min_IF,246.98170222181392,0.9649748448102436
46,F04,274.64886700885944,129.98801648960213,179.62655346480165,267.58856081987824,1734.8710066305002,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,Total Pol II F12,Goat anti-mouse Alexa647,1659,250523_mACmChPOLR2A_90min_IF,149.05876293528104,0.7690703194914833
47,F05,317.3889212766538,129.10891835069972,211.85305849560868,267.1495371191122,1779.2664272890486,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,Total Pol II F12,Goat anti-mouse Alexa647,2785,250523_mACmChPOLR2A_90min_IF,191.79881720307537,0.9895880974706794
48,F06,271.86603910546114,129.28031946773015,179.58018698738732,266.3170611637068,1754.4862864606007,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,Total Pol II F12,Goat anti-mouse Alexa647,2297,250523_mACmChPOLR2A_90min_IF,146.27593503188274,0.7547122884531767
49,F07,320.22788047793165,129.17159799126182,210.4978824209465,270.1687268080119,1756.2589928057555,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,Total Pol II F12,Goat anti-mouse Alexa647,2224,250523_mACmChPOLR2A_90min_IF,194.63777640435325,1.0042357385550083
50,F08,270.9322553317698,129.55174807032904,179.45004549928964,267.2571104479564,1781.4762076423935,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,Total Pol II F12,Goat anti-mouse Alexa647,2774,250523_mACmChPOLR2A_90min_IF,145.3421512581914,0.7498944208483008
51,F09,315.183311408229,128.4917081118201,207.64865283462538,261.88333324649415,1749.0440543226234,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,Total Pol II F12,Goat anti-mouse Alexa647,3019,250523_mACmChPOLR2A_90min_IF,189.59320733465057,0.9782082292040983
52,F10,274.8341270947572,129.72074112043202,179.53700945187285,266.6173789479611,1796.3196902654868,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,Total Pol II F12,Goat anti-mouse Alexa647,2712,250523_mACmChPOLR2A_90min_IF,149.2440230211788,0.770026170933188
53,F11,314.6860903286687,129.17114257174023,208.90864323061464,263.8738539975548,1796.209708737864,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,Total Pol II F12,Goat anti-mouse Alexa647,3090,250523_mACmChPOLR2A_90min_IF,189.09598625509028,0.9756428115997582
54,F12,281.9638996860253,130.1785741552927,179.78405123907908,270.9200078103441,1771.4332723948812,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,Total Pol II F12,Goat anti-mouse Alexa647,2188,250523_mACmChPOLR2A_90min_IF,156.37379561244688,0.8068123106856622
55,F13,328.1929292361197,130.03909689669996,211.0717720993097,276.9770411025919,1770.1239964317574,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,Total Pol II F12,Goat anti-mouse Alexa647,2242,250523_mACmChPOLR2A_90min_IF,202.6028251625413,1.0453314948366073
56,F14,267.4534456000787,129.02803462715372,179.83528370365076,263.2771129804551,1741.6621351459416,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,Total Pol II F12,Goat anti-mouse Alexa647,2501,250523_mACmChPOLR2A_90min_IF,141.86334152650028,0.7319454639462273
57,F15,320.76240590210557,128.72423845306622,208.78847528853117,265.21526572701197,1777.4347649918964,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,Total Pol II F12,Goat anti-mouse Alexa647,2468,250523_mACmChPOLR2A_90min_IF,195.17230182852717,1.0069936283338483
61,G04,349.82056557081404,129.85457146119236,180.0222229994579,264.3676305490352,1730.99678111588,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,CDK7,Goat anti-mouse Alexa647,1864,250523_mACmChPOLR2A_90min_IF,224.23046149723564,1.1596148175562349
62,G05,322.64818118834165,128.29038142256107,208.730684843769,256.74887522482095,1765.0181602842479,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,CDK7,Goat anti-mouse Alexa647,2533,250523_mACmChPOLR2A_90min_IF,197.05807711476325,1.0190919851638256
63,G06,327.7299212940898,130.09954224763172,180.62166563826162,270.39175977184465,1710.2191919191919,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,CDK7,Goat anti-mouse Alexa647,1980,250523_mACmChPOLR2A_90min_IF,202.13981722051142,1.0453723624428424
64,G07,319.5542154594389,129.50019084182222,210.8209170292651,268.93736112864366,1778.1842889054356,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,CDK7,Goat anti-mouse Alexa647,2686,250523_mACmChPOLR2A_90min_IF,193.96411138586052,1.003091445003982
65,G08,326.3231780273231,130.23729052056544,180.42611714110302,269.38129134914067,1741.0181405895692,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,CDK7,Goat anti-mouse Alexa647,2646,250523_mACmChPOLR2A_90min_IF,200.73307395374468,1.0380973458115257
66,G09,305.64146477770197,130.30471513465207,214.12419404676626,275.9479580639427,1724.1545496113397,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,CDK7,Goat anti-mouse Alexa647,2187,250523_mACmChPOLR2A_90min_IF,180.05136070412357,0.9311412214001892
67,G10,307.88337999656477,129.28863116383405,179.8676774154041,265.4591503941682,1866.440635451505,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,CDK7,Goat anti-mouse Alexa647,2392,250523_mACmChPOLR2A_90min_IF,182.29327592298637,0.9427353558016393
68,G11,318.0022168944352,129.3001873438745,209.97087837591482,267.33937286114946,1758.5759162303666,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,CDK7,Goat anti-mouse Alexa647,2483,250523_mACmChPOLR2A_90min_IF,192.4121128208568,0.9950652360723892
69,G12,327.3964151202698,129.81936165758327,180.1390422705633,265.6824560062665,1746.2086330935251,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,CDK7,Goat anti-mouse Alexa647,2502,250523_mACmChPOLR2A_90min_IF,201.8063110466914,1.0436476248745126
70,G13,326.7053452925358,129.68864695859165,211.8372690324308,266.89102900446187,1759.089145841104,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,CDK7,Goat anti-mouse Alexa647,2681,250523_mACmChPOLR2A_90min_IF,201.1152412189574,1.0400737357300343
71,G14,341.529023259556,130.16308670310414,180.16470219550888,268.4142359133202,1763.6729877791824,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,CDK7,Goat anti-mouse Alexa647,2373,250523_mACmChPOLR2A_90min_IF,215.93891918597762,1.1167348481697035
72,G15,321.1871808950748,129.0533474826385,209.88917370593623,261.3797561313324,1758.5460065390005,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,CDK7,Goat anti-mouse Alexa647,2141,250523_mACmChPOLR2A_90min_IF,195.5970768214964,1.0115363766295804
76,H04,326.6695257272425,129.5529836801894,179.36610562964347,257.96007263597915,1652.4923076923078,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,pSer2 3E10,Goat anti-rat Alexa647,1625,250523_mACmChPOLR2A_90min_IF,201.0794216536641,1.0549663749272864
77,H05,321.64826844934754,128.73126378048357,211.40634723616324,253.82985148236907,1761.1781635449977,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,pSer2 3E10,Goat anti-rat Alexa647,2189,250523_mACmChPOLR2A_90min_IF,196.05816437576914,1.0286222689791302
78,H06,317.5175618417458,129.9336766480833,179.0076138947986,260.721045943106,1733.065693430657,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,pSer2 3E10,Goat anti-rat Alexa647,2055,250523_mACmChPOLR2A_90min_IF,191.92745776816741,1.0069504512472516
79,H07,319.16838317423617,129.5412037787754,211.45006982059203,261.5430477427502,1761.9254403932814,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,pSer2 3E10,Goat anti-rat Alexa647,2441,250523_mACmChPOLR2A_90min_IF,193.57827910065777,1.0156115115510236
80,H08,299.14195199819864,129.78074709056847,179.6310523200072,255.95575399374346,1711.373198285937,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,pSer2 3E10,Goat anti-rat Alexa647,2567,250523_mACmChPOLR2A_90min_IF,173.55184792462023,0.9105425227566145
81,H09,306.6381210836149,129.2688145598112,211.21852854606826,256.01916164363826,1668.5115961800818,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,pSer2 3E10,Goat anti-rat Alexa647,2199,250523_mACmChPOLR2A_90min_IF,181.04801701003652,0.9498712927562845
82,H10,317.95127061998755,130.5756681196169,180.5963109526196,264.90037833249255,1747.8469767441861,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,pSer2 3E10,Goat anti-rat Alexa647,2150,250523_mACmChPOLR2A_90min_IF,192.36116654640915,1.0092259112311375
83,H11,315.1690539394351,130.13269023687593,213.17517815593772,262.80699482388843,1799.454394002499,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,pSer2 3E10,Goat anti-rat Alexa647,2401,250523_mACmChPOLR2A_90min_IF,189.5789498658567,0.9946289672892553
84,H12,310.72142229070096,130.13800532229143,180.13551198367767,263.1187440041092,1765.9068908941756,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,pSer2 3E10,Goat anti-rat Alexa647,2438,250523_mACmChPOLR2A_90min_IF,185.13131821712255,0.9712943973024839
85,H13,314.4836749345666,129.66122179677672,212.28773453050678,262.12240667719686,1783.1008336641523,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,pSer2 3E10,Goat anti-rat Alexa647,2519,250523_mACmChPOLR2A_90min_IF,188.89357086098818,0.9910331154697548
86,H14,316.89565560081314,129.99243503847572,181.55179842593304,261.92927134027684,1691.2162037037037,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,pSer2 3E10,Goat anti-rat Alexa647,2160,250523_mACmChPOLR2A_90min_IF,191.30555152723474,1.0036876102904508
87,H15,320.04922152989934,128.63199795220046,210.7998378307547,256.7170215456244,1749.9561445783133,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,pSer2 3E10,Goat anti-rat Alexa647,2075,250523_mACmChPOLR2A_90min_IF,194.45911745632094,1.0202328439545523
91,I04,607.4436965954798,129.81020512553232,179.532688014284,256.1984723237353,1753.06982421875,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,pSer5 3E8,Goat anti-rat Alexa647,2048,250523_mACmChPOLR2A_90min_IF,481.85359252190136,0.9682053265346626
92,I05,653.86331959294,129.28138365535827,211.18356026920895,254.73991799454942,1725.184518013632,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,pSer5 3E8,Goat anti-rat Alexa647,2054,250523_mACmChPOLR2A_90min_IF,528.2732155193615,1.0614779033907313
93,I06,591.6246376034422,130.2291255187958,180.41452695121805,258.59892800898314,1702.648528099911,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,pSer5 3E8,Goat anti-rat Alexa647,2242,250523_mACmChPOLR2A_90min_IF,466.03453352986384,0.9364195363806531
94,I07,641.3148308058854,129.45068342109366,211.29279813869525,250.47488029386435,1799.1015083571137,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,pSer5 3E8,Goat anti-rat Alexa647,2453,250523_mACmChPOLR2A_90min_IF,515.724726732307,1.0362637846788647
95,I08,554.8106839611424,129.97609747537976,180.54441004138081,252.80912872963646,1717.6708979783732,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,pSer5 3E8,Goat anti-rat Alexa647,2127,250523_mACmChPOLR2A_90min_IF,429.22057988756404,0.8624479679199392
96,I09,601.3556930171346,129.11341229948817,209.2524439752783,251.71091571495413,1798.1669039145906,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,pSer5 3E8,Goat anti-rat Alexa647,2810,250523_mACmChPOLR2A_90min_IF,475.7655889435562,0.9559724873818698
97,I10,574.1370786839284,130.0495336197929,180.50023694146674,254.22425841411163,1743.729696969697,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,pSer5 3E8,Goat anti-rat Alexa647,2475,250523_mACmChPOLR2A_90min_IF,448.54697461035,0.9012811707925777
98,I11,604.5245048972793,129.88641107726173,210.58864045561506,257.8537552385592,1806.0106382978724,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,pSer5 3E8,Goat anti-rat Alexa647,3196,250523_mACmChPOLR2A_90min_IF,478.93440082370086,0.9623396922523053
99,I12,595.4209348938471,130.19566064749628,180.52492117344823,258.74111420292644,1728.2782641796725,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,pSer5 3E8,Goat anti-rat Alexa647,2627,250523_mACmChPOLR2A_90min_IF,469.83083082026866,0.9440475696976652
100,I13,614.1272747728783,129.56686427462796,210.69171301036621,256.12173794362735,1773.368533713878,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,pSer5 3E8,Goat anti-rat Alexa647,2803,250523_mACmChPOLR2A_90min_IF,488.5371706992999,0.9816348746216659
101,I14,584.1050554872459,130.57349666082652,181.18402370155482,257.2823162060152,1767.1269011406844,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,pSer5 3E8,Goat anti-rat Alexa647,2104,250523_mACmChPOLR2A_90min_IF,458.51495141366746,0.9213101762530015
102,I15,624.4174365612425,129.55291116702497,210.408702306135,257.63091519503433,1761.2341824157766,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,pSer5 3E8,Goat anti-rat Alexa647,2434,250523_mACmChPOLR2A_90min_IF,498.82733248766414,1.0023112576745634
