,WELL,IF_647_Intensity,RFP_561_Intensity,GFP_488_Intensity,DAPI_Intensity,NucleusArea,CELL,DRUG,DRUG TIME MINUTES,PRIMARY,SECONDARY,TotalNumberCells,EXPERIMENT,IF_647_Intensity_BGS,IF_647_Intensity_FC
62,G05,1003.764318835464,167.6704899339793,222.6167625494614,455.9767895272194,1655.535660091047,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,pSer5 3E8,Goat anti-rat Alexa647,659,250324_mACmChPOLR2A_90min_IF,876.573120256303,0.9020979642606967
63,G06,1136.9340750337346,166.15218333081776,337.9933152582775,459.5242563421483,1652.4901531728665,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,pSer5 3E8,Goat anti-rat Alexa647,457,250324_mACmChPOLR2A_90min_IF,1009.7428764545737,1.0391454771167006
64,G07,960.6089376637896,167.1691112283014,220.17238382518073,481.1675312435008,1682.8045540796963,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,pSer5 3E8,Goat anti-rat Alexa647,1054,250324_mACmChPOLR2A_90min_IF,833.4177390846286,0.8576859459107854
65,G08,1140.2148697941059,165.29069366518218,327.9653069686393,458.93735256605254,1729.460927152318,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,pSer5 3E8,Goat anti-rat Alexa647,755,250324_mACmChPOLR2A_90min_IF,1013.0236712149449,1.0425218050077758
66,G09,985.069766127759,165.3283213124941,216.08180146436513,474.50143850702403,1653.2264779350542,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,pSer5 3E8,Goat anti-rat Alexa647,1201,250324_mACmChPOLR2A_90min_IF,857.878567548598,0.8828590467640547
67,G10,1047.5830889882532,163.4801255182504,320.79569478787715,469.50175599262315,1707.2434709351305,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,pSer5 3E8,Goat anti-rat Alexa647,1187,250324_mACmChPOLR2A_90min_IF,920.3918904090922,0.9471926887483475
68,G11,974.5212790336692,167.1394660659834,213.6230314733898,466.8062791608416,1638.8701622971287,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,pSer5 3E8,Goat anti-rat Alexa647,801,250324_mACmChPOLR2A_90min_IF,847.3300804545082,0.87200339934148
69,G12,1060.2818169613556,163.48358372153908,321.62463584127977,465.34654452055855,1796.0215311004786,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,pSer5 3E8,Goat anti-rat Alexa647,1254,250324_mACmChPOLR2A_90min_IF,933.0906183821946,0.9602611896965475
70,G13,957.6813004183194,168.13822037254408,217.12920732121262,487.95998396069865,1697.817157712305,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,90,pSer5 3E8,Goat anti-rat Alexa647,1154,250324_mACmChPOLR2A_90min_IF,830.4901018391585,0.8546730590925583
71,G14,1046.9346584089305,166.82678041599448,332.95173918908705,486.12845109671247,1671.9205298013244,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,90,pSer5 3E8,Goat anti-rat Alexa647,1208,250324_mACmChPOLR2A_90min_IF,919.7434598297696,0.9465253765845885
