,EXPERIMENT,WELL,CELL,DRUG_1,DRUG_TIME_MINUTES_1,DRUG_2,DRUG_TIME_MINUTES_2,TIME_HOUR,TotalNumberCells,RFP_561_Intensity,RFP_561_Intensity_BGS,RFP_561_Intensity_NORM2
77,250407_mACmChPOLR2A_Inhibitors,G20,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,240,Leptomycin 10 ng/mL,240,4.0,1264,170.27051893635178,32.92454453196652,0.7228392853126677
78,250407_mACmChPOLR2A_Inhibitors,G21,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,240,Cycloheximide 50 µg/mL,240,4.0,607,179.26858057507025,41.922606170684986,0.920386511450168
87,250407_mACmChPOLR2A_Inhibitors,H10,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,480,Vehicle,480,8.0,1876,177.27768465376977,39.93171024938451,0.8766775458337259
88,250407_mACmChPOLR2A_Inhibitors,H11,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,480,Leptomycin 10 ng/mL,480,8.0,1026,167.12517687850627,29.779202474121007,0.6537851241245151
89,250407_mACmChPOLR2A_Inhibitors,H12,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,480,Cycloheximide 50 µg/mL,480,8.0,784,163.58950937547095,26.243534971085694,0.5761615941007082
90,250407_mACmChPOLR2A_Inhibitors,H13,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,480,Vehicle,480,8.0,1529,197.14778059076244,59.80180618637718,1.3129139813065072
91,250407_mACmChPOLR2A_Inhibitors,H14,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,480,Leptomycin 10 ng/mL,480,8.0,1113,163.7081797940826,26.36220538969735,0.5787669343353687
92,250407_mACmChPOLR2A_Inhibitors,H15,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,480,Cycloheximide 50 µg/mL,480,8.0,780,167.36783537291467,30.02186096852941,0.6591125506741191
93,250407_mACmChPOLR2A_Inhibitors,H16,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,480,Vehicle,480,8.0,1477,186.26087928769346,48.914904883308196,1.0738983755009526
94,250407_mACmChPOLR2A_Inhibitors,H17,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,480,Leptomycin 10 ng/mL,480,8.0,1204,169.55184634537264,32.20587194098738,0.7070612452692346
95,250407_mACmChPOLR2A_Inhibitors,H18,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,480,Cycloheximide 50 µg/mL,480,8.0,476,166.73586169489434,29.38988729050908,0.6452379349960462
96,250407_mACmChPOLR2A_Inhibitors,H19,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,480,Vehicle,480,8.0,895,199.03311936899718,61.68714496461192,1.3543055010497282
97,250407_mACmChPOLR2A_Inhibitors,H20,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,480,Leptomycin 10 ng/mL,480,8.0,688,163.9665276510105,26.620553246625235,0.5844388117422833
98,250407_mACmChPOLR2A_Inhibitors,H21,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,480,Cycloheximide 50 µg/mL,480,8.0,685,168.9585819985224,31.61260759413713,0.6940364705130535
127,250407_mACmChPOLR2A_Inhibitors,J10,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,60,Vehicle,60,1.0,1523,177.2768952989497,39.93092089456445,0.8766602160063252
128,250407_mACmChPOLR2A_Inhibitors,J11,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,60,Leptomycin 10 ng/mL,60,1.0,2003,168.56146322131818,31.21548881693292,0.6853179580118454
129,250407_mACmChPOLR2A_Inhibitors,J12,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,60,Cycloheximide 50 µg/mL,60,1.0,1263,178.12773177455816,40.7817573701729,0.895339837507228
130,250407_mACmChPOLR2A_Inhibitors,J13,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,60,Vehicle,60,1.0,852,185.4920880565584,48.14611365217314,1.0570200097720428
131,250407_mACmChPOLR2A_Inhibitors,J14,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,60,Leptomycin 10 ng/mL,60,1.0,1728,167.92360847299437,30.577634068609115,0.6713142268451463
132,250407_mACmChPOLR2A_Inhibitors,J15,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,60,Cycloheximide 50 µg/mL,60,1.0,1116,180.98876808737154,43.64279368298628,0.9581522309057069
133,250407_mACmChPOLR2A_Inhibitors,J16,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,60,Vehicle,60,1.0,873,181.99887264094906,44.6528982365638,0.9803284907136489
134,250407_mACmChPOLR2A_Inhibitors,J17,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,60,Leptomycin 10 ng/mL,60,1.0,1174,167.6343052789486,30.288330874563343,0.6649627429599346
135,250407_mACmChPOLR2A_Inhibitors,J18,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,60,Cycloheximide 50 µg/mL,60,1.0,780,182.25740665766213,44.91143225327687,0.9860044551507103
136,250407_mACmChPOLR2A_Inhibitors,J19,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,60,Vehicle,60,1.0,630,181.02202332621349,43.676048921828226,0.9588823303928562
137,250407_mACmChPOLR2A_Inhibitors,J20,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,60,Leptomycin 10 ng/mL,60,1.0,1072,169.29320863800837,31.947234233623107,0.7013830043640465
138,250407_mACmChPOLR2A_Inhibitors,J21,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,60,Cycloheximide 50 µg/mL,60,1.0,602,182.45237905231352,45.10640464792826,0.9902849610288912
147,250407_mACmChPOLR2A_Inhibitors,K10,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,120,Vehicle,120,2.0,693,180.81895927263548,43.47298486825022,0.9544241768345433
148,250407_mACmChPOLR2A_Inhibitors,K11,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,120,Leptomycin 10 ng/mL,120,2.0,1056,170.65682776136433,33.31085335697907,0.7313204715811955
149,250407_mACmChPOLR2A_Inhibitors,K12,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,120,Cycloheximide 50 µg/mL,120,2.0,543,178.41423629951106,41.0682618951258,0.9016298782351941
150,250407_mACmChPOLR2A_Inhibitors,K13,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,120,Vehicle,120,2.0,1063,183.0065892765528,45.66061487216754,1.0024523251670086
151,250407_mACmChPOLR2A_Inhibitors,K14,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,120,Leptomycin 10 ng/mL,120,2.0,1196,169.54471793882865,32.198743534443395,0.7069047452366626
152,250407_mACmChPOLR2A_Inhibitors,K15,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,120,Cycloheximide 50 µg/mL,120,2.0,1068,177.03163733198912,39.68566292760386,0.8712757195440306
153,250407_mACmChPOLR2A_Inhibitors,K16,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,120,Vehicle,120,2.0,757,182.8601487504254,45.514174346040136,0.9992373083231468
154,250407_mACmChPOLR2A_Inhibitors,K17,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,120,Leptomycin 10 ng/mL,120,2.0,1132,172.6783014054051,35.33232700101985,0.7757007533712185
155,250407_mACmChPOLR2A_Inhibitors,K18,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,120,Cycloheximide 50 µg/mL,120,2.0,756,177.2315110476446,39.88553664325934,0.8756638310830354
