,EXPERIMENT,WELL,RFP_561_Intensity,GFP_488_Intensity,DAPI_Intensity,NucleusArea,CELL,DRUG_1,DRUG_TIME_MINUTES_1,DRUG_2,DRUG_TIME_MINUTES_2,TotalNumberCells,RFP_561_Intensity_BGS,RFP_561_Intensity_NORM,RFP_561_Intensity_NORM2,TIME_MIN,TIME_HOUR
53,250407_mACmChPOLR2A_Inhibitors,F16,182.25619281430374,226.6710976424344,322.9026021051977,1459.4897119341563,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,120,Vehicle,120,972,44.910218409918485,0.6718579074195291,0.9859778059235721,120,2.0
54,250407_mACmChPOLR2A_Inhibitors,F17,174.5966922274318,184.98699553381985,309.01760724820247,1590.2836134453783,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,120,Leptomycin 10 ng/mL,120,952,37.25071782304653,0.5572716012652503,0.8178179115720801,120,2.0
55,250407_mACmChPOLR2A_Inhibitors,F18,179.66418943991908,209.8659105007264,334.0111905764822,1478.2099533437015,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,120,Cycloheximide 50 µg/mL,120,643,42.318215035533825,0.6330814769144877,0.9290718747010719,120,2.0
56,250407_mACmChPOLR2A_Inhibitors,F19,188.5647103694558,188.1786759084997,348.1951554537932,1455.7045454545455,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,120,Vehicle,120,836,51.21873596507055,0.7662334761339259,1.1244776511232886,120,2.0
57,250407_mACmChPOLR2A_Inhibitors,F20,172.77562806952227,222.78016817992435,313.68086645104984,1627.7778819119026,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,120,Leptomycin 10 ng/mL,120,1067,35.42965366513701,0.5300284392916808,0.7778375038512141,120,2.0
58,250407_mACmChPOLR2A_Inhibitors,F21,182.7963754215303,189.29599677314633,351.0790971334746,1505.9124324324325,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,120,Cycloheximide 50 µg/mL,120,925,45.450401017145055,0.6799390517329025,0.9978372018634881,120,2.0
67,250407_mACmChPOLR2A_Inhibitors,G10,182.79069329282018,253.6312896620282,325.8030243739251,1494.8090405904059,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,240,Vehicle,240,1084,45.44471888843492,0.6798540469558151,0.997712454022196,240,4.0
68,250407_mACmChPOLR2A_Inhibitors,G11,175.58030065369016,180.50003864978376,309.3628144916851,1701.6585014409222,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,240,Leptomycin 10 ng/mL,240,1388,38.2343262493049,0.5719864060999607,0.8394124642673745,240,4.0
69,250407_mACmChPOLR2A_Inhibitors,G12,172.32506834805326,232.53319378922464,334.8282931541302,1560.9542302357836,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,240,Cycloheximide 50 µg/mL,240,721,34.979093943668005,0.52328805542468,0.7679457264041145,240,4.0
70,250407_mACmChPOLR2A_Inhibitors,G13,189.6653725414232,182.7841967900963,318.9925675689644,1502.1277486910994,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,240,Vehicle,240,955,52.31939813703795,0.7826994077151121,1.148642050937025,240,4.0
71,250407_mACmChPOLR2A_Inhibitors,G14,171.17720010307224,200.20361802689172,318.71779731669903,1691.4440078585462,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,240,Leptomycin 10 ng/mL,240,1018,33.83122569868698,0.5061159198980365,0.7427449446277832,240,4.0
72,250407_mACmChPOLR2A_Inhibitors,G15,177.26458210469124,179.88850021216004,340.28187781297646,1520.584082156611,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,240,Cycloheximide 50 µg/mL,240,779,39.918607700305984,0.5971832956106382,0.8763898869656587,240,4.0
73,250407_mACmChPOLR2A_Inhibitors,G16,187.61464482736355,214.60297500770997,332.4498803293228,1496.8893884892086,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,240,Vehicle,240,1112,50.26867042297829,0.752020473623109,1.1036195130014568,240,4.0
74,250407_mACmChPOLR2A_Inhibitors,G17,178.49289971847136,182.37720827465722,329.62078855431713,1596.6803652968038,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,240,Leptomycin 10 ng/mL,240,876,41.146925314086104,0.6155589555575203,0.903356887988854,240,4.0
75,250407_mACmChPOLR2A_Inhibitors,G18,174.4624729759848,197.5643445524097,339.6525964863649,1437.006435006435,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,240,Cycloheximide 50 µg/mL,240,777,37.11649857159955,0.5552636781554249,0.8148712057278447,240,4.0
76,250407_mACmChPOLR2A_Inhibitors,G19,191.2586045228214,185.95411930907048,347.09135854091215,1531.0684039087948,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,240,Vehicle,240,921,53.91263011843614,0.8065341950520549,1.1836205353213118,240,4.0
77,250407_mACmChPOLR2A_Inhibitors,G20,170.27051893635178,210.98236545339074,322.8999791444855,1651.9976265822784,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,240,Leptomycin 10 ng/mL,240,1264,32.92454453196652,0.4925519486474542,0.7228392853126677,240,4.0
78,250407_mACmChPOLR2A_Inhibitors,G21,179.26858057507025,182.2880319398222,361.9783541417201,1559.2520593080724,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,240,Cycloheximide 50 µg/mL,240,607,41.922606170684986,0.6271631591350476,0.920386511450168,240,4.0
87,250407_mACmChPOLR2A_Inhibitors,H10,177.27768465376977,249.97237111345112,279.9999833838882,1571.1711087420042,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,480,Vehicle,480,1876,39.93171024938451,0.5973793100482749,0.8766775458337259,480,8.0
88,250407_mACmChPOLR2A_Inhibitors,H11,167.12517687850627,179.06795151333594,285.52359411288705,1792.9298245614036,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,480,Leptomycin 10 ng/mL,480,1026,29.779202474121007,0.44549755862391316,0.6537851241245151,480,8.0
89,250407_mACmChPOLR2A_Inhibitors,H12,163.58950937547095,224.02454522065358,320.5426069655613,1691.373724489796,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,480,Cycloheximide 50 µg/mL,480,784,26.243534971085694,0.3926038909013818,0.5761615941007082,480,8.0
90,250407_mACmChPOLR2A_Inhibitors,H13,197.14778059076244,182.16119936830745,303.63181142518124,1589.7423152387182,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,480,Vehicle,480,1529,59.80180618637718,0.8946364054068858,1.3129139813065072,480,8.0
91,250407_mACmChPOLR2A_Inhibitors,H14,163.7081797940826,202.30204093361408,305.30189625062786,1643.4995507637018,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,480,Leptomycin 10 ng/mL,480,1113,26.36220538969735,0.39437920311191915,0.5787669343353687,480,8.0
92,250407_mACmChPOLR2A_Inhibitors,H15,167.36783537291467,177.40761800444824,317.2120519044185,1662.7051282051282,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,480,Cycloheximide 50 µg/mL,480,780,30.02186096852941,0.44912773531962025,0.6591125506741191,480,8.0
93,250407_mACmChPOLR2A_Inhibitors,H16,186.26087928769346,221.29957197512022,304.0388271132625,1592.4102911306702,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,480,Vehicle,480,1477,48.914904883308196,0.7317681097998561,1.0738983755009526,480,8.0
94,250407_mACmChPOLR2A_Inhibitors,H17,169.55184634537264,180.47533757418398,301.5665632200465,1749.7209302325582,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,480,Leptomycin 10 ng/mL,480,1204,32.20587194098738,0.4818005900437655,0.7070612452692346,480,8.0
95,250407_mACmChPOLR2A_Inhibitors,H18,166.73586169489434,186.4289166511981,325.4465090201033,1565.6554621848738,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,480,Cycloheximide 50 µg/mL,480,476,29.38988729050908,0.43967339446152304,0.6452379349960462,480,8.0
96,250407_mACmChPOLR2A_Inhibitors,H19,199.03311936899718,184.7053307472999,325.5844288967546,1549.5474860335196,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,480,Vehicle,480,895,61.68714496461192,0.9228411171889584,1.3543055010497282,480,8.0
