,WELL,IF_561_Intensity,GFP_Intensity,DAPI_Intensity,NucleusArea,CELL,EU,DRUG,DRUG TIME HOURS,PRIMARY,SECONDARY,TotalNumberCells,Alexa647_Intensity,NucleusArea2,EXPERIMENT
49,E12,568.8647905523751,258.37964845176475,446.78765041504636,1521.1087427745665,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,"EU 1 mM, 30 mins",10 µM 5PhIAA,8,Total Pol II F12,Goat anti-mouse Alexa647,3764,172.61044425527368,1400.3915426781518,250203_ARMC5mAC_TotalPolII
50,E13,441.29770835613215,252.6048239958013,434.38651601972333,1620.8648405927256,HCT116 OsTIRF74G,"EU 1 mM, 30 mins",Vehicle,8,Total Pol II F12,Goat anti-mouse Alexa647,1782,166.05651151470713,1526.4018181818183,250203_ARMC5mAC_TotalPolII
51,E14,471.2535935676879,313.9066508634273,482.2427765498153,1596.1620428751576,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,"EU 1 mM, 30 mins",Vehicle,8,Total Pol II F12,Goat anti-mouse Alexa647,2562,159.90484772734973,1509.9564118761843,250203_ARMC5mAC_TotalPolII
52,E15,435.3893110233961,315.47270768125503,443.62412486680586,1552.214240102171,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,"EU 1 mM, 30 mins",Vehicle,8,Total Pol II F12,Goat anti-mouse Alexa647,3880,162.58582214555028,1428.2495732331854,250203_ARMC5mAC_TotalPolII
53,E16,430.66744167797026,249.389651266282,444.94204584295187,1625.6839103869654,HCT116 OsTIRF74G,"EU 1 mM, 30 mins",10 µM 5PhIAA,8,Total Pol II F12,Goat anti-mouse Alexa647,2242,,,250203_ARMC5mAC_TotalPolII
54,E17,607.9615327490245,249.59631197046545,478.0722917093478,1533.2337579617833,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,"EU 1 mM, 30 mins",10 µM 5PhIAA,8,Total Pol II F12,Goat anti-mouse Alexa647,2523,,,250203_ARMC5mAC_TotalPolII
55,E18,567.8093204227505,249.0318270196146,443.99593875420237,1478.4821162444114,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,"EU 1 mM, 30 mins",10 µM 5PhIAA,8,Total Pol II F12,Goat anti-mouse Alexa647,4333,,,250203_ARMC5mAC_TotalPolII
56,E19,413.5178691331223,245.47488422486475,432.98168392266325,1631.2767676767676,HCT116 OsTIRF74G,"EU 1 mM, 30 mins",Vehicle,8,Total Pol II F12,Goat anti-mouse Alexa647,2306,,,250203_ARMC5mAC_TotalPolII
57,E20,497.50706759289176,290.4684066673453,471.83538357071154,1489.5989425981873,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,"EU 1 mM, 30 mins",Vehicle,8,Total Pol II F12,Goat anti-mouse Alexa647,2447,,,250203_ARMC5mAC_TotalPolII
58,E21,412.17096104315556,304.0646144997562,438.47763364316484,1532.6853434631212,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,"EU 1 mM, 30 mins",Vehicle,8,Total Pol II F12,Goat anti-mouse Alexa647,4143,162.47314340429182,1396.563909774436,250203_ARMC5mAC_TotalPolII
59,E22,415.90587758230333,246.82853748301844,423.568966736078,1716.1687444345503,HCT116 OsTIRF74G,"EU 1 mM, 30 mins",No addition,No addition,Total Pol II F12,Goat anti-mouse Alexa647,4837,166.77495473865108,1590.5132508833922,250203_ARMC5mAC_TotalPolII
60,F03,394.72331399432136,255.41657266132935,430.63678311100347,1722.4733305333893,HCT116 OsTIRF74G,"EU 1 mM, 30 mins",No addition,No addition,Total Pol II F12,Goat anti-mouse Alexa647,3909,157.03318791544646,1621.7301455301456,250203_ARMC5mAC_TotalPolII
61,F04,427.9958198219001,253.51729645262168,439.23093518780263,1691.865265169613,HCT116 OsTIRF74G,"EU 1 mM, 30 mins",10 µM 5PhIAA,24,Total Pol II F12,Goat anti-mouse Alexa647,1404,172.49535625646692,1565.6471456692914,250203_ARMC5mAC_TotalPolII
