,WELL,IF_647_Intensity,RFP_561_Intensity,GFP_488_Intensity,DAPI_Intensity,NucleusArea,CELL,DRUG,DRUG_TIME_MINUTES,SIRNA,PRIMARY,SECONDARY,TotalNumberCells,EXPERIMENT,GFP_Intensity_BGS,GFP_Intensity_FC,RFP_Intensity_BGS,RFP_Intensity_FC,IF_647_Intensity_BGS,IF_647_Intensity_FC,TIME_IN_AUXIN
65,F08,3973.363681998656,306.53580713399595,567.13995057851,680.007046243285,1464.2525951557093,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,480,LARP7 pool,pSer2 Pol II (3E10,Goat anti-mouse Alexa647,578,251017_mACmChPOLR2A_7SK,339.43995057851004,1.2133966122282076,162.13580713399594,1.206841646743832,3789.7741058732527,1.4951041726996355,0.0
66,F09,3578.2797785126277,302.8257562308685,567.9251290364376,680.4599167513184,1583.2769607843138,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,240,LARP7 pool,pSer2 Pol II (3E10,Goat anti-mouse Alexa647,816,251017_mACmChPOLR2A_7SK,340.22512903643764,1.2162033910979906,158.42575623086847,1.1792262543109104,3394.6902023872244,1.3392395812578952,0.0
67,F10,3669.319428021009,302.9214729866222,569.8208119070206,684.9491864802651,1493.436768149883,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,120,LARP7 pool,pSer2 Pol II (3E10,Goat anti-mouse Alexa647,854,251017_mACmChPOLR2A_7SK,342.1208119070206,1.222979892123,158.52147298662217,1.179938712398835,3485.729851895606,1.3751556427588036,0.0
68,F11,3539.301425082327,305.27468250280054,576.9040173063406,704.3900349969063,1537.4478976234004,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,60,LARP7 pool,pSer2 Pol II (3E10,Goat anti-mouse Alexa647,1094,251017_mACmChPOLR2A_7SK,349.20401730634063,1.2483002394203744,160.87468250280054,1.1974545918201578,3355.711848956924,1.3238622270329328,0.0
69,F12,3794.627975742429,307.41165881447756,581.7094061734463,693.3571880111411,1465.910138248848,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,30,LARP7 pool,pSer2 Pol II (3E10,Goat anti-mouse Alexa647,868,251017_mACmChPOLR2A_7SK,354.0094061734463,1.2654780717935161,163.01165881447756,1.2133609610338718,3611.038399617026,1.4245911308220311,0.0
70,F13,2485.80714402408,310.8905412578998,271.84780776064076,539.4797387199786,1677.7139398132135,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,480,Scrambled,pSer2 Pol II (3E10,Goat anti-mouse Alexa647,2891,251017_mACmChPOLR2A_7SK,44.147807760640774,0.15781524915604656,166.49054125789982,1.2392556741824494,2302.217567898677,0.9082480897458631,8.0
71,F14,2648.5746089249174,304.5278763384791,274.9135431923527,563.4758939915779,1619.505216693419,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,240,Scrambled,pSer2 Pol II (3E10,Goat anti-mouse Alexa647,2492,251017_mACmChPOLR2A_7SK,47.21354319235269,0.168774339211555,160.12787633847907,1.1918958149091248,2464.9850327995146,0.9724614990822777,4.0
72,F15,2605.755543548186,290.1467847792961,281.5532754710696,557.843458812721,1616.1051303616484,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,120,Scrambled,pSer2 Pol II (3E10,Goat anti-mouse Alexa647,2378,251017_mACmChPOLR2A_7SK,53.853275471069594,0.19250940233351926,145.74678477929612,1.08485159977832,2422.165967422783,0.9555689451918927,2.0
73,F16,2778.833689677713,280.6323797711591,322.3321283037881,562.2006195421023,1626.510935318753,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,60,Scrambled,pSer2 Pol II (3E10,Goat anti-mouse Alexa647,2149,251017_mACmChPOLR2A_7SK,94.63212830378814,0.33828164214631273,136.2323797711591,1.0140320787189259,2595.2441135523104,1.0238500224414158,1.0
74,F17,2607.6913482347986,280.056708062046,375.0449257676634,535.7078366590232,1573.326813655761,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,30,Scrambled,pSer2 Pol II (3E10,Goat anti-mouse Alexa647,2812,251017_mACmChPOLR2A_7SK,147.34492576766343,0.5267141756613802,135.65670806204602,1.0097471239905993,2424.101772109396,0.956332639698117,0.5
