,EXPERIMENT,WELL,CELL,DRUG,DRUG_TIME_MINUTES,SIRNA,PRIMARY,SECONDARY,TotalNumberCells,TIME_IN_AUXIN,GFP_488_Intensity,GFP_Intensity_BGS,GFP_Intensity_FC,RFP_561_Intensity,RFP_Intensity_BGS,RFP_Intensity_FC,IF_647_Intensity,IF_647_Intensity_BGS,IF_647_Intensity_FC
66,251017_mACmChPOLR2A_7SK,F09,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,240,LARP7 pool,pSer2 Pol II (3E10,Goat anti-mouse Alexa647,816,0.0,567.9251290364376,340.22512903643764,1.2162033910979906,302.8257562308685,158.42575623086847,1.1792262543109104,3578.2797785126277,3394.6902023872244,1.3392395812578952
67,251017_mACmChPOLR2A_7SK,F10,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,120,LARP7 pool,pSer2 Pol II (3E10,Goat anti-mouse Alexa647,854,0.0,569.8208119070206,342.1208119070206,1.222979892123,302.9214729866222,158.52147298662217,1.179938712398835,3669.319428021009,3485.729851895606,1.3751556427588036
68,251017_mACmChPOLR2A_7SK,F11,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,60,LARP7 pool,pSer2 Pol II (3E10,Goat anti-mouse Alexa647,1094,0.0,576.9040173063406,349.20401730634063,1.2483002394203744,305.27468250280054,160.87468250280054,1.1974545918201578,3539.301425082327,3355.711848956924,1.3238622270329328
69,251017_mACmChPOLR2A_7SK,F12,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,30,LARP7 pool,pSer2 Pol II (3E10,Goat anti-mouse Alexa647,868,0.0,581.7094061734463,354.0094061734463,1.2654780717935161,307.41165881447756,163.01165881447756,1.2133609610338718,3794.627975742429,3611.038399617026,1.4245911308220311
70,251017_mACmChPOLR2A_7SK,F13,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,480,Scrambled,pSer2 Pol II (3E10,Goat anti-mouse Alexa647,2891,8.0,271.84780776064076,44.147807760640774,0.15781524915604656,310.8905412578998,166.49054125789982,1.2392556741824494,2485.80714402408,2302.217567898677,0.9082480897458631
71,251017_mACmChPOLR2A_7SK,F14,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,240,Scrambled,pSer2 Pol II (3E10,Goat anti-mouse Alexa647,2492,4.0,274.9135431923527,47.21354319235269,0.168774339211555,304.5278763384791,160.12787633847907,1.1918958149091248,2648.5746089249174,2464.9850327995146,0.9724614990822777
72,251017_mACmChPOLR2A_7SK,F15,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,120,Scrambled,pSer2 Pol II (3E10,Goat anti-mouse Alexa647,2378,2.0,281.5532754710696,53.853275471069594,0.19250940233351926,290.1467847792961,145.74678477929612,1.08485159977832,2605.755543548186,2422.165967422783,0.9555689451918927
73,251017_mACmChPOLR2A_7SK,F16,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,60,Scrambled,pSer2 Pol II (3E10,Goat anti-mouse Alexa647,2149,1.0,322.3321283037881,94.63212830378814,0.33828164214631273,280.6323797711591,136.2323797711591,1.0140320787189259,2778.833689677713,2595.2441135523104,1.0238500224414158
74,251017_mACmChPOLR2A_7SK,F17,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,30,Scrambled,pSer2 Pol II (3E10,Goat anti-mouse Alexa647,2812,0.5,375.0449257676634,147.34492576766343,0.5267141756613802,280.056708062046,135.65670806204602,1.0097471239905993,2607.6913482347986,2424.101772109396,0.956332639698117
75,251017_mACmChPOLR2A_7SK,F18,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,480,Scrambled,pSer2 Pol II (3E10,Goat anti-mouse Alexa647,2012,0.0,512.8328044122318,285.1328044122318,1.0192647574903169,280.67641674249995,136.27641674249995,1.0143598635059512,2736.440530621694,2552.850954496291,1.0071254928974656
76,251017_mACmChPOLR2A_7SK,F19,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,240,Scrambled,pSer2 Pol II (3E10,Goat anti-mouse Alexa647,3082,0.0,486.99097544880595,259.29097544880597,0.9268879242255208,275.8765178712963,131.4765178712963,0.9786322968424077,2426.441402098478,2242.8518259730754,0.8848277047865531
77,251017_mACmChPOLR2A_7SK,F20,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,120,Scrambled,pSer2 Pol II (3E10,Goat anti-mouse Alexa647,2596,0.0,480.7692449017993,253.06924490179932,0.9046470926584996,273.293163692512,128.893163692512,0.9594033586679427,2563.829067096924,2380.2394909715213,0.9390285266503948
78,251017_mACmChPOLR2A_7SK,F21,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,60,Scrambled,pSer2 Pol II (3E10,Goat anti-mouse Alexa647,2001,0.0,492.5846319973815,264.8846319973815,0.9468835785214927,281.2626631920512,136.8626631920512,1.0187235302559459,2843.6181269082144,2660.028550782811,1.0494081374433653
79,251017_mACmChPOLR2A_7SK,F22,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,30,Scrambled,pSer2 Pol II (3E10,Goat anti-mouse Alexa647,2388,0.0,467.9789005137142,240.27890051371423,0.8589254251786286,267.3559186142116,122.95591861421158,0.9152100693873333,2599.557890829133,2415.9683147037304,0.9531239085795947
