,WELL,Alexa647_Intensity,GFP_Intensity,DAPI_Intensity,NucleusArea,CELL,DRUG,DRUG TIME HOURS,PRIMARY,SECONDARY,TotalNumberCells,EXPERIMENT
52,E15,1221.2347946336918,774.0241318396426,1073.2549770097232,1538.7744935237463,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,Vehicle,24.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,3011,260119_ARMC5mAC_TotalPhospho
53,E16,1222.306145256381,757.7397421365079,1097.5854619045363,1461.7567102546457,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,Vehicle,24.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,2906,260119_ARMC5mAC_TotalPhospho
54,E17,1340.9710160469601,687.488502346012,1040.662745260252,1547.2016840417,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,10 µM 5PhIAA,24.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,2494,260119_ARMC5mAC_TotalPhospho
55,E18,1437.6822878243797,692.075832610301,1171.3398916512456,1426.3438552188552,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,10 µM 5PhIAA,24.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,2376,260119_ARMC5mAC_TotalPhospho
56,E19,1287.6083380526438,741.1350585844057,1090.047693870987,1510.6352178610011,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,Vehicle,24.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,2777,260119_ARMC5mAC_TotalPhospho
57,E20,1397.0646419834634,740.401794121719,1209.0361884465324,1391.0436081242533,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,Vehicle,24.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,1674,260119_ARMC5mAC_TotalPhospho
58,E21,1462.4801406564995,683.3626351008214,1061.2925012607352,1508.3821382567626,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,10 µM 5PhIAA,24.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,2329,260119_ARMC5mAC_TotalPhospho
59,E22,1325.5200600120722,682.9823746578354,1052.291209055958,1471.6484490398818,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,10 µM 5PhIAA,24.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,3385,260119_ARMC5mAC_TotalPhospho
60,F03,802.9914319939732,788.5601671622402,1059.357194191131,1503.3610096313516,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,Vehicle,8.0,Total Pol II F12,Goat anti-mouse Alexa647,3011,260119_ARMC5mAC_TotalPhospho
61,F04,920.5627664272289,802.930326157131,1199.1993954635686,1383.7832681017612,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,Vehicle,8.0,Total Pol II F12,Goat anti-mouse Alexa647,2044,260119_ARMC5mAC_TotalPhospho
62,F05,1227.0635267101525,701.69840107271,1073.8870341991592,1474.1128712871287,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,10 µM 5PhIAA,8.0,Total Pol II F12,Goat anti-mouse Alexa647,2525,260119_ARMC5mAC_TotalPhospho
63,F06,1226.366495580304,710.8565090486047,1162.3681738878956,1393.6786458333333,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,10 µM 5PhIAA,8.0,Total Pol II F12,Goat anti-mouse Alexa647,1920,260119_ARMC5mAC_TotalPhospho
64,F07,880.703651894432,798.8466280654818,1091.5596136058869,1477.1157645199526,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,Vehicle,8.0,Total Pol II F12,Goat anti-mouse Alexa647,2531,260119_ARMC5mAC_TotalPhospho
65,F08,792.060255940563,803.788475969297,1034.039796396687,1418.0852003786683,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,Vehicle,8.0,Total Pol II F12,Goat anti-mouse Alexa647,3169,260119_ARMC5mAC_TotalPhospho
66,F09,1127.5381125618715,703.6872996576907,1055.6443510345277,1521.978125,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,10 µM 5PhIAA,8.0,Total Pol II F12,Goat anti-mouse Alexa647,2880,260119_ARMC5mAC_TotalPhospho
67,F10,1093.3937568776348,701.7429955711227,1051.0773756821025,1425.8456889605156,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,10 µM 5PhIAA,8.0,Total Pol II F12,Goat anti-mouse Alexa647,2482,260119_ARMC5mAC_TotalPhospho
68,F11,872.107717635844,748.2859255112846,1078.3198397325355,1505.811123986095,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,Vehicle,8.0,Total Pol II F12,Goat anti-mouse Alexa647,2589,260119_ARMC5mAC_TotalPhospho
69,F12,855.3700183760371,761.0159056416669,1079.1378548957982,1400.806301050175,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,Vehicle,8.0,Total Pol II F12,Goat anti-mouse Alexa647,2571,260119_ARMC5mAC_TotalPhospho
70,F13,1298.4215360351188,691.0551264128643,1082.4493592789254,1514.551435841512,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,10 µM 5PhIAA,8.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,2751,260119_ARMC5mAC_TotalPhospho
71,F14,1336.2454361804823,695.7734665690717,1078.5659187010865,1432.1939592430858,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,10 µM 5PhIAA,8.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,2748,260119_ARMC5mAC_TotalPhospho
72,F15,1249.9139653611135,784.2996104331473,1047.0409592378364,1475.434296977661,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,Vehicle,8.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,3044,260119_ARMC5mAC_TotalPhospho
73,F16,1239.6086112017654,795.4905525932368,1083.5743713633037,1412.7618472683369,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,Vehicle,8.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,3313,260119_ARMC5mAC_TotalPhospho
74,F17,1295.1043330363145,690.0181385050261,1069.559118204567,1496.1550836550837,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,10 µM 5PhIAA,8.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,3108,260119_ARMC5mAC_TotalPhospho
75,F18,1339.7615651121796,690.4855048850317,1102.066920346191,1404.3709222714458,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,10 µM 5PhIAA,8.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,2483,260119_ARMC5mAC_TotalPhospho
76,F19,1300.7151644378869,777.7281971506093,1084.2153977092867,1508.2808544303798,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,Vehicle,8.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,2528,260119_ARMC5mAC_TotalPhospho
77,F20,1319.7812447385745,726.6390714543135,1133.0357599834854,1411.858937544867,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,Vehicle,8.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,2786,260119_ARMC5mAC_TotalPhospho
78,F21,1321.5700544439526,683.5015731542845,1009.987820077073,1507.578538102644,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,10 µM 5PhIAA,8.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,2572,260119_ARMC5mAC_TotalPhospho
79,F22,1346.4089063112192,682.4983455038923,1106.0305934300738,1439.4154727793696,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,10 µM 5PhIAA,8.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,3141,260119_ARMC5mAC_TotalPhospho
80,G03,816.0471599833984,786.6122814028843,1011.3341610593651,1515.8649025069637,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,Vehicle,2.0,Total Pol II F12,Goat anti-mouse Alexa647,2872,260119_ARMC5mAC_TotalPhospho
81,G04,930.4500824911702,727.4742683499477,1204.085930919269,1413.2349066959384,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,Vehicle,2.0,Total Pol II F12,Goat anti-mouse Alexa647,1822,260119_ARMC5mAC_TotalPhospho
82,G05,982.060623258445,708.2234551855895,1084.940106746226,1430.2218009478672,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,10 µM 5PhIAA,2.0,Total Pol II F12,Goat anti-mouse Alexa647,2110,260119_ARMC5mAC_TotalPhospho
83,G06,1025.8577250605165,712.2416975389365,1151.2238947111518,1402.1045690061235,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,10 µM 5PhIAA,2.0,Total Pol II F12,Goat anti-mouse Alexa647,2123,260119_ARMC5mAC_TotalPhospho
84,G07,818.4344618906537,792.2343353639623,1077.6797743095171,1495.9574468085107,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,Vehicle,2.0,Total Pol II F12,Goat anti-mouse Alexa647,2538,260119_ARMC5mAC_TotalPhospho
85,G08,854.99844659303,801.1921171478461,1080.9747134096406,1438.7181751287712,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,Vehicle,2.0,Total Pol II F12,Goat anti-mouse Alexa647,2718,260119_ARMC5mAC_TotalPhospho
86,G09,860.5557969674848,706.9023169050469,979.6707304917213,1522.801080394026,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,10 µM 5PhIAA,2.0,Total Pol II F12,Goat anti-mouse Alexa647,3147,260119_ARMC5mAC_TotalPhospho
87,G10,909.2831123883356,710.7948257170041,1025.3405043802904,1446.264855687606,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,10 µM 5PhIAA,2.0,Total Pol II F12,Goat anti-mouse Alexa647,2945,260119_ARMC5mAC_TotalPhospho
88,G11,805.0213570236994,784.9983139340526,999.116650524014,1525.1671888350897,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,Vehicle,2.0,Total Pol II F12,Goat anti-mouse Alexa647,3511,260119_ARMC5mAC_TotalPhospho
89,G12,796.3754428046003,794.6486239192221,1036.4262224838126,1436.6906112161312,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,Vehicle,2.0,Total Pol II F12,Goat anti-mouse Alexa647,3174,260119_ARMC5mAC_TotalPhospho
90,G13,1242.2195036345202,693.461936712648,979.1558859103382,1591.4340727048675,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,10 µM 5PhIAA,2.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,3246,260119_ARMC5mAC_TotalPhospho
91,G14,1269.128146876693,697.762998169655,1031.2335602101266,1444.9585669781932,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,10 µM 5PhIAA,2.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,3210,260119_ARMC5mAC_TotalPhospho
