,EXPERIMENT,WELL,CELL,DRUG_1,DRUG_TIME_MINUTES_1,DRUG_2,DRUG_TIME_MINUTES_2,TIME_HR,RFP_Intensity,RFP_Intensity_BGS,RFP_Intensity_Fraction
95,250512_mACmChPOLR2A_Inhibitors_Chase,G18,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,1440,Cycloheximide 50 µg/mL,240,4.0,156.9199979346475,22.785439046991115,0.5322411495525969
96,250512_mACmChPOLR2A_Inhibitors_Chase,G19,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,1440,Vehicle,240,4.0,176.23360971695834,42.099050829301945,0.9833844834962603
97,250512_mACmChPOLR2A_Inhibitors_Chase,G20,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,1440,Leptomycin 10 ng/mL,240,4.0,163.98556335487075,29.851004467214352,0.697284476290481
98,250512_mACmChPOLR2A_Inhibitors_Chase,G21,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,1440,Cycloheximide 50 µg/mL,240,4.0,168.00504371931606,33.87048483165967,0.7911748264112073
101,250512_mACmChPOLR2A_Inhibitors_Chase,H04,HCT116 mChPOLR2A Clone 2,Vehicle,1440,Vehicle,480,8.0,179.44411735723037,45.30955846957397,1.058378178969134
102,250512_mACmChPOLR2A_Inhibitors_Chase,H05,HCT116 mChPOLR2A Clone 2,Vehicle,1440,Leptomycin 10 ng/mL,480,8.0,158.93904134240168,24.804482454745283,0.5794036370571587
103,250512_mACmChPOLR2A_Inhibitors_Chase,H06,HCT116 mChPOLR2A Clone 2,Vehicle,1440,Cycloheximide 50 µg/mL,480,8.0,157.85060523852832,23.71604635087192,0.5539790454157434
104,250512_mACmChPOLR2A_Inhibitors_Chase,H07,HCT116 mChPOLR2A Clone 2,Vehicle,1440,Vehicle,480,8.0,178.25624248944015,44.12168360178376,1.0306308143538012
105,250512_mACmChPOLR2A_Inhibitors_Chase,H08,HCT116 mChPOLR2A Clone 2,Vehicle,1440,Leptomycin 10 ng/mL,480,8.0,159.71879283794505,25.58423395028865,0.597617718054126
106,250512_mACmChPOLR2A_Inhibitors_Chase,H09,HCT116 mChPOLR2A Clone 2,Vehicle,1440,Cycloheximide 50 µg/mL,480,8.0,157.8184460948449,23.68388720718849,0.553227845512709
107,250512_mACmChPOLR2A_Inhibitors_Chase,H10,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,1440,Vehicle,480,8.0,162.93454051449956,28.799981626843163,0.6727338146327646
108,250512_mACmChPOLR2A_Inhibitors_Chase,H11,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,1440,Leptomycin 10 ng/mL,480,8.0,150.69138000380462,16.556821116148228,0.38674793518886025
109,250512_mACmChPOLR2A_Inhibitors_Chase,H12,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,1440,Cycloheximide 50 µg/mL,480,8.0,153.3609302933196,19.2263714056632,0.44910550099874724
110,250512_mACmChPOLR2A_Inhibitors_Chase,H13,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,1440,Vehicle,480,8.0,174.43682177652946,40.30226288887306,0.9414136232050078
111,250512_mACmChPOLR2A_Inhibitors_Chase,H14,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,1440,Leptomycin 10 ng/mL,480,8.0,156.4919937951892,22.35743490753279,0.5222434745142198
112,250512_mACmChPOLR2A_Inhibitors_Chase,H15,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,1440,Cycloheximide 50 µg/mL,480,8.0,158.63504421734507,24.500485329688672,0.5723026205278248
113,250512_mACmChPOLR2A_Inhibitors_Chase,H16,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,1440,Vehicle,480,8.0,163.8661414825435,29.7315825948871,0.6944949213260979
114,250512_mACmChPOLR2A_Inhibitors_Chase,H17,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,1440,Leptomycin 10 ng/mL,480,8.0,151.9533032833685,17.818744395712116,0.4162249839118235
115,250512_mACmChPOLR2A_Inhibitors_Chase,H18,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,1440,Cycloheximide 50 µg/mL,480,8.0,154.18924710358323,20.05468821592683,0.4684540108246604
116,250512_mACmChPOLR2A_Inhibitors_Chase,H19,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,1440,Vehicle,480,8.0,175.8768478784291,41.74228899077269,0.9750509451051981
117,250512_mACmChPOLR2A_Inhibitors_Chase,H20,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,1440,Leptomycin 10 ng/mL,480,8.0,157.03944357601725,22.904884688360852,0.5350312597339529
118,250512_mACmChPOLR2A_Inhibitors_Chase,H21,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,1440,Cycloheximide 50 µg/mL,480,8.0,159.33987351515466,25.205314627498268,0.5887666068012894
121,250512_mACmChPOLR2A_Inhibitors_Chase,I04,HCT116 mChPOLR2A Clone 2,Vehicle,1440,Vehicle,30,0.5,175.31504333623266,41.180484448576266,0.9619278494849721
122,250512_mACmChPOLR2A_Inhibitors_Chase,I05,HCT116 mChPOLR2A Clone 2,Vehicle,1440,Leptomycin 10 ng/mL,30,0.5,173.34981718540507,39.215258297748676,0.9160224700235469
123,250512_mACmChPOLR2A_Inhibitors_Chase,I06,HCT116 mChPOLR2A Clone 2,Vehicle,1440,Cycloheximide 50 µg/mL,30,0.5,175.49564253788031,41.36108365022392,0.9661464351569441
124,250512_mACmChPOLR2A_Inhibitors_Chase,I07,HCT116 mChPOLR2A Clone 2,Vehicle,1440,Vehicle,30,0.5,174.58602982099666,40.45147093334026,0.9448989482385056
125,250512_mACmChPOLR2A_Inhibitors_Chase,I08,HCT116 mChPOLR2A Clone 2,Vehicle,1440,Leptomycin 10 ng/mL,30,0.5,172.98148706023278,38.84692817257638,0.9074187100155763
126,250512_mACmChPOLR2A_Inhibitors_Chase,I09,HCT116 mChPOLR2A Clone 2,Vehicle,1440,Cycloheximide 50 µg/mL,30,0.5,173.76947942311182,39.63492053545542,0.9258252880144667
127,250512_mACmChPOLR2A_Inhibitors_Chase,I10,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,1440,Vehicle,30,0.5,163.18912950140418,29.054570613747785,0.6786807149656524
128,250512_mACmChPOLR2A_Inhibitors_Chase,I11,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,1440,Leptomycin 10 ng/mL,30,0.5,158.1925346304043,24.057975742747914,0.5619661152379477
129,250512_mACmChPOLR2A_Inhibitors_Chase,I12,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,1440,Cycloheximide 50 µg/mL,30,0.5,163.55026733256827,29.41570844491187,0.6871164714156072
130,250512_mACmChPOLR2A_Inhibitors_Chase,I13,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,1440,Vehicle,30,0.5,175.80507395481845,41.67051506716206,0.9733743903751514
131,250512_mACmChPOLR2A_Inhibitors_Chase,I14,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,1440,Leptomycin 10 ng/mL,30,0.5,167.07135636743322,32.93679747977683,0.7693649842368269
132,250512_mACmChPOLR2A_Inhibitors_Chase,I15,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,1440,Cycloheximide 50 µg/mL,30,0.5,173.12206519138732,38.987506303730925,0.9107024503891255
133,250512_mACmChPOLR2A_Inhibitors_Chase,I16,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,1440,Vehicle,30,0.5,164.64207350694548,30.507514619289083,0.7126197839539664
134,250512_mACmChPOLR2A_Inhibitors_Chase,I17,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,1440,Leptomycin 10 ng/mL,30,0.5,158.28647261711063,24.151913729454236,0.5641603965036331
135,250512_mACmChPOLR2A_Inhibitors_Chase,I18,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,1440,Cycloheximide 50 µg/mL,30,0.5,161.87082477472188,27.736265887065485,0.647886661722133
136,250512_mACmChPOLR2A_Inhibitors_Chase,I19,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,1440,Vehicle,30,0.5,179.1378223656772,45.00326347802081,1.0512234869717472
137,250512_mACmChPOLR2A_Inhibitors_Chase,I20,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,1440,Leptomycin 10 ng/mL,30,0.5,168.1581835130012,34.02362462534481,0.7947519924980724
138,250512_mACmChPOLR2A_Inhibitors_Chase,I21,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,1440,Cycloheximide 50 µg/mL,30,0.5,177.79819726443571,43.66363837677932,1.0199314147679226
141,250512_mACmChPOLR2A_Inhibitors_Chase,J04,HCT116 mChPOLR2A Clone 2,Vehicle,1440,Vehicle,60,1.0,175.9122301747348,41.77767128707839,0.9758774340756637
142,250512_mACmChPOLR2A_Inhibitors_Chase,J05,HCT116 mChPOLR2A Clone 2,Vehicle,1440,Leptomycin 10 ng/mL,60,1.0,172.003415631505,37.868856743848596,0.8845721078282303
143,250512_mACmChPOLR2A_Inhibitors_Chase,J06,HCT116 mChPOLR2A Clone 2,Vehicle,1440,Cycloheximide 50 µg/mL,60,1.0,175.32223018827284,41.187671300616444,0.9620957259249933
144,250512_mACmChPOLR2A_Inhibitors_Chase,J07,HCT116 mChPOLR2A Clone 2,Vehicle,1440,Vehicle,60,1.0,176.16196792206262,42.02740903440622,0.9817110151381271
145,250512_mACmChPOLR2A_Inhibitors_Chase,J08,HCT116 mChPOLR2A Clone 2,Vehicle,1440,Leptomycin 10 ng/mL,60,1.0,172.2639553513159,38.1293964636595,0.8906580103070144
146,250512_mACmChPOLR2A_Inhibitors_Chase,J09,HCT116 mChPOLR2A Clone 2,Vehicle,1440,Cycloheximide 50 µg/mL,60,1.0,174.88094597127397,40.74638708361758,0.951787843840715
147,250512_mACmChPOLR2A_Inhibitors_Chase,J10,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,1440,Vehicle,60,1.0,163.03753576842144,28.90297688076504,0.6751396630446731
148,250512_mACmChPOLR2A_Inhibitors_Chase,J11,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,1440,Leptomycin 10 ng/mL,60,1.0,158.57471016982163,24.440151282165232,0.5708932878946106
149,250512_mACmChPOLR2A_Inhibitors_Chase,J12,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,1440,Cycloheximide 50 µg/mL,60,1.0,162.79491226976495,28.660353382108553,0.6694722624926327
150,250512_mACmChPOLR2A_Inhibitors_Chase,J13,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,1440,Vehicle,60,1.0,175.0927152258198,40.958156338163406,0.9567345254142813
151,250512_mACmChPOLR2A_Inhibitors_Chase,J14,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,1440,Leptomycin 10 ng/mL,60,1.0,167.34217566032885,33.20761677267245,0.7756910054942853
152,250512_mACmChPOLR2A_Inhibitors_Chase,J15,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,1440,Cycloheximide 50 µg/mL,60,1.0,171.80042917753877,37.66587028988238,0.879830582181971
153,250512_mACmChPOLR2A_Inhibitors_Chase,J16,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,1440,Vehicle,60,1.0,165.20331325198106,31.06875436432466,0.7257296865745082
154,250512_mACmChPOLR2A_Inhibitors_Chase,J17,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,1440,Leptomycin 10 ng/mL,60,1.0,156.38218990286967,22.247631015213273,0.5196785842896793
