,WELL,RFP_Intensity,GFP_Intensity,DAPI_Intensity,NucleusArea,CELL,DRUG_1,DRUG_TIME_MINUTES_1,DRUG_2,DRUG_TIME_MINUTES_2,EXPERIMENT,ROW,COLUMN,GFP_Intensity_BGS,RFP_Intensity_BGS,RFP_Intensity_Fraction,RFP_Intensity_Fraction2,DRUG_2_TIME_IN,RFP_Intensity_Decay,Log_RFP_Intensity_Decay,TIME_HR,DRUG_2_TIME_HOURS
68,F11,156.68673077401624,217.58617004900753,248.71418032727374,1655.9081481481483,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,1440,Leptomycin 10 ng/mL,120,250512_mACmChPOLR2A_Inhibitors_Chase,F,11,41.614462312989474,22.552171886359844,0.5267923020903554,0.5267923020903554,120,0.755955944619619,-0.27977217881329103,2.0,2.0
69,F12,161.07135643573062,228.1062599742275,275.6381736763426,1508.8067226890757,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,1440,Cycloheximide 50 µg/mL,120,250512_mACmChPOLR2A_Inhibitors_Chase,F,12,52.13455223820944,26.936797548074225,0.6292120183721379,0.6292120183721379,120,0.9029299855504379,-0.10211026395274957,2.0,2.0
70,F13,178.15817124108054,181.35898423321947,280.174519959245,1422.0442043222004,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,1440,Vehicle,120,250512_mACmChPOLR2A_Inhibitors_Chase,F,13,5.387276497201412,44.02361235342414,1.0283399849404495,1.0283399849404495,0,1.0417203921711735,0.040873569674560566,2.0,0.0
71,F14,166.16591235077428,178.94880423162633,261.08457802454785,1727.3151298119965,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,1440,Leptomycin 10 ng/mL,120,250512_mACmChPOLR2A_Inhibitors_Chase,F,14,2.977096495608265,32.03135346311788,0.7482148732695458,0.7482148732695458,120,0.7579503886117902,-0.277137345861959,2.0,2.0
72,F15,168.86233596132007,178.172322556375,265.50067841542705,1547.9168110918545,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,1440,Cycloheximide 50 µg/mL,120,250512_mACmChPOLR2A_Inhibitors_Chase,F,15,2.2006148203569467,34.727777073663674,0.8112001683607621,0.8112001683607621,120,0.8217552267628988,-0.19631270593123523,2.0,2.0
73,F16,166.16626379308522,232.245951647446,282.97539015664614,1407.8018120045301,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,1440,Vehicle,120,250512_mACmChPOLR2A_Inhibitors_Chase,F,16,56.27424391142793,32.031704905428825,0.7482230825500075,0.7482230825500075,0,1.0737128938878806,0.07112263622246885,2.0,0.0
74,F17,158.0888403656602,220.52434732734827,261.40766578230443,1781.593220338983,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,1440,Leptomycin 10 ng/mL,120,250512_mACmChPOLR2A_Inhibitors_Chase,F,17,44.552639591330205,23.954281478003793,0.5595439387525352,0.5595439387525352,120,0.8029551022241469,-0.21945647914630242,2.0,2.0
75,F18,163.85839278624175,233.57084940147388,291.93730357861955,1439.0854037267081,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,1440,Cycloheximide 50 µg/mL,120,250512_mACmChPOLR2A_Inhibitors_Chase,F,18,57.59914166545582,29.723833898585355,0.6943139208626585,0.6943139208626585,120,0.9963523267624678,-0.0036543422200080327,2.0,2.0
76,F19,177.96191056235241,180.20164648746731,289.2361547245922,1377.4705882352941,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,1440,Vehicle,120,250512_mACmChPOLR2A_Inhibitors_Chase,F,19,4.229938751449254,43.82735167469602,1.0237555655205384,1.0237555655205384,0,1.0370763218579262,0.036405525244949596,2.0,0.0
77,F20,166.63299518549536,179.39351936429327,263.1702371619793,1815.6416097190586,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,1440,Leptomycin 10 ng/mL,120,250512_mACmChPOLR2A_Inhibitors_Chase,F,20,3.421811628275208,32.498436297838964,0.7591253808255134,0.7591253808255134,120,0.7690028599504859,-0.2626605904320617,2.0,2.0
