,Experiment,TREATMENT_CODE,FIRST_TREATMENT,SECOND_TREATMENT,TIME_HR,GFP_Intensity_BleachCorrected,RFP_Intensity_BleachCorrected
35,020925,AUX_VEH,10 µM 5PhIAA,Vehicle,6.0,0.5968858125071531,1.175803888641362
36,020925,AUX_VEH,10 µM 5PhIAA,Vehicle,6.5,0.624725993359707,1.1625836369704423
37,020925,AUX_VEH,10 µM 5PhIAA,Vehicle,7.0,0.6438396574197421,1.149452209335563
38,020925,AUX_VEH,10 µM 5PhIAA,Vehicle,7.5,0.6619787577766407,1.132787372724726
39,020925,AUX_VEH,10 µM 5PhIAA,Vehicle,8.0,0.6824669085873806,1.1260652782758511
40,020925,AUX_VEH,10 µM 5PhIAA,Vehicle,8.5,0.6967396065284553,1.112090868013984
41,020925,AUX_VEH,10 µM 5PhIAA,Vehicle,9.0,0.7083310674321954,1.1112515524150863
42,020925,AUX_VEH,10 µM 5PhIAA,Vehicle,9.5,0.7183208843835938,1.092545563816728
43,020925,AUX_VEH,10 µM 5PhIAA,Vehicle,10.0,0.7312418357092302,1.085901508267112
44,020925,AUX_VEH,10 µM 5PhIAA,Vehicle,10.5,0.7406217112950414,1.0767375133506907
45,020925,AUX_VEH,10 µM 5PhIAA,Vehicle,11.0,0.7522355101482291,1.0656523971971672
46,020925,AUX_VEH,10 µM 5PhIAA,Vehicle,11.5,0.7556514694523001,1.0576729784747578
47,020925,AUX_VEH,10 µM 5PhIAA,Vehicle,12.0,0.7554906794461834,1.0499250151024446
48,020925,VEH_AUX,Vehicle,10 µM 5PhIAA,0.5,0.46715848234866464,1.0526743651193688
49,020925,VEH_AUX,Vehicle,10 µM 5PhIAA,1.0,0.25085408969815426,0.9947570457585949
50,020925,VEH_AUX,Vehicle,10 µM 5PhIAA,1.5,0.15868471434942588,1.0379311192072362
51,020925,VEH_AUX,Vehicle,10 µM 5PhIAA,2.0,0.12772975387845129,1.0335046589440482
52,020925,VEH_AUX,Vehicle,10 µM 5PhIAA,2.5,0.11939126864919601,1.0599820116825274
53,020925,VEH_AUX,Vehicle,10 µM 5PhIAA,3.0,0.1184394021247324,1.0894393646288565
54,020925,VEH_AUX,Vehicle,10 µM 5PhIAA,3.5,0.12170592636717756,1.1148431053898722
55,020925,VEH_AUX,Vehicle,10 µM 5PhIAA,4.0,0.12430220586053345,1.1599023506141846
56,020925,VEH_AUX,Vehicle,10 µM 5PhIAA,4.5,0.11985476612824994,1.1733317321993677
57,020925,VEH_AUX,Vehicle,10 µM 5PhIAA,5.0,0.11741431487171677,1.1890589632603932
58,020925,VEH_AUX,Vehicle,10 µM 5PhIAA,5.5,0.12190682660641367,1.2041430861804192
59,020925,VEH_AUX,Vehicle,10 µM 5PhIAA,6.0,0.12702140671406809,1.2203045279532332
60,020925,VEH_AUX,Vehicle,10 µM 5PhIAA,6.5,0.12678972019169565,1.2207272290223818
61,020925,VEH_AUX,Vehicle,10 µM 5PhIAA,7.0,0.12960548690844273,1.2257179068691293
62,020925,VEH_AUX,Vehicle,10 µM 5PhIAA,7.5,0.13247562116364575,1.2411168876534324
63,020925,VEH_AUX,Vehicle,10 µM 5PhIAA,8.0,0.13405623336663258,1.2396321307197244
64,020925,VEH_AUX,Vehicle,10 µM 5PhIAA,8.5,0.1382430856454656,1.241806444950412
65,020925,VEH_AUX,Vehicle,10 µM 5PhIAA,9.0,0.137069127187918,1.242250392468408
66,020925,VEH_AUX,Vehicle,10 µM 5PhIAA,9.5,0.1427887407583832,1.2354427271080046
