Primary,Cell,Drug,mean_Nuclei_intensity_mean_488,sd_Nuclei_intensity_mean_488,mean_Nuclei_intensity_mean_488_plate_normalised,sd_Nuclei_intensity_mean_488_plate_normalised
pSer2 Pol II 3E10,HEK293 ARMC5 KO 2B6,Vehicle,346.312834735086,38.36850043310432,341.3785766180758,37.64339842399662
pSer2 Pol II 3E10,HEK293 ARMC5 KO 2B6,Triptolide 300 nM,254.41219229845487,17.160281741744743,250.68032660355908,14.836228673185214
pSer2 Pol II 3E10,HEK293 ARMC5 KO 2B6,LDC4297 10 µM,209.2525772602578,47.919325099951024,205.73710743593705,44.43866897712314
pSer2 Pol II 3E10,HEK293 ARMC5 KO 2B6,THZ1 1 µM,90.31031485052911,10.813228945210215,89.03459578865834,10.931596770858377
pSer2 Pol II 3E10,HEK293 ARMC5 KO 2B6,AZD4573 1 µM,85.82302131234498,10.586591650677413,84.56619629086578,10.207512942150213
pSer2 Pol II 3E10,HEK293 ARMC5 KO 2B6,DRB 100 µM,152.68923399487562,12.338088356242158,150.4006004934466,10.309047651599203
pSer2 Pol II 3E10,HEK293 parental,Vehicle,297.1154453972169,47.87730821026513,293.1019188743198,49.534681944765516
pSer2 Pol II 3E10,HEK293 parental,Triptolide 300 nM,52.53622278218468,4.806430240218841,51.76119621996171,4.345129391164921
pSer2 Pol II 3E10,HEK293 parental,LDC4297 10 µM,204.88678483929678,36.141296704846944,201.66071581844503,33.723674713391965
pSer2 Pol II 3E10,HEK293 parental,THZ1 1 µM,54.944750224736005,9.407487008143725,54.16501825896342,9.410371704606415
pSer2 Pol II 3E10,HEK293 parental,AZD4573 1 µM,83.44171214964585,11.749115349992726,82.30838313636195,12.210990918807907
pSer2 Pol II 3E10,HEK293 parental,DRB 100 µM,129.04446244525695,22.563044217878158,127.39634857003415,23.741666309423763
pSer5 Pol II 3E8,HEK293 ARMC5 KO 1A3,Vehicle,1255.3857084914098,61.71844119328325,1221.2277802371545,60.18818330682957
pSer5 Pol II 3E8,HEK293 ARMC5 KO 1A3,Triptolide 300 nM,2000.5156608177278,176.569848222578,1945.4469958261575,161.7791111850355
pSer5 Pol II 3E8,HEK293 ARMC5 KO 1A3,LDC4297 10 µM,267.0508038095172,27.051760326379018,259.4291172019323,22.109512394252583
pSer5 Pol II 3E8,HEK293 ARMC5 KO 1A3,THZ1 1 µM,480.52356796216714,35.733348423026214,467.00156687536276,26.620541069127626
pSer5 Pol II 3E8,HEK293 ARMC5 KO 1A3,AZD4573 1 µM,922.8400365704044,87.34275833445713,896.5970085396233,68.85489094997232
pSer5 Pol II 3E8,HEK293 ARMC5 KO 1A3,DRB 100 µM,1080.7727535470397,81.05709033504895,1051.337943439901,79.29032627323389
pSer5 Pol II 3E8,HEK293 ARMC5 KO 2B6,Vehicle,1213.5106282142576,95.56770469985365,1179.6961874386377,81.210975247436
pSer5 Pol II 3E8,HEK293 ARMC5 KO 2B6,Triptolide 300 nM,1846.5613167909232,83.55531540600082,1796.8486175205753,96.61283820438531
pSer5 Pol II 3E8,HEK293 ARMC5 KO 2B6,LDC4297 10 µM,255.7980153649629,50.75737509982986,247.9635029637179,44.147780094730294
pSer5 Pol II 3E8,HEK293 ARMC5 KO 2B6,THZ1 1 µM,488.4867262795885,57.321513403593656,472.0002220399823,48.578615821223245
pSer5 Pol II 3E8,HEK293 ARMC5 KO 2B6,AZD4573 1 µM,854.3664981389488,100.50662697188585,830.0833424510308,86.89335692390868
pSer5 Pol II 3E8,HEK293 ARMC5 KO 2B6,DRB 100 µM,997.4612238535666,71.08626105867728,969.6052529948835,57.25066354085562
pSer5 Pol II 3E8,HEK293 parental,Vehicle,825.6967248300251,59.27086289755348,803.1572048782707,56.248505979033744
pSer5 Pol II 3E8,HEK293 parental,Triptolide 300 nM,108.4516929743111,4.293709966350945,105.54117564340237,5.370102695685942
pSer5 Pol II 3E8,HEK293 parental,LDC4297 10 µM,171.01798539426684,26.231481920474753,166.2651945074833,24.74541274498733
pSer5 Pol II 3E8,HEK293 parental,THZ1 1 µM,220.2554840902408,26.037174656884282,213.8592514126425,20.993673103892483
pSer5 Pol II 3E8,HEK293 parental,AZD4573 1 µM,522.4615483151092,42.18146175669066,507.69546115570927,31.98500818996283
pSer5 Pol II 3E8,HEK293 parental,DRB 100 µM,651.8497809687094,58.31612585987908,633.9847635266439,55.31831673645322
