,WELL,IF_561_Intensity,GFP_Intensity,DAPI_Intensity,NucleusArea,CELL,EU,DRUG,DRUG TIME HOURS,PRIMARY,SECONDARY,TotalNumberCells,Alexa647_Intensity,NucleusArea2,EXPERIMENT
10,C13,663.7572245277357,341.50999758433966,538.0157795405806,1705.4516864175023,HCT116 OsTIRF74G,No addition,No addition,No addition,Total Pol II F12,Goat anti-mouse Alexa647,4388,134.33768648700902,1597.3234476367006,250128_ARMC5mAC_TotalPolII
11,C14,657.3248609226792,341.2428290789214,553.7726059869697,1651.0299928588431,HCT116 OsTIRF74G,No addition,No addition,No addition,Total Pol II F12,Goat anti-mouse Alexa647,4201,135.05071529895164,1560.625925925926,250128_ARMC5mAC_TotalPolII
12,C15,665.5884703573038,341.42985504096725,542.1976638021594,1707.1304981773997,HCT116 OsTIRF74G,No addition,No addition,No addition,Total Pol II F12,Goat anti-mouse Alexa647,4115,133.6093401881522,1608.9283110571082,250128_ARMC5mAC_TotalPolII
13,C16,682.5294233707541,340.30491484839,569.1363721494865,1685.700612780858,HCT116 OsTIRF74G,No addition,No addition,No addition,Total Pol II F12,Goat anti-mouse Alexa647,3427,134.62453231813322,1585.3073047858943,250128_ARMC5mAC_TotalPolII
14,C17,611.4975824503425,330.1272720506812,525.2306221917418,1737.7508524111056,HCT116 OsTIRF74G,No addition,No addition,No addition,Total Pol II F12,Goat anti-mouse Alexa647,4106,133.0392246162553,1621.171089925277,250128_ARMC5mAC_TotalPolII
15,C18,612.1312588177075,334.0040597591726,539.7380982598556,1682.9422300706358,HCT116 OsTIRF74G,No addition,No addition,No addition,Total Pol II F12,Goat anti-mouse Alexa647,3964,133.59737518338292,1586.9694555112883,250128_ARMC5mAC_TotalPolII
16,C19,640.4731394431342,336.0355610242101,553.896534513802,1697.2709331829715,HCT116 OsTIRF74G,No addition,No addition,No addition,Total Pol II F12,Goat anti-mouse Alexa647,3547,134.42206750464482,1583.7277628032346,250128_ARMC5mAC_TotalPolII
17,C20,643.7464840734317,336.4414116625175,551.218410193072,1717.2533333333333,HCT116 OsTIRF74G,No addition,No addition,No addition,Total Pol II F12,Goat anti-mouse Alexa647,3225,135.25748782955094,1627.2592091922947,250128_ARMC5mAC_TotalPolII
18,C21,628.8541726860642,336.3533708358453,543.432814640247,1717.9690964057777,HCT116 OsTIRF74G,No addition,No addition,No addition,Total Pol II F12,Goat anti-mouse Alexa647,2977,135.12592741509857,1626.5133004926108,250128_ARMC5mAC_TotalPolII
19,C22,593.0038956813531,336.31104335873096,508.4471597245902,1697.4161123429417,HCT116 OsTIRF74G,No addition,No addition,No addition,Total Pol II F12,Goat anti-mouse Alexa647,4059,134.05475641963005,1602.0577133479212,250128_ARMC5mAC_TotalPolII
20,D03,546.3570348761623,332.31868710301404,495.7967895173023,1663.4580169234107,HCT116 OsTIRF74G,"EU 1 mM, 30 mins",No addition,No addition,Total Pol II F12,Goat anti-mouse Alexa647,4609,154.77791781634906,1556.8863687401752,250128_ARMC5mAC_TotalPolII
21,D04,686.357852861707,389.9334027474956,620.2351805396241,1409.8309859154929,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,"EU 1 mM, 30 mins",Vehicle,72,Total Pol II F12,Goat anti-mouse Alexa647,2201,178.93250473253315,1308.151563328034,250128_ARMC5mAC_TotalPolII
22,D05,634.9962793784798,396.8964035512113,597.7907746874411,1457.9972440944882,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,"EU 1 mM, 30 mins",Vehicle,72,Total Pol II F12,Goat anti-mouse Alexa647,2540,168.7720082443049,1333.4357233771743,250128_ARMC5mAC_TotalPolII
23,D06,544.9058906643372,331.8465215302753,511.77590034357996,1657.3929374718848,HCT116 OsTIRF74G,"EU 1 mM, 30 mins",Vehicle,72,Total Pol II F12,Goat anti-mouse Alexa647,4446,171.00314976960018,1560.291325695581,250128_ARMC5mAC_TotalPolII
24,D07,1057.7387459307242,333.85903661307435,591.614509842754,1567.3553008595989,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,"EU 1 mM, 30 mins",10 µM 5PhIAA,72,Total Pol II F12,Goat anti-mouse Alexa647,2443,170.61123967108148,1470.529355608592,250128_ARMC5mAC_TotalPolII
25,D08,916.9500012224066,331.611448544064,590.5895311188721,1483.0136601044596,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,"EU 1 mM, 30 mins",10 µM 5PhIAA,72,Total Pol II F12,Goat anti-mouse Alexa647,2489,163.91047856281338,1350.341869918699,250128_ARMC5mAC_TotalPolII
26,D09,560.3638972456741,330.5283275274619,508.57414229980833,1652.8435,HCT116 OsTIRF74G,"EU 1 mM, 30 mins",10 µM 5PhIAA,72,Total Pol II F12,Goat anti-mouse Alexa647,4000,160.55190755696302,1546.4323308270677,250128_ARMC5mAC_TotalPolII
27,D10,680.5962747450841,389.07359886358523,615.514396889419,1450.5694783032668,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,"EU 1 mM, 30 mins",Vehicle,72,Total Pol II F12,Goat anti-mouse Alexa647,2051,176.71388338411228,1367.4,250128_ARMC5mAC_TotalPolII
28,D11,627.9657676270855,395.5227885365621,586.2136926740873,1451.3248756218904,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,"EU 1 mM, 30 mins",Vehicle,72,Total Pol II F12,Goat anti-mouse Alexa647,2010,,,250128_ARMC5mAC_TotalPolII
29,D12,539.7784439339149,335.40070779129155,517.1468424496031,1645.0185603210434,HCT116 OsTIRF74G,"EU 1 mM, 30 mins",Vehicle,72,Total Pol II F12,Goat anti-mouse Alexa647,3987,,,250128_ARMC5mAC_TotalPolII
30,D13,1097.5955261069657,336.976326353251,579.7171047846555,1526.069492360769,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,"EU 1 mM, 30 mins",10 µM 5PhIAA,72,Total Pol II F12,Goat anti-mouse Alexa647,2029,,,250128_ARMC5mAC_TotalPolII
31,D14,1000.7482129162719,336.2677233957532,612.5261960362045,1482.89294523927,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,"EU 1 mM, 30 mins",10 µM 5PhIAA,72,Total Pol II F12,Goat anti-mouse Alexa647,2027,164.84760369816917,1442.897233201581,250128_ARMC5mAC_TotalPolII
32,D15,605.2083467894364,334.44280018790016,508.6056702879437,1621.5807248764415,HCT116 OsTIRF74G,"EU 1 mM, 30 mins",10 µM 5PhIAA,72,Total Pol II F12,Goat anti-mouse Alexa647,3642,164.81158695292186,1537.8549684089603,250128_ARMC5mAC_TotalPolII
33,D16,704.6582465405261,394.3954676579332,635.6657903100718,1410.6311280342693,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,"EU 1 mM, 30 mins",Vehicle,72,Total Pol II F12,Goat anti-mouse Alexa647,2101,178.82316979030938,1326.2288770053476,250128_ARMC5mAC_TotalPolII
34,D17,633.2634216950819,395.38491137312906,616.5057193609673,1417.8011289622232,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,"EU 1 mM, 30 mins",Vehicle,72,Total Pol II F12,Goat anti-mouse Alexa647,2303,166.85877257770443,1288.3047381546135,250128_ARMC5mAC_TotalPolII
35,D18,569.3803693887911,335.8341609336834,521.5835303912808,1681.4311499272198,HCT116 OsTIRF74G,"EU 1 mM, 30 mins",Vehicle,72,Total Pol II F12,Goat anti-mouse Alexa647,3435,163.99849652864125,1597.562363919129,250128_ARMC5mAC_TotalPolII
36,D19,1069.2877651083877,338.2947337110109,573.4557112878978,1539.9557428872497,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,"EU 1 mM, 30 mins",10 µM 5PhIAA,72,Total Pol II F12,Goat anti-mouse Alexa647,1898,165.8058519781892,1429.8251366120219,250128_ARMC5mAC_TotalPolII
37,D20,982.1081578650109,342.77423810765515,618.0040310640543,1525.320874471086,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,"EU 1 mM, 30 mins",10 µM 5PhIAA,72,Total Pol II F12,Goat anti-mouse Alexa647,2836,166.16527094229033,1408.1037296037296,250128_ARMC5mAC_TotalPolII
38,D21,565.7090532852127,336.17315544093873,491.3726635123911,1697.8957277335264,HCT116 OsTIRF74G,"EU 1 mM, 30 mins",10 µM 5PhIAA,72,Total Pol II F12,Goat anti-mouse Alexa647,4143,159.74452548885557,1598.1675353685778,250128_ARMC5mAC_TotalPolII
39,D22,561.6196916738088,334.66323358741505,499.0967573273731,1696.4068259385665,HCT116 OsTIRF74G,"EU 1 mM, 30 mins",No addition,No addition,Total Pol II F12,Goat anti-mouse Alexa647,4395,157.782880978648,1605.571567436209,250128_ARMC5mAC_TotalPolII
40,E03,574.4658244355284,333.0652126184055,472.91405822644975,1632.3983559209064,HCT116 OsTIRF74G,"EU 1 mM, 30 mins",No addition,No addition,Total Pol II F12,Goat anti-mouse Alexa647,4501,159.91852934638612,1540.6165572232646,250128_ARMC5mAC_TotalPolII
41,E04,741.9329049377556,389.487840186728,595.8706104815539,1452.0608695652174,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,"EU 1 mM, 30 mins",Vehicle,48,Total Pol II F12,Goat anti-mouse Alexa647,2300,180.25069794446384,1342.736040609137,250128_ARMC5mAC_TotalPolII
42,E05,672.8944299296024,393.77221529205076,580.9149681603327,1417.1104270873413,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,"EU 1 mM, 30 mins",Vehicle,48,Total Pol II F12,Goat anti-mouse Alexa647,2599,173.39101717888664,1290.210193955796,250128_ARMC5mAC_TotalPolII
43,E06,604.095827601115,331.45589452756195,510.86722044237297,1633.8882820258193,HCT116 OsTIRF74G,"EU 1 mM, 30 mins",Vehicle,48,Total Pol II F12,Goat anti-mouse Alexa647,4028,171.4762180014297,1530.1024193548387,250128_ARMC5mAC_TotalPolII
44,E07,1121.9891088014544,331.79310518783643,574.1066744104253,1429.9648941662365,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,"EU 1 mM, 30 mins",10 µM 5PhIAA,48,Total Pol II F12,Goat anti-mouse Alexa647,1937,177.84663206235942,1313.1284760845383,250128_ARMC5mAC_TotalPolII
45,E08,1007.0731083463863,331.5370563776124,591.619335432815,1416.4035087719299,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,"EU 1 mM, 30 mins",10 µM 5PhIAA,48,Total Pol II F12,Goat anti-mouse Alexa647,1995,172.0312276876062,1315.8980789754535,250128_ARMC5mAC_TotalPolII
46,E09,583.9950947969751,330.96542666540677,487.3616340957792,1672.4733659660237,HCT116 OsTIRF74G,"EU 1 mM, 30 mins",10 µM 5PhIAA,48,Total Pol II F12,Goat anti-mouse Alexa647,3473,164.82730523884857,1549.5941002949853,250128_ARMC5mAC_TotalPolII
47,E10,936.0438242002107,336.14156166119267,590.071454413261,1434.96802646086,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,"EU 1 mM, 30 mins",Vehicle,48,Total Pol II F12,Goat anti-mouse Alexa647,1814,182.61106612297527,1332.9573901464714,250128_ARMC5mAC_TotalPolII
48,E11,644.9057722744259,392.4030631980047,583.1756130058654,1417.6863636363637,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,"EU 1 mM, 30 mins",Vehicle,48,Total Pol II F12,Goat anti-mouse Alexa647,2640,168.52848316931576,1294.4561933534744,250128_ARMC5mAC_TotalPolII
49,E12,582.7096290483788,333.8692014688124,505.0036149491775,1585.9269394261423,HCT116 OsTIRF74G,"EU 1 mM, 30 mins",Vehicle,48,Total Pol II F12,Goat anti-mouse Alexa647,3764,169.28473858446682,1492.9282485875706,250128_ARMC5mAC_TotalPolII
50,E13,1034.1542197095798,337.57927613105886,577.0190360577013,1435.577441077441,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,"EU 1 mM, 30 mins",10 µM 5PhIAA,48,Total Pol II F12,Goat anti-mouse Alexa647,1782,170.36795557328188,1329.7947269303202,250128_ARMC5mAC_TotalPolII
51,E14,943.4943152905722,336.482203294824,581.8212819177122,1462.6924277907885,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,"EU 1 mM, 30 mins",10 µM 5PhIAA,48,Total Pol II F12,Goat anti-mouse Alexa647,2562,166.84763025555327,1336.2592087312414,250128_ARMC5mAC_TotalPolII
52,E15,542.3762944472222,331.2843107354954,471.20848304694994,1645.6414948453607,HCT116 OsTIRF74G,"EU 1 mM, 30 mins",10 µM 5PhIAA,48,Total Pol II F12,Goat anti-mouse Alexa647,3880,162.47231162555005,1544.5306391970416,250128_ARMC5mAC_TotalPolII
53,E16,715.1633833032533,391.6788288536809,577.4146488177514,1422.5405887600357,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,"EU 1 mM, 30 mins",Vehicle,48,Total Pol II F12,Goat anti-mouse Alexa647,2242,179.16703030187506,1292.4215952251764,250128_ARMC5mAC_TotalPolII
54,E17,644.4288976675596,391.68987021052607,563.0376112276517,1383.218787158145,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,"EU 1 mM, 30 mins",Vehicle,48,Total Pol II F12,Goat anti-mouse Alexa647,2523,173.4343859532626,1272.7517630465445,250128_ARMC5mAC_TotalPolII
55,E18,534.9744594505669,332.80202742144655,480.41565446448715,1640.108239095315,HCT116 OsTIRF74G,"EU 1 mM, 30 mins",Vehicle,48,Total Pol II F12,Goat anti-mouse Alexa647,4333,164.27591665829564,1526.535294117647,250128_ARMC5mAC_TotalPolII
56,E19,1033.8838254139955,336.3018509613174,539.9019133037109,1504.3130962705984,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,"EU 1 mM, 30 mins",10 µM 5PhIAA,48,Total Pol II F12,Goat anti-mouse Alexa647,2306,176.67696234414817,1402.5728962818005,250128_ARMC5mAC_TotalPolII
57,E20,956.8625078577492,336.7602627545717,568.7784455759628,1450.255006129955,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,"EU 1 mM, 30 mins",10 µM 5PhIAA,48,Total Pol II F12,Goat anti-mouse Alexa647,2447,169.1735809133015,1323.393643031785,250128_ARMC5mAC_TotalPolII
58,E21,531.9020112596604,330.5796825849379,472.0183745912066,1695.0144822592324,HCT116 OsTIRF74G,"EU 1 mM, 30 mins",10 µM 5PhIAA,48,Total Pol II F12,Goat anti-mouse Alexa647,4143,162.36856401753838,1575.783536585366,250128_ARMC5mAC_TotalPolII
59,E22,513.8620517433448,329.403492436788,459.4918490341644,1614.591068844325,HCT116 OsTIRF74G,"EU 1 mM, 30 mins",No addition,No addition,Total Pol II F12,Goat anti-mouse Alexa647,4837,159.05314114604275,1516.0317700453859,250128_ARMC5mAC_TotalPolII
60,F03,519.2015879676893,331.23180774351545,453.7485786670929,1663.1412125863392,HCT116 OsTIRF74G,"EU 1 mM, 30 mins",No addition,No addition,Total Pol II F12,Goat anti-mouse Alexa647,3909,157.14502679782774,1567.1296866974833,250128_ARMC5mAC_TotalPolII
61,F04,741.7687425190474,412.6234786817052,586.3688368238883,1363.4522792022792,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,"EU 1 mM, 30 mins",Vehicle,24,Total Pol II F12,Goat anti-mouse Alexa647,1404,182.58528475374118,1268.4206748025842,250128_ARMC5mAC_TotalPolII
62,F05,673.3207594291907,407.0063714142813,567.6221821418605,1389.1167332445627,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,"EU 1 mM, 30 mins",Vehicle,24,Total Pol II F12,Goat anti-mouse Alexa647,2253,198.61155163068372,1301.0748560460652,250128_ARMC5mAC_TotalPolII
63,F06,575.0774657249409,330.63331936763484,477.1678604731828,1676.4270186335405,HCT116 OsTIRF74G,"EU 1 mM, 30 mins",Vehicle,24,Total Pol II F12,Goat anti-mouse Alexa647,3864,166.75574349388924,1532.0101171458998,250128_ARMC5mAC_TotalPolII
64,F07,1051.1360604669321,332.6374278829049,570.4392255230756,1398.2316448491747,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,"EU 1 mM, 30 mins",10 µM 5PhIAA,24,Total Pol II F12,Goat anti-mouse Alexa647,1757,173.1093022593684,1317.9433617539587,250128_ARMC5mAC_TotalPolII
65,F08,858.3253272990114,332.759436465133,556.7859846334113,1429.8830548926014,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,"EU 1 mM, 30 mins",10 µM 5PhIAA,24,Total Pol II F12,Goat anti-mouse Alexa647,2514,165.38655082593408,1312.891621129326,250128_ARMC5mAC_TotalPolII
66,F09,546.7581619320216,328.5959099628268,476.78306467526204,1653.6238490905007,HCT116 OsTIRF74G,"EU 1 mM, 30 mins",10 µM 5PhIAA,24,Total Pol II F12,Goat anti-mouse Alexa647,4453,164.4227816833759,1544.8910094274545,250128_ARMC5mAC_TotalPolII
67,F10,712.7798128432638,406.7141714062469,577.9591557597115,1368.14947016174,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,"EU 1 mM, 30 mins",Vehicle,24,Total Pol II F12,Goat anti-mouse Alexa647,1793,180.11032188006416,1267.4804292929293,250128_ARMC5mAC_TotalPolII
68,F11,612.3969720648103,402.7931259515534,548.2883449253109,1465.8464405516213,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,"EU 1 mM, 30 mins",Vehicle,24,Total Pol II F12,Goat anti-mouse Alexa647,2683,166.22984086021202,1324.4433033804023,250128_ARMC5mAC_TotalPolII
69,F12,580.6231230227683,335.8035610385221,485.8624244766286,1607.3215911814043,HCT116 OsTIRF74G,"EU 1 mM, 30 mins",Vehicle,24,Total Pol II F12,Goat anti-mouse Alexa647,4173,168.5195261812098,1490.5041719342605,250128_ARMC5mAC_TotalPolII
70,F13,974.5996787090696,338.80772809524035,550.2862203357429,1466.9115002366304,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,"EU 1 mM, 30 mins",10 µM 5PhIAA,24,Total Pol II F12,Goat anti-mouse Alexa647,2113,172.92480331049086,1348.2404600104549,250128_ARMC5mAC_TotalPolII
71,F14,959.0216481193768,336.9548618595815,548.5849710120884,1443.6501584786054,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,"EU 1 mM, 30 mins",10 µM 5PhIAA,24,Total Pol II F12,Goat anti-mouse Alexa647,2524,166.62448589090965,1303.4874517374517,250128_ARMC5mAC_TotalPolII
72,F15,545.735811545864,330.7430297454984,471.37867139652514,1637.5927634774162,HCT116 OsTIRF74G,"EU 1 mM, 30 mins",10 µM 5PhIAA,24,Total Pol II F12,Goat anti-mouse Alexa647,4118,174.5574983948483,1543.7387928875532,250128_ARMC5mAC_TotalPolII
73,F16,934.951023015289,336.6648320771705,568.3265152872516,1352.3560606060605,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,"EU 1 mM, 30 mins",Vehicle,24,Total Pol II F12,Goat anti-mouse Alexa647,1584,178.7482251804411,1221.6775106082036,250128_ARMC5mAC_TotalPolII
74,F17,607.5838494736387,401.2478085090811,548.4552365083088,1398.0168665667165,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,"EU 1 mM, 30 mins",Vehicle,24,Total Pol II F12,Goat anti-mouse Alexa647,2668,168.5055942980829,1275.7219445706496,250128_ARMC5mAC_TotalPolII
75,F18,558.2565701732861,333.4497928501946,486.3974232424339,1626.2605452674898,HCT116 OsTIRF74G,"EU 1 mM, 30 mins",Vehicle,24,Total Pol II F12,Goat anti-mouse Alexa647,3888,164.97931722791154,1515.0121720313768,250128_ARMC5mAC_TotalPolII
76,F19,930.1630069158736,337.3484564861435,552.2481523035799,1398.1512565196776,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,"EU 1 mM, 30 mins",10 µM 5PhIAA,24,Total Pol II F12,Goat anti-mouse Alexa647,2109,172.5405940420596,1267.2736051502145,250128_ARMC5mAC_TotalPolII
77,F20,917.1824615869012,338.53452581710985,577.598744573887,1422.4858921161826,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,"EU 1 mM, 30 mins",10 µM 5PhIAA,24,Total Pol II F12,Goat anti-mouse Alexa647,2410,169.58223430918358,1306.576652601969,250128_ARMC5mAC_TotalPolII
78,F21,562.3774685492375,329.4934097358243,472.0721704254677,1693.1393034825871,HCT116 OsTIRF74G,"EU 1 mM, 30 mins",10 µM 5PhIAA,24,Total Pol II F12,Goat anti-mouse Alexa647,4020,163.87588876589427,1566.3656795346378,250128_ARMC5mAC_TotalPolII
79,F22,531.7632429054315,328.1660073747346,456.215853190325,1641.961030927835,HCT116 OsTIRF74G,"EU 1 mM, 30 mins",No addition,No addition,Total Pol II F12,Goat anti-mouse Alexa647,4850,158.18690610842054,1552.2408837408836,250128_ARMC5mAC_TotalPolII
80,G03,518.7076669108228,331.6911826534685,460.03179076332265,1655.2679674796748,HCT116 OsTIRF74G,"EU 1 mM, 30 mins",No addition,No addition,Total Pol II F12,Goat anti-mouse Alexa647,3075,158.34135913279454,1562.1729217818308,250128_ARMC5mAC_TotalPolII
81,G04,639.106534459061,414.4133907184848,583.0418462002777,1365.7593865679535,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,"EU 1 mM, 30 mins",Vehicle,8,Total Pol II F12,Goat anti-mouse Alexa647,1891,174.3292446833595,1268.2478736330497,250128_ARMC5mAC_TotalPolII
82,G05,606.7490368214469,408.8900795903217,586.8034520857904,1409.9736590038315,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,"EU 1 mM, 30 mins",Vehicle,8,Total Pol II F12,Goat anti-mouse Alexa647,2088,169.02670387827612,1270.100742311771,250128_ARMC5mAC_TotalPolII
83,G06,506.528975119575,333.43060890651856,473.91819949165193,1674.1348265261308,HCT116 OsTIRF74G,"EU 1 mM, 30 mins",Vehicle,8,Total Pol II F12,Goat anti-mouse Alexa647,4554,165.87495528761679,1581.6800087970091,250128_ARMC5mAC_TotalPolII
84,G07,783.3645845578114,337.5055804899889,551.8288141903859,1462.780455153949,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,"EU 1 mM, 30 mins",10 µM 5PhIAA,8,Total Pol II F12,Goat anti-mouse Alexa647,2241,171.7581915913155,1370.6948156066276,250128_ARMC5mAC_TotalPolII
85,G08,731.003974185075,336.79165111674183,571.9229324460309,1417.1491604841858,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,"EU 1 mM, 30 mins",10 µM 5PhIAA,8,Total Pol II F12,Goat anti-mouse Alexa647,2561,168.1557638705001,1306.8422496570645,250128_ARMC5mAC_TotalPolII
86,G09,498.55599714300547,333.1186221378377,480.1700940666608,1663.8100756859035,HCT116 OsTIRF74G,"EU 1 mM, 30 mins",10 µM 5PhIAA,8,Total Pol II F12,Goat anti-mouse Alexa647,4228,159.5860174000804,1555.422641509434,250128_ARMC5mAC_TotalPolII
87,G10,624.1149115866803,412.9415688925476,594.8115607435436,1392.7890250399573,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,"EU 1 mM, 30 mins",Vehicle,8,Total Pol II F12,Goat anti-mouse Alexa647,1877,172.6908745564776,1315.4750462107208,250128_ARMC5mAC_TotalPolII
88,G11,551.6675582741441,411.4007189186566,576.4761718943345,1455.4587118084228,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,"EU 1 mM, 30 mins",Vehicle,8,Total Pol II F12,Goat anti-mouse Alexa647,2422,165.831460227946,1344.3854216293473,250128_ARMC5mAC_TotalPolII
89,G12,498.6656486817322,334.5933149568642,481.99969969495066,1617.1138647019425,HCT116 OsTIRF74G,"EU 1 mM, 30 mins",Vehicle,8,Total Pol II F12,Goat anti-mouse Alexa647,4479,162.78539588077504,1520.228366496992,250128_ARMC5mAC_TotalPolII
90,G13,739.4977872013974,339.74544906130564,576.3862483154969,1419.2263374485597,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,"EU 1 mM, 30 mins",10 µM 5PhIAA,8,Total Pol II F12,Goat anti-mouse Alexa647,1944,170.1543391512473,1339.5761627906977,250128_ARMC5mAC_TotalPolII
91,G14,715.460242451043,341.6375999658254,595.0558692912819,1415.1682085786374,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,"EU 1 mM, 30 mins",10 µM 5PhIAA,8,Total Pol II F12,Goat anti-mouse Alexa647,2378,163.43447791047734,1325.0216674517192,250128_ARMC5mAC_TotalPolII
92,G15,468.15264803096005,335.0234912875943,480.05788210485065,1670.475486381323,HCT116 OsTIRF74G,"EU 1 mM, 30 mins",10 µM 5PhIAA,8,Total Pol II F12,Goat anti-mouse Alexa647,3855,160.3712823737665,1566.1670741646292,250128_ARMC5mAC_TotalPolII
93,G16,610.9307496928185,357.8956195299577,577.5528418334862,1448.586940015186,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,"EU 1 mM, 30 mins",Vehicle,8,Total Pol II F12,Goat anti-mouse Alexa647,2634,171.15952503309882,1325.3342116820377,250128_ARMC5mAC_TotalPolII
94,G17,538.5161531263354,406.8977983945719,567.6953430385407,1437.2746346946421,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,"EU 1 mM, 30 mins",Vehicle,8,Total Pol II F12,Goat anti-mouse Alexa647,2669,165.98514461349305,1337.895087427144,250128_ARMC5mAC_TotalPolII
