,EXPERIMENT,WELL,CELL,DRUG,DRUG_TIME_MINUTES,SIRNA,PRIMARY,SECONDARY,TIME_IN_AUXIN,TotalNumberCells,IF_647_Intensity,IF_647_Intensity_BGS,IF_647_Intensity_FC
70,250825_mACmChPOLR2A_ARMC5,F13,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,120,Scrambled,Total Pol II (F12),Goat anti-mouse Alexa647,2.0,1507,1372.393026418407,1203.382943034651,0.8028087206437668
71,250825_mACmChPOLR2A_ARMC5,F14,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,60,Scrambled,Total Pol II (F12),Goat anti-mouse Alexa647,1.0,1795,1358.9329100632067,1189.9228266794507,0.7938291195505484
72,250825_mACmChPOLR2A_ARMC5,F15,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,30,Scrambled,Total Pol II (F12),Goat anti-mouse Alexa647,0.5,1276,1454.4211399907617,1285.4110566070058,0.8575318537037869
73,250825_mACmChPOLR2A_ARMC5,F16,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,1440,Scrambled,Total Pol II (F12),Goat anti-mouse Alexa647,24.0,1508,1441.0628849731438,1272.0528015893879,0.8486202070140946
74,250825_mACmChPOLR2A_ARMC5,F17,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,480,Scrambled,Total Pol II (F12),Goat anti-mouse Alexa647,8.0,1053,1476.1550865135669,1307.145003129811,0.8720311466375167
75,250825_mACmChPOLR2A_ARMC5,F18,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,240,Scrambled,Total Pol II (F12),Goat anti-mouse Alexa647,4.0,1589,1407.4988899912078,1238.4888066074518,0.8262287745718234
76,250825_mACmChPOLR2A_ARMC5,F19,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,120,Scrambled,Total Pol II (F12),Goat anti-mouse Alexa647,2.0,1084,1242.3891152372796,1073.3790318535234,0.7160796588616425
77,250825_mACmChPOLR2A_ARMC5,F20,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,60,Scrambled,Total Pol II (F12),Goat anti-mouse Alexa647,1.0,1304,1518.9608484370995,1349.9507650533433,0.9005880072486141
78,250825_mACmChPOLR2A_ARMC5,F21,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,30,Scrambled,Total Pol II (F12),Goat anti-mouse Alexa647,0.5,1477,1398.3144483795252,1229.304364995769,0.8201015896530239
81,250825_mACmChPOLR2A_ARMC5,G04,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,1440,ARMC5 pool,Total Pol II (F12),Goat anti-mouse Alexa647,24.0,1783,1777.093028844532,1608.082945460776,1.0727948402516558
