,WELL,IF_647_Intensity,RFP_561_Intensity,GFP_488_Intensity,DAPI_Intensity,NucleusArea,CELL,DRUG,DRUG_TIME_MINUTES,SIRNA,PRIMARY,SECONDARY,TotalNumberCells,EXPERIMENT,GFP_Intensity_BGS,GFP_Intensity_FC,RFP_Intensity_BGS,RFP_Intensity_FC,TIME_IN_AUXIN
65,F08,1340.4817411073761,236.83291685871848,320.12877984314287,497.59981184838784,1500.0864864864866,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,60,Scrambled,Total Pol II (F12),Goat anti-mouse Alexa647,1480,250825_mACmChPOLR2A_ARMC5,62.753529522900976,0.20137245100051024,85.57561181198281,1.0674533987758146,1.0
66,F09,1289.9351158229156,229.07706494561208,385.95072053928305,500.983936162549,1446.513839602555,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,30,Scrambled,Total Pol II (F12),Goat anti-mouse Alexa647,1409,250825_mACmChPOLR2A_ARMC5,128.57547021904116,0.4125912561954414,77.81975989887641,0.9707084230783337,0.5
67,F10,1419.8379072551968,257.40781875065727,271.00737511473113,494.9888142556937,1529.7666240409208,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,1440,Scrambled,Total Pol II (F12),Goat anti-mouse Alexa647,1564,250825_mACmChPOLR2A_ARMC5,13.632124794489243,0.04374470094481825,106.1505137039216,1.3241006898554635,24.0
68,F11,1475.02532799164,258.2929961074934,277.97778099384925,517.5413656223076,1531.7868852459017,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,480,Scrambled,Total Pol II (F12),Goat anti-mouse Alexa647,1525,250825_mACmChPOLR2A_ARMC5,20.60253067360736,0.06611233073421745,107.03569106075776,1.3351422186049178,8.0
69,F12,1437.5725854869313,249.2150333476244,280.5841447566239,499.7326575037455,1507.2836411609499,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,240,Scrambled,Total Pol II (F12),Goat anti-mouse Alexa647,1516,250825_mACmChPOLR2A_ARMC5,23.208894436382025,0.07447600148069411,97.95772830088873,1.2219054914954124,4.0
70,F13,1372.393026418407,245.78524355535419,295.5316320923882,550.658963752754,1444.2674187126743,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,120,Scrambled,Total Pol II (F12),Goat anti-mouse Alexa647,1507,250825_mACmChPOLR2A_ARMC5,38.15638177214629,0.12244162483265994,94.52793850861852,1.179122966272113,2.0
71,F14,1358.9329100632067,237.63782572766345,319.8592967815833,499.20890123924653,1494.8100278551533,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,60,Scrambled,Total Pol II (F12),Goat anti-mouse Alexa647,1795,250825_mACmChPOLR2A_ARMC5,62.48404646134139,0.20050769542386063,86.38052068092779,1.0774936741494554,1.0
72,F15,1454.4211399907617,238.41680580907527,401.6027009316219,528.438755183506,1419.3777429467084,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,30,Scrambled,Total Pol II (F12),Goat anti-mouse Alexa647,1276,250825_mACmChPOLR2A_ARMC5,144.22745061138,0.46281755706776073,87.1595007623396,1.0872105189125247,0.5
73,F16,1441.0628849731438,252.92992425025463,261.6025071421566,481.7586958274131,1555.8733421750662,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,1440,Scrambled,Total Pol II (F12),Goat anti-mouse Alexa647,1508,250825_mACmChPOLR2A_ARMC5,4.227256821914693,0.013565022935115339,101.67261920351896,1.2682443120557199,24.0
74,F17,1476.1550865135669,255.53696166396256,270.7787059842437,508.1346168460059,1447.0417853751187,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,480,Scrambled,Total Pol II (F12),Goat anti-mouse Alexa647,1053,250825_mACmChPOLR2A_ARMC5,13.403455664001797,0.043010914915179735,104.27965661722689,1.3007639854658555,8.0
75,F18,1407.4988899912078,247.362402901829,275.523761644687,485.35150812721446,1482.6582756450598,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,240,Scrambled,Total Pol II (F12),Goat anti-mouse Alexa647,1589,250825_mACmChPOLR2A_ARMC5,18.14851132444511,0.05823752441016616,96.10509785509333,1.1987961426497995,4.0
76,F19,1242.3891152372796,231.8936044597073,281.92377803182677,489.40405962506514,1547.810885608856,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,120,Scrambled,Total Pol II (F12),Goat anti-mouse Alexa647,1084,250825_mACmChPOLR2A_ARMC5,24.54852771158488,0.07877480727090856,80.63629941297162,1.0058413846014476,2.0
77,F20,1518.9608484370995,248.35154138197151,332.07913527762025,508.7124532449267,1428.2254601226994,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,60,Scrambled,Total Pol II (F12),Goat anti-mouse Alexa647,1304,250825_mACmChPOLR2A_ARMC5,74.70388495737836,0.23972045122398408,97.09423633523585,1.2111344620626703,1.0
78,F21,1398.3144483795252,236.8854431658584,390.9467456603629,510.8133769788902,1442.2186865267433,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,30,Scrambled,Total Pol II (F12),Goat anti-mouse Alexa647,1477,250825_mACmChPOLR2A_ARMC5,133.57149534012103,0.42862321219123645,85.62813811912272,1.0681086016296935,0.5
81,G04,1777.093028844532,296.2380161139298,299.8841761487566,457.34543496936044,1602.0330902972519,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,1440,ARMC5 pool,Total Pol II (F12),Goat anti-mouse Alexa647,1783,250825_mACmChPOLR2A_ARMC5,42.50892582851469,0.13640868726535943,144.98071106719414,1.8084609564420349,24.0
82,G05,1797.62685408259,297.4739998832448,321.6786665386366,483.61385293160674,1590.5072363886975,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,480,ARMC5 pool,Total Pol II (F12),Goat anti-mouse Alexa647,1451,250825_mACmChPOLR2A_ARMC5,64.30341621839472,0.20634594787020835,146.21669483650913,1.8238783755810972,8.0
83,G06,1608.2053301922638,279.36837118261496,319.3184996422277,442.4251042079569,1524.945118428654,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,240,ARMC5 pool,Total Pol II (F12),Goat anti-mouse Alexa647,1731,250825_mACmChPOLR2A_ARMC5,61.94324932198583,0.19877230864523568,128.1110661358793,1.5980323140195019,4.0
84,G07,1666.7970448620142,273.9516602145727,329.6652466134825,470.7479493185096,1507.7852564102564,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,120,ARMC5 pool,Total Pol II (F12),Goat anti-mouse Alexa647,1560,250825_mACmChPOLR2A_ARMC5,72.28999629324062,0.23197442194984783,122.69435516783705,1.5304653237217674,2.0
85,G08,1720.669669342603,271.58240478081484,387.9814452694034,445.8181455504884,1575.4766288951841,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,60,ARMC5 pool,Total Pol II (F12),Goat anti-mouse Alexa647,1412,250825_mACmChPOLR2A_ARMC5,130.60619494916153,0.4191077345404953,120.32509973407917,1.5009116960960662,1.0
