,EXPERIMENT,WELL,CELL,EU,DRUG,DRUG TIME HOURS,TIME_HOURS,TIME_IN_AUXIN_HRS,PRIMARY,SECONDARY,TotalNumberCells,IF_Intensity_BGS,IF_Intensity_FC
47,250128_ARMC5mAC_TotalPolII,E10,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,"EU 1 mM, 30 mins",Vehicle,48,48,0.0,Total Pol II F12,Goat anti-mouse Alexa647,1814,761.2936248112267,1.6939474120207016
48,250128_ARMC5mAC_TotalPolII,E11,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,"EU 1 mM, 30 mins",Vehicle,48,48,0.0,Total Pol II F12,Goat anti-mouse Alexa647,2640,470.15557288544187,1.0461388221054495
49,250128_ARMC5mAC_TotalPolII,E12,HCT116 OsTIRF74G,"EU 1 mM, 30 mins",Vehicle,48,48,0.0,Total Pol II F12,Goat anti-mouse Alexa647,3764,407.9594296593948,0.9077467583579617
50,250128_ARMC5mAC_TotalPolII,E13,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,"EU 1 mM, 30 mins",10 µM 5PhIAA,48,48,48.0,Total Pol II F12,Goat anti-mouse Alexa647,1782,859.4040203205958,1.9122519467613326
51,250128_ARMC5mAC_TotalPolII,E14,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,"EU 1 mM, 30 mins",10 µM 5PhIAA,48,48,48.0,Total Pol II F12,Goat anti-mouse Alexa647,2562,768.7441159015882,1.7105254309210054
52,250128_ARMC5mAC_TotalPolII,E15,HCT116 OsTIRF74G,"EU 1 mM, 30 mins",10 µM 5PhIAA,48,48,48.0,Total Pol II F12,Goat anti-mouse Alexa647,3880,367.6260950582382,0.8180014281212402
53,250128_ARMC5mAC_TotalPolII,E16,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,"EU 1 mM, 30 mins",Vehicle,48,48,0.0,Total Pol II F12,Goat anti-mouse Alexa647,2242,540.4131839142693,1.202468383392069
54,250128_ARMC5mAC_TotalPolII,E17,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,"EU 1 mM, 30 mins",Vehicle,48,48,0.0,Total Pol II F12,Goat anti-mouse Alexa647,2523,469.67869827857555,1.045077732822901
55,250128_ARMC5mAC_TotalPolII,E18,HCT116 OsTIRF74G,"EU 1 mM, 30 mins",Vehicle,48,48,0.0,Total Pol II F12,Goat anti-mouse Alexa647,4333,360.22426006158287,0.8015316734455754
56,250128_ARMC5mAC_TotalPolII,E19,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,"EU 1 mM, 30 mins",10 µM 5PhIAA,48,48,48.0,Total Pol II F12,Goat anti-mouse Alexa647,2306,859.1336260250115,1.9116502949120298
57,250128_ARMC5mAC_TotalPolII,E20,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,"EU 1 mM, 30 mins",10 µM 5PhIAA,48,48,48.0,Total Pol II F12,Goat anti-mouse Alexa647,2447,782.1123084687651,1.7402708727118503
58,250128_ARMC5mAC_TotalPolII,E21,HCT116 OsTIRF74G,"EU 1 mM, 30 mins",10 µM 5PhIAA,48,48,48.0,Total Pol II F12,Goat anti-mouse Alexa647,4143,357.1518118706764,0.7946951973581207
59,250128_ARMC5mAC_TotalPolII,E22,HCT116 OsTIRF74G,"EU 1 mM, 30 mins",No addition,No addition,No addition,0.0,Total Pol II F12,Goat anti-mouse Alexa647,4837,339.11185235436074,0.7545546500847888
60,250128_ARMC5mAC_TotalPolII,F03,HCT116 OsTIRF74G,"EU 1 mM, 30 mins",No addition,No addition,No addition,0.0,Total Pol II F12,Goat anti-mouse Alexa647,3909,344.4513885787053,0.7664356028129324
61,250128_ARMC5mAC_TotalPolII,F04,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,"EU 1 mM, 30 mins",Vehicle,24,24,0.0,Total Pol II F12,Goat anti-mouse Alexa647,1404,567.0185431300633,1.2616677224127402
62,250128_ARMC5mAC_TotalPolII,F05,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,"EU 1 mM, 30 mins",Vehicle,24,24,0.0,Total Pol II F12,Goat anti-mouse Alexa647,2253,498.5705600402067,1.109364747536456
63,250128_ARMC5mAC_TotalPolII,F06,HCT116 OsTIRF74G,"EU 1 mM, 30 mins",Vehicle,24,24,0.0,Total Pol II F12,Goat anti-mouse Alexa647,3864,400.3272663359569,0.8907645022500601
64,250128_ARMC5mAC_TotalPolII,F07,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,"EU 1 mM, 30 mins",10 µM 5PhIAA,24,24,24.0,Total Pol II F12,Goat anti-mouse Alexa647,1757,876.3858610779481,1.9500380837586018
65,250128_ARMC5mAC_TotalPolII,F08,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,"EU 1 mM, 30 mins",10 µM 5PhIAA,24,24,24.0,Total Pol II F12,Goat anti-mouse Alexa647,2514,683.5751279100274,1.5210167025003505
