,EXPERIMENT,WELL,CELL,DRUG,DRUG TIME HOURS,TIME_HOURS,TIME_IN_AUXIN_HRS,PRIMARY,SECONDARY,TotalNumberCells,IF_Intensity_BGS,IF_Intensity_FC
66,250210_ARMC5mAC_PhosphoPolII,F11,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,Vehicle,8.0,8.0,0.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,1712,351.46633448792807,0.9610579209154695
67,250210_ARMC5mAC_PhosphoPolII,F12,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,Vehicle,8.0,8.0,0.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,1941,397.0465623126909,1.0856935821145497
76,250210_ARMC5mAC_PhosphoPolII,G03,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,Vehicle,2.0,2.0,0.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,1388,423.61860443448785,1.1583528073380955
77,250210_ARMC5mAC_PhosphoPolII,G04,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,Vehicle,2.0,2.0,0.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,1685,386.9736691238888,1.0581500229291783
78,250210_ARMC5mAC_PhosphoPolII,G05,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,10 µM 5PhIAA,2.0,2.0,2.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,1847,375.2592832762271,1.0261179270985548
79,250210_ARMC5mAC_PhosphoPolII,G06,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,10 µM 5PhIAA,2.0,2.0,2.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,1859,366.7321950885621,1.0028012539468003
80,250210_ARMC5mAC_PhosphoPolII,G07,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,Vehicle,2.0,2.0,0.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,2125,349.8495198636035,0.9566368644759587
81,250210_ARMC5mAC_PhosphoPolII,G08,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,Vehicle,2.0,2.0,0.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,1668,369.95959770797225,1.0116263405824422
82,250210_ARMC5mAC_PhosphoPolII,G09,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,10 µM 5PhIAA,2.0,2.0,2.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,1547,396.9708200183189,1.085486470579783
83,250210_ARMC5mAC_PhosphoPolII,G10,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,10 µM 5PhIAA,2.0,2.0,2.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,1733,379.89213535051886,1.0387861082172805
84,250210_ARMC5mAC_PhosphoPolII,G11,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,Vehicle,2.0,2.0,0.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,1992,364.2440647163586,0.9959976509617222
85,250210_ARMC5mAC_PhosphoPolII,G12,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,Vehicle,2.0,2.0,0.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,1888,387.44198522582536,1.0594305976388847
96,250210_ARMC5mAC_PhosphoPolII,H03,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,Vehicle,0.5,0.5,0.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,1331,407.31363170254207,1.1137681013315364
