,EXPERIMENT,WELL,CELL,DRUG,DRUG TIME HOURS,TIME_HOURS,TIME_IN_AUXIN_HRS,PRIMARY,SECONDARY,TotalNumberCells,IF_Intensity_BGS,IF_Intensity_FC
36,260119_ARMC5mAC_TotalPhospho,D19,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,Vehicle,48.0,48.0,0.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,2280,1188.264534943568,1.0283765565613665
37,260119_ARMC5mAC_TotalPhospho,D20,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,Vehicle,48.0,48.0,0.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,2281,1201.4854685481198,1.0398185358302514
38,260119_ARMC5mAC_TotalPhospho,D21,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,10 µM 5PhIAA,48.0,48.0,48.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,2239,1226.0738682258234,1.0610984217885682
39,260119_ARMC5mAC_TotalPhospho,D22,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,10 µM 5PhIAA,48.0,48.0,48.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,3722,1178.3683255663439,1.019811940330652
50,260119_ARMC5mAC_TotalPhospho,E13,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,10 µM 5PhIAA,24.0,24.0,24.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,1992,1354.1771023556137,1.1719646127121446
51,260119_ARMC5mAC_TotalPhospho,E14,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,10 µM 5PhIAA,24.0,24.0,24.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,3057,1169.3640632016284,1.0120192543986084
52,260119_ARMC5mAC_TotalPhospho,E15,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,Vehicle,24.0,24.0,0.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,3011,1074.3319314865953,0.9297742546516176
53,260119_ARMC5mAC_TotalPhospho,E16,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,Vehicle,24.0,24.0,0.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,2906,1075.4032821092844,0.930701448750096
54,260119_ARMC5mAC_TotalPhospho,E17,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,10 µM 5PhIAA,24.0,24.0,24.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,2494,1194.0681528998637,1.0333992636051113
55,260119_ARMC5mAC_TotalPhospho,E18,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,10 µM 5PhIAA,24.0,24.0,24.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,2376,1290.7794246772833,1.1170974652482804
56,260119_ARMC5mAC_TotalPhospho,E19,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,Vehicle,24.0,24.0,0.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,2777,1140.7054749055474,0.9872168476270949
57,260119_ARMC5mAC_TotalPhospho,E20,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,Vehicle,24.0,24.0,0.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,1674,1250.161778836367,1.0819451624258332
58,260119_ARMC5mAC_TotalPhospho,E21,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,10 µM 5PhIAA,24.0,24.0,24.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,2329,1315.577277509403,1.1385586212078176
59,260119_ARMC5mAC_TotalPhospho,E22,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,10 µM 5PhIAA,24.0,24.0,24.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,3385,1178.6171968649758,1.0200273245330647
70,260119_ARMC5mAC_TotalPhospho,F13,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,10 µM 5PhIAA,8.0,8.0,8.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,2751,1151.5186728880224,0.996575066255712
71,260119_ARMC5mAC_TotalPhospho,F14,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,10 µM 5PhIAA,8.0,8.0,8.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,2748,1189.3425730333859,1.0293095382889594
72,260119_ARMC5mAC_TotalPhospho,F15,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,Vehicle,8.0,8.0,0.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,3044,1103.011102214017,0.9545944743673411
73,260119_ARMC5mAC_TotalPhospho,F16,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,Vehicle,8.0,8.0,0.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,3313,1092.705748054669,0.9456757661900925
74,260119_ARMC5mAC_TotalPhospho,F17,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,10 µM 5PhIAA,8.0,8.0,8.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,3108,1148.201469889218,0.9937042124205536
75,260119_ARMC5mAC_TotalPhospho,F18,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,10 µM 5PhIAA,8.0,8.0,8.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,2483,1192.8587019650831,1.0323525514033551
76,260119_ARMC5mAC_TotalPhospho,F19,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,Vehicle,8.0,8.0,0.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,2528,1153.8123012907904,0.9985600734738076
77,260119_ARMC5mAC_TotalPhospho,F20,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,Vehicle,8.0,8.0,0.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,2786,1172.878381591478,1.0150607005902055
78,260119_ARMC5mAC_TotalPhospho,F21,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,10 µM 5PhIAA,8.0,8.0,8.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,2572,1174.6671912968561,1.0166088154342183
79,260119_ARMC5mAC_TotalPhospho,F22,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,10 µM 5PhIAA,8.0,8.0,8.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,3141,1199.5060431641227,1.0381054537677108
90,260119_ARMC5mAC_TotalPhospho,G13,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,10 µM 5PhIAA,2.0,2.0,2.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,3246,1095.3166404874237,0.9479353476979054
91,260119_ARMC5mAC_TotalPhospho,G14,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,10 µM 5PhIAA,2.0,2.0,2.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,3210,1122.2252837295966,0.9712232748095552
92,260119_ARMC5mAC_TotalPhospho,G15,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,Vehicle,2.0,2.0,0.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,3051,1117.59084956903,0.9672124310087846
93,260119_ARMC5mAC_TotalPhospho,G16,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,Vehicle,2.0,2.0,0.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,2794,1163.6063040135052,1.0070362355561981
94,260119_ARMC5mAC_TotalPhospho,G17,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,10 µM 5PhIAA,2.0,2.0,2.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,3300,1122.3641334057324,0.97134344144554
95,260119_ARMC5mAC_TotalPhospho,G18,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,10 µM 5PhIAA,2.0,2.0,2.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,2525,1151.6902154423585,0.9967235267509504
96,260119_ARMC5mAC_TotalPhospho,G19,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,Vehicle,2.0,2.0,0.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,2990,1108.247166324035,0.9591259952711866
97,260119_ARMC5mAC_TotalPhospho,G20,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,Vehicle,2.0,2.0,0.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,2542,1232.7894234063438,1.066910359542201
98,260119_ARMC5mAC_TotalPhospho,G21,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,10 µM 5PhIAA,2.0,2.0,2.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,2322,1235.3436432935478,1.0691208941286163
99,260119_ARMC5mAC_TotalPhospho,G22,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,10 µM 5PhIAA,2.0,2.0,2.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,2530,1230.7963171541617,1.0651854374527125
112,260119_ARMC5mAC_TotalPhospho,H15,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,Vehicle,0.5,0.5,0.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,3088,1147.586448394043,0.9931719456829543
113,260119_ARMC5mAC_TotalPhospho,H16,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,Vehicle,0.5,0.5,0.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,3424,1104.2619118320763,0.9556769801984141
116,260119_ARMC5mAC_TotalPhospho,H19,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,Vehicle,0.5,0.5,0.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,2786,1161.3406364313532,1.0050754268659372
117,260119_ARMC5mAC_TotalPhospho,H20,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,Vehicle,0.5,0.5,0.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,1852,1272.2794680366671,1.101086786525537
130,260119_ARMC5mAC_TotalPhospho,I13,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,Vehicle,48.0,48.0,0.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,4130,990.8789508617828,0.8575503631476916
131,260119_ARMC5mAC_TotalPhospho,I14,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,Vehicle,48.0,48.0,0.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,3397,1063.783040793299,0.9206447792126914
132,260119_ARMC5mAC_TotalPhospho,I15,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,10 µM 5PhIAA,48.0,48.0,48.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,3707,1099.7005309206074,0.9517293599026322
133,260119_ARMC5mAC_TotalPhospho,I16,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,10 µM 5PhIAA,48.0,48.0,48.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,3147,1148.0203844071095,0.9935474930545727
134,260119_ARMC5mAC_TotalPhospho,I17,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,Vehicle,48.0,48.0,0.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,3454,1049.1035436112734,0.9079404946698385
135,260119_ARMC5mAC_TotalPhospho,I18,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,Vehicle,48.0,48.0,0.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,2493,1055.4892819858487,0.9134669944075922
136,260119_ARMC5mAC_TotalPhospho,I19,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,10 µM 5PhIAA,48.0,48.0,48.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,2956,1196.52704939821,1.0355273011249977
137,260119_ARMC5mAC_TotalPhospho,I20,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,10 µM 5PhIAA,48.0,48.0,48.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,1734,1394.3781864894095,1.2067564046539196
138,260119_ARMC5mAC_TotalPhospho,I21,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,Vehicle,48.0,48.0,0.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,2565,1116.479973582075,0.9662510299161519
139,260119_ARMC5mAC_TotalPhospho,I22,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,Vehicle,48.0,48.0,0.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,2497,1116.4568581618269,0.966231024811582
150,260119_ARMC5mAC_TotalPhospho,J13,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,Vehicle,24.0,24.0,0.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,3020,1081.5174183816912,0.935992892045139
151,260119_ARMC5mAC_TotalPhospho,J14,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,Vehicle,24.0,24.0,0.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,2593,1125.4615905336527,0.9740241175085165
152,260119_ARMC5mAC_TotalPhospho,J15,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,10 µM 5PhIAA,24.0,24.0,24.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,3551,1040.8491031422693,0.900796737689615
153,260119_ARMC5mAC_TotalPhospho,J16,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,10 µM 5PhIAA,24.0,24.0,24.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,2913,1131.9473396525632,0.9796371709570424
154,260119_ARMC5mAC_TotalPhospho,J17,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,Vehicle,24.0,24.0,0.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,2550,1123.9071200301485,0.9726788101492037
155,260119_ARMC5mAC_TotalPhospho,J18,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,Vehicle,24.0,24.0,0.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,1974,1093.3282931580143,0.9462145441901553
156,260119_ARMC5mAC_TotalPhospho,J19,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,10 µM 5PhIAA,24.0,24.0,24.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,2716,1134.1524298650118,0.9815455533187971
157,260119_ARMC5mAC_TotalPhospho,J20,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,10 µM 5PhIAA,24.0,24.0,24.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,1838,1253.1983698308968,1.084573162251468
158,260119_ARMC5mAC_TotalPhospho,J21,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,Vehicle,24.0,24.0,0.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,2443,1171.3292167198438,1.0137199849588054
159,260119_ARMC5mAC_TotalPhospho,J22,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,Vehicle,24.0,24.0,0.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,2214,1086.6360333722184,0.940422767298945
170,260119_ARMC5mAC_TotalPhospho,K13,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,Vehicle,8.0,8.0,0.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,2395,1164.4124580806683,1.0077339168546529
171,260119_ARMC5mAC_TotalPhospho,K14,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,Vehicle,8.0,8.0,0.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,2267,1146.4354644025273,0.9921758333535492
172,260119_ARMC5mAC_TotalPhospho,K15,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,10 µM 5PhIAA,8.0,8.0,8.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,2380,1196.863106693967,1.0358181399360997
173,260119_ARMC5mAC_TotalPhospho,K16,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,10 µM 5PhIAA,8.0,8.0,8.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,2328,1205.1224097185752,1.0429661051864865
174,260119_ARMC5mAC_TotalPhospho,K17,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,Vehicle,8.0,8.0,0.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,2338,1138.8609431498685,0.9856205084622108
175,260119_ARMC5mAC_TotalPhospho,K18,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,Vehicle,8.0,8.0,0.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,2150,1169.5345457454441,1.0121667975139732
176,260119_ARMC5mAC_TotalPhospho,K19,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,10 µM 5PhIAA,8.0,8.0,8.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,2455,1145.097520156671,0.9910179173710696
177,260119_ARMC5mAC_TotalPhospho,K20,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,10 µM 5PhIAA,8.0,8.0,8.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,2101,1258.6174834373878,1.0892631022659807
178,260119_ARMC5mAC_TotalPhospho,K21,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,Vehicle,8.0,8.0,0.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,1985,1193.8852998493721,1.0332410145074638
179,260119_ARMC5mAC_TotalPhospho,K22,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,Vehicle,8.0,8.0,0.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,2559,1104.5202369571905,0.9559005461593816
190,260119_ARMC5mAC_TotalPhospho,L13,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,Vehicle,2.0,2.0,0.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,1931,1266.0712429528458,1.0957139146217556
191,260119_ARMC5mAC_TotalPhospho,L14,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,Vehicle,2.0,2.0,0.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,2237,1189.1747159369716,1.0291642673516144
192,260119_ARMC5mAC_TotalPhospho,L15,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,10 µM 5PhIAA,2.0,2.0,2.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,1967,1217.096391646836,1.0533289174573228
193,260119_ARMC5mAC_TotalPhospho,L16,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,10 µM 5PhIAA,2.0,2.0,2.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,2289,1209.8916625262398,1.0470936269928572
194,260119_ARMC5mAC_TotalPhospho,L17,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,Vehicle,2.0,2.0,0.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,2014,1226.2964999157164,1.0612910970758471
195,260119_ARMC5mAC_TotalPhospho,L18,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,Vehicle,2.0,2.0,0.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,2075,1232.8235413044292,1.0669398866765372
196,260119_ARMC5mAC_TotalPhospho,L19,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,10 µM 5PhIAA,2.0,2.0,2.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,2477,1195.1635238118952,1.034347245921798
197,260119_ARMC5mAC_TotalPhospho,L20,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,10 µM 5PhIAA,2.0,2.0,2.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,1888,1268.465639961848,1.097786131437749
198,260119_ARMC5mAC_TotalPhospho,L21,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,Vehicle,2.0,2.0,0.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,2306,1201.971187615374,1.0402388985417101
199,260119_ARMC5mAC_TotalPhospho,L22,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,Vehicle,2.0,2.0,0.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,2400,1223.733009000009,1.0590725389323132
210,260119_ARMC5mAC_TotalPhospho,M13,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,Vehicle,0.5,0.5,0.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,1940,1247.9274094737386,1.0800114405956727
211,260119_ARMC5mAC_TotalPhospho,M14,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,Vehicle,0.5,0.5,0.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,1577,1318.5475757915578,1.1411292483952287
214,260119_ARMC5mAC_TotalPhospho,M17,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,Vehicle,0.5,0.5,0.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,2238,1200.3723188509186,1.0388551669684523
215,260119_ARMC5mAC_TotalPhospho,M18,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,Vehicle,0.5,0.5,0.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,2033,1229.3668166936923,1.0639482846825086
218,260119_ARMC5mAC_TotalPhospho,M21,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,Vehicle,0.5,0.5,0.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,2538,1188.257395963268,1.0283703781728324
219,260119_ARMC5mAC_TotalPhospho,M22,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,Vehicle,0.5,0.5,0.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,2981,1148.0044417045492,0.993533695536361
230,260119_ARMC5mAC_TotalPhospho,N13,HCT116 OsTIRF74G,Vehicle,24.0,24.0,0.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,3985,560.0205951395801,0.4846665319860272
231,260119_ARMC5mAC_TotalPhospho,N14,HCT116 OsTIRF74G,Vehicle,24.0,24.0,0.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,3434,966.2442727549327,0.8362304257949176
232,260119_ARMC5mAC_TotalPhospho,N15,HCT116 OsTIRF74G,Vehicle,24.0,24.0,0.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,3856,965.3977283642033,0.8354977889283667
233,260119_ARMC5mAC_TotalPhospho,N16,HCT116 OsTIRF74G,Vehicle,24.0,24.0,0.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,3496,952.9755472006037,0.8247470852640427
234,260119_ARMC5mAC_TotalPhospho,N17,HCT116 OsTIRF74G,Vehicle,24.0,24.0,0.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,3370,922.1881514694049,0.7981023146119876
235,260119_ARMC5mAC_TotalPhospho,N18,HCT116 OsTIRF74G,Vehicle,24.0,24.0,0.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,2856,1015.4750586011788,0.8788369200026884
236,260119_ARMC5mAC_TotalPhospho,N19,HCT116 OsTIRF74G,Vehicle,24.0,24.0,0.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,3484,1007.2752855713526,0.8717404746363391
237,260119_ARMC5mAC_TotalPhospho,N20,HCT116 OsTIRF74G,Vehicle,24.0,24.0,0.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,3445,940.0239603928227,0.8135382105970697
238,260119_ARMC5mAC_TotalPhospho,N21,HCT116 OsTIRF74G,Vehicle,24.0,24.0,0.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,4523,915.0997096034245,0.7919676642684353
239,260119_ARMC5mAC_TotalPhospho,N22,HCT116 OsTIRF74G,Vehicle,24.0,24.0,0.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,3769,1042.651191780525,0.9023563447080268
