,EXPERIMENT,WELL,CELL,DRUG,DRUG TIME HOURS,TIME_IN_AUXIN_HRS,PRIMARY,SECONDARY,TotalNumberCells,GFP_Intensity,GFP_Intensity_BGS,GFP_Intensity_FC
111,250128_ARMC5mAC_TotalPolII,H14,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,10 µM 5PhIAA,2,2.0,Total Pol II F12,Goat anti-mouse Alexa647,2552,342.15592507453573,7.517254275140772,0.12218762431608929
112,250128_ARMC5mAC_TotalPolII,H15,HCT116 OsTIRF74G,10 µM 5PhIAA,2,2.0,Total Pol II F12,Goat anti-mouse Alexa647,3852,331.5726095811415,-3.0660612182534805,-0.04983664547639261
113,250128_ARMC5mAC_TotalPolII,H16,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,Vehicle,2,0.0,Total Pol II F12,Goat anti-mouse Alexa647,1890,410.8786996417535,76.24002884235853,1.23922747070618
114,250128_ARMC5mAC_TotalPolII,H17,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,Vehicle,2,0.0,Total Pol II F12,Goat anti-mouse Alexa647,2103,405.27210567831315,70.6334348789182,1.1480962714911749
115,250128_ARMC5mAC_TotalPolII,H18,HCT116 OsTIRF74G,Vehicle,2,0.0,Total Pol II F12,Goat anti-mouse Alexa647,4046,335.5823570818221,0.9436862824271657,0.015338949665541035
116,250128_ARMC5mAC_TotalPolII,H19,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,10 µM 5PhIAA,2,2.0,Total Pol II F12,Goat anti-mouse Alexa647,1689,338.81508734997533,4.17641655058037,0.06788468206501576
117,250128_ARMC5mAC_TotalPolII,H20,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,10 µM 5PhIAA,2,2.0,Total Pol II F12,Goat anti-mouse Alexa647,2001,343.1244338616326,8.485763062237652,0.1379300461490143
118,250128_ARMC5mAC_TotalPolII,H21,HCT116 OsTIRF74G,10 µM 5PhIAA,2,2.0,Total Pol II F12,Goat anti-mouse Alexa647,3486,335.4818361019612,0.8431653025662627,0.01370505259706663
119,250128_ARMC5mAC_TotalPolII,H22,HCT116 OsTIRF74G,No addition,No addition,0.0,Total Pol II F12,Goat anti-mouse Alexa647,4338,331.5333663635776,-3.105304435817345,-0.05047451608035834
120,250128_ARMC5mAC_TotalPolII,I03,HCT116 OsTIRF74G,No addition,No addition,0.0,Total Pol II F12,Goat anti-mouse Alexa647,4005,330.19153735545484,-4.447133443940118,-0.07228499271717076
121,250128_ARMC5mAC_TotalPolII,I04,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,Vehicle,72,0.0,Total Pol II F12,Goat anti-mouse Alexa647,1735,390.84166185998765,56.202991060592694,0.913539665654535
122,250128_ARMC5mAC_TotalPolII,I05,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,Vehicle,72,0.0,Total Pol II F12,Goat anti-mouse Alexa647,1890,393.65514697795726,59.0164761785623,0.9592708661741478
123,250128_ARMC5mAC_TotalPolII,I06,HCT116 OsTIRF74G,Vehicle,72,0.0,Total Pol II F12,Goat anti-mouse Alexa647,4738,328.9601310272529,-5.678539772142074,-0.09230062719003525
130,250128_ARMC5mAC_TotalPolII,I13,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,Vehicle,72,0.0,Total Pol II F12,Goat anti-mouse Alexa647,2368,399.77474367656157,65.13607287716661,1.058740560161723
131,250128_ARMC5mAC_TotalPolII,I14,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,Vehicle,72,0.0,Total Pol II F12,Goat anti-mouse Alexa647,2470,401.8893571565516,67.25068635715667,1.0931120990254823
132,250128_ARMC5mAC_TotalPolII,I15,HCT116 OsTIRF74G,Vehicle,72,0.0,Total Pol II F12,Goat anti-mouse Alexa647,4293,333.9490227698608,-0.6896480295341689,-0.011209738457526671
136,250128_ARMC5mAC_TotalPolII,I19,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,Vehicle,72,0.0,Total Pol II F12,Goat anti-mouse Alexa647,1791,387.9071929960078,53.26852219661282,0.8658419603494263
137,250128_ARMC5mAC_TotalPolII,I20,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,Vehicle,72,0.0,Total Pol II F12,Goat anti-mouse Alexa647,2109,397.71690669125553,63.07823589186057,1.0252918828573199
138,250128_ARMC5mAC_TotalPolII,I21,HCT116 OsTIRF74G,Vehicle,72,0.0,Total Pol II F12,Goat anti-mouse Alexa647,3263,332.08056328560605,-2.5581075137889115,-0.04158021910854564
139,250128_ARMC5mAC_TotalPolII,I22,HCT116 OsTIRF74G,No addition,No addition,0.0,Total Pol II F12,Goat anti-mouse Alexa647,4377,332.26628044368914,-2.372390355705818,-0.03856151872801556
