,WELL,Alexa647_Intensity,GFP_Intensity,DAPI_Intensity,NucleusArea,CELL,DRUG,DRUG TIME HOURS,PRIMARY,SECONDARY,TotalNumberCells,EXPERIMENT,GFP_Intensity_BGS,GFP_Intensity_FC,IF_Intensity_BGS,IF_Intensity_FC,TIME_HOURS,TIME_IN_AUXIN_HRS
62,F07,476.0589589798724,327.0049273349882,721.4862579914677,1499.2289239204936,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,Vehicle,8.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,1459,250210_ARMC5mAC_PhosphoPolII,62.26060948340853,1.2222672560919539,357.72385576007963,0.9781686362067653,8.0,0.0
63,F08,498.42492060303056,345.515809172111,840.776709224716,1379.2921727395412,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,Vehicle,8.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,1482,250210_ARMC5mAC_PhosphoPolII,80.77149132053131,1.585663068285725,380.0898173832378,1.0393266546785624,8.0,0.0
64,F09,474.1313250209015,264.4575069121316,755.263040999671,1462.5407407407408,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,10 µM 5PhIAA,8.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,2160,250210_ARMC5mAC_PhosphoPolII,-0.28681093944811664,-0.00563052020989007,355.79622180110874,0.9728976679713759,8.0,8.0
65,F10,511.1975496594855,270.39117105830144,866.5129575597634,1417.5378590078328,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,10 µM 5PhIAA,8.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,1915,250210_ARMC5mAC_PhosphoPolII,5.646853206721744,0.11085602649574289,392.86244643969275,1.0742524359585979,8.0,8.0
66,F11,469.8014377077208,320.2762657631344,736.8837006094666,1516.1915887850466,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,Vehicle,8.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,1712,250210_ARMC5mAC_PhosphoPolII,55.53194791155471,1.090173741671849,351.46633448792807,0.9610579209154695,8.0,0.0
67,F12,515.3816655324837,263.16051877955397,858.3083532912208,1372.393611540443,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,Vehicle,8.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,1941,250210_ARMC5mAC_PhosphoPolII,-1.5837990720257267,-0.031092303175762115,397.0465623126909,1.0856935821145497,8.0,0.0
76,G03,541.9537076542806,342.7423637923014,757.8018115674301,1494.9675792507205,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,Vehicle,2.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,1388,250210_ARMC5mAC_PhosphoPolII,77.99804594072168,1.531216259903546,423.61860443448785,1.1583528073380955,2.0,0.0
77,G04,505.30877234368154,349.0269974868296,786.9613363051943,1390.500296735905,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,Vehicle,2.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,1685,250210_ARMC5mAC_PhosphoPolII,84.2826796352499,1.6545928545930189,386.9736691238888,1.0581500229291783,2.0,0.0
78,G05,493.59438649601987,263.1906911148512,771.9469890713721,1491.5387114239306,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,10 µM 5PhIAA,2.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,1847,250210_ARMC5mAC_PhosphoPolII,-1.5536267367285177,-0.03049997589564717,375.2592832762271,1.0261179270985548,2.0,2.0
79,G06,485.06729830835485,264.5512545117765,762.4500868556108,1426.4050564819795,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,10 µM 5PhIAA,2.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,1859,250210_ARMC5mAC_PhosphoPolII,-0.19306333980318868,-0.0037901170668121317,366.7321950885621,1.0028012539468003,2.0,2.0
80,G07,468.1846230833963,320.45910597652437,744.5218672170722,1565.899294117647,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,Vehicle,2.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,2125,250210_ARMC5mAC_PhosphoPolII,55.714788124944675,1.0937631637442908,349.8495198636035,0.9566368644759587,2.0,0.0
81,G08,488.294700927765,339.7918906125917,770.485378210137,1370.4052757793766,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,Vehicle,2.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,1668,250210_ARMC5mAC_PhosphoPolII,75.04757276101202,1.4732941356670712,369.95959770797225,1.0116263405824422,2.0,0.0
82,G09,515.3059232381116,258.21375565652465,775.0002065580348,1438.2340012928248,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,10 µM 5PhIAA,2.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,1547,250210_ARMC5mAC_PhosphoPolII,-6.53056219505504,-0.1282045325466156,396.9708200183189,1.085486470579783,2.0,2.0
83,G10,498.2272385703116,261.49806676908076,774.1167477292365,1390.8718984420082,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,10 µM 5PhIAA,2.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,1733,250210_ARMC5mAC_PhosphoPolII,-3.2462510824989295,-0.06372867911369956,379.89213535051886,1.0387861082172805,2.0,2.0
84,G11,482.57916793615135,321.0547528494079,731.5113700072476,1493.1099397590363,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,Vehicle,2.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,1992,250210_ARMC5mAC_PhosphoPolII,56.310434997828224,1.105456587161759,364.2440647163586,0.9959976509617222,2.0,0.0
85,G12,505.7770884456181,337.7982645698907,781.2001240281929,1384.5963983050847,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,Vehicle,2.0,pSer2 Pol II 3E10,Goat anti-rat Alexa647,1888,250210_ARMC5mAC_PhosphoPolII,73.05394671831101,1.434156326816437,387.44198522582536,1.0594305976388847,2.0,0.0
