,EXPERIMENT,WELL,CELL,EU,DRUG,DRUG TIME HOURS,TIME_HOURS,TIME_IN_AUXIN_HRS,PRIMARY,SECONDARY,TotalNumberCells,EU_Intensity_BGS,EU_Intensity_FC
69,250128_ARMC5mAC_TotalPolII,F12,HCT116 OsTIRF74G,"EU 1 mM, 30 mins",Vehicle,24,24,0.0,Total Pol II F12,Goat anti-mouse Alexa647,4173,35.55209460343772,1.0033707232802265
70,250128_ARMC5mAC_TotalPolII,F13,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,"EU 1 mM, 30 mins",10 µM 5PhIAA,24,24,24.0,Total Pol II F12,Goat anti-mouse Alexa647,2113,39.95737173271877,1.1276988718396972
71,250128_ARMC5mAC_TotalPolII,F14,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,"EU 1 mM, 30 mins",10 µM 5PhIAA,24,24,24.0,Total Pol II F12,Goat anti-mouse Alexa647,2524,33.657054313137564,0.9498878562949495
72,250128_ARMC5mAC_TotalPolII,F15,HCT116 OsTIRF74G,"EU 1 mM, 30 mins",10 µM 5PhIAA,24,24,24.0,Total Pol II F12,Goat anti-mouse Alexa647,4118,41.590066817076206,1.1737776884596716
73,250128_ARMC5mAC_TotalPolII,F16,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,"EU 1 mM, 30 mins",Vehicle,24,24,0.0,Total Pol II F12,Goat anti-mouse Alexa647,1584,45.78079360266901,1.2920506794840452
74,250128_ARMC5mAC_TotalPolII,F17,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,"EU 1 mM, 30 mins",Vehicle,24,24,0.0,Total Pol II F12,Goat anti-mouse Alexa647,2668,35.53816272031082,1.0029775300294315
75,250128_ARMC5mAC_TotalPolII,F18,HCT116 OsTIRF74G,"EU 1 mM, 30 mins",Vehicle,24,24,0.0,Total Pol II F12,Goat anti-mouse Alexa647,3888,32.01188565013945,0.9034570034936418
76,250128_ARMC5mAC_TotalPolII,F19,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,"EU 1 mM, 30 mins",10 µM 5PhIAA,24,24,24.0,Total Pol II F12,Goat anti-mouse Alexa647,2109,39.57316246428752,1.1168555070293562
77,250128_ARMC5mAC_TotalPolII,F20,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,"EU 1 mM, 30 mins",10 µM 5PhIAA,24,24,24.0,Total Pol II F12,Goat anti-mouse Alexa647,2410,36.61480273141149,1.0333630552340716
78,250128_ARMC5mAC_TotalPolII,F21,HCT116 OsTIRF74G,"EU 1 mM, 30 mins",10 µM 5PhIAA,24,24,24.0,Total Pol II F12,Goat anti-mouse Alexa647,4020,30.908457188122185,0.8723154399269429
79,250128_ARMC5mAC_TotalPolII,F22,HCT116 OsTIRF74G,"EU 1 mM, 30 mins",No addition,No addition,No addition,0.0,Total Pol II F12,Goat anti-mouse Alexa647,4850,25.219474530648455,0.711757849511268
80,250128_ARMC5mAC_TotalPolII,G03,HCT116 OsTIRF74G,"EU 1 mM, 30 mins",No addition,No addition,No addition,0.0,Total Pol II F12,Goat anti-mouse Alexa647,3075,25.373927555022448,0.7161169075219869
81,250128_ARMC5mAC_TotalPolII,G04,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,"EU 1 mM, 30 mins",Vehicle,8,8,0.0,Total Pol II F12,Goat anti-mouse Alexa647,1891,41.3618131055874,1.1673357869587184
82,250128_ARMC5mAC_TotalPolII,G05,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,"EU 1 mM, 30 mins",Vehicle,8,8,0.0,Total Pol II F12,Goat anti-mouse Alexa647,2088,36.059272300504034,1.0176845705630195
83,250128_ARMC5mAC_TotalPolII,G06,HCT116 OsTIRF74G,"EU 1 mM, 30 mins",Vehicle,8,8,0.0,Total Pol II F12,Goat anti-mouse Alexa647,4554,32.907523709844696,0.9287341923003136
84,250128_ARMC5mAC_TotalPolII,G07,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,"EU 1 mM, 30 mins",10 µM 5PhIAA,8,8,8.0,Total Pol II F12,Goat anti-mouse Alexa647,2241,38.790760013543405,1.0947741157173676
85,250128_ARMC5mAC_TotalPolII,G08,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,"EU 1 mM, 30 mins",10 µM 5PhIAA,8,8,8.0,Total Pol II F12,Goat anti-mouse Alexa647,2561,35.188332292728006,0.9931044237310684
86,250128_ARMC5mAC_TotalPolII,G09,HCT116 OsTIRF74G,"EU 1 mM, 30 mins",10 µM 5PhIAA,8,8,8.0,Total Pol II F12,Goat anti-mouse Alexa647,4228,26.61858582230832,0.7512443361535077
87,250128_ARMC5mAC_TotalPolII,G10,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,"EU 1 mM, 30 mins",Vehicle,8,8,0.0,Total Pol II F12,Goat anti-mouse Alexa647,1877,39.72344297870552,1.1210968061744122
88,250128_ARMC5mAC_TotalPolII,G11,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,"EU 1 mM, 30 mins",Vehicle,8,8,0.0,Total Pol II F12,Goat anti-mouse Alexa647,2422,32.86402865017391,0.9275066508581625
89,250128_ARMC5mAC_TotalPolII,G12,HCT116 OsTIRF74G,"EU 1 mM, 30 mins",Vehicle,8,8,0.0,Total Pol II F12,Goat anti-mouse Alexa647,4479,29.817964303002952,0.84153895130992
90,250128_ARMC5mAC_TotalPolII,G13,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,"EU 1 mM, 30 mins",10 µM 5PhIAA,8,8,8.0,Total Pol II F12,Goat anti-mouse Alexa647,1944,37.186907573475224,1.0495093120320635
91,250128_ARMC5mAC_TotalPolII,G14,HCT116 OsTIRF74G ARMC5mAC Clone 5F9,"EU 1 mM, 30 mins",10 µM 5PhIAA,8,8,8.0,Total Pol II F12,Goat anti-mouse Alexa647,2378,30.46704633270525,0.8598577005390474
92,250128_ARMC5mAC_TotalPolII,G15,HCT116 OsTIRF74G,"EU 1 mM, 30 mins",10 µM 5PhIAA,8,8,8.0,Total Pol II F12,Goat anti-mouse Alexa647,3855,27.4038507959944,0.7734065151587877
93,250128_ARMC5mAC_TotalPolII,G16,HCT116 OsTIRF74G ARMC5mAC Clone 5A1,"EU 1 mM, 30 mins",Vehicle,8,8,0.0,Total Pol II F12,Goat anti-mouse Alexa647,2634,38.19209345532673,1.0778782195902386
