WELL,CELL,CELL_STAIN,DRUG,DRUG_TIME_MINUTES,PRIMARY_1,SECONDARY_1,PRIMARY_2,SECONDARY_2
M12,HCT116,Vehicle,No addition,No primary,No primary,No primary,No primary,No primary
M13,HCT116 mChPOLR2A clone 2,Vehicle,No addition,No primary,No primary,No primary,No primary,No primary
M14,HCT116 mChPOLR2A clone 2,Vehicle,No addition,No primary,No primary,No primary,No primary,No primary
M15,HCT116 mChPOLR2A clone 2,Vehicle,No addition,No primary,No primary,No primary,No primary,No primary
M16,HCT116 mChPOLR2A clone 2,Vehicle,No addition,No primary,No primary,No primary,No primary,No primary
M17,HCT116 mChPOLR2A clone 2,Vehicle,No addition,No primary,No primary,No primary,No primary,No primary
M18,HCT116 mChPOLR2A clone 2,Vehicle,No addition,No primary,No primary,No primary,No primary,No primary
M19,HCT116 mChPOLR2A clone 2,Vehicle,No addition,No primary,No primary,No primary,No primary,No primary
M20,HCT116 mChPOLR2A clone 2,Vehicle,No addition,No primary,No primary,No primary,No primary,No primary
M21,HCT116 mChPOLR2A clone 2,Vehicle,No addition,No primary,No primary,No primary,No primary,No primary
M22,HCT116 mChPOLR2A clone 2,Vehicle,No addition,No primary,No primary,No primary,No primary,No primary
N03,HCT116,Vehicle,No addition,No primary,No primary,No primary,No primary,No primary
N04,HCT116,Vehicle,No addition,No primary,No primary,No primary,No primary,No primary
N05,HCT116,Vehicle,No addition,No primary,No primary,No primary,No primary,No primary
