,WELL,RFP_Intensity,GFP_Intensity,DAPI_Intensity,NucleusArea,CELL,DRUG_1,DRUG_TIME_MINUTES_1,DRUG_2,DRUG_TIME_MINUTES_2,EXPERIMENT
19,D22,132.95577877169472,173.43210274216204,222.16608517793895,1650.9826530612245,HCT116 OsTIRF74G,No addition,No addition,No addition,No addition,250520_mACmChPOLR2A_Inhibitors_Chase
20,E03,132.30511514047862,175.47598471233346,203.85050495501213,1723.3425287356322,HCT116 OsTIRF74G,No addition,No addition,No addition,No addition,250520_mACmChPOLR2A_Inhibitors_Chase
21,E04,155.99953574998028,177.6988192306946,201.3692694810085,1541.2653562653563,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,1440,Cycloheximide 50 µg/mL,240,250520_mACmChPOLR2A_Inhibitors_Chase
22,E05,153.9419188572015,179.19462506614994,194.62036017206,1649.7083333333333,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,1440,Leptomycin 10 ng/mL,240,250520_mACmChPOLR2A_Inhibitors_Chase
23,E06,161.8701845176263,179.37795144269592,194.20531054219546,1624.682040531097,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,1440,Vehicle,240,250520_mACmChPOLR2A_Inhibitors_Chase
24,E07,149.01135447523623,207.5373330231687,196.648581193261,1780.2,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,1440,Cycloheximide 50 µg/mL,240,250520_mACmChPOLR2A_Inhibitors_Chase
25,E08,146.98458286617446,202.5355584662654,196.05122614843475,1681.524644030668,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,1440,Leptomycin 10 ng/mL,240,250520_mACmChPOLR2A_Inhibitors_Chase
26,E09,153.37961968908138,214.7705570218291,192.4707331442918,1669.4878803506963,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,1440,Vehicle,240,250520_mACmChPOLR2A_Inhibitors_Chase
27,E10,155.8181120069201,176.40730712722933,202.9454565092721,1728.6247920133112,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,1440,Cycloheximide 50 µg/mL,240,250520_mACmChPOLR2A_Inhibitors_Chase
28,E11,155.0941505851751,179.27612170037645,198.7519577687661,1699.5587315765968,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,1440,Leptomycin 10 ng/mL,240,250520_mACmChPOLR2A_Inhibitors_Chase
29,E12,162.75999202416685,181.47698376962248,203.41245647674432,1711.6728767123288,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,1440,Vehicle,240,250520_mACmChPOLR2A_Inhibitors_Chase
30,E13,149.5313299527809,208.36615514752017,198.33560815023338,1731.7958357432042,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,1440,Cycloheximide 50 µg/mL,240,250520_mACmChPOLR2A_Inhibitors_Chase
31,E14,149.2251176008543,207.35482146728805,195.4755225694875,1649.1770750988142,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,1440,Leptomycin 10 ng/mL,240,250520_mACmChPOLR2A_Inhibitors_Chase
32,E15,155.41439835461838,210.23451519686975,199.00925727184912,1651.8508898508899,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,1440,Vehicle,240,250520_mACmChPOLR2A_Inhibitors_Chase
33,E16,158.79084924080198,176.9748603684182,192.48790532060298,1781.0187099950763,HCT116 mChPOLR2A Clone 2,Vehicle,1440,Cycloheximide 50 µg/mL,240,250520_mACmChPOLR2A_Inhibitors_Chase
34,E17,160.31705725415483,177.43498087194214,191.96307835011274,1741.0381391450126,HCT116 mChPOLR2A Clone 2,Vehicle,1440,Leptomycin 10 ng/mL,240,250520_mACmChPOLR2A_Inhibitors_Chase
35,E18,170.11804151164168,177.7165713380745,192.62833312427065,1746.0454750112563,HCT116 mChPOLR2A Clone 2,Vehicle,1440,Vehicle,240,250520_mACmChPOLR2A_Inhibitors_Chase
36,E19,161.5407723627934,177.188782826163,191.12264751602794,1788.523560209424,HCT116 mChPOLR2A Clone 2,Vehicle,1440,Cycloheximide 50 µg/mL,240,250520_mACmChPOLR2A_Inhibitors_Chase
37,E20,159.53575455238663,176.6083056843228,192.14215971482562,1746.115955917585,HCT116 mChPOLR2A Clone 2,Vehicle,1440,Leptomycin 10 ng/mL,240,250520_mACmChPOLR2A_Inhibitors_Chase
38,E21,170.2126977523071,175.620763393239,194.07223951896918,1695.1394849785408,HCT116 mChPOLR2A Clone 2,Vehicle,1440,Vehicle,240,250520_mACmChPOLR2A_Inhibitors_Chase
39,E22,132.8766792675928,173.9060320165905,223.69205327365202,1681.6944248412137,HCT116 OsTIRF74G,No addition,No addition,No addition,No addition,250520_mACmChPOLR2A_Inhibitors_Chase
40,F03,132.49311436638604,177.22915748693856,206.09276352243174,1685.5132382892057,HCT116 OsTIRF74G,No addition,No addition,No addition,No addition,250520_mACmChPOLR2A_Inhibitors_Chase
41,F04,161.1301423173362,180.6156312799749,199.4090024414429,1586.475590551181,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,1440,Cycloheximide 50 µg/mL,120,250520_mACmChPOLR2A_Inhibitors_Chase
42,F05,155.87170602542233,179.88456250634482,187.9858605069814,1741.8820512820512,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,1440,Leptomycin 10 ng/mL,120,250520_mACmChPOLR2A_Inhibitors_Chase
43,F06,163.70992177596622,180.83107703317052,199.7699407616812,1492.788156797331,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,1440,Vehicle,120,250520_mACmChPOLR2A_Inhibitors_Chase
44,F07,153.5602881985323,218.07453919485528,205.19212286581393,1656.8422535211268,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,1440,Cycloheximide 50 µg/mL,120,250520_mACmChPOLR2A_Inhibitors_Chase
45,F08,151.61982111822036,217.6240395517737,190.06519810034823,1599.6666666666667,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,1440,Leptomycin 10 ng/mL,120,250520_mACmChPOLR2A_Inhibitors_Chase
46,F09,154.9261218442555,218.631585007914,200.47436542292817,1529.672554347826,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,1440,Vehicle,120,250520_mACmChPOLR2A_Inhibitors_Chase
47,F10,162.12206515736503,177.78499949372468,203.550726126421,1586.0462093862816,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,1440,Cycloheximide 50 µg/mL,120,250520_mACmChPOLR2A_Inhibitors_Chase
48,F11,156.87625292645143,179.0755584969735,195.55363496227557,1704.5531609195402,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,1440,Leptomycin 10 ng/mL,120,250520_mACmChPOLR2A_Inhibitors_Chase
49,F12,163.81381178717183,182.84193200940538,197.77711278266702,1581.3036585365853,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,1440,Vehicle,120,250520_mACmChPOLR2A_Inhibitors_Chase
50,F13,153.30662322406016,218.4530840539295,202.87559401329827,1623.219263899765,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,1440,Cycloheximide 50 µg/mL,120,250520_mACmChPOLR2A_Inhibitors_Chase
51,F14,150.64796651420335,210.7306743591397,196.10803551361212,1721.0196733481812,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,1440,Leptomycin 10 ng/mL,120,250520_mACmChPOLR2A_Inhibitors_Chase
52,F15,155.0903183375045,218.0737553105551,205.07124295343172,1618.6286286286286,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,1440,Vehicle,120,250520_mACmChPOLR2A_Inhibitors_Chase
53,F16,164.37605786550833,178.4433874789871,190.18964572207474,1698.624667729931,HCT116 mChPOLR2A Clone 2,Vehicle,1440,Cycloheximide 50 µg/mL,120,250520_mACmChPOLR2A_Inhibitors_Chase
54,F17,166.02988880245226,176.80490553586,186.79239103830193,1668.1622621564482,HCT116 mChPOLR2A Clone 2,Vehicle,1440,Leptomycin 10 ng/mL,120,250520_mACmChPOLR2A_Inhibitors_Chase
55,F18,170.59694132318316,177.30899156415396,186.4550370042476,1670.078781512605,HCT116 mChPOLR2A Clone 2,Vehicle,1440,Vehicle,120,250520_mACmChPOLR2A_Inhibitors_Chase
56,F19,165.22275312056286,177.2540691473962,193.2811347494084,1739.0121212121212,HCT116 mChPOLR2A Clone 2,Vehicle,1440,Cycloheximide 50 µg/mL,120,250520_mACmChPOLR2A_Inhibitors_Chase
57,F20,164.8433086557552,176.6924925156759,192.32845813557887,1714.9075664621678,HCT116 mChPOLR2A Clone 2,Vehicle,1440,Leptomycin 10 ng/mL,120,250520_mACmChPOLR2A_Inhibitors_Chase
58,F21,169.04873347230182,175.63695532172088,191.83780972306207,1705.9762266059686,HCT116 mChPOLR2A Clone 2,Vehicle,1440,Vehicle,120,250520_mACmChPOLR2A_Inhibitors_Chase
59,F22,132.6122979668481,173.3616039587427,218.53595665520388,1696.808988764045,HCT116 OsTIRF74G,No addition,No addition,No addition,No addition,250520_mACmChPOLR2A_Inhibitors_Chase
60,G03,132.89615490945812,176.71649810794173,210.63882322937064,1647.8362637362638,HCT116 OsTIRF74G,No addition,No addition,No addition,No addition,250520_mACmChPOLR2A_Inhibitors_Chase
61,G04,162.91954930724754,181.7734025998088,198.54940144507697,1527.2336512261581,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,1440,Cycloheximide 50 µg/mL,60,250520_mACmChPOLR2A_Inhibitors_Chase
62,G05,157.1198507673492,180.50504257487057,191.1560155789796,1787.8953271028038,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,1440,Leptomycin 10 ng/mL,60,250520_mACmChPOLR2A_Inhibitors_Chase
63,G06,162.17256915374563,180.64763677599905,196.06523910440845,1537.4098660170523,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,1440,Vehicle,60,250520_mACmChPOLR2A_Inhibitors_Chase
64,G07,153.2939643935019,218.50242356177276,196.45817229330873,1579.7824581650318,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,1440,Cycloheximide 50 µg/mL,60,250520_mACmChPOLR2A_Inhibitors_Chase
65,G08,150.94008549131874,212.11352228713986,193.6097141015962,1766.8723514211886,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,1440,Leptomycin 10 ng/mL,60,250520_mACmChPOLR2A_Inhibitors_Chase
66,G09,153.93826279028076,218.89732628083155,194.66376937271937,1568.6413301662708,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,1440,Vehicle,60,250520_mACmChPOLR2A_Inhibitors_Chase
67,G10,164.05080084031238,179.74689102099492,206.33985646298711,1482.1791044776119,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,1440,Cycloheximide 50 µg/mL,60,250520_mACmChPOLR2A_Inhibitors_Chase
68,G11,157.39619428254048,178.61431873964682,194.91782627255537,1714.3850286532952,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,1440,Leptomycin 10 ng/mL,60,250520_mACmChPOLR2A_Inhibitors_Chase
69,G12,163.51702790171865,180.9332874392281,206.06840963642958,1534.03256302521,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,1440,Vehicle,60,250520_mACmChPOLR2A_Inhibitors_Chase
70,G13,156.16765633154614,220.1044811633858,207.50332777047785,1584.5049443757725,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,1440,Cycloheximide 50 µg/mL,60,250520_mACmChPOLR2A_Inhibitors_Chase
71,G14,151.7579131307852,214.29877002296786,194.32822226585083,1693.9066044029353,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,1440,Leptomycin 10 ng/mL,60,250520_mACmChPOLR2A_Inhibitors_Chase
72,G15,155.1047517965446,221.36328566764905,206.0516539700718,1622.1864820846906,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,1440,Vehicle,60,250520_mACmChPOLR2A_Inhibitors_Chase
73,G16,168.446699500921,178.42987649350596,191.1154961873388,1629.197033898305,HCT116 mChPOLR2A Clone 2,Vehicle,1440,Cycloheximide 50 µg/mL,60,250520_mACmChPOLR2A_Inhibitors_Chase
74,G17,169.1942270909489,176.90212515631745,193.72416806404496,1701.7124681933842,HCT116 mChPOLR2A Clone 2,Vehicle,1440,Leptomycin 10 ng/mL,60,250520_mACmChPOLR2A_Inhibitors_Chase
75,G18,170.46436730256522,177.8217060322002,190.8993536432555,1678.514075887393,HCT116 mChPOLR2A Clone 2,Vehicle,1440,Vehicle,60,250520_mACmChPOLR2A_Inhibitors_Chase
76,G19,168.69456039035148,178.07346428637632,195.70388758792492,1627.2260787992495,HCT116 mChPOLR2A Clone 2,Vehicle,1440,Cycloheximide 50 µg/mL,60,250520_mACmChPOLR2A_Inhibitors_Chase
77,G20,166.58422342692063,175.7895849921587,188.6818145632629,1653.025787965616,HCT116 mChPOLR2A Clone 2,Vehicle,1440,Leptomycin 10 ng/mL,60,250520_mACmChPOLR2A_Inhibitors_Chase
78,G21,168.0440060950467,175.00807114213194,195.2783754129052,1635.354794520548,HCT116 mChPOLR2A Clone 2,Vehicle,1440,Vehicle,60,250520_mACmChPOLR2A_Inhibitors_Chase
79,G22,131.92001749593368,171.84784430160167,216.28516132181875,1647.25,HCT116 OsTIRF74G,No addition,No addition,No addition,No addition,250520_mACmChPOLR2A_Inhibitors_Chase
80,H03,132.99250414156805,177.14489057822956,208.79092553138952,1631.754266211604,HCT116 OsTIRF74G,No addition,No addition,No addition,No addition,250520_mACmChPOLR2A_Inhibitors_Chase
81,H04,165.20658480932826,182.7248412303561,206.11896340717774,1416.5508701472556,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,1440,Cycloheximide 50 µg/mL,30,250520_mACmChPOLR2A_Inhibitors_Chase
82,H05,157.84165439935168,180.20434489546844,193.57327394253812,1664.2255125284737,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,1440,Leptomycin 10 ng/mL,30,250520_mACmChPOLR2A_Inhibitors_Chase
83,H06,161.54936078906067,180.95640470062227,195.87175043831712,1578.8328108672936,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,1440,Vehicle,30,250520_mACmChPOLR2A_Inhibitors_Chase
84,H07,153.82075133365635,215.99060724641024,196.82722974094702,1526.2797518330513,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,1440,Cycloheximide 50 µg/mL,30,250520_mACmChPOLR2A_Inhibitors_Chase
85,H08,151.98693910092717,214.2751747632333,191.91691144756513,1691.2846277021617,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,1440,Leptomycin 10 ng/mL,30,250520_mACmChPOLR2A_Inhibitors_Chase
86,H09,156.1326885034024,220.3536111512985,204.79619519980253,1473.2879858657243,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,1440,Vehicle,30,250520_mACmChPOLR2A_Inhibitors_Chase
87,H10,162.9913655800406,178.94539887187452,201.09100233746318,1424.9076690211907,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,1440,Cycloheximide 50 µg/mL,30,250520_mACmChPOLR2A_Inhibitors_Chase
88,H11,158.2502456888775,179.63896562152257,195.9891811378152,1703.6897810218977,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,1440,Leptomycin 10 ng/mL,30,250520_mACmChPOLR2A_Inhibitors_Chase
89,H12,161.93721086694123,180.76659087428482,198.6900556003349,1633.275590551181,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,1440,Vehicle,30,250520_mACmChPOLR2A_Inhibitors_Chase
90,H13,154.1817885730438,220.46148575487888,202.62313395848687,1522.6977025392987,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,1440,Cycloheximide 50 µg/mL,30,250520_mACmChPOLR2A_Inhibitors_Chase
91,H14,150.9802257422204,214.09902680578196,192.94982252745166,1713.0436158986986,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,1440,Leptomycin 10 ng/mL,30,250520_mACmChPOLR2A_Inhibitors_Chase
92,H15,154.33342822130848,217.27526903111595,200.52517127500226,1608.5388659406685,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,1440,Vehicle,30,250520_mACmChPOLR2A_Inhibitors_Chase
93,H16,172.7350075168961,177.4341570688879,190.19315346717383,1645.6502485314054,HCT116 mChPOLR2A Clone 2,Vehicle,1440,Cycloheximide 50 µg/mL,30,250520_mACmChPOLR2A_Inhibitors_Chase
94,H17,169.29384170214962,176.62758084818114,189.59800834966256,1655.9598583234947,HCT116 mChPOLR2A Clone 2,Vehicle,1440,Leptomycin 10 ng/mL,30,250520_mACmChPOLR2A_Inhibitors_Chase
95,H18,169.69953972138373,176.3418612964248,190.34393075464246,1659.6088117489987,HCT116 mChPOLR2A Clone 2,Vehicle,1440,Vehicle,30,250520_mACmChPOLR2A_Inhibitors_Chase
96,H19,168.52507674933722,174.87165291765265,190.88363049446008,1630.4971774193548,HCT116 mChPOLR2A Clone 2,Vehicle,1440,Cycloheximide 50 µg/mL,30,250520_mACmChPOLR2A_Inhibitors_Chase
97,H20,167.37603975448837,174.61795807919327,191.96875162350756,1676.4468864468865,HCT116 mChPOLR2A Clone 2,Vehicle,1440,Leptomycin 10 ng/mL,30,250520_mACmChPOLR2A_Inhibitors_Chase
98,H21,168.0640023954847,174.27254137508373,192.7091874028882,1641.9417552144826,HCT116 mChPOLR2A Clone 2,Vehicle,1440,Vehicle,30,250520_mACmChPOLR2A_Inhibitors_Chase
99,H22,132.23453000859223,172.98355722033696,219.3531364043062,1664.1070110701107,HCT116 OsTIRF74G,No addition,No addition,No addition,No addition,250520_mACmChPOLR2A_Inhibitors_Chase
100,I03,132.6781059435856,176.78958560065448,206.29934223353783,1668.8211829436038,HCT116 OsTIRF74G,No addition,No addition,No addition,No addition,250520_mACmChPOLR2A_Inhibitors_Chase
101,I04,150.43932377137128,179.05295547958963,202.6570358555903,1680.077577045696,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,1440,Cycloheximide 50 µg/mL,480,250520_mACmChPOLR2A_Inhibitors_Chase
102,I05,149.36421804951797,179.26468969816878,194.3488872951299,1792.3059855521155,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,1440,Leptomycin 10 ng/mL,480,250520_mACmChPOLR2A_Inhibitors_Chase
103,I06,160.72588944355866,180.82047894500153,194.2200342409253,1589.1739130434783,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,1440,Vehicle,480,250520_mACmChPOLR2A_Inhibitors_Chase
104,I07,145.15493649418966,196.16757970997242,200.46179262286765,1776.0744360902256,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,1440,Cycloheximide 50 µg/mL,480,250520_mACmChPOLR2A_Inhibitors_Chase
105,I08,145.36166202004324,200.09085249557558,193.31556700267492,1654.7081203861442,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,1440,Leptomycin 10 ng/mL,480,250520_mACmChPOLR2A_Inhibitors_Chase
106,I09,152.42429903818694,199.08564715786224,194.89893380851507,1610.9895287958116,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,1440,Vehicle,480,250520_mACmChPOLR2A_Inhibitors_Chase
107,I10,150.42706124076477,176.77551951694812,201.9388515856706,1763.7985611510792,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,1440,Cycloheximide 50 µg/mL,480,250520_mACmChPOLR2A_Inhibitors_Chase
108,I11,149.07585122260144,177.80766285215358,192.70900400287286,1736.1175642379444,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,1440,Leptomycin 10 ng/mL,480,250520_mACmChPOLR2A_Inhibitors_Chase
109,I12,160.3157374967647,179.53888026211192,200.15375694911344,1615.4860932819854,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,1440,Vehicle,480,250520_mACmChPOLR2A_Inhibitors_Chase
110,I13,145.3521753170308,195.3917012348909,207.7354862027632,1770.6733149931224,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,1440,Cycloheximide 50 µg/mL,480,250520_mACmChPOLR2A_Inhibitors_Chase
111,I14,144.771758192767,199.20877408071502,193.18377524511968,1773.845844013182,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,1440,Leptomycin 10 ng/mL,480,250520_mACmChPOLR2A_Inhibitors_Chase
112,I15,153.20526983182242,216.65191039251522,203.394324358849,1638.0213212163578,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,1440,Vehicle,480,250520_mACmChPOLR2A_Inhibitors_Chase
113,I16,152.33569200673296,176.53123836890487,187.1263623774152,1827.441121495327,HCT116 mChPOLR2A Clone 2,Vehicle,1440,Cycloheximide 50 µg/mL,480,250520_mACmChPOLR2A_Inhibitors_Chase
114,I17,153.8309167185985,175.45298435647464,189.10306152079252,1791.7541717541717,HCT116 mChPOLR2A Clone 2,Vehicle,1440,Leptomycin 10 ng/mL,480,250520_mACmChPOLR2A_Inhibitors_Chase
115,I18,168.42774434324772,175.52451890647652,187.34182110272113,1657.2995444191345,HCT116 mChPOLR2A Clone 2,Vehicle,1440,Vehicle,480,250520_mACmChPOLR2A_Inhibitors_Chase
116,I19,150.80737094555823,175.40575343036977,188.7766199988412,1827.2610637434022,HCT116 mChPOLR2A Clone 2,Vehicle,1440,Cycloheximide 50 µg/mL,480,250520_mACmChPOLR2A_Inhibitors_Chase
117,I20,152.03194350089876,174.27087657007658,189.38476618487078,1846.946005509642,HCT116 mChPOLR2A Clone 2,Vehicle,1440,Leptomycin 10 ng/mL,480,250520_mACmChPOLR2A_Inhibitors_Chase
118,I21,169.3878005578805,174.50221377068718,199.64801184709998,1642.0234561991383,HCT116 mChPOLR2A Clone 2,Vehicle,1440,Vehicle,480,250520_mACmChPOLR2A_Inhibitors_Chase
119,I22,131.9862407468658,172.87454731735141,217.89648895300272,1675.9681227863045,HCT116 OsTIRF74G,No addition,No addition,No addition,No addition,250520_mACmChPOLR2A_Inhibitors_Chase
120,J03,132.34791904499207,175.87322226770712,206.13963903601407,1531.006329113924,HCT116 OsTIRF74G,No addition,No addition,No addition,No addition,250520_mACmChPOLR2A_Inhibitors_Chase
