WELL,CELL,DRUG_1,DRUG_TIME_MINUTES_1,DRUG_2,DRUG_TIME_MINUTES_2
J12,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,240,Cycloheximide 50 µg/mL,240
J13,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,240,Vehicle,240
J14,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,240,Leptomycin 10 ng/mL,240
J15,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,240,Cycloheximide 50 µg/mL,240
J16,HCT116 mChPOLR2A Clone 2,Vehicle,240,Vehicle,240
J17,HCT116 mChPOLR2A Clone 2,Vehicle,240,Leptomycin 10 ng/mL,240
J18,HCT116 mChPOLR2A Clone 2,Vehicle,240,Cycloheximide 50 µg/mL,240
J19,HCT116 mChPOLR2A Clone 2,Vehicle,240,Vehicle,240
J20,HCT116 mChPOLR2A Clone 2,Vehicle,240,Leptomycin 10 ng/mL,240
J21,HCT116 mChPOLR2A Clone 2,Vehicle,240,Cycloheximide 50 µg/mL,240
J22,HCT116 OsTIRF74G,No addition,No addition,No addition,No addition
K03,HCT116 OsTIRF74G,No addition,No addition,No addition,No addition
K04,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,120,Vehicle,120
K05,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,120,Leptomycin 10 ng/mL,120
K06,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,120,Cycloheximide 50 µg/mL,120
K07,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,120,Vehicle,120
K08,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,120,Leptomycin 10 ng/mL,120
K09,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,120,Cycloheximide 50 µg/mL,120
K10,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,120,Vehicle,120
K11,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,120,Leptomycin 10 ng/mL,120
K12,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,120,Cycloheximide 50 µg/mL,120
K13,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,120,Vehicle,120
K14,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,120,Leptomycin 10 ng/mL,120
K15,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,120,Cycloheximide 50 µg/mL,120
K16,HCT116 mChPOLR2A Clone 2,Vehicle,120,Vehicle,120
K17,HCT116 mChPOLR2A Clone 2,Vehicle,120,Leptomycin 10 ng/mL,120
