,WELL,IF_488_Intensity,FISH_647_Intensity,DAPI_Intensity,NucleusArea,CELL,SIRNA,PRIMARY,SECONDARY,FISH,TotalNumberCells
47,H12,322.8392325551825,429.28114179678215,610.1783579802724,5045.080422794118,HCT116,ARMC5 pool,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,2176
48,H13,625.3311132866779,254.27966742020448,268.3247385303258,4435.292397660819,HCT116,LARP7 pool + POLR2B,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,171
49,H14,325.2418787224963,414.45988676186806,580.9628090671223,5570.803486529318,HCT116,OptiMEM only,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,2524
50,I05,594.4165943289105,386.94703997349984,573.7453345209414,5879.308196721311,HCT116,OptiMEM only,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,2745
51,I06,684.0401020937873,379.0081662316098,615.1203627604135,5600.279036827195,HCT116,OptiMEM only,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,2824
52,I07,449.60101628944795,390.40322141923855,592.1160457294645,5673.117375886525,HCT116,OptiMEM only,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,2820
53,I08,461.82285816771844,405.0687116447311,585.8435808042751,5759.55,HCT116,OptiMEM only,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,2380
54,I09,726.1786329050813,225.54804878955053,631.2301284519077,4868.684666327051,HCT116,LARP7 pool + ARMC5,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,1963
55,I10,813.3613415309464,374.09458822981867,382.3919319586492,4989.643636363637,HCT116,POLR2B,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,275
56,I11,601.0956001496432,237.254572671756,564.1756363382815,5648.477272727273,HCT116,LARP7 pool,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,2288
57,I12,498.88375874270895,385.02763663390317,613.5678921005338,5390.196943231441,HCT116,Scrambled,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,2290
58,I13,338.2725649722533,412.6236351023931,596.6521772452923,5165.58572988715,HCT116,ARMC5 pool,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,2747
59,I14,424.3789146840416,281.3314399773074,319.7190554434939,5210.72794117647,HCT116,LARP7 pool + POLR2B,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,272
60,J05,397.7364678244486,400.21068841107314,592.1201038597584,5628.414184952978,HCT116,OptiMEM only,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,2552
61,J06,633.2723971384041,361.2139642658583,599.3827967677291,5701.719897209985,HCT116,OptiMEM only,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,2724
62,J07,292.17147149664584,461.28870395850464,595.9492807695026,5752.865617433414,HCT116,OptiMEM only,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,2478
63,J08,383.81029775512405,422.7653826367097,617.5126403582444,5693.802380952381,HCT116,OptiMEM only,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,2520
64,J09,392.88941498753536,422.97411065660395,628.6728128204425,5499.698532681192,HCT116,OptiMEM only,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,2249
65,J10,292.9383426515541,455.5813952739871,600.2067547198047,5510.27027027027,HCT116,OptiMEM only,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,2442
66,J11,256.0609016341009,426.6087102012304,581.6132028349851,5543.1640625,HCT116,OptiMEM only,No primary,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,2176
67,J12,379.4548628887117,169.30617131311493,503.17405489107625,5516.116808018504,HCT116,OptiMEM only,pSer2 3E10,Goat anti-mouse Alexa647,No probes,2594
68,J13,250.03329430530835,440.31460958096795,616.4976197693135,5667.643561306223,HCT116,OptiMEM only,No primary,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N,3246
69,J14,303.4217751928638,168.99122130637957,486.2649722623946,5525.695741195741,HCT116,OptiMEM only,pSer2 3E10,Goat anti-mouse Alexa647,No probes,2442
