WELL,CELL,SIRNA,PRIMARY,SECONDARY,FISH
H15,HCT116,No transfection,No primary,No secondary,No probes
H16,HCT116,No transfection,No primary,No secondary,No probes
H17,HCT116,No transfection,No primary,No secondary,No probes
H18,HCT116,No transfection,No primary,No secondary,No probes
H19,HCT116,No transfection,No primary,No secondary,No probes
H20,HCT116,No transfection,No primary,No secondary,No probes
H21,HCT116,No transfection,No primary,No secondary,No probes
H22,HCT116,No transfection,No primary,No secondary,No probes
I03,HCT116,No transfection,No primary,No secondary,No probes
I04,HCT116,No transfection,No primary,No secondary,No probes
I05,HCT116,OptiMEM only,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N
I06,HCT116,OptiMEM only,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N
I07,HCT116,OptiMEM only,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N
I08,HCT116,OptiMEM only,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N
I09,HCT116,LARP7 pool + ARMC5,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N
I10,HCT116,POLR2B,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N
I11,HCT116,LARP7 pool,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N
I12,HCT116,Scrambled,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N
I13,HCT116,ARMC5 pool,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N
I14,HCT116,LARP7 pool + POLR2B,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N
I15,HCT116,No transfection,No primary,No secondary,No probes
I16,HCT116,No transfection,No primary,No secondary,No probes
I17,HCT116,No transfection,No primary,No secondary,No probes
I18,HCT116,No transfection,No primary,No secondary,No probes
I19,HCT116,No transfection,No primary,No secondary,No probes
I20,HCT116,No transfection,No primary,No secondary,No probes
I21,HCT116,No transfection,No primary,No secondary,No probes
I22,HCT116,No transfection,No primary,No secondary,No probes
J03,HCT116,No transfection,No primary,No secondary,No probes
J04,HCT116,No transfection,No primary,No secondary,No probes
J05,HCT116,OptiMEM only,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N
J06,HCT116,OptiMEM only,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N
J07,HCT116,OptiMEM only,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N
J08,HCT116,OptiMEM only,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N
J09,HCT116,OptiMEM only,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N
J10,HCT116,OptiMEM only,pSer2 3E10,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N
J11,HCT116,OptiMEM only,No primary,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N
J12,HCT116,OptiMEM only,pSer2 3E10,Goat anti-mouse Alexa647,No probes
J13,HCT116,OptiMEM only,No primary,Goat anti-mouse Alexa647,7SK_FISH_Prasanth_ATTO647N
J14,HCT116,OptiMEM only,pSer2 3E10,Goat anti-mouse Alexa647,No probes
J15,HCT116,No transfection,No primary,No secondary,No probes
J16,HCT116,No transfection,No primary,No secondary,No probes
J17,HCT116,No transfection,No primary,No secondary,No probes
J18,HCT116,No transfection,No primary,No secondary,No probes
J19,HCT116,No transfection,No primary,No secondary,No probes
J20,HCT116,No transfection,No primary,No secondary,No probes
J21,HCT116,No transfection,No primary,No secondary,No probes
J22,HCT116,No transfection,No primary,No secondary,No probes
K03,HCT116,No transfection,No primary,No secondary,No probes
K04,HCT116,No transfection,No primary,No secondary,No probes
K05,HCT116,No transfection,No primary,No secondary,No probes
K06,HCT116,No transfection,No primary,No secondary,No probes
K07,HCT116,No transfection,No primary,No secondary,No probes
K08,HCT116,No transfection,No primary,No secondary,No probes
K09,HCT116,No transfection,No primary,No secondary,No probes
K10,HCT116,No transfection,No primary,No secondary,No probes
K11,HCT116,No transfection,No primary,No secondary,No probes
K12,HCT116,No transfection,No primary,No secondary,No probes
K13,HCT116,No transfection,No primary,No secondary,No probes
K14,HCT116,No transfection,No primary,No secondary,No probes
K15,HCT116,No transfection,No primary,No secondary,No probes
K16,HCT116,No transfection,No primary,No secondary,No probes
K17,HCT116,No transfection,No primary,No secondary,No probes
K18,HCT116,No transfection,No primary,No secondary,No probes
K19,HCT116,No transfection,No primary,No secondary,No probes
K20,HCT116,No transfection,No primary,No secondary,No probes
K21,HCT116,No transfection,No primary,No secondary,No probes
K22,HCT116,No transfection,No primary,No secondary,No probes
L03,HCT116,No transfection,No primary,No secondary,No probes
L04,HCT116,No transfection,No primary,No secondary,No probes
L05,HCT116,No transfection,No primary,No secondary,No probes
L06,HCT116,No transfection,No primary,No secondary,No probes
L07,HCT116,No transfection,No primary,No secondary,No probes
L08,HCT116,No transfection,No primary,No secondary,No probes
L09,HCT116,No transfection,No primary,No secondary,No probes
L10,HCT116,No transfection,No primary,No secondary,No probes
L11,HCT116,No transfection,No primary,No secondary,No probes
L12,HCT116,No transfection,No primary,No secondary,No probes
L13,HCT116,No transfection,No primary,No secondary,No probes
L14,HCT116,No transfection,No primary,No secondary,No probes
L15,HCT116,No transfection,No primary,No secondary,No probes
L16,HCT116,No transfection,No primary,No secondary,No probes
L17,HCT116,No transfection,No primary,No secondary,No probes
L18,HCT116,No transfection,No primary,No secondary,No probes
L19,HCT116,No transfection,No primary,No secondary,No probes
L20,HCT116,No transfection,No primary,No secondary,No probes
L21,HCT116,No transfection,No primary,No secondary,No probes
L22,HCT116,No transfection,No primary,No secondary,No probes
M03,HCT116,No transfection,No primary,No secondary,No probes
M04,HCT116,No transfection,No primary,No secondary,No probes
M05,HCT116,No transfection,No primary,No secondary,No probes
