,WELL,IF_647_Intensity,RFP_561_Intensity,GFP_488_Intensity,DAPI_Intensity,NucleusArea,CELL,DRUG,DRUG TIME MINUTES,PRIMARY,SECONDARY,TotalNumberCells,EXPERIMENT
33,D16,774.8526315827066,159.60297590759393,862.749822868676,612.6757054067107,1800.4497206703911,HCT116 OsTIRF74G mAC-POLR2A-delHyg Clone 5,Vehicle,1440,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,716,241102_mACmChPOLR2A_TotalPolII
34,D17,719.1441299048739,201.90049586118317,465.9996266540828,566.4629519875427,1747.9891067538126,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,1440,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1377,241102_mACmChPOLR2A_TotalPolII
35,D18,662.0578749585445,233.78686164556115,229.63012266115587,541.4567306394594,1580.1750418760469,HCT116 mChPOLR2A Clone 2,Vehicle,1440,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1194,241102_mACmChPOLR2A_TotalPolII
36,D19,414.0111907641658,158.7425605292006,356.2636077107671,589.6265690171091,1616.4652406417113,HCT116 OsTIRF74G mAC-POLR2A-delHyg Clone 5,10 µM 5PhIAA,1440,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,187,241102_mACmChPOLR2A_TotalPolII
37,D20,638.9653689662839,220.1110825434623,252.7207651658947,567.5380337220004,1725.7287390029326,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,1440,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1364,241102_mACmChPOLR2A_TotalPolII
38,D21,681.7813341517149,237.5987404268968,232.56385790186386,530.5199294870428,1596.4579191517562,HCT116 mChPOLR2A Clone 2,10 µM 5PhIAA,1440,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1509,241102_mACmChPOLR2A_TotalPolII
39,D22,698.3980498259289,156.5278912443948,236.6134520447569,558.5798534600037,1583.2696316886727,HCT116 OsTIRF74G,Vehicle,1440,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,2878,241102_mACmChPOLR2A_TotalPolII
40,E03,659.602815456268,153.8550123330711,239.69078481798505,522.244009653236,1611.5180296200901,HCT116 OsTIRF74G,Vehicle,1440,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,3106,241102_mACmChPOLR2A_TotalPolII
41,E04,691.9597279854394,158.2390474148178,778.845869393014,599.7345530004411,1739.436974789916,HCT116 OsTIRF74G mAC-POLR2A-delHyg Clone 5,Vehicle,480,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,952,241102_mACmChPOLR2A_TotalPolII
42,E05,698.9227682965094,203.99190732563466,466.8650612845014,552.8187964120885,1768.94045174538,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,480,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1461,241102_mACmChPOLR2A_TotalPolII
