,WELL,IF_561_Intensity,GFP_488_Intensity,DAPI_Intensity,NucleusArea,CELL,DRUG,DRUG_CONCENTRATION,TIME_MINUTES,PRIMARY,SECONDARY,TotalNumberCells,EXPERIMENT,ROW,COLUMN
44,E07,1510.3482715284767,576.7446072575224,311.61188981876154,2002.2784598214287,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1000,60,pSer2 Pol II (3E10),Goat anti-rat Alexa647,1792,250912_mACPOLR2A_Kinetic_pSer2,E,07
45,E08,1360.272229713662,431.8618145060808,315.95356877041536,2091.6812577065352,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1000,480,pSer2 Pol II (3E10),Goat anti-rat Alexa647,1622,250912_mACPOLR2A_Kinetic_pSer2,E,08
46,E09,1326.131044528687,428.24335117170773,327.4407865397876,1977.90942217595,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1000,240,pSer2 Pol II (3E10),Goat anti-rat Alexa647,1921,250912_mACPOLR2A_Kinetic_pSer2,E,09
47,E10,1336.9011673162797,454.4901450075934,317.9002083620586,2036.7950310559006,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1000,120,pSer2 Pol II (3E10),Goat anti-rat Alexa647,2093,250912_mACPOLR2A_Kinetic_pSer2,E,10
48,E11,1493.874609085965,580.4635798474778,316.9107084374657,2023.5703441295548,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1000,60,pSer2 Pol II (3E10),Goat anti-rat Alexa647,1976,250912_mACPOLR2A_Kinetic_pSer2,E,11
49,E12,1759.948338834913,271.21884116723936,315.52002854156353,1752.5510057471265,HCT116 OsTIRF74G,Vehicle,0,480,pSer2 Pol II (3E10),Goat anti-rat Alexa647,2784,250912_mACPOLR2A_Kinetic_pSer2,E,12
50,E13,1391.4698861223872,273.5050208104549,319.3151463975685,1671.4427860696517,HCT116 OsTIRF74G,Vehicle,0,480,Total Pol II (F12),Goat anti-mouse Alexa647,2613,250912_mACPOLR2A_Kinetic_pSer2,E,13
51,E14,726.6042388207352,445.437968106641,320.0084536085705,2109.1228175797714,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1000,480,Total Pol II (F12),Goat anti-mouse Alexa647,1661,250912_mACPOLR2A_Kinetic_pSer2,E,14
52,E15,631.8436811218744,427.82388154219393,324.61965594762916,1972.6548619447778,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1000,240,Total Pol II (F12),Goat anti-mouse Alexa647,1666,250912_mACPOLR2A_Kinetic_pSer2,E,15
53,E16,666.5914571041649,469.7836614016713,320.6198329962127,2021.1258278145694,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1000,120,Total Pol II (F12),Goat anti-mouse Alexa647,1661,250912_mACPOLR2A_Kinetic_pSer2,E,16
54,E17,801.1235308985979,578.1183539454662,317.0988659797393,2033.0950131233596,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1000,60,Total Pol II (F12),Goat anti-mouse Alexa647,1905,250912_mACPOLR2A_Kinetic_pSer2,E,17
