WELL,CELL,DRUG,PRIMARY,SECONDARY,SEEDING_DENSITY
J18,HCT116 mCherryPOLR2A Clone 2,No treatment,Total Pol II (F12),Goat anti-mouse Alexa488+,750
J19,HCT116 mCherryPOLR2A Clone 2,No treatment,Total Pol II (F12),Goat anti-mouse Alexa488+,750
J20,HCT116 mCherryPOLR2A Clone 2,No treatment,Total Pol II (F12),Goat anti-mouse Alexa488+,750
J21,HCT116 mCherryPOLR2A Clone 2,No treatment,Total Pol II (F12),Goat anti-mouse Alexa488+,750
J22,HCT116,No treatment,No primary,No primary,750
K03,HCT116,No treatment,No primary,No primary,500
K04,HCT116 mCherryPOLR2A Clone 2,No treatment,pSer2 Pol II (3E10),Goat anti-rat Alexa488+,500
K05,HCT116 mCherryPOLR2A Clone 2,No treatment,pSer2 Pol II (3E10),Goat anti-rat Alexa488+,500
K06,HCT116 mCherryPOLR2A Clone 2,No treatment,pSer2 Pol II (3E10),Goat anti-rat Alexa488+,500
K07,HCT116 mCherryPOLR2A Clone 2,No treatment,pSer2 Pol II (3E10),Goat anti-rat Alexa488+,500
K08,HCT116 mCherryPOLR2A Clone 2,No treatment,pSer2 Pol II (3E10),Goat anti-rat Alexa488+,500
K09,HCT116 mCherryPOLR2A Clone 2,No treatment,Total Pol II (F12),Goat anti-mouse Alexa488+,500
K10,HCT116 mCherryPOLR2A Clone 2,No treatment,Total Pol II (F12),Goat anti-mouse Alexa488+,500
K11,HCT116 mCherryPOLR2A Clone 2,No treatment,Total Pol II (F12),Goat anti-mouse Alexa488+,500
K12,HCT116,No treatment,Total Pol II (F12),Goat anti-mouse Alexa488+,500
K13,HCT116,No treatment,No primary,Goat anti-mouse Alexa488+,750
K14,HCT116 mCherryPOLR2A Clone 2,No treatment,pSer2 Pol II (3E10),Goat anti-rat Alexa488+,750
K15,HCT116 mCherryPOLR2A Clone 2,No treatment,pSer2 Pol II (3E10),Goat anti-rat Alexa488+,750
K16,HCT116 mCherryPOLR2A Clone 2,No treatment,pSer2 Pol II (3E10),Goat anti-rat Alexa488+,750
K17,HCT116 mCherryPOLR2A Clone 2,No treatment,pSer2 Pol II (3E10),Goat anti-rat Alexa488+,750
K18,HCT116 mCherryPOLR2A Clone 2,No treatment,Total Pol II (F12),Goat anti-mouse Alexa488+,750
K19,HCT116 mCherryPOLR2A Clone 2,No treatment,Total Pol II (F12),Goat anti-mouse Alexa488+,750
K20,HCT116 mCherryPOLR2A Clone 2,No treatment,Total Pol II (F12),Goat anti-mouse Alexa488+,750
K21,HCT116 mCherryPOLR2A Clone 2,No treatment,Total Pol II (F12),Goat anti-mouse Alexa488+,750
K22,HCT116,No treatment,No primary,No primary,750
L03,HCT116,No treatment,No primary,No primary,500
L04,HCT116,No treatment,pSer2 Pol II (3E10),Goat anti-rat Alexa488+,500
L05,HCT116,No treatment,pSer2 Pol II (3E10),Goat anti-rat Alexa488+,500
L06,HCT116,No treatment,pSer2 Pol II (3E10),Goat anti-rat Alexa488+,500
L07,HCT116,No treatment,pSer2 Pol II (3E10),Goat anti-rat Alexa488+,500
L08,HCT116,No treatment,pSer2 Pol II (3E10),Goat anti-rat Alexa488+,500
L09,HCT116,No treatment,Total Pol II (F12),Goat anti-mouse Alexa488+,500
L10,HCT116,No treatment,Total Pol II (F12),Goat anti-mouse Alexa488+,500
L11,HCT116,No treatment,Total Pol II (F12),Goat anti-mouse Alexa488+,500
L12,HCT116,No treatment,Total Pol II (F12),Goat anti-mouse Alexa488+,500
L13,HCT116,No treatment,No primary,Goat anti-mouse Alexa488+,750
L14,HCT116,No treatment,pSer2 Pol II (3E10),Goat anti-rat Alexa488+,750
L15,HCT116,No treatment,pSer2 Pol II (3E10),Goat anti-rat Alexa488+,750
L16,HCT116,No treatment,pSer2 Pol II (3E10),Goat anti-rat Alexa488+,750
L17,HCT116,No treatment,pSer2 Pol II (3E10),Goat anti-rat Alexa488+,750
L18,HCT116,No treatment,Total Pol II (F12),Goat anti-mouse Alexa488+,750
L19,HCT116,No treatment,Total Pol II (F12),Goat anti-mouse Alexa488+,750
L20,HCT116,No treatment,Total Pol II (F12),Goat anti-mouse Alexa488+,750
L21,HCT116,No treatment,Total Pol II (F12),Goat anti-mouse Alexa488+,750
L22,HCT116,No treatment,No primary,No primary,750
M03,HCT116,No treatment,No primary,No primary,500
M04,HCT116,No treatment,pSer2 Pol II (3E10),Goat anti-rat Alexa488+,500
M05,HCT116,No treatment,pSer2 Pol II (3E10),Goat anti-rat Alexa488+,500
M06,HCT116,No treatment,pSer2 Pol II (3E10),Goat anti-rat Alexa488+,500
M07,HCT116,No treatment,pSer2 Pol II (3E10),Goat anti-rat Alexa488+,500
M08,HCT116,No treatment,pSer2 Pol II (3E10),Goat anti-rat Alexa488+,500
M09,HCT116,No treatment,Total Pol II (F12),Goat anti-mouse Alexa488+,500
M10,HCT116,No treatment,Total Pol II (F12),Goat anti-mouse Alexa488+,500
