,EXPERIMENT,WELL,CELL,DRUG,DRUG TIME MINUTES,PRIMARY,SECONDARY,TotalNumberCells,TIME_IN_AUXIN,GFP_488_Intensity,GFP_Intensity_BGS,GFP_Intensity_FC,RFP_561_Intensity,RFP_Intensity_BGS,RFP_Intensity_FC,IF_647_Intensity,IF_647_Intensity_BGS,IF_647_Intensity_FC
163,241021_mACmChPOLR2A_TotalPolII,K06,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,30,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1149,0.5,227.56176432947208,33.428744554294695,0.18321936161443675,136.09749033997218,12.953916312305111,0.5981694924534143,238.30742841225873,104.05797294951199,0.7022527552417918
166,241021_mACmChPOLR2A_TotalPolII,K09,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,30,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,923,0.0,272.51319553338817,78.38017575821078,0.42959333223902835,136.83086485165146,13.687290823984384,0.6320343290675549,269.70859346999896,135.45913800725222,0.9141688060214813
169,241021_mACmChPOLR2A_TotalPolII,K12,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,240,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1264,4.0,204.2568181669248,10.123798391747414,0.05548745258550013,140.22693166098628,17.08335763331921,0.7888535882554516,249.09079406642772,114.84133860368098,0.7750261144258502
172,241021_mACmChPOLR2A_TotalPolII,K15,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,240,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1185,0.0,273.50651805095407,79.37349827577668,0.43503762636290944,135.79361928875448,12.650045261087413,0.5841377210496179,273.77096121984005,139.5215057570933,0.9415843789398146
183,241021_mACmChPOLR2A_TotalPolII,L06,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,60,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1224,1.0,211.38326534828644,17.250245573109055,0.09454674483703442,137.42769604528894,14.284122017621868,0.6595940417885159,227.4379119057164,93.18845644296965,0.6288979925215048
186,241021_mACmChPOLR2A_TotalPolII,L09,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,60,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1073,0.0,268.41470166044354,74.28168188526615,0.407129927136813,138.14282736460459,14.999253336937514,0.692616467439532,262.1140913080179,127.86463584527118,0.8629160291628684
189,241021_mACmChPOLR2A_TotalPolII,L12,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,480,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1177,8.0,205.96459890953403,11.831579134356645,0.06484761557128277,141.63637960138087,18.492805573713795,0.8539372848626682,253.4742839374795,119.22482847473276,0.8046088340605502
192,241021_mACmChPOLR2A_TotalPolII,L15,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,480,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1100,0.0,274.50413376275526,80.37111398757787,0.4405054510236852,136.5462986232212,13.402724595554119,0.6188939912480322,277.3814541939429,143.13199873119615,0.9659503988321592
203,241021_mACmChPOLR2A_TotalPolII,M06,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,120,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1467,2.0,206.43030971620502,12.297289941027628,0.06740012652653608,138.3397067201131,15.196132692446028,0.7017077122275822,239.02645375871532,104.77699829596858,0.7071052188860991
206,241021_mACmChPOLR2A_TotalPolII,M09,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,480,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1000,8.0,206.6413457587854,12.508325983608017,0.06855679242933166,142.1203603295229,18.976786301855824,0.8762859321389324,261.4867091860347,127.23725372328798,0.8586820352528974
