,WELL,IF_647_Intensity,GFP_488_Intensity,DAPI_Intensity,NucleusArea,CELL,DRUG,DRUG TIME MINUTES,PRIMARY,SECONDARY,TotalNumberCells,EXPERIMENT,RFP_561_Intensity,GFP_Intensity_BGS,GFP_Intensity_FC,RFP_Intensity_BGS,RFP_Intensity_FC,IF_647_Intensity_BGS,IF_647_Intensity_FC,TIME_HOURS,TIME_IN_AUXIN
103,H06,269.7014329010414,203.91515720962965,910.9734733908309,1702.1086717892426,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,480,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,911,241021_mACmChPOLR2A_TotalPolII,142.1309470948614,9.782137434452267,0.05361484554270432,18.987373067194326,0.8767747943406465,135.45197743829468,0.9141204817159332,8.0,8.0
106,H09,273.0848622391986,260.6610283906787,873.5241560845807,1796.3263757115749,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,480,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1054,241021_mACmChPOLR2A_TotalPolII,136.70965998500768,66.52800861550134,0.36463287600329325,13.566085957340604,0.6264374846990047,138.8354067764519,0.9369541244204633,8.0,0.0
109,H12,268.73683492175576,204.27699762424112,953.4917605885593,1716.0372623574144,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,480,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1315,241021_mACmChPOLR2A_TotalPolII,140.2653302396697,10.143977849063731,0.05559805402556368,17.121756212002637,0.7906267090451992,134.48737945900902,0.9076107298011743,8.0,8.0
112,H15,277.70218777021273,258.23087237914496,910.3315568964662,1719.6258302583026,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,480,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1355,241021_mACmChPOLR2A_TotalPolII,135.6024923358347,64.09785260396757,0.3513134516876858,12.45891830816764,0.5753121034011861,143.452732307466,0.9681149233875561,8.0,0.0
115,H18,277.6127831259411,206.53504725148355,965.5440596451205,1747.688007213706,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,480,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1109,241021_mACmChPOLR2A_TotalPolII,139.68523370831863,12.40202747630616,0.06797418171785904,16.541659680651563,0.7638397483017024,143.36332766319438,0.9675115610887189,8.0,8.0
118,H21,284.91077772886865,269.468184850623,961.634027949021,1788.2797888386124,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,480,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1326,241021_mACmChPOLR2A_TotalPolII,135.9638602158036,75.33516507544562,0.412903955451359,12.820286188136535,0.5919988903263592,150.6613222661219,1.0167633067491135,8.0,0.0
123,I06,255.36319769192147,200.57702221131223,877.5754358068976,1735.0459981600736,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,1440,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1087,241021_mACmChPOLR2A_TotalPolII,141.7996507715072,6.444002436134838,0.035318885837093646,18.65607674384013,0.8614766135577264,121.11374222917473,0.8173564866514246,24.0,24.0
126,I09,269.1528665414522,255.97966587231028,912.6769994762816,1688.7431740614334,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,1440,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1172,241021_mACmChPOLR2A_TotalPolII,137.39722729440274,61.84664609713289,0.338974830404,14.253653266735668,0.6581870945137388,134.9034110787055,0.9104183892521354,24.0,0.0
129,I12,259.65051720369115,204.21099157565476,893.660246982864,1725.7815275310834,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,1440,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1126,241021_mACmChPOLR2A_TotalPolII,140.5707612547019,10.077971800477371,0.05523628195646781,17.42718722703482,0.8047305144764404,125.40106174094441,0.8462901844200997,24.0,24.0
132,I15,268.4633317759432,257.17485393803037,936.3540679631499,1790.8748299319727,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,1440,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1470,241021_mACmChPOLR2A_TotalPolII,135.53841986882477,63.04183416285298,0.34552552793482594,12.394845841157704,0.5723534464091562,134.21387631319644,0.9057649477599714,24.0,0.0
