,EXPERIMENT,WELL,CELL,DRUG,DRUG_CONCENTRATION,DRUG_CONCENTRATION_LOG,TIME_MINUTES,EU,PRIMARY,SECONDARY,CLICK,TotalNumberCells,IF_568_Intensity,IF_Intensity_BGS,IF_Intensity_FC
40,260515_mACPOLR2A_CRC_EU,E03,HCT116 OsTIRF74G,Vehicle,0,-12.0,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,3487,868.7246613384524,721.3890351315456,1.1119127193734228
41,260515_mACPOLR2A_CRC_EU,E04,HCT116 OsTIRF74G,Vehicle,0,-12.0,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,3554,863.6145025851943,716.2788763782876,1.1040361780911883
42,260515_mACPOLR2A_CRC_EU,E05,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10,-8.0,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,3518,621.3503740150339,474.0147478081272,0.7306224541690349
43,260515_mACPOLR2A_CRC_EU,E06,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,3,-8.5,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,3561,749.7578909263474,602.4222647194406,0.9285433323132551
44,260515_mACPOLR2A_CRC_EU,E07,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,-12.0,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,4152,851.8145138122438,704.4788876053371,1.0858482698112757
45,260515_mACPOLR2A_CRC_EU,E08,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,-12.0,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,3813,833.4249073978092,686.0892811909025,1.0575034568453394
46,260515_mACPOLR2A_CRC_EU,E09,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,-12.0,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,3750,821.7974238022094,674.4617975953026,1.0395814393559888
47,260515_mACPOLR2A_CRC_EU,E10,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10,-8.0,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,4022,607.4480639622171,460.1124377553104,0.7091941337710388
48,260515_mACPOLR2A_CRC_EU,E11,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,3,-8.5,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,4083,707.1685502192029,559.8329240122962,0.8628982679502144
49,260515_mACPOLR2A_CRC_EU,E12,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,-12.0,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,3968,856.1469123411769,708.8112861342702,1.0925260106627663
50,260515_mACPOLR2A_CRC_EU,E13,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,-12.0,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,3392,825.8719878138469,678.5363616069401,1.0458617670707213
51,260515_mACPOLR2A_CRC_EU,E14,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,-12.0,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,3789,833.536897508805,686.2012713018983,1.0576760727610186
52,260515_mACPOLR2A_CRC_EU,E15,HCT116 OsTIRF74G,5PhIAA,1000,-6.0,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,3784,800.2338147713389,652.8981885644321,1.006344378644845
60,260515_mACPOLR2A_CRC_EU,F03,HCT116 OsTIRF74G,Vehicle,0,-12.0,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,3419,838.0731190430819,690.7374928361751,1.0646679761255302
61,260515_mACPOLR2A_CRC_EU,F04,HCT116 OsTIRF74G,5PhIAA,1000,-6.0,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,3574,824.8792722059167,677.5436459990099,1.0443316452398888
62,260515_mACPOLR2A_CRC_EU,F05,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,30,-7.5,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,3569,496.81579557626503,349.4801693693583,0.5386711282903098
63,260515_mACPOLR2A_CRC_EU,F06,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10,-8.0,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,3681,668.716120457925,521.3804942510183,0.8036296297256516
64,260515_mACPOLR2A_CRC_EU,F07,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,3,-8.5,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,3651,678.661667169729,531.3260409628222,0.818959194428504
65,260515_mACPOLR2A_CRC_EU,F08,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,-12.0,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,3960,789.2927061643422,641.9570799574356,0.9894803049873531
66,260515_mACPOLR2A_CRC_EU,F09,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,-12.0,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,4016,795.9016523894658,648.566026182559,0.9996670017785368
67,260515_mACPOLR2A_CRC_EU,F10,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,30,-7.5,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,3615,488.98033719358193,341.6447109866752,0.526593947444003
68,260515_mACPOLR2A_CRC_EU,F11,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10,-8.0,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,4000,605.2207942114059,457.8851680044991,0.7057611323740172
69,260515_mACPOLR2A_CRC_EU,F12,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,3,-8.5,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,3819,693.0336174413428,545.6979912344361,0.8411113946020148
70,260515_mACPOLR2A_CRC_EU,F13,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,-12.0,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,3680,788.9673644326169,641.6317382257103,0.9889788396308934
71,260515_mACPOLR2A_CRC_EU,F14,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,-12.0,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,3335,809.1600238389492,661.8243976320425,1.0201027876512316
72,260515_mACPOLR2A_CRC_EU,F15,HCT116 OsTIRF74G,Vehicle,0,-12.0,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,4027,806.7918221456995,659.4561959387927,1.0164525608574657
80,260515_mACPOLR2A_CRC_EU,G03,HCT116 OsTIRF74G,Vehicle,0,-12.0,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,3123,805.3977498408578,658.0621236339512,1.0143038080320268
81,260515_mACPOLR2A_CRC_EU,G04,HCT116 OsTIRF74G,Vehicle,0,-12.0,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,4268,834.3556220269411,687.0199958200344,1.0589380134907005
82,260515_mACPOLR2A_CRC_EU,G05,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,100,-7.0,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,3375,444.4985409283881,297.16291472148134,0.4580319474146745
83,260515_mACPOLR2A_CRC_EU,G06,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,30,-7.5,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,3597,502.06090613705277,354.72527993014603,0.5467556774905846
84,260515_mACPOLR2A_CRC_EU,G07,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10,-8.0,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,3870,622.0985730039671,474.76294679706035,0.7317756904006688
85,260515_mACPOLR2A_CRC_EU,G08,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,3,-8.5,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,3767,661.1896727740511,513.8540465671445,0.79202874240433
86,260515_mACPOLR2A_CRC_EU,G09,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,-12.0,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,4101,758.0919326359423,610.7563064290355,0.9413890043839395
87,260515_mACPOLR2A_CRC_EU,G10,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,100,-7.0,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,3723,412.33900212528965,265.0033759183829,0.40846285431385176
88,260515_mACPOLR2A_CRC_EU,G11,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,30,-7.5,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,4001,510.5591216983295,363.22349549142274,0.5598543988661288
89,260515_mACPOLR2A_CRC_EU,G12,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10,-8.0,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,3906,614.257367420702,466.9217412137953,0.7196896511088955
90,260515_mACPOLR2A_CRC_EU,G13,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,3,-8.5,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,3877,672.3167671854364,524.9811409785298,0.8091794852118251
91,260515_mACPOLR2A_CRC_EU,G14,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,-12.0,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,3619,795.3183592008933,647.9827329939865,0.998767943040585
92,260515_mACPOLR2A_CRC_EU,G15,HCT116 OsTIRF74G,5PhIAA,1000,-6.0,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,4138,769.983171982729,622.6475457758222,0.9597175617016908
100,260515_mACPOLR2A_CRC_EU,H03,HCT116 OsTIRF74G,Vehicle,0,-12.0,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,3180,791.2986578261333,643.9630316192265,0.9925721778306752
101,260515_mACPOLR2A_CRC_EU,H04,HCT116 OsTIRF74G,5PhIAA,1000,-6.0,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,3547,804.9679954040992,657.6323691971925,1.0136414061917327
102,260515_mACPOLR2A_CRC_EU,H05,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,300,-6.5,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,3660,369.6903795545261,222.35475334761935,0.3427264158725035
103,260515_mACPOLR2A_CRC_EU,H06,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,100,-7.0,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,3951,408.35729437597934,261.0216681690726,0.40232565056431246
104,260515_mACPOLR2A_CRC_EU,H07,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,30,-7.5,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,4036,485.5088420321414,338.17321582523465,0.5212431596758673
105,260515_mACPOLR2A_CRC_EU,H08,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,10,-8.0,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,3621,555.3231360563334,407.98750984942666,0.6288513956472107
106,260515_mACPOLR2A_CRC_EU,H09,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,3,-8.5,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,4082,630.534096133413,483.1984699265062,0.7447777808198685
107,260515_mACPOLR2A_CRC_EU,H10,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,300,-6.5,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,3991,373.25548379397236,225.91985758706562,0.34822148795799696
108,260515_mACPOLR2A_CRC_EU,H11,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,100,-7.0,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,4112,408.1524375861094,260.81681137920265,0.40200989462789893
109,260515_mACPOLR2A_CRC_EU,H12,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,30,-7.5,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,3496,509.6789743041571,362.3433480972504,0.5584977840094514
