,EXPERIMENT,WELL,CELL,DRUG,DRUG_CONCENTRATION,DRUG_CONCENTRATION_LOG,TIME_MINUTES,EU,PRIMARY,SECONDARY,CLICK,TotalNumberCells,IF_568_Intensity,IF_Intensity_BGS,IF_Intensity_FC
143,260515_mACPOLR2A_CRC_EU,J06,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1000,-6.0,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,4125,355.6254174984128,208.28979129150605,0.3210473918700869
144,260515_mACPOLR2A_CRC_EU,J07,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,300,-6.5,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,3788,373.47329910132305,226.1376728944163,0.3485572175004807
145,260515_mACPOLR2A_CRC_EU,J08,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,100,-7.0,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,4044,398.35925277574614,251.0236265688394,0.3869151728848219
146,260515_mACPOLR2A_CRC_EU,J09,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,30,-7.5,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,4009,449.1659930195101,301.83036681260336,0.4652261229488761
147,260515_mACPOLR2A_CRC_EU,J10,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,-12.0,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,4076,716.4753738645506,569.139747657644,0.8772433370935796
148,260515_mACPOLR2A_CRC_EU,J11,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1000,-6.0,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,3983,352.05743603672397,204.72180982981723,0.31554788497916647
149,260515_mACPOLR2A_CRC_EU,J12,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,300,-6.5,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,4172,383.2380764034676,235.90245019656084,0.3636081533413942
150,260515_mACPOLR2A_CRC_EU,J13,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,100,-7.0,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,3592,400.00724694646937,252.67162073956263,0.38945530808322604
151,260515_mACPOLR2A_CRC_EU,J14,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,30,-7.5,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,3613,488.6274220785749,341.29179587166817,0.5260499818635394
152,260515_mACPOLR2A_CRC_EU,J15,HCT116 OsTIRF74G,Vehicle,0,-12.0,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,4395,723.1078253539779,575.7721991470712,0.8874662637151031
160,260515_mACPOLR2A_CRC_EU,K03,HCT116 OsTIRF74G,Vehicle,0,-12.0,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,3302,746.095421878171,598.7597956712643,0.9228981870162573
161,260515_mACPOLR2A_CRC_EU,K04,HCT116 OsTIRF74G,Vehicle,0,-12.0,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,3878,780.6655840266352,633.3299578197284,0.9761828935084617
162,260515_mACPOLR2A_CRC_EU,K05,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,-12.0,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,4076,725.7911897196375,578.4555635127308,0.8916022663760614
163,260515_mACPOLR2A_CRC_EU,K06,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,-12.0,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,3764,760.8755371613258,613.5399109544192,0.9456795121775811
164,260515_mACPOLR2A_CRC_EU,K07,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1000,-6.0,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,3967,358.96992487941174,211.634298672505,0.3262024470703547
165,260515_mACPOLR2A_CRC_EU,K08,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,300,-6.5,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,3938,357.7837252572618,210.44809905035504,0.32437409872660145
166,260515_mACPOLR2A_CRC_EU,K09,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,100,-7.0,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,3747,384.16134763371247,236.82572142680573,0.3650312371066661
167,260515_mACPOLR2A_CRC_EU,K10,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,-12.0,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,3962,745.9117451395414,598.5761189326347,0.922615076943898
168,260515_mACPOLR2A_CRC_EU,K11,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,-12.0,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,3870,762.6073434925369,615.2717172856301,0.9483488312181924
169,260515_mACPOLR2A_CRC_EU,K12,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1000,-6.0,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,4015,352.6332397935645,205.29761358665775,0.31643539988432057
170,260515_mACPOLR2A_CRC_EU,K13,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,300,-6.5,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,3980,355.2923293528314,207.95670314592468,0.3205339865815287
171,260515_mACPOLR2A_CRC_EU,K14,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,100,-7.0,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,3563,412.4717635544013,265.1361373474946,0.40866748609293685
172,260515_mACPOLR2A_CRC_EU,K15,HCT116 OsTIRF74G,5PhIAA,1000,-6.0,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,4588,756.3355394461198,608.9999132392131,0.9386817883980072
180,260515_mACPOLR2A_CRC_EU,L03,HCT116 OsTIRF74G,Vehicle,0,-12.0,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,3323,761.5951958755701,614.2595696686633,0.9467887578675022
181,260515_mACPOLR2A_CRC_EU,L04,HCT116 OsTIRF74G,5PhIAA,1000,-6.0,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,4283,761.2645541577907,613.9289279508839,0.9462791233795211
182,260515_mACPOLR2A_CRC_EU,L05,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,-12.0,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,4251,720.6537218016011,573.3180955946943,0.883683632122914
183,260515_mACPOLR2A_CRC_EU,L06,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,-12.0,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,3586,739.3361761067446,592.0005498998378,0.9124798260756177
184,260515_mACPOLR2A_CRC_EU,L07,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,-12.0,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,3810,702.9037981230999,555.5681719161933,0.8563247939026548
185,260515_mACPOLR2A_CRC_EU,L08,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1000,-6.0,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,4035,348.988412202104,201.65278599519723,0.3108174462400305
186,260515_mACPOLR2A_CRC_EU,L09,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,300,-6.5,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,4018,356.76335108345637,209.42772487654963,0.3228013453756062
187,260515_mACPOLR2A_CRC_EU,L10,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,-12.0,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,3995,748.9503511359892,601.6147249290825,0.9272986311595489
188,260515_mACPOLR2A_CRC_EU,L11,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,-12.0,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,3773,744.0234031652508,596.6877769583441,0.9197044817483977
189,260515_mACPOLR2A_CRC_EU,L12,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,-12.0,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,3933,720.155687437101,572.8200612301944,0.8829159870415446
190,260515_mACPOLR2A_CRC_EU,L13,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1000,-6.0,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,3871,343.7191623070063,196.38353610009955,0.30269568988584944
191,260515_mACPOLR2A_CRC_EU,L14,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,300,-6.5,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,3598,369.5210410347028,222.18541482779608,0.34246540600833636
192,260515_mACPOLR2A_CRC_EU,L15,HCT116 OsTIRF74G,Vehicle,0,-12.0,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,4256,729.8655512301472,582.5299250232404,0.8978822819657564
200,260515_mACPOLR2A_CRC_EU,M03,HCT116 OsTIRF74G,Vehicle,0,-12.0,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,4209,739.4576906940806,592.1220644871739,0.9126671225393403
201,260515_mACPOLR2A_CRC_EU,M04,HCT116 OsTIRF74G,Vehicle,0,-12.0,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,3636,744.2685146237262,596.9328884168194,0.9200822842032038
202,260515_mACPOLR2A_CRC_EU,M05,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,-12.0,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,3769,752.0208322187314,604.6852060118247,0.9320313160275326
203,260515_mACPOLR2A_CRC_EU,M06,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,-12.0,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,3733,771.7232173256923,624.3875911187856,0.9623995799399839
204,260515_mACPOLR2A_CRC_EU,M07,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,-12.0,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,3885,761.3790127609743,614.0433865540676,0.9464555441047107
205,260515_mACPOLR2A_CRC_EU,M08,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,-12.0,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,3908,718.5325107570666,571.1968845501599,0.8804141042731275
206,260515_mACPOLR2A_CRC_EU,M09,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1000,-6.0,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,3760,336.80768898781747,189.47206278091073,0.29204269307142633
207,260515_mACPOLR2A_CRC_EU,M10,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,-12.0,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,3631,749.6030203394254,602.2673941325186,0.9283046225920518
208,260515_mACPOLR2A_CRC_EU,M11,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,-12.0,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,3972,759.4182758754602,612.0826496685534,0.9434333630398843
209,260515_mACPOLR2A_CRC_EU,M12,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,-12.0,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,3776,771.6059160793379,624.2702898724312,0.962218777707807
210,260515_mACPOLR2A_CRC_EU,M13,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,-12.0,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,4013,772.5622192820841,625.2265930751773,0.9636927752915337
211,260515_mACPOLR2A_CRC_EU,M14,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1000,-6.0,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,3574,340.1547998042552,192.81917359734848,0.29720176107593355
212,260515_mACPOLR2A_CRC_EU,M15,HCT116 OsTIRF74G,5PhIAA,1000,-6.0,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,3695,767.3590963752773,620.0234701683705,0.9556729437460117
220,260515_mACPOLR2A_CRC_EU,N03,HCT116 OsTIRF74G,Vehicle,0,-12.0,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,4398,731.1600154450268,583.8243892381201,0.8998775038990037
221,260515_mACPOLR2A_CRC_EU,N04,HCT116 OsTIRF74G,Vehicle,0,-12.0,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,3836,747.2834239740148,599.9477977671081,0.924729313602164
222,260515_mACPOLR2A_CRC_EU,N05,HCT116 OsTIRF74G,Vehicle,0,-12.0,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,3708,730.0190478442746,582.6834216373679,0.8981188739145072
223,260515_mACPOLR2A_CRC_EU,N06,HCT116 OsTIRF74G,Vehicle,0,-12.0,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,4335,758.4257816311429,611.0901554242362,0.9419035824077737
224,260515_mACPOLR2A_CRC_EU,N07,HCT116 OsTIRF74G,Vehicle,0,-12.0,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,3289,766.2258966155372,618.8902704086304,0.9539262867203526
225,260515_mACPOLR2A_CRC_EU,N08,HCT116 OsTIRF74G,Vehicle,0,-12.0,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,3887,763.2100396867887,615.8744134798819,0.9492777967716879
226,260515_mACPOLR2A_CRC_EU,N09,HCT116 OsTIRF74G,Vehicle,0,-12.0,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,3365,767.3082435411712,619.9726173342644,0.9555945617491902
227,260515_mACPOLR2A_CRC_EU,N10,HCT116 OsTIRF74G,Vehicle,0,-12.0,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,3860,775.4502517670965,628.1146255601898,0.9681442430816748
228,260515_mACPOLR2A_CRC_EU,N11,HCT116 OsTIRF74G,Vehicle,0,-12.0,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,3396,784.0334393483174,636.6978131414107,0.9813739360483654
229,260515_mACPOLR2A_CRC_EU,N12,HCT116 OsTIRF74G,Vehicle,0,-12.0,240,"EU 1 mM, 30 mins",Total Pol II (F12),Goat anti-mouse Alexa568,AF647 azide click,3220,784.0365426020749,636.7009163951682,0.9813787192473833
