,EXPERIMENT,WELL,CELL,DRUG,DRUG_CONCENTRATION,DRUG_CONCENTRATION_LOG,TIME_MINUTES,EU,PRIMARY,SECONDARY,CLICK,TotalNumberCells,GFP_Intensity,GFP_Intensity_BGS,GFP_Intensity_FC
50,260508_mACPOLR2A_CRC_EU,E13,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,-12.0,240,"EU 1 mM, 30 mins",Nucleolin (D4C7O) ,Goat anti-rabbit Alexa568,AF647 azide click,3392,224.3312993363856,91.28494121048544,0.8531468975215502
51,260508_mACPOLR2A_CRC_EU,E14,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,-12.0,240,"EU 1 mM, 30 mins",Nucleolin (D4C7O) ,Goat anti-rabbit Alexa568,AF647 azide click,3789,232.28789139298132,99.24153326708117,0.9275090183479975
52,260508_mACPOLR2A_CRC_EU,E15,HCT116 OsTIRF74G,5PhIAA,1000,-6.0,240,"EU 1 mM, 30 mins",Nucleolin (D4C7O) ,Goat anti-rabbit Alexa568,AF647 azide click,3784,132.50923643362862,-0.5371216922715405,-0.005019926608665586
53,260508_mACPOLR2A_CRC_EU,E16,HCT116 OsTIRF74G,No addition,0,-12.0,240,No addition,Total Pol II (F12),Goat anti-mouse Alexa568,No click,4132,132.367187034823,-0.6791710910771656,-0.006347516923988044
54,260508_mACPOLR2A_CRC_EU,E17,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,300,-6.5,240,No addition,Total Pol II (F12),Goat anti-mouse Alexa568,No click,3617,155.41317172736612,22.366813601465964,0.20903970992908547
55,260508_mACPOLR2A_CRC_EU,E18,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1000,-6.0,240,No addition,Total Pol II (F12),Goat anti-mouse Alexa568,No click,3458,151.6146030561945,18.568244930294355,0.17353837713685524
56,260508_mACPOLR2A_CRC_EU,E19,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,-12.0,240,No addition,Total Pol II (F12),Goat anti-mouse Alexa568,No click,4095,233.71069871470615,100.664340588806,0.9408065418628733
57,260508_mACPOLR2A_CRC_EU,E20,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,-12.0,240,No addition,Total Pol II (F12),Goat anti-mouse Alexa568,No click,3686,229.90471751636107,96.85835939046092,0.9052359317673224
58,260508_mACPOLR2A_CRC_EU,E21,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,-12.0,240,No addition,Total Pol II (F12),Goat anti-mouse Alexa568,No click,3555,232.27696202969895,99.2306039037988,0.9274068727777358
59,260508_mACPOLR2A_CRC_EU,E22,HCT116 OsTIRF74G,No addition,0,-12.0,240,No addition,Total Pol II (F12),Goat anti-mouse Alexa568,No click,3220,132.22331560677893,-0.8230425191212305,-0.007692135881399281
