,EXPERIMENT,WELL,CELL,DRUG,DRUG_CONCENTRATION,DRUG_CONCENTRATION_LOG,TIME_MINUTES,EU,PRIMARY,SECONDARY,CLICK,TotalNumberCells,EU_647_Intensity,EU_647_Intensity_BGS,EU_647_Intensity_FC
48,260508_mACPOLR2A_CRC_EU,E11,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1000,-6.0,240,"EU 1 mM, 30 mins",Nucleolin (D4C7O) ,Goat anti-rabbit Alexa568,AF647 azide click,4083,355.2850762301492,173.0151426103719,0.7518452837557212
49,260508_mACPOLR2A_CRC_EU,E12,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,-12.0,240,"EU 1 mM, 30 mins",Nucleolin (D4C7O) ,Goat anti-rabbit Alexa568,AF647 azide click,3968,433.73713752659177,251.4672039068145,1.0927623352734372
50,260508_mACPOLR2A_CRC_EU,E13,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,-12.0,240,"EU 1 mM, 30 mins",Nucleolin (D4C7O) ,Goat anti-rabbit Alexa568,AF647 azide click,3392,424.42964265133526,242.15970903155798,1.0523161869192372
51,260508_mACPOLR2A_CRC_EU,E14,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,0,-12.0,240,"EU 1 mM, 30 mins",Nucleolin (D4C7O) ,Goat anti-rabbit Alexa568,AF647 azide click,3789,414.4913831187285,232.22144949895122,1.0091290216480584
52,260508_mACPOLR2A_CRC_EU,E15,HCT116 OsTIRF74G,5PhIAA,1000,-6.0,240,"EU 1 mM, 30 mins",Nucleolin (D4C7O) ,Goat anti-rabbit Alexa568,AF647 azide click,3784,599.1842815817018,416.9143479619246,1.811720532180018
60,260508_mACPOLR2A_CRC_EU,F03,HCT116 OsTIRF74G,Vehicle,0,-12.0,240,"EU 1 mM, 30 mins",Nucleolin (D4C7O) ,Goat anti-rabbit Alexa568,AF647 azide click,3419,643.9257234096015,461.6557897898242,2.006146531657365
61,260508_mACPOLR2A_CRC_EU,F04,HCT116 OsTIRF74G,5PhIAA,1000,-6.0,240,"EU 1 mM, 30 mins",Nucleolin (D4C7O) ,Goat anti-rabbit Alexa568,AF647 azide click,3574,583.0731383365513,400.8032047167741,1.7417088159682308
62,260508_mACPOLR2A_CRC_EU,F05,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,100,-7.0,240,"EU 1 mM, 30 mins",Nucleolin (D4C7O) ,Goat anti-rabbit Alexa568,AF647 azide click,3569,388.76172307684595,206.49178945706868,0.897319596974222
63,260508_mACPOLR2A_CRC_EU,F06,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,300,-6.5,240,"EU 1 mM, 30 mins",Nucleolin (D4C7O) ,Goat anti-rabbit Alexa568,AF647 azide click,3681,367.5603888735823,185.29045525380505,0.8051882211330357
64,260508_mACPOLR2A_CRC_EU,F07,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1000,-6.0,240,"EU 1 mM, 30 mins",Nucleolin (D4C7O) ,Goat anti-rabbit Alexa568,AF647 azide click,3651,350.30696076728555,168.03702714750827,0.7302126533612007
