,WELL,RFP_Intensity,GFP_Intensity,DAPI_Intensity,NucleusArea,CELL,DRUG_1,DRUG_TIME_MINUTES_1,DRUG_2,DRUG_TIME_MINUTES_2,EXPERIMENT
13,C16,134.8104307121959,176.00548914576996,234.07896345470732,1643.8578329882678,HCT116 OsTIRF74G,No addition,No addition,No addition,No addition,250512_mACmChPOLR2A_Inhibitors_Chase
14,C17,134.15460382948714,175.48768392350422,229.76507179397066,1653.7092399873857,HCT116 OsTIRF74G,No addition,No addition,No addition,No addition,250512_mACmChPOLR2A_Inhibitors_Chase
15,C18,134.8505286846274,176.0488350159341,239.6046248869533,1669.8772663877266,HCT116 OsTIRF74G,No addition,No addition,No addition,No addition,250512_mACmChPOLR2A_Inhibitors_Chase
16,C19,134.98724849266898,175.94796296795002,241.27959454339054,1716.4205864386072,HCT116 OsTIRF74G,No addition,No addition,No addition,No addition,250512_mACmChPOLR2A_Inhibitors_Chase
17,C20,134.44500862182372,176.09686097668387,226.55957992958128,1670.194908512331,HCT116 OsTIRF74G,No addition,No addition,No addition,No addition,250512_mACmChPOLR2A_Inhibitors_Chase
18,C21,136.16214697929072,176.13098551356396,254.74308392313537,1685.6745562130177,HCT116 OsTIRF74G,No addition,No addition,No addition,No addition,250512_mACmChPOLR2A_Inhibitors_Chase
19,C22,134.9094517374566,175.8296670013465,235.24108790107402,1696.368698865136,HCT116 OsTIRF74G,No addition,No addition,No addition,No addition,250512_mACmChPOLR2A_Inhibitors_Chase
20,D03,133.53741567089028,175.5622319961031,215.28293881940422,1694.0283315844702,HCT116 OsTIRF74G,No addition,No addition,No addition,No addition,250512_mACmChPOLR2A_Inhibitors_Chase
21,D04,176.53468201818063,175.70326440452976,215.74253723738462,1642.7621604548326,HCT116 mChPOLR2A Clone 2,Vehicle,1440,Vehicle,30,250512_mACmChPOLR2A_Inhibitors_Chase
22,D05,172.79532439531684,176.4067767934963,209.29970478883823,1713.1513255883228,HCT116 mChPOLR2A Clone 2,Vehicle,1440,Leptomycin 10 ng/mL,30,250512_mACmChPOLR2A_Inhibitors_Chase
23,D06,175.20744765694175,175.97125983694085,214.77400451467165,1643.0618695359785,HCT116 mChPOLR2A Clone 2,Vehicle,1440,Cycloheximide 50 µg/mL,30,250512_mACmChPOLR2A_Inhibitors_Chase
