,WELL,IF_647_Intensity,RFP_561_Intensity,GFP_488_Intensity,DAPI_Intensity,NucleusArea,CELL,DRUG,TIME_MINUTES,PRIMARY,SECONDARY,TotalNumberCells,EXPERIMENT
12,D06,3509.5741547952566,334.4286105255682,304.6453977083407,632.03606294181,1605.3488636363636,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,5PhIAA,1440,pSer5,Goat anti-rat Alexa647,880,251007_mACmChPOLR2A_PTEFB
13,D07,1845.2603447686558,197.97388770615814,398.9898466015266,616.0814715347746,1762.1664086687306,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1440,pSer5,Goat anti-rat Alexa647,1292,251007_mACmChPOLR2A_PTEFB
14,D08,2894.1332405663943,188.88268472209762,266.61489252166837,493.5429334959546,1597.349219858156,HCT116 OsTIRF74G,5PhIAA,1440,pSer5,Goat anti-rat Alexa647,3525,251007_mACmChPOLR2A_PTEFB
15,D09,3733.796782681758,325.4060112974604,293.77313636038724,648.5933186538923,1566.6543778801843,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,5PhIAA,1440,pSer5,Goat anti-rat Alexa647,868,251007_mACmChPOLR2A_PTEFB
16,D10,1261.3908168135677,186.26891706484895,375.33528143503713,488.80433156692277,1938.9080074487895,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,240,pSer5,Goat anti-rat Alexa647,2685,251007_mACmChPOLR2A_PTEFB
17,D11,2627.6816225920647,185.65744572945823,264.1853900902514,469.4643354706609,1631.4163645779388,HCT116 OsTIRF74G,5PhIAA,240,pSer5,Goat anti-rat Alexa647,3862,251007_mACmChPOLR2A_PTEFB
18,D12,3345.365666353316,295.61944061718395,290.3573668872732,548.1832174503971,1607.322188449848,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,5PhIAA,240,pSer5,Goat anti-rat Alexa647,987,251007_mACmChPOLR2A_PTEFB
19,D13,1282.2325795519662,187.65704034792816,384.63166580187357,481.867394188301,1832.3973136915079,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,240,pSer5,Goat anti-rat Alexa647,2308,251007_mACmChPOLR2A_PTEFB
20,D14,3310.3583016748944,190.04107590698985,267.34207264822584,505.2346673406193,1618.9205479452055,HCT116 OsTIRF74G,5PhIAA,240,pSer5,Goat anti-rat Alexa647,3285,251007_mACmChPOLR2A_PTEFB
21,D15,3146.89536167561,306.0202946044062,299.6103995423744,577.3229249224685,1633.5379146919431,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,5PhIAA,240,pSer5,Goat anti-rat Alexa647,1266,251007_mACmChPOLR2A_PTEFB
22,D16,3851.806877148939,202.14929930209965,883.4610594569219,588.3020414093121,1898.2399258916164,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,1440,pSer5,Goat anti-rat Alexa647,2159,251007_mACmChPOLR2A_PTEFB
23,D17,2560.9762530220823,191.6113890519894,281.23089589852714,488.94163967625406,1628.082349634626,HCT116 OsTIRF74G,Vehicle,1440,pSer5,Goat anti-rat Alexa647,3558,251007_mACmChPOLR2A_PTEFB
24,D18,4484.747280858663,309.51676830488753,568.908773443453,719.1076155508661,1635.3019250253292,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,Vehicle,1440,pSer5,Goat anti-rat Alexa647,987,251007_mACmChPOLR2A_PTEFB
25,D19,3254.367903272965,206.23606370420205,910.6832738007522,628.2324030984366,1873.6834975369459,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,1440,pSer5,Goat anti-rat Alexa647,2436,251007_mACmChPOLR2A_PTEFB
26,D20,3937.2970744815957,202.03919621527604,285.7066140776572,585.3401574504953,1623.4068582020388,HCT116 OsTIRF74G,Vehicle,1440,pSer5,Goat anti-rat Alexa647,3237,251007_mACmChPOLR2A_PTEFB
27,D21,4232.446861842281,317.43711341077983,572.3163906654728,743.9397338457818,1592.331868131868,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,Vehicle,1440,pSer5,Goat anti-rat Alexa647,910,251007_mACmChPOLR2A_PTEFB
28,D22,4235.237512375012,202.26892038151513,279.4757568720916,640.3481817120208,1613.487684729064,HCT116 OsTIRF74G,Vehicle,1440,pSer5,Goat anti-rat Alexa647,2842,251007_mACmChPOLR2A_PTEFB
29,E03,1054.8861738676208,190.0845127521732,279.0742503421327,531.2703652905166,1590.4146690518783,HCT116 OsTIRF74G,Vehicle,1440,pSer2,Goat anti-rat Alexa647,2795,251007_mACmChPOLR2A_PTEFB
30,E04,1121.185218676811,208.11353875511648,424.4495784408219,803.9219562130651,1706.2074198988196,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1440,pSer2,Goat anti-rat Alexa647,1186,251007_mACmChPOLR2A_PTEFB
31,E05,950.7761028424256,186.1103943856541,274.74867748543676,455.5313972190326,1651.8893844781446,HCT116 OsTIRF74G,5PhIAA,1440,pSer2,Goat anti-rat Alexa647,3363,251007_mACmChPOLR2A_PTEFB
32,E06,1068.052826523574,309.63253876828946,293.6740841490941,531.4197500742688,1593.5611764705882,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,5PhIAA,1440,pSer2,Goat anti-rat Alexa647,850,251007_mACmChPOLR2A_PTEFB
33,E07,685.7517259141765,188.62876660844668,384.8177570104612,532.0282334435686,1628.0757717492984,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1440,pSer2,Goat anti-rat Alexa647,1069,251007_mACmChPOLR2A_PTEFB
34,E08,677.8932133308787,177.52183876931105,261.09968145046645,400.62562433756005,1622.2720041057223,HCT116 OsTIRF74G,5PhIAA,1440,pSer2,Goat anti-rat Alexa647,3897,251007_mACmChPOLR2A_PTEFB
35,E09,1293.3142020524692,313.6209174118474,290.72920464314643,644.3751968011994,1644.7422680412371,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,5PhIAA,1440,pSer2,Goat anti-rat Alexa647,1067,251007_mACmChPOLR2A_PTEFB
36,E10,745.0171461552927,190.01307401422295,390.40357460189955,543.0681947822227,1963.0551395507148,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,240,pSer2,Goat anti-rat Alexa647,2938,251007_mACmChPOLR2A_PTEFB
37,E11,888.7917179260404,185.5977855889231,272.62182765251697,477.6980339021045,1624.5021508459995,HCT116 OsTIRF74G,5PhIAA,240,pSer2,Goat anti-rat Alexa647,3487,251007_mACmChPOLR2A_PTEFB
38,E12,1223.185356146456,297.899743099733,303.0505107983706,569.9841241442201,1503.375595805529,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,5PhIAA,240,pSer2,Goat anti-rat Alexa647,1049,251007_mACmChPOLR2A_PTEFB
39,E13,749.7099724458307,191.15642653140748,391.97073191305554,555.0436774307557,1931.0062111801242,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,240,pSer2,Goat anti-rat Alexa647,3059,251007_mACmChPOLR2A_PTEFB
40,E14,1074.972320864082,187.45181485034112,264.3040367790995,561.3105918206178,1630.7717756526233,HCT116 OsTIRF74G,5PhIAA,240,pSer2,Goat anti-rat Alexa647,3869,251007_mACmChPOLR2A_PTEFB
41,E15,1320.3718979686305,309.8205906633929,300.4793636819711,658.7503200394511,1525.7819314641745,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,5PhIAA,240,pSer2,Goat anti-rat Alexa647,963,251007_mACmChPOLR2A_PTEFB
42,E16,1134.1727628083106,197.2925150701911,871.515552154695,613.3681457905387,1839.9542225730072,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,1440,pSer2,Goat anti-rat Alexa647,2534,251007_mACmChPOLR2A_PTEFB
43,E17,865.0975424513078,189.96530577039888,276.54191301056215,538.589615447413,1568.677568819842,HCT116 OsTIRF74G,Vehicle,1440,pSer2,Goat anti-rat Alexa647,3669,251007_mACmChPOLR2A_PTEFB
44,E18,1425.120392136047,296.81943936881964,562.7141327675706,739.0622007280735,1573.2955102040817,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,Vehicle,1440,pSer2,Goat anti-rat Alexa647,1225,251007_mACmChPOLR2A_PTEFB
45,E19,1031.3206764316283,197.9282611703808,868.450602636571,646.4402631563157,1944.454979786843,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,1440,pSer2,Goat anti-rat Alexa647,2721,251007_mACmChPOLR2A_PTEFB
46,E20,1213.4339005965162,197.0516270652416,281.45094896293705,624.3941232671102,1585.2184895833334,HCT116 OsTIRF74G,Vehicle,1440,pSer2,Goat anti-rat Alexa647,3840,251007_mACmChPOLR2A_PTEFB
47,E21,1582.3289611091761,305.18082459613044,582.7082879389305,763.0643929064514,1546.8369152970922,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,Vehicle,1440,pSer2,Goat anti-rat Alexa647,791,251007_mACmChPOLR2A_PTEFB
48,E22,1446.11704161539,198.43817187761394,280.04778502155574,642.5435447330937,1576.367469879518,HCT116 OsTIRF74G,Vehicle,1440,pSer2,Goat anti-rat Alexa647,2822,251007_mACmChPOLR2A_PTEFB
49,F03,460.88174001450943,192.07825127862543,277.86508393190246,610.2331637179122,1630.4055944055945,HCT116 OsTIRF74G,Vehicle,1440,CDK9,Goat anti-rabbit Alexa647,3146,251007_mACmChPOLR2A_PTEFB
50,F04,809.675482322991,199.18670545537293,416.851087337997,698.8714472982138,1606.4908256880733,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1440,CDK9,Goat anti-rabbit Alexa647,1090,251007_mACmChPOLR2A_PTEFB
51,F05,461.067821262453,194.01877577354853,277.29275454824364,619.8904198793322,1634.7563679952052,HCT116 OsTIRF74G,5PhIAA,1440,CDK9,Goat anti-rabbit Alexa647,3337,251007_mACmChPOLR2A_PTEFB
52,F06,493.6810550863996,317.2499220447799,293.7907582293065,630.6607159371231,1638.9397810218977,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,5PhIAA,1440,CDK9,Goat anti-rabbit Alexa647,1096,251007_mACmChPOLR2A_PTEFB
53,F07,787.5556680135052,194.64915712479285,388.135587536927,677.2620640733098,1589.7520391517128,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1440,CDK9,Goat anti-rabbit Alexa647,1226,251007_mACmChPOLR2A_PTEFB
54,F08,407.5678667545247,184.6508282327058,268.2247061962294,495.1694455644082,1641.4953095684803,HCT116 OsTIRF74G,5PhIAA,1440,CDK9,Goat anti-rabbit Alexa647,4264,251007_mACmChPOLR2A_PTEFB
55,F09,515.888120211462,318.7637165098743,297.02654443163516,733.2355872029493,1650.5914742451155,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,5PhIAA,1440,CDK9,Goat anti-rabbit Alexa647,1126,251007_mACmChPOLR2A_PTEFB
56,F10,579.9833959432864,193.64780758588714,401.4555251240641,553.1208377278806,1861.9080188679245,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,240,CDK9,Goat anti-rabbit Alexa647,2968,251007_mACmChPOLR2A_PTEFB
57,F11,433.36309703527746,192.28097162008265,276.7826810706222,612.4639245390351,1618.104488967791,HCT116 OsTIRF74G,5PhIAA,240,CDK9,Goat anti-rabbit Alexa647,3943,251007_mACmChPOLR2A_PTEFB
58,F12,473.6246392017897,312.13518172863513,308.2233490347311,702.9251078712791,1580.7910780669145,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,5PhIAA,240,CDK9,Goat anti-rabbit Alexa647,1345,251007_mACmChPOLR2A_PTEFB
59,F13,576.4110072744303,194.5106194142004,410.6570317313671,587.5097766621477,1765.654593976363,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,240,CDK9,Goat anti-rabbit Alexa647,2623,251007_mACmChPOLR2A_PTEFB
60,F14,389.7161073369501,185.71972424508274,275.1648627074301,484.988722124504,1609.3623016812692,HCT116 OsTIRF74G,5PhIAA,240,CDK9,Goat anti-rabbit Alexa647,4223,251007_mACmChPOLR2A_PTEFB
61,F15,435.18960820959944,301.59850399030717,302.04644888297963,616.7945444368861,1626.8471615720523,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,5PhIAA,240,CDK9,Goat anti-rabbit Alexa647,1145,251007_mACmChPOLR2A_PTEFB
62,F16,483.3247517212941,190.94363300428074,860.4610784873253,555.9880780207092,1876.8442906574394,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,1440,CDK9,Goat anti-rabbit Alexa647,3179,251007_mACmChPOLR2A_PTEFB
63,F17,398.35643270244475,187.29780268602266,275.74643331211075,505.7275474143819,1640.5188791260982,HCT116 OsTIRF74G,Vehicle,1440,CDK9,Goat anti-rabbit Alexa647,4211,251007_mACmChPOLR2A_PTEFB
64,F18,518.4867738767795,299.9612745836268,572.4323919178648,794.0606042722632,1622.8941755537326,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,Vehicle,1440,CDK9,Goat anti-rabbit Alexa647,1219,251007_mACmChPOLR2A_PTEFB
65,F19,472.53344021413335,197.5361916962931,899.673442019416,615.8336881441818,1834.2935141077319,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,1440,CDK9,Goat anti-rabbit Alexa647,2729,251007_mACmChPOLR2A_PTEFB
66,F20,386.49399860220836,191.39899219458044,282.44184729435034,528.1837202773145,1613.1438793764376,HCT116 OsTIRF74G,Vehicle,1440,CDK9,Goat anti-rabbit Alexa647,3913,251007_mACmChPOLR2A_PTEFB
67,F21,487.5035881621749,301.72812518878436,586.0867133370886,738.4698443572694,1516.7024336283187,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,Vehicle,1440,CDK9,Goat anti-rabbit Alexa647,904,251007_mACmChPOLR2A_PTEFB
68,F22,393.5293081217381,190.06197970757427,277.94818900206957,539.7857345216439,1566.0851657940664,HCT116 OsTIRF74G,Vehicle,1440,CDK9,Goat anti-rabbit Alexa647,2865,251007_mACmChPOLR2A_PTEFB
69,G03,832.4984598456357,190.51652958481603,275.8327529513561,593.1587903025008,1663.678213569997,HCT116 OsTIRF74G,Vehicle,1440,BRD4,Goat anti-rabbit Alexa647,3493,251007_mACmChPOLR2A_PTEFB
70,G04,985.560118773328,200.10331738046827,407.46910426343055,719.9463574154585,1717.3867313915857,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1440,BRD4,Goat anti-rabbit Alexa647,1236,251007_mACmChPOLR2A_PTEFB
71,G05,816.7269535279515,192.68318135415717,276.0628393148322,614.2593936238794,1592.5308005427407,HCT116 OsTIRF74G,5PhIAA,1440,BRD4,Goat anti-rabbit Alexa647,3685,251007_mACmChPOLR2A_PTEFB
72,G06,964.5881415009499,316.11727188469087,295.58519963395366,715.0527985056533,1634.0350291909924,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,5PhIAA,1440,BRD4,Goat anti-rabbit Alexa647,1199,251007_mACmChPOLR2A_PTEFB
73,G07,1007.5119842087619,200.68783233170552,403.9985430719183,697.5388361639937,1602.7099236641222,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1440,BRD4,Goat anti-rabbit Alexa647,1310,251007_mACmChPOLR2A_PTEFB
74,G08,760.1350559938746,189.20472263244335,273.1714401637131,573.417090851516,1602.2391573729863,HCT116 OsTIRF74G,5PhIAA,1440,BRD4,Goat anti-rabbit Alexa647,4035,251007_mACmChPOLR2A_PTEFB
75,G09,935.8277170511009,316.0513906990629,295.82870758972894,727.4629562913337,1654.6777560339203,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,5PhIAA,1440,BRD4,Goat anti-rabbit Alexa647,1533,251007_mACmChPOLR2A_PTEFB
76,G10,838.8944885345476,193.18056194280356,413.13294379053104,544.6665452671558,1910.499846484495,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,240,BRD4,Goat anti-rabbit Alexa647,3257,251007_mACmChPOLR2A_PTEFB
77,G11,762.4656131286227,193.56350400783734,278.8710352804854,600.0886383664024,1615.2399304549406,HCT116 OsTIRF74G,5PhIAA,240,BRD4,Goat anti-rabbit Alexa647,3451,251007_mACmChPOLR2A_PTEFB
78,G12,818.5931415108198,308.27071637813503,310.04667217575394,618.6618262204095,1684.6044776119404,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,5PhIAA,240,BRD4,Goat anti-rabbit Alexa647,1340,251007_mACmChPOLR2A_PTEFB
79,G13,903.8618756434541,194.9119647104546,411.4249166736254,609.0472202009745,1883.0157208588957,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,240,BRD4,Goat anti-rabbit Alexa647,2608,251007_mACmChPOLR2A_PTEFB
80,G14,759.6213833163556,185.5371593571353,273.21573322325156,505.87241099674674,1582.8212560386473,HCT116 OsTIRF74G,5PhIAA,240,BRD4,Goat anti-rabbit Alexa647,4761,251007_mACmChPOLR2A_PTEFB
81,G15,798.0773069613265,301.73059921849136,303.12710418303664,644.5021369494125,1650.9346622369878,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,5PhIAA,240,BRD4,Goat anti-rabbit Alexa647,1806,251007_mACmChPOLR2A_PTEFB
82,G16,860.7421183565083,190.17970165803285,869.907745286761,524.7039203838416,1925.786633309507,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,1440,BRD4,Goat anti-rabbit Alexa647,2798,251007_mACmChPOLR2A_PTEFB
83,G17,703.4066103828789,189.44708892164678,276.31544230456063,535.2612751326039,1600.1290849673203,HCT116 OsTIRF74G,Vehicle,1440,BRD4,Goat anti-rabbit Alexa647,3672,251007_mACmChPOLR2A_PTEFB
84,G18,1028.8396222955917,295.5788425299092,587.8759384056344,692.9454914673618,1533.7187176835573,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,Vehicle,1440,BRD4,Goat anti-rabbit Alexa647,967,251007_mACmChPOLR2A_PTEFB
85,G19,843.0096784056832,193.44429876287953,893.0074057816638,562.3153860520624,1863.8735239279056,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,1440,BRD4,Goat anti-rabbit Alexa647,3218,251007_mACmChPOLR2A_PTEFB
86,G20,804.3255777710717,193.5729545365186,283.2240306358116,570.1320904550518,1621.4326419442698,HCT116 OsTIRF74G,Vehicle,1440,BRD4,Goat anti-rabbit Alexa647,4773,251007_mACmChPOLR2A_PTEFB
87,G21,878.2617409019737,294.33327359381815,582.9181123486868,706.2501947376909,1605.6912251655629,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,Vehicle,1440,BRD4,Goat anti-rabbit Alexa647,1208,251007_mACmChPOLR2A_PTEFB
88,G22,870.1894061632278,194.3065821589945,278.6835342412612,621.4520250489167,1580.5499445061043,HCT116 OsTIRF74G,Vehicle,1440,BRD4,Goat anti-rabbit Alexa647,3604,251007_mACmChPOLR2A_PTEFB
89,H03,1228.3446082566552,189.15116477647067,275.6895983337435,553.9393225954401,1593.8656881750208,HCT116 OsTIRF74G,Vehicle,1440,CCNT1,Goat anti-rabbit Alexa647,3611,251007_mACmChPOLR2A_PTEFB
90,H04,1740.402495800121,201.01676241410257,419.39071694374906,706.7140867770534,1628.851619644723,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1440,CCNT1,Goat anti-rabbit Alexa647,957,251007_mACmChPOLR2A_PTEFB
91,H05,1233.9844160805033,189.5949111382175,271.39781818910075,572.2743903937991,1644.2783650458068,HCT116 OsTIRF74G,5PhIAA,1440,CCNT1,Goat anti-rabbit Alexa647,4257,251007_mACmChPOLR2A_PTEFB
92,H06,1787.451673055341,320.58572761620087,298.05788870415034,675.0062780275354,1535.9506048387098,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,5PhIAA,1440,CCNT1,Goat anti-rabbit Alexa647,992,251007_mACmChPOLR2A_PTEFB
93,H07,1583.6714868686868,194.1119607692329,396.0810046775291,619.1323598247816,1611.238591916558,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1440,CCNT1,Goat anti-rabbit Alexa647,1534,251007_mACmChPOLR2A_PTEFB
94,H08,1244.8383046828249,190.52531062507524,274.2362282700769,588.9646202874044,1623.5996724379972,HCT116 OsTIRF74G,5PhIAA,1440,CCNT1,Goat anti-rabbit Alexa647,4274,251007_mACmChPOLR2A_PTEFB
95,H09,1509.8268691019912,317.95167273818646,302.30443363235185,693.1981149378693,1684.9099678456591,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,5PhIAA,1440,CCNT1,Goat anti-rabbit Alexa647,1244,251007_mACmChPOLR2A_PTEFB
96,H10,1053.131593066218,192.24948949751143,416.17087737660023,528.9288237786227,1853.6115603474093,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,240,CCNT1,Goat anti-rabbit Alexa647,3339,251007_mACmChPOLR2A_PTEFB
97,H11,1101.844421430822,192.4122455952462,278.50620414415664,576.6823124738914,1599.4550511793502,HCT116 OsTIRF74G,5PhIAA,240,CCNT1,Goat anti-rabbit Alexa647,4494,251007_mACmChPOLR2A_PTEFB
98,H12,1567.974020320697,308.6859281938434,310.8119893342821,615.8386875648848,1566.6125412541255,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,5PhIAA,240,CCNT1,Goat anti-rabbit Alexa647,1515,251007_mACmChPOLR2A_PTEFB
99,H13,960.3065718851115,191.9979389105446,408.2139359538404,564.7098885090014,1886.461870503597,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,240,CCNT1,Goat anti-rabbit Alexa647,2780,251007_mACmChPOLR2A_PTEFB
100,H14,1095.308876928096,185.63942640852554,272.9057609452044,511.74220266734125,1566.6689042875703,HCT116 OsTIRF74G,5PhIAA,240,CCNT1,Goat anti-rabbit Alexa647,4618,251007_mACmChPOLR2A_PTEFB
101,H15,1531.3137805686563,303.4004466504052,303.7108749045604,704.2753871731305,1626.2729393468119,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,5PhIAA,240,CCNT1,Goat anti-rabbit Alexa647,1286,251007_mACmChPOLR2A_PTEFB
102,H16,1206.6122884876434,192.88765772142227,870.8013095341977,563.6483822473128,1907.06055802156,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,1440,CCNT1,Goat anti-rabbit Alexa647,3154,251007_mACmChPOLR2A_PTEFB
103,H17,1256.6051929594105,191.14251126035967,273.42094144410316,616.9021640565225,1581.7667218151737,HCT116 OsTIRF74G,Vehicle,1440,CCNT1,Goat anti-rabbit Alexa647,4231,251007_mACmChPOLR2A_PTEFB
104,H18,1675.5012936164621,295.84376872594856,582.5969426218772,753.7393809003959,1611.6472868217054,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,Vehicle,1440,CCNT1,Goat anti-rabbit Alexa647,1032,251007_mACmChPOLR2A_PTEFB
105,H19,1266.1655660472297,193.23738850581438,924.1019813970487,573.0320043652036,1885.149866190901,HCT116 OsTIRF74G mAC-POLR2A Clone 5,Vehicle,1440,CCNT1,Goat anti-rabbit Alexa647,2242,251007_mACmChPOLR2A_PTEFB
106,H20,1261.808461207543,195.40210695437509,283.0965181669256,621.739622351454,1594.3882352941177,HCT116 OsTIRF74G,Vehicle,1440,CCNT1,Goat anti-rabbit Alexa647,4165,251007_mACmChPOLR2A_PTEFB
107,H21,1715.9107447358474,295.82776398619933,584.3335295905973,669.6910900469411,1597.4557575757576,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,Vehicle,1440,CCNT1,Goat anti-rabbit Alexa647,825,251007_mACmChPOLR2A_PTEFB
108,H22,1437.0435906790942,193.69110412950423,278.9043725963533,628.7759896950472,1585.979042690815,HCT116 OsTIRF74G,Vehicle,1440,CCNT1,Goat anti-rabbit Alexa647,3865,251007_mACmChPOLR2A_PTEFB
109,I03,837.485125440377,194.87554937171078,278.43606285423164,634.2724988977602,1635.2265708200214,HCT116 OsTIRF74G,Vehicle,1440,CDK7,Goat anti-mouse Alexa647,3756,251007_mACmChPOLR2A_PTEFB
110,I04,1109.9941331799837,205.3805691943346,419.62104834494403,790.3796012932256,1536.9129629629629,HCT116 OsTIRF74G mAC-POLR2A Clone 5,5PhIAA,1440,CDK7,Goat anti-mouse Alexa647,1080,251007_mACmChPOLR2A_PTEFB
111,I05,843.6264049713498,190.9412307091185,271.30867637786673,594.8429401399042,1662.3370083432658,HCT116 OsTIRF74G,5PhIAA,1440,CDK7,Goat anti-mouse Alexa647,3356,251007_mACmChPOLR2A_PTEFB
112,I06,1226.6942833175992,318.4169363846798,296.54256001856794,704.6230236292772,1645.0743134087238,HCT116 OsTIRF74G mAC/mChPOLR2A Clone 1,5PhIAA,1440,CDK7,Goat anti-mouse Alexa647,1238,251007_mACmChPOLR2A_PTEFB
