,WELL,RFP_Intensity,GFP_Intensity,DAPI_Intensity,NucleusArea,CELL,EU,DRUG,DRUG TIME MINUTES,PRIMARY,SECONDARY,TotalNumberCells,Alexa647_Intensity,NucleusArea2,EXPERIMENT,GFP_Intensity_BGS,GFP_Intensity_FC,RFP_Intensity_BGS,RFP_Intensity_FC,TIME_IN_AUXIN,TIME_IN_AUXIN_HRS
133,I16,219.25613894898893,261.81426175812953,543.9094159482624,1772.9745114698385,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",Vehicle,120,No primary,No secondary,1177,231.7695750225526,1703.1632255551226,241026_mACmChPOLR2A_ActivePolII,74.74181153786148,0.3855214917883214,42.03568518833802,0.5786352918566201,0,0.0
134,I17,222.72256102617288,193.30547569271684,567.9421419240238,1810.2073578595318,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",10 µM 5PhIAA,120,No primary,No secondary,1196,222.09251151133375,1678.6654411764705,241026_mACmChPOLR2A_ActivePolII,6.233025472448787,0.032150214572680094,45.50210726552197,0.6263517532713143,120,2.0
135,I18,219.78320331123555,260.6519147497991,545.391142306322,1722.8948453608248,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",Vehicle,120,No primary,No secondary,970,239.25553691394833,1671.464731814842,241026_mACmChPOLR2A_ActivePolII,73.57946452953107,0.37952605572105086,42.56274955058464,0.5858905094106902,0,0.0
136,I19,224.76522191064504,193.34576309865236,567.4352675911033,1803.792924037461,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",10 µM 5PhIAA,120,No primary,No secondary,961,230.25322963954886,1671.807392996109,241026_mACmChPOLR2A_ActivePolII,6.273312878384303,0.032358018752388445,47.54476814999413,0.6544696647970805,120,2.0
137,I20,219.29523074648515,258.2147586570309,526.9299294625466,1699.281807372176,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",Vehicle,120,No primary,No secondary,841,240.81384754425463,1616.001679731243,241026_mACmChPOLR2A_ActivePolII,71.14230843676287,0.36695509934104614,42.074776985834234,0.5791734035479622,0,0.0
138,I21,228.72714233735576,193.50619002796248,590.0551638942111,1737.5248138957816,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",10 µM 5PhIAA,120,No primary,No secondary,806,225.8691511956551,1681.4762959680993,241026_mACmChPOLR2A_ActivePolII,6.4337398076944226,0.033185507782130884,51.506688576704846,0.7090068270236753,120,2.0
141,J04,217.75438906591265,267.92839381869163,444.660113754658,1748.4050736497545,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,Vehicle,30,Total Pol II F12,Goat anti-mouse Alexa647,1222,341.686135712929,1729.2868824531515,241026_mACmChPOLR2A_ActivePolII,80.85594359842358,0.4170584490078379,40.533935305261735,0.5579632015125195,0,0.0
142,J05,214.09933417174003,224.59244802945176,437.67630429322753,1744.1316225165563,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,10 µM 5PhIAA,30,Total Pol II F12,Goat anti-mouse Alexa647,1208,289.60848944675723,1715.6122311827958,241026_mACmChPOLR2A_ActivePolII,37.51999780918371,0.19352976907662628,36.87888041108911,0.5076501461652431,30,0.5
143,J06,217.47723392665714,272.32522991810686,459.6145257855995,1830.8065749235475,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,Vehicle,30,Total Pol II F12,Goat anti-mouse Alexa647,1308,338.12199459934857,1746.4,241026_mACmChPOLR2A_ActivePolII,85.2527796978388,0.4397375194948656,40.25678016600622,0.5541480681520393,0,0.0
144,J07,216.3797196903524,223.8132963703185,478.1642237268485,1881.4735062006764,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,10 µM 5PhIAA,30,Total Pol II F12,Goat anti-mouse Alexa647,1774,285.1933068648951,1783.8812664907653,241026_mACmChPOLR2A_ActivePolII,36.74084615005046,0.18951087116957951,39.15926592970149,0.5390404169362772,30,0.5
145,J08,217.38931703343889,270.7185604503252,481.5813354839688,1750.6303854875284,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,Vehicle,30,pSer2 3E10,Goat anti-rat Alexa647,1764,518.8392855512667,1723.0363586659378,241026_mACmChPOLR2A_ActivePolII,83.64611023005713,0.431450248992783,40.16886327278797,0.5529378626578612,0,0.0
146,J09,217.9317920652648,217.85412068647813,488.052901474449,1818.0869809203143,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,10 µM 5PhIAA,30,pSer2 3E10,Goat anti-rat Alexa647,1782,487.1295929110426,1779.633818281636,241026_mACmChPOLR2A_ActivePolII,30.781670466210073,0.15877318563329756,40.71133830461389,0.5604052132424687,30,0.5
