,EXPERIMENT,WELL,CELL,EU,DRUG,DRUG TIME MINUTES,PRIMARY,SECONDARY,TIME_IN_AUXIN_HRS,TotalNumberCells,Alexa647_Intensity,Alexa647_Intensity_BGS,Alexa647_Intensity_FC
158,241026_mACmChPOLR2A_ActivePolII,J21,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",10 µM 5PhIAA,30,No primary,No secondary,0.5,592,237.91361976134303,104.38073178429028,1.084232223669311
171,241026_mACmChPOLR2A_ActivePolII,K14,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",Vehicle,60,No primary,No secondary,0.0,1357,231.6070912761007,98.07420329904795,1.018724526163235
172,241026_mACmChPOLR2A_ActivePolII,K15,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",10 µM 5PhIAA,60,No primary,No secondary,1.0,1454,239.60425754917097,106.07136957211821,1.1017933571925378
173,241026_mACmChPOLR2A_ActivePolII,K16,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",Vehicle,60,No primary,No secondary,0.0,1143,232.5732412461177,99.04035326906495,1.0287601995340094
174,241026_mACmChPOLR2A_ActivePolII,K17,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",10 µM 5PhIAA,60,No primary,No secondary,1.0,1117,235.08881385721128,101.55592588015853,1.0548901647038658
175,241026_mACmChPOLR2A_ActivePolII,K18,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",Vehicle,60,No primary,No secondary,0.0,1489,228.400810972032,94.86792299497924,0.9854199845647754
176,241026_mACmChPOLR2A_ActivePolII,K19,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",10 µM 5PhIAA,60,No primary,No secondary,1.0,930,235.99977695822585,102.4668889811731,1.064352596436332
177,241026_mACmChPOLR2A_ActivePolII,K20,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",Vehicle,60,No primary,No secondary,0.0,886,232.46338387145363,98.93049589440088,1.0276190798696576
178,241026_mACmChPOLR2A_ActivePolII,K21,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",10 µM 5PhIAA,60,No primary,No secondary,1.0,875,237.67615681517958,104.14326883812683,1.0817656287934487
191,241026_mACmChPOLR2A_ActivePolII,L14,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",Vehicle,90,No primary,No secondary,0.0,1535,224.58911973078392,91.05623175373117,0.9458268680978412
192,241026_mACmChPOLR2A_ActivePolII,L15,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",10 µM 5PhIAA,90,No primary,No secondary,1.5,1236,240.57489440914983,107.04200643209708,1.1118756371601195
193,241026_mACmChPOLR2A_ActivePolII,L16,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",Vehicle,90,No primary,No secondary,0.0,834,229.38478720591135,95.8518992288586,0.9956408243870284
