,WELL,RFP_Intensity,GFP_Intensity,DAPI_Intensity,NucleusArea,CELL,EU,DRUG,DRUG TIME MINUTES,PRIMARY,SECONDARY,TotalNumberCells,Alexa647_Intensity,NucleusArea2,EXPERIMENT,GFP_Intensity_BGS,GFP_Intensity_FC,RFP_Intensity_BGS,RFP_Intensity_FC,Alexa647_Intensity_BGS,Alexa647_Intensity_FC,TIME_IN_AUXIN,TIME_IN_AUXIN_HRS
181,L04,213.72166107549745,264.5725952557169,462.7239600853864,1812.1006404391583,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,Vehicle,90,Total Pol II F12,Goat anti-mouse Alexa647,1093,343.9235396003616,1726.6987664146438,241026_mACmChPOLR2A_ActivePolII,77.50014503544887,0.3997490950930782,36.50120731484654,0.5024513494454659,216.82995973446845,1.000173199334692,0,0.0
182,L05,222.8590750996029,201.68419979523085,486.66818558171315,1766.8924103419515,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,10 µM 5PhIAA,90,Total Pol II F12,Goat anti-mouse Alexa647,1199,277.08850770226445,1695.1050613496932,241026_mACmChPOLR2A_ActivePolII,14.6117495749628,0.07536803534556404,45.63862133895199,0.6282309152349602,149.9949278363713,0.6918827409357842,90,1.5
183,L06,221.79973954279285,273.8335535987278,498.03710697817996,1749.7607843137255,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,Vehicle,90,Total Pol II F12,Goat anti-mouse Alexa647,1020,354.99910597565673,1704.3114686468648,241026_mACmChPOLR2A_ActivePolII,86.76110337845975,0.44751751817951185,44.57928578214194,0.6136488063352833,227.90552610976357,1.0512615483321657,0,0.0
184,L07,220.77276114053944,198.6981289750923,499.19106466764646,1748.0022421524664,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,10 µM 5PhIAA,90,Total Pol II F12,Goat anti-mouse Alexa647,1338,276.39436043556594,1733.7464251668255,241026_mACmChPOLR2A_ActivePolII,11.625678754824236,0.0599657530957922,43.55230737988853,0.5995121045102537,149.30078056967278,0.6886808425754585,90,1.5
201,M04,218.6776348643252,270.3994561344027,477.7198908791236,1784.9571558796717,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,Vehicle,120,Total Pol II F12,Goat anti-mouse Alexa647,1097,335.556209194221,1750.3642664613014,241026_mACmChPOLR2A_ActivePolII,83.32700591413467,0.42980429515009083,41.45718110367429,0.5706719892871519,208.46262932832786,0.9615771509267667,0,0.0
202,M05,222.55681933734616,197.25279408288097,517.1461086786055,1710.5250501002004,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,10 µM 5PhIAA,120,Total Pol II F12,Goat anti-mouse Alexa647,998,296.38013026298006,1733.7299098392787,241026_mACmChPOLR2A_ActivePolII,10.180343862612915,0.05251065330206082,45.33636557669524,0.6240702633881978,169.2865503970869,0.7808693545962627,120,2.0
203,M06,215.54578197516216,264.09765109868385,479.15969775418483,1796.9973285841495,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,Vehicle,120,Total Pol II F12,Goat anti-mouse Alexa647,1123,350.5810076207229,1752.8604233943308,241026_mACmChPOLR2A_ActivePolII,77.0252008784158,0.3972993126196793,38.325328214511245,0.5275609848523862,223.48742775482975,1.030882152551062,0,0.0
204,M07,220.11817142409313,194.3438274053161,482.57245820944763,1770.201754385965,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,10 µM 5PhIAA,120,Total Pol II F12,Goat anti-mouse Alexa647,1026,279.36510406013673,1699.2750379362672,241026_mACmChPOLR2A_ActivePolII,7.271377185048038,0.03750607754958213,42.89771766344222,0.5905014577246666,152.27152419424357,0.7023840142175541,120,2.0
60,F04,321.83472021211765,270.5632344051194,294.17490353729926,1814.3257978723404,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,10 µM 5PhIAA,120,Total Pol II F12,Goat anti-mouse Alexa647,1522,671.4732829969156,1727.1450910530482,241029_mACmChPOLR2A_ActivePolII,26.020627081465562,0.04490585731446889,132.24211191831097,0.6026308715336586,544.3914998511262,0.8953611393339808,120,2.0
61,F05,321.4700283905107,504.1350999112209,308.0776532876415,1781.8510726072607,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,Vehicle,120,Total Pol II F12,Goat anti-mouse Alexa647,956,793.6258311088466,1743.6884893492281,241029_mACmChPOLR2A_ActivePolII,259.5924925875671,0.4479993274392694,131.87742009670404,0.6009689610642316,666.5440479630572,1.0962655338367546,0,0.0
62,F06,325.2933864391619,270.6715452325284,302.0154838195524,1786.5425721410759,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,10 µM 5PhIAA,120,Total Pol II F12,Goat anti-mouse Alexa647,1221,643.2692260772286,1749.730353879382,241029_mACmChPOLR2A_ActivePolII,26.128937908874576,0.04509277788890446,135.70077814535523,0.6183921068354302,516.1874429314393,0.8489739041468825,120,2.0
63,F07,313.0751015141895,492.01716684688176,324.2879110615152,1796.3046692607004,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,Vehicle,120,Total Pol II F12,Goat anti-mouse Alexa647,1279,811.0052619688059,1731.2175667883914,241029_mACmChPOLR2A_ActivePolII,247.47455952322795,0.42708645045787236,123.48249322038282,0.5627130528172136,683.9234788230166,1.1248494978038717,0,0.0
80,G04,326.18344583807817,285.7000020101517,299.1580704443081,1753.0180897250361,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,10 µM 5PhIAA,90,Total Pol II F12,Goat anti-mouse Alexa647,1115,636.1329659543075,1714.4016840019813,241029_mACmChPOLR2A_ActivePolII,41.157394686497895,0.07102857619229436,136.5908375442715,0.6224481315276021,509.0511828085181,0.8372368913610662,90,1.5
81,G05,322.6450461748156,510.4919821306268,334.5835052231642,1784.1904301594973,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,Vehicle,90,Total Pol II F12,Goat anti-mouse Alexa647,1193,833.7440875300213,1721.34507346586,241029_mACmChPOLR2A_ActivePolII,265.94937480697297,0.45896990263009013,133.05243788100893,0.6063235488059988,706.6623043842319,1.1622480625631928,0,0.0
82,G07,320.952669924298,513.6828402002186,328.40884418297105,1772.997624703088,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,Vehicle,90,Total Pol II F12,Goat anti-mouse Alexa647,1386,791.3071203442938,1697.8895038950388,241029_mACmChPOLR2A_ActivePolII,269.1402328765648,0.46447661915675975,131.36006163049132,0.5986113445768173,664.2253371985045,1.0924519483702224,0,0.0
99,H04,329.06538189977874,306.63739910820505,314.0460389492398,1773.0091264667535,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,10 µM 5PhIAA,60,Total Pol II F12,Goat anti-mouse Alexa647,1055,656.6779955389596,1745.2082307421738,241029_mACmChPOLR2A_ActivePolII,62.094791784551234,0.10716190086882643,139.47277360597207,0.6355811919073375,529.5962123931703,0.8710273181065151,60,1.0
100,H05,317.3426227316228,499.12951575264054,327.1952992445308,1771.2307692307693,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,Vehicle,60,Total Pol II F12,Goat anti-mouse Alexa647,1211,765.7223589725571,1675.8836754643207,241029_mACmChPOLR2A_ActivePolII,254.58690842898673,0.439360794351768,127.7500144378161,0.5821602621308309,638.6405758267678,1.0503726706855951,0,0.0
101,H06,326.22346449859435,303.47944797046046,335.67456078754526,1780.4357381748687,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,10 µM 5PhIAA,60,Total Pol II F12,Goat anti-mouse Alexa647,1331,604.1827500958591,1698.986075949367,241029_mACmChPOLR2A_ActivePolII,58.936840646806644,0.10171197444108732,136.63085620478768,0.6226304976431658,477.10096695006973,0.7846883455428268,60,1.0
102,H07,318.20799895152373,500.5308726182607,323.5605754116824,1763.1084225221034,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,Vehicle,60,Total Pol II F12,Goat anti-mouse Alexa647,1500,757.0038843029718,1701.240664751744,241029_mACmChPOLR2A_ActivePolII,255.98826529460686,0.44177922689980653,128.61539065771706,0.586103804910347,629.9221011571824,1.0360333883574377,0,0.0
119,I04,335.013551910191,369.2150599179889,305.77051979027954,1752.7076205287715,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,10 µM 5PhIAA,30,Total Pol II F12,Goat anti-mouse Alexa647,1217,734.2282451057584,1710.1207771748643,241029_mACmChPOLR2A_ActivePolII,124.67245259433511,0.21515712706377918,145.4209436163843,0.6626871631097587,607.1464619599691,0.9985742761812682,30,0.5
120,I05,321.13767891407474,511.1958169190241,326.59430492458796,1796.8439821693908,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,Vehicle,30,Total Pol II F12,Goat anti-mouse Alexa647,1155,712.2871433962587,1737.9668155711552,241029_mACmChPOLR2A_ActivePolII,266.6532095953703,0.4601845660769693,131.54507062026806,0.5994544355342545,585.2053602504693,0.9624877284849268,0,0.0
121,I06,320.30288318745846,362.0342350280468,313.54885533657847,1797.749892565535,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,10 µM 5PhIAA,30,Total Pol II F12,Goat anti-mouse Alexa647,1169,640.4033210487358,1704.4600269697553,241029_mACmChPOLR2A_ActivePolII,117.49162770439298,0.20276460873982163,130.71027489365179,0.5956502488876128,513.3215379029465,0.8442603478326564,30,0.5
122,I07,312.5806267086931,493.9428428211339,327.8478399469413,1787.8616452991453,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,Vehicle,30,Total Pol II F12,Goat anti-mouse Alexa647,1487,720.2711717292924,1734.9961728950923,241029_mACmChPOLR2A_ActivePolII,249.4002354974801,0.4304097420243259,122.98801841488643,0.5604597177890207,593.189388583503,0.9756190663303832,0,0.0
138,J04,329.09383531848346,281.8885311037737,273.3978789600008,1808.5730456314113,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,10 µM 5PhIAA,120,Total Pol II F12,Goat anti-mouse Alexa647,1222,572.5979521157286,1722.6159317211948,241029_mACmChPOLR2A_ActivePolII,37.345923780119875,0.06445081893286321,139.50122702467678,0.6357108549039684,445.51616896993926,0.7327408028040867,120,2.0
139,J05,323.1873136848146,522.3865648048713,320.069591250228,1795.5213523131672,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,Vehicle,120,Total Pol II F12,Goat anti-mouse Alexa647,1208,722.0717007601454,1732.8354070387486,241029_mACmChPOLR2A_ActivePolII,277.84395748121756,0.47949732615114915,133.59470539100795,0.6087946764779235,594.989917614356,0.9785803978811317,0,0.0
140,J06,326.4853104744418,279.7744887911648,307.62669629588254,1781.7011286681716,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,10 µM 5PhIAA,120,Total Pol II F12,Goat anti-mouse Alexa647,1308,583.8610450760071,1715.581420567504,241029_mACmChPOLR2A_ActivePolII,35.23188146751099,0.06080244865533116,136.89270218063513,0.623823736818974,456.7792619302178,0.7512652208894119,120,2.0
141,J07,317.60396081451404,509.8950348769213,329.2701052645964,1813.8779270633397,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,Vehicle,120,Total Pol II F12,Goat anti-mouse Alexa647,1774,671.9521343718496,1763.0706868282018,241029_mACmChPOLR2A_ActivePolII,265.3524275532675,0.4579397034686619,128.01135252070736,0.5833511868247361,544.8703512260603,0.896148706576948,0,0.0
158,K04,333.5083531624815,293.2510350831503,303.05335295973475,1780.8006681514476,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,10 µM 5PhIAA,90,Total Pol II F12,Goat anti-mouse Alexa647,1294,596.8271758939967,1719.8850113418252,241029_mACmChPOLR2A_ActivePolII,48.708427759496516,0.08405999210288329,143.91574486867484,0.6558279318103988,469.74539274820734,0.772590626714307,90,1.5
159,K05,314.1225439903621,513.4503767458355,319.8494761034344,1776.8614573346117,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,Vehicle,90,Total Pol II F12,Goat anti-mouse Alexa647,970,710.8149142871321,1726.3559289669658,241029_mACmChPOLR2A_ActivePolII,268.9077694221817,0.4640754385595099,124.52993569655541,0.5674862764381974,583.7331311413427,0.9600663520805033,0,0.0
160,K06,327.6090786578933,289.20304810191595,323.73285617622383,1784.4063906390638,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,10 µM 5PhIAA,90,Total Pol II F12,Goat anti-mouse Alexa647,1527,578.2113849304557,1704.3406018316616,241029_mACmChPOLR2A_ActivePolII,44.66044077826214,0.07707406031803331,138.01647036408662,0.6289447787470815,451.1296017846663,0.7419732202866213,90,1.5
161,K07,318.15619369342625,520.5484508407745,326.955956922507,1795.8910093299405,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,Vehicle,90,Total Pol II F12,Goat anti-mouse Alexa647,1354,693.9698461841175,1728.6922296611888,241029_mACmChPOLR2A_ActivePolII,276.00584351712075,0.47632514728162995,128.56358539961957,0.5858677269516359,566.8880630383281,0.9323612549711653,0,0.0
