,WELL,RFP_Intensity,GFP_Intensity,DAPI_Intensity,NucleusArea,CELL,EU,DRUG,DRUG TIME MINUTES,PRIMARY,SECONDARY,TotalNumberCells,Alexa647_Intensity,NucleusArea2,EXPERIMENT,GFP_Intensity_BGS,GFP_Intensity_FC,RFP_Intensity_BGS,RFP_Intensity_FC,Alexa647_Intensity_BGS,Alexa647_Intensity_FC,TIME_IN_AUXIN,TIME_IN_AUXIN_HRS
131,I14,223.2989328242568,267.49183193375904,545.4999287583486,1785.669971671388,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",Vehicle,120,No primary,No secondary,1412,237.93074211862864,1734.751214771623,241026_mACmChPOLR2A_ActivePolII,80.41938171349099,0.41480664395154926,46.0784790636059,0.6342857042015289,104.39785414157589,1.0844100784438166,0,0.0
132,I15,229.3578791509939,196.09065983876079,594.6721168395044,1766.8953823953823,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",10 µM 5PhIAA,120,No primary,No secondary,1386,268.8970836220857,1689.3163859111792,241026_mACmChPOLR2A_ActivePolII,9.018209618492733,0.046516314681775285,52.137425390343,0.717689130609522,135.36419564503294,1.4060662379022584,120,2.0
133,I16,219.25613894898893,261.81426175812953,543.9094159482624,1772.9745114698385,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",Vehicle,120,No primary,No secondary,1177,231.7695750225526,1703.1632255551226,241026_mACmChPOLR2A_ActivePolII,74.74181153786148,0.3855214917883214,42.03568518833802,0.5786352918566201,98.23668704549985,1.0204122908561453,0,0.0
134,I17,222.72256102617288,193.30547569271684,567.9421419240238,1810.2073578595318,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",10 µM 5PhIAA,120,No primary,No secondary,1196,222.09251151133375,1678.6654411764705,241026_mACmChPOLR2A_ActivePolII,6.233025472448787,0.032150214572680094,45.50210726552197,0.6263517532713143,88.559623534281,0.9198938914350647,120,2.0
135,I18,219.78320331123555,260.6519147497991,545.391142306322,1722.8948453608248,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",Vehicle,120,No primary,No secondary,970,239.25553691394833,1671.464731814842,241026_mACmChPOLR2A_ActivePolII,73.57946452953107,0.37952605572105086,42.56274955058464,0.5858905094106902,105.72264893689558,1.0981710971901057,0,0.0
136,I19,224.76522191064504,193.34576309865236,567.4352675911033,1803.792924037461,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",10 µM 5PhIAA,120,No primary,No secondary,961,230.25322963954886,1671.807392996109,241026_mACmChPOLR2A_ActivePolII,6.273312878384303,0.032358018752388445,47.54476814999413,0.6544696647970805,96.72034166249611,1.0046615819047804,120,2.0
137,I20,219.29523074648515,258.2147586570309,526.9299294625466,1699.281807372176,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",Vehicle,120,No primary,No secondary,841,240.81384754425463,1616.001679731243,241026_mACmChPOLR2A_ActivePolII,71.14230843676287,0.36695509934104614,42.074776985834234,0.5791734035479622,107.28095956720188,1.1143577110505656,0,0.0
138,I21,228.72714233735576,193.50619002796248,590.0551638942111,1737.5248138957816,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",10 µM 5PhIAA,120,No primary,No secondary,806,225.8691511956551,1681.4762959680993,241026_mACmChPOLR2A_ActivePolII,6.4337398076944226,0.033185507782130884,51.506688576704846,0.7090068270236753,92.33626321860234,0.9591229174529275,120,2.0
151,J14,219.27267241610383,264.0299989812984,527.4742838632887,1792.582667486171,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",Vehicle,30,No primary,No secondary,1627,240.24561659188979,1729.981768707483,241026_mACmChPOLR2A_ActivePolII,76.95754876103032,0.39695036007651174,42.05221865545292,0.5788628805714601,106.71272861483703,1.1084553352144442,0,0.0
152,J15,220.2131018450079,219.6026425777447,542.8557662909925,1808.0445722501797,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,"EU 1 mM, 30 mins",10 µM 5PhIAA,30,No primary,No secondary,1391,251.7471823623582,1727.2860817376393,241026_mACmChPOLR2A_ActivePolII,32.530192357476636,0.16779213706189855,42.992648084357,0.5918082067776672,118.21429438530544,1.2279253563363943,30,0.5
