,EXPERIMENT,WELL,CELL,EU,DRUG,DRUG TIME MINUTES,PRIMARY,SECONDARY,TIME_IN_AUXIN_HRS,TotalNumberCells,Alexa647_Intensity,Alexa647_Intensity_BGS,Alexa647_Intensity_FC
84,241029_mACmChPOLR2A_ActivePolII,G09,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,Vehicle,90,pSer2 3E10,Goat anti-rat Alexa647,0.0,1260,1134.0655493873685,1008.9113988373857,1.0283891319078224
85,241029_mACmChPOLR2A_ActivePolII,G10,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,10 µM 5PhIAA,90,pSer2 3E10,Goat anti-rat Alexa647,1.5,1314,1119.0635972188447,993.909446668862,1.013097556666142
86,241029_mACmChPOLR2A_ActivePolII,G11,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,Vehicle,90,pSer2 3E10,Goat anti-rat Alexa647,0.0,1584,1087.0409423425888,961.886791792606,0.9804566822667394
103,241029_mACmChPOLR2A_ActivePolII,H08,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,10 µM 5PhIAA,60,pSer2 3E10,Goat anti-rat Alexa647,1.0,1472,1138.2944269840702,1013.1402764340875,1.0326996509143753
104,241029_mACmChPOLR2A_ActivePolII,H09,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,Vehicle,60,pSer2 3E10,Goat anti-rat Alexa647,0.0,1236,1061.8714152911461,936.7172647411634,0.9548012400695446
105,241029_mACmChPOLR2A_ActivePolII,H10,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,10 µM 5PhIAA,60,pSer2 3E10,Goat anti-rat Alexa647,1.0,1552,1102.2146852096416,977.0605346596589,0.9959233647453226
106,241029_mACmChPOLR2A_ActivePolII,H11,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,Vehicle,60,pSer2 3E10,Goat anti-rat Alexa647,0.0,2057,1085.393893589361,960.2397430393781,0.9787778360970028
123,241029_mACmChPOLR2A_ActivePolII,I08,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,10 µM 5PhIAA,30,pSer2 3E10,Goat anti-rat Alexa647,0.5,1670,1125.186005720957,1000.0318551709742,1.0193381625032132
124,241029_mACmChPOLR2A_ActivePolII,I09,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,Vehicle,30,pSer2 3E10,Goat anti-rat Alexa647,0.0,1538,1068.2844250991482,943.1302745491654,0.9613380574719125
125,241029_mACmChPOLR2A_ActivePolII,I10,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,10 µM 5PhIAA,30,pSer2 3E10,Goat anti-rat Alexa647,0.5,1064,1097.6353787102455,972.4812281602627,0.9912556515634906
126,241029_mACmChPOLR2A_ActivePolII,I11,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,Vehicle,30,pSer2 3E10,Goat anti-rat Alexa647,0.0,1633,1113.1858446616536,988.0316941116708,1.0071063300263952
142,241029_mACmChPOLR2A_ActivePolII,J08,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,10 µM 5PhIAA,120,pSer2 3E10,Goat anti-rat Alexa647,2.0,1764,1009.0387168815472,883.8845663315644,0.9009485698386352
143,241029_mACmChPOLR2A_ActivePolII,J09,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,Vehicle,120,pSer2 3E10,Goat anti-rat Alexa647,0.0,1782,1109.4626504906103,984.3084999406275,1.003311257014141
144,241029_mACmChPOLR2A_ActivePolII,J10,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,10 µM 5PhIAA,120,pSer2 3E10,Goat anti-rat Alexa647,2.0,1116,1134.2453245679162,1009.0911740179334,1.0285723777726972
145,241029_mACmChPOLR2A_ActivePolII,J11,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,Vehicle,120,pSer2 3E10,Goat anti-rat Alexa647,0.0,1775,1036.3941826238079,911.2400320738251,0.9288321517865005
162,241029_mACmChPOLR2A_ActivePolII,K08,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,10 µM 5PhIAA,90,pSer2 3E10,Goat anti-rat Alexa647,1.5,1688,1032.8699800898537,907.7158295398709,0.9252399120826604
