,EXPERIMENT,WELL,CELL,EU,DRUG,DRUG TIME MINUTES,PRIMARY,SECONDARY,TIME_IN_AUXIN_HRS,TotalNumberCells,Alexa647_Intensity,Alexa647_Intensity_BGS,Alexa647_Intensity_FC
61,241029_mACmChPOLR2A_ActivePolII,F05,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,Vehicle,120,Total Pol II F12,Goat anti-mouse Alexa647,0.0,956,793.6258311088466,666.5440479630572,1.0962655338367546
62,241029_mACmChPOLR2A_ActivePolII,F06,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,10 µM 5PhIAA,120,Total Pol II F12,Goat anti-mouse Alexa647,2.0,1221,643.2692260772286,516.1874429314393,0.8489739041468825
63,241029_mACmChPOLR2A_ActivePolII,F07,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,Vehicle,120,Total Pol II F12,Goat anti-mouse Alexa647,0.0,1279,811.0052619688059,683.9234788230166,1.1248494978038717
80,241029_mACmChPOLR2A_ActivePolII,G04,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,10 µM 5PhIAA,90,Total Pol II F12,Goat anti-mouse Alexa647,1.5,1115,636.1329659543075,509.0511828085181,0.8372368913610662
81,241029_mACmChPOLR2A_ActivePolII,G05,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,Vehicle,90,Total Pol II F12,Goat anti-mouse Alexa647,0.0,1193,833.7440875300213,706.6623043842319,1.1622480625631928
82,241029_mACmChPOLR2A_ActivePolII,G07,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,Vehicle,90,Total Pol II F12,Goat anti-mouse Alexa647,0.0,1386,791.3071203442938,664.2253371985045,1.0924519483702224
99,241029_mACmChPOLR2A_ActivePolII,H04,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,10 µM 5PhIAA,60,Total Pol II F12,Goat anti-mouse Alexa647,1.0,1055,656.6779955389596,529.5962123931703,0.8710273181065151
100,241029_mACmChPOLR2A_ActivePolII,H05,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,Vehicle,60,Total Pol II F12,Goat anti-mouse Alexa647,0.0,1211,765.7223589725571,638.6405758267678,1.0503726706855951
101,241029_mACmChPOLR2A_ActivePolII,H06,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,10 µM 5PhIAA,60,Total Pol II F12,Goat anti-mouse Alexa647,1.0,1331,604.1827500958591,477.10096695006973,0.7846883455428268
102,241029_mACmChPOLR2A_ActivePolII,H07,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,Vehicle,60,Total Pol II F12,Goat anti-mouse Alexa647,0.0,1500,757.0038843029718,629.9221011571824,1.0360333883574377
119,241029_mACmChPOLR2A_ActivePolII,I04,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,10 µM 5PhIAA,30,Total Pol II F12,Goat anti-mouse Alexa647,0.5,1217,734.2282451057584,607.1464619599691,0.9985742761812682
120,241029_mACmChPOLR2A_ActivePolII,I05,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,Vehicle,30,Total Pol II F12,Goat anti-mouse Alexa647,0.0,1155,712.2871433962587,585.2053602504693,0.9624877284849268
121,241029_mACmChPOLR2A_ActivePolII,I06,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,10 µM 5PhIAA,30,Total Pol II F12,Goat anti-mouse Alexa647,0.5,1169,640.4033210487358,513.3215379029465,0.8442603478326564
122,241029_mACmChPOLR2A_ActivePolII,I07,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,Vehicle,30,Total Pol II F12,Goat anti-mouse Alexa647,0.0,1487,720.2711717292924,593.189388583503,0.9756190663303832
138,241029_mACmChPOLR2A_ActivePolII,J04,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,10 µM 5PhIAA,120,Total Pol II F12,Goat anti-mouse Alexa647,2.0,1222,572.5979521157286,445.51616896993926,0.7327408028040867
139,241029_mACmChPOLR2A_ActivePolII,J05,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,Vehicle,120,Total Pol II F12,Goat anti-mouse Alexa647,0.0,1208,722.0717007601454,594.989917614356,0.9785803978811317
140,241029_mACmChPOLR2A_ActivePolII,J06,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,10 µM 5PhIAA,120,Total Pol II F12,Goat anti-mouse Alexa647,2.0,1308,583.8610450760071,456.7792619302178,0.7512652208894119
141,241029_mACmChPOLR2A_ActivePolII,J07,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,Vehicle,120,Total Pol II F12,Goat anti-mouse Alexa647,0.0,1774,671.9521343718496,544.8703512260603,0.896148706576948
158,241029_mACmChPOLR2A_ActivePolII,K04,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,10 µM 5PhIAA,90,Total Pol II F12,Goat anti-mouse Alexa647,1.5,1294,596.8271758939967,469.74539274820734,0.772590626714307
159,241029_mACmChPOLR2A_ActivePolII,K05,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,Vehicle,90,Total Pol II F12,Goat anti-mouse Alexa647,0.0,970,710.8149142871321,583.7331311413427,0.9600663520805033
160,241029_mACmChPOLR2A_ActivePolII,K06,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,10 µM 5PhIAA,90,Total Pol II F12,Goat anti-mouse Alexa647,1.5,1527,578.2113849304557,451.1296017846663,0.7419732202866213
161,241029_mACmChPOLR2A_ActivePolII,K07,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,Vehicle,90,Total Pol II F12,Goat anti-mouse Alexa647,0.0,1354,693.9698461841175,566.8880630383281,0.9323612549711653
178,241029_mACmChPOLR2A_ActivePolII,L04,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,10 µM 5PhIAA,60,Total Pol II F12,Goat anti-mouse Alexa647,1.0,1093,559.9774445127158,432.89566136692645,0.7119838437599119
179,241029_mACmChPOLR2A_ActivePolII,L05,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,Vehicle,60,Total Pol II F12,Goat anti-mouse Alexa647,0.0,1199,673.7403657736478,546.6585826278584,0.8990898122072613
180,241029_mACmChPOLR2A_ActivePolII,L06,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,10 µM 5PhIAA,60,Total Pol II F12,Goat anti-mouse Alexa647,1.0,1020,541.3488751554233,414.267092009634,0.6813454206977063
197,241029_mACmChPOLR2A_ActivePolII,M04,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,10 µM 5PhIAA,30,Total Pol II F12,Goat anti-mouse Alexa647,0.5,1097,612.0155840572438,484.93380091145445,0.7975710138831613
198,241029_mACmChPOLR2A_ActivePolII,M06,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,10 µM 5PhIAA,30,Total Pol II F12,Goat anti-mouse Alexa647,0.5,1123,581.0174800019452,453.9356968561558,0.7465884071162749
199,241029_mACmChPOLR2A_ActivePolII,M07,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,Vehicle,30,Total Pol II F12,Goat anti-mouse Alexa647,0.0,1026,633.815637785337,506.73385463954764,0.8334255798506045
61,241111_mACmChPOLR2A_ActivePolII,F04,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,Vehicle,30,Total Pol II F12,Goat anti-mouse Alexa647,0.0,1522,731.6471124969862,604.7759674472967,1.1196477865395165
62,241111_mACmChPOLR2A_ActivePolII,F05,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,10 µM 5PhIAA,30,Total Pol II F12,Goat anti-mouse Alexa647,0.5,956,645.768790301594,518.8976452519045,0.9606575512567667
63,241111_mACmChPOLR2A_ActivePolII,F06,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,Vehicle,30,Total Pol II F12,Goat anti-mouse Alexa647,0.0,1221,760.4217810722615,633.550636022572,1.172919569336545
64,241111_mACmChPOLR2A_ActivePolII,F07,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,10 µM 5PhIAA,30,Total Pol II F12,Goat anti-mouse Alexa647,0.5,1279,610.534936389506,483.66379133981656,0.8954276005521469
81,241111_mACmChPOLR2A_ActivePolII,G04,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,Vehicle,60,Total Pol II F12,Goat anti-mouse Alexa647,0.0,1115,667.3309670078115,540.459821958122,1.0005765373302242
82,241111_mACmChPOLR2A_ActivePolII,G05,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,10 µM 5PhIAA,60,Total Pol II F12,Goat anti-mouse Alexa647,1.0,1193,569.2171837931377,442.3460387434482,0.8189342662773477
83,241111_mACmChPOLR2A_ActivePolII,G06,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,Vehicle,60,Total Pol II F12,Goat anti-mouse Alexa647,0.0,1198,705.9605106427196,579.08936559303,1.0720930746166129
84,241111_mACmChPOLR2A_ActivePolII,G07,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,10 µM 5PhIAA,60,Total Pol II F12,Goat anti-mouse Alexa647,1.0,1386,533.90652471727,407.03537966758057,0.7535621228662555
101,241111_mACmChPOLR2A_ActivePolII,H04,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,Vehicle,90,Total Pol II F12,Goat anti-mouse Alexa647,0.0,1055,672.4496699234181,545.5785248737286,1.0100530124183513
102,241111_mACmChPOLR2A_ActivePolII,H05,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,10 µM 5PhIAA,90,Total Pol II F12,Goat anti-mouse Alexa647,1.5,1211,535.994894315968,409.1237492662786,0.7574284114169202
103,241111_mACmChPOLR2A_ActivePolII,H06,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,Vehicle,90,Total Pol II F12,Goat anti-mouse Alexa647,0.0,1331,675.6258356547742,548.7546906050846,1.0159331847833442
104,241111_mACmChPOLR2A_ActivePolII,H07,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,10 µM 5PhIAA,90,Total Pol II F12,Goat anti-mouse Alexa647,1.5,1500,536.4510150928418,409.5798700431523,0.7582728474489552
121,241111_mACmChPOLR2A_ActivePolII,I04,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,Vehicle,120,Total Pol II F12,Goat anti-mouse Alexa647,0.0,1217,662.5061089845466,535.6349639348571,0.9916440699424773
122,241111_mACmChPOLR2A_ActivePolII,I05,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,10 µM 5PhIAA,120,Total Pol II F12,Goat anti-mouse Alexa647,2.0,1155,565.6089877726812,438.73784272299173,0.8122542576375253
123,241111_mACmChPOLR2A_ActivePolII,I06,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,Vehicle,120,Total Pol II F12,Goat anti-mouse Alexa647,0.0,1169,677.3681006576327,550.4969556079432,1.0191587149945556
124,241111_mACmChPOLR2A_ActivePolII,I07,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,10 µM 5PhIAA,120,Total Pol II F12,Goat anti-mouse Alexa647,2.0,1487,538.8483035541183,411.9771585044288,0.7627110507900938
141,241111_mACmChPOLR2A_ActivePolII,J04,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,Vehicle,120,Total Pol II F12,Goat anti-mouse Alexa647,0.0,1222,644.543062263639,517.6719172139494,0.9583883081676464
142,241111_mACmChPOLR2A_ActivePolII,J05,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,10 µM 5PhIAA,120,Total Pol II F12,Goat anti-mouse Alexa647,2.0,1208,550.6950737566829,423.8239287069934,0.7846434865165509
143,241111_mACmChPOLR2A_ActivePolII,J06,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,Vehicle,120,Total Pol II F12,Goat anti-mouse Alexa647,0.0,1308,631.3109507210063,504.43980567131683,0.9338911303738816
144,241111_mACmChPOLR2A_ActivePolII,J07,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,10 µM 5PhIAA,120,Total Pol II F12,Goat anti-mouse Alexa647,2.0,1774,539.3294147421177,412.45826969242825,0.7636017526461822
161,241111_mACmChPOLR2A_ActivePolII,K04,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,Vehicle,90,Total Pol II F12,Goat anti-mouse Alexa647,0.0,1294,677.0998064921721,550.2286614424826,1.0186620104549102
162,241111_mACmChPOLR2A_ActivePolII,K05,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,10 µM 5PhIAA,90,Total Pol II F12,Goat anti-mouse Alexa647,1.5,970,537.6146723866208,410.7435273369313,0.7604271762969906
163,241111_mACmChPOLR2A_ActivePolII,K06,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,Vehicle,90,Total Pol II F12,Goat anti-mouse Alexa647,0.0,1527,539.3412067467375,412.47006169704804,0.7636235836920274
164,241111_mACmChPOLR2A_ActivePolII,K07,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,10 µM 5PhIAA,90,Total Pol II F12,Goat anti-mouse Alexa647,1.5,1354,530.2139768127237,403.3428317630342,0.7467259499517345
181,241111_mACmChPOLR2A_ActivePolII,L04,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,Vehicle,60,Total Pol II F12,Goat anti-mouse Alexa647,0.0,1093,654.0199702716254,527.1488252219359,0.9759333159813132
182,241111_mACmChPOLR2A_ActivePolII,L05,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,10 µM 5PhIAA,60,Total Pol II F12,Goat anti-mouse Alexa647,1.0,1199,536.2961847472345,409.42503969754506,0.757986203364072
183,241111_mACmChPOLR2A_ActivePolII,L06,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,Vehicle,60,Total Pol II F12,Goat anti-mouse Alexa647,0.0,1020,670.5691384617667,543.6979934120772,1.006571503559057
184,241111_mACmChPOLR2A_ActivePolII,L07,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,10 µM 5PhIAA,60,Total Pol II F12,Goat anti-mouse Alexa647,1.0,1338,516.7808109771067,389.9096659274173,0.7218565516891828
201,241111_mACmChPOLR2A_ActivePolII,M04,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,Vehicle,30,Total Pol II F12,Goat anti-mouse Alexa647,0.0,1097,643.791609403513,516.9204643538235,0.9569971111346689
202,241111_mACmChPOLR2A_ActivePolII,M05,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,10 µM 5PhIAA,30,Total Pol II F12,Goat anti-mouse Alexa647,0.5,998,537.5543186205357,410.68317357084624,0.7603154407713683
203,241111_mACmChPOLR2A_ActivePolII,M06,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,Vehicle,30,Total Pol II F12,Goat anti-mouse Alexa647,0.0,1123,658.3269898034571,531.4558447537676,0.9839070866748685
204,241111_mACmChPOLR2A_ActivePolII,M07,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,No addition,10 µM 5PhIAA,30,Total Pol II F12,Goat anti-mouse Alexa647,0.5,1026,536.9308688034151,410.0597237537257,0.7591612212829453
