,WELL,IF_647_Intensity,GFP_488_Intensity,DAPI_Intensity,NucleusArea,CELL,DRUG,DRUG TIME MINUTES,PRIMARY,SECONDARY,TotalNumberCells,EXPERIMENT,RFP_561_Intensity
33,D16,274.2906663270977,191.85349485515027,972.5994778815962,1696.0901729849097,HCT116 mChPOLR2A Clone 2,10 µM 5PhIAA,30,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,2717,241021_mACmChPOLR2A_TotalPolII,145.336753577903
34,D17,245.06855265566642,311.7530483325829,988.1248023702269,1806.4820819112629,HCT116 OsTIRF74G mAC-POLR2A-delHyg Clone 5,10 µM 5PhIAA,30,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1172,241021_mACmChPOLR2A_TotalPolII,123.49218001936543
35,D18,275.5949489919105,222.21340663150997,957.7833622078043,1717.7947421638019,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,30,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,989,241021_mACmChPOLR2A_TotalPolII,136.88613809777965
36,D19,280.645644518916,193.0446108999315,1046.6259462129274,1725.9472325781474,HCT116 mChPOLR2A Clone 2,Vehicle,30,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,3487,241021_mACmChPOLR2A_TotalPolII,145.14229244329937
37,D20,291.5364909865845,370.15431480380107,1004.3288110670677,1849.1499688861231,HCT116 OsTIRF74G mAC-POLR2A-delHyg Clone 5,Vehicle,30,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1607,241021_mACmChPOLR2A_TotalPolII,123.83803779335997
38,D21,308.97181894125544,258.52868391152884,981.1124340979186,1781.9500907441015,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,30,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1102,241021_mACmChPOLR2A_TotalPolII,136.70297756706637
39,D22,287.57619151636,192.55011827417408,973.0800805162619,1651.9179903952715,HCT116 OsTIRF74G,Vehicle,1440,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,2707,241021_mACmChPOLR2A_TotalPolII,123.01270542665601
40,E03,281.8216671002575,193.4278000768863,950.0318673399125,1646.3570979899498,HCT116 OsTIRF74G,Vehicle,1440,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,3184,241021_mACmChPOLR2A_TotalPolII,123.0488031864339
41,E04,274.1668699675632,196.13742260206106,931.1744969209842,1764.9121281464531,HCT116 mChPOLR2A Clone 2,10 µM 5PhIAA,60,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,2185,241021_mACmChPOLR2A_TotalPolII,145.41471659995875
42,E05,216.435855187084,276.7942975110568,947.9882202464256,1834.2446933962265,HCT116 OsTIRF74G mAC-POLR2A-delHyg Clone 5,10 µM 5PhIAA,60,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1696,241021_mACmChPOLR2A_TotalPolII,123.54981761585341
43,E06,250.8189802403328,207.13608778424782,889.1119945539042,1728.744888888889,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,60,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1125,241021_mACmChPOLR2A_TotalPolII,137.2276188322278
44,E07,258.72450738944696,192.33551952715482,889.1962063917857,1748.4348337746396,HCT116 mChPOLR2A Clone 2,Vehicle,60,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,3399,241021_mACmChPOLR2A_TotalPolII,144.73814820977995
45,E08,273.3025927872813,358.701486904838,924.4607439201995,1928.714196762142,HCT116 OsTIRF74G mAC-POLR2A-delHyg Clone 5,Vehicle,60,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1606,241021_mACmChPOLR2A_TotalPolII,123.3283194750062
46,E09,287.0208239054172,256.1542198217929,896.9194285007626,1726.3669467787115,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,60,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1071,241021_mACmChPOLR2A_TotalPolII,136.04817395490196
47,E10,275.12351354839393,193.54168758496346,950.1608705965479,1695.4752436647173,HCT116 mChPOLR2A Clone 2,10 µM 5PhIAA,60,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,2565,241021_mACmChPOLR2A_TotalPolII,145.3299892148074
48,E11,212.19762330544512,275.16373351063555,936.3724567130746,1869.64996568291,HCT116 OsTIRF74G mAC-POLR2A-delHyg Clone 5,10 µM 5PhIAA,60,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1457,241021_mACmChPOLR2A_TotalPolII,122.90213977306063
49,E12,255.94708171955838,209.76593564688866,872.5179293509098,1768.2545109211776,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,60,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1053,241021_mACmChPOLR2A_TotalPolII,135.85019622958268
50,E13,267.34050624924606,194.47021030337152,929.341047192713,1707.0118694362018,HCT116 mChPOLR2A Clone 2,Vehicle,60,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,3033,241021_mACmChPOLR2A_TotalPolII,145.4177143085967
51,E14,284.60708805611284,375.62601172889896,979.9833648177927,1884.540186915888,HCT116 OsTIRF74G mAC-POLR2A-delHyg Clone 5,Vehicle,60,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1605,241021_mACmChPOLR2A_TotalPolII,123.47085123559559
52,E15,291.5875199255554,258.58519103705225,914.2087516579579,1753.3975903614457,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,60,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,913,241021_mACmChPOLR2A_TotalPolII,136.63166516526962
53,E16,270.1595594274979,194.44335911820806,969.557677975415,1691.360484685291,HCT116 mChPOLR2A Clone 2,10 µM 5PhIAA,60,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,2971,241021_mACmChPOLR2A_TotalPolII,145.5736707739059
54,E17,211.41172485323605,290.03345268892383,1047.1470784894932,1840.7834518422753,HCT116 OsTIRF74G mAC-POLR2A-delHyg Clone 5,10 µM 5PhIAA,60,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1547,241021_mACmChPOLR2A_TotalPolII,123.52529782758045
55,E18,257.24461580920183,215.2032700539819,922.1515325363525,1740.4325396825398,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,60,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1008,241021_mACmChPOLR2A_TotalPolII,136.58082630562524
56,E19,271.5852227220175,193.6498492203099,956.0104900297771,1772.809746954077,HCT116 mChPOLR2A Clone 2,Vehicle,60,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,2134,241021_mACmChPOLR2A_TotalPolII,144.63320460741016
57,E20,279.73422316167665,380.3439526412885,1008.9277377415156,1927.1045376220563,HCT116 OsTIRF74G mAC-POLR2A-delHyg Clone 5,Vehicle,60,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1741,241021_mACmChPOLR2A_TotalPolII,123.66429325717712
58,E21,293.5070193713453,262.67087192875124,975.2388132811117,1755.6477768090672,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,Vehicle,60,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1147,241021_mACmChPOLR2A_TotalPolII,136.8745914705454
59,E22,278.0048525601203,196.0676497482207,991.1165311201341,1638.4964747356053,HCT116 OsTIRF74G,Vehicle,1440,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,3404,241021_mACmChPOLR2A_TotalPolII,123.7948468114071
60,F03,266.41726189284964,193.58224782833432,912.4728006846664,1640.4109388710149,HCT116 OsTIRF74G,Vehicle,1440,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,3419,241021_mACmChPOLR2A_TotalPolII,122.93121968051794
61,F04,265.5619038202674,195.1371837605095,915.6836280124073,1763.595238095238,HCT116 mChPOLR2A Clone 2,10 µM 5PhIAA,120,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,2520,241021_mACmChPOLR2A_TotalPolII,145.04471975982463
62,F05,182.0162052033613,244.8968900254895,923.574966954496,1904.8699334543255,HCT116 OsTIRF74G mAC-POLR2A-delHyg Clone 5,10 µM 5PhIAA,120,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1653,241021_mACmChPOLR2A_TotalPolII,123.47182349936459
63,F06,255.84107066271488,205.4303470656102,938.9269548235715,1776.2216167120798,HCT116 OsTIRF74G mAC/mCh-POLR2A Clone 1,10 µM 5PhIAA,120,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1101,241021_mACmChPOLR2A_TotalPolII,138.46671232228812
64,F07,256.8382770548201,194.29598193526198,918.2424018997687,1745.3698204419888,HCT116 mChPOLR2A Clone 2,Vehicle,120,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,2896,241021_mACmChPOLR2A_TotalPolII,145.2128026866366
65,F08,274.4464694580905,371.6102019571953,966.5044155392742,1886.92091152815,HCT116 OsTIRF74G mAC-POLR2A-delHyg Clone 5,Vehicle,120,Santa Cruz mouse anti-RPB1 (F12),Alexa647 goat anti-mouse,1492,241021_mACmChPOLR2A_TotalPolII,123.46019139863401
