,index,WELL,IF_647_Intensity,IF_488_Intensity,DAPI_Intensity,NucleusArea,CELL,SIRNA,PRIMARY_1,PRIMARY_2,SECONDARY_1,SECONDARY_2,TotalNumberCells,EXPERIMENT,SIRNA_HUE,IF_647_Intensity_BGS,IF_647_FC
32,32,D15,2736.8198546393633,2049.3459651892445,1377.4782718490928,1163.5659670164916,HCT116,HEXIM1 #3,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,1334,250822_PTEFB_SIRNA,HEXIM1,2577.7144322291865,1.6356666925274086
33,33,D16,1811.2292393993987,1071.0966419940182,1113.1925252075562,1612.8944818304171,HCT116,HEXIM2 #1,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,3715,250822_PTEFB_SIRNA,HEXIM2,1652.123816989222,1.0483410674174527
34,34,D17,1750.5224203671582,969.8664144359169,1219.737251565774,1493.7335011185683,HCT116,HEXIM2 #2,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,3576,250822_PTEFB_SIRNA,HEXIM2,1591.4169979569815,1.0098200735250245
35,35,D18,1957.2091973543,961.2733746353905,1470.617741198807,1355.2034084661902,HCT116,HEXIM2 #3,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,1819,250822_PTEFB_SIRNA,HEXIM2,1798.1037749441232,1.1409714038185617
36,36,D19,1714.0833477442295,969.6478521234653,1188.2725207665494,1725.117663268118,HCT116,LARP7 #1,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,3629,250822_PTEFB_SIRNA,LARP7,1554.9779253340528,0.9866979709946955
37,37,D20,2327.5737429895,1569.5309497873534,1547.0023284279396,1604.9012474012475,HCT116,LARP7 #2,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,962,250822_PTEFB_SIRNA,LARP7,2168.468320579323,1.375983065240133
38,38,D21,1788.0968536659657,965.2474699137214,1205.3927505967417,1607.5512027491409,HCT116,LARP7 #3,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,2910,250822_PTEFB_SIRNA,LARP7,1628.991431255789,1.0336626094820824
39,39,D22,1763.5098809039598,1007.6759849253409,1090.573633849886,1678.7247414478918,HCT116,No transfection,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,2514,250822_PTEFB_SIRNA,Control,1604.404458493783,1.0180611557624348
40,40,E03,1800.5973399335585,1059.834682566197,1227.1398893651976,1628.9282341831918,HCT116,No transfection,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,2118,250822_PTEFB_SIRNA,Control,1641.4919175233817,1.041594686353226
41,41,E04,1861.623837901396,2019.1452546408025,1393.2530380101732,1561.792368511516,HCT116,HEXIM1 pool,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,2909,250822_PTEFB_SIRNA,HEXIM1,1702.5184154912192,1.0803185297858209
42,42,E05,1931.5206680863032,1012.9976964096293,1443.9706132411584,1419.5191133954386,HCT116,HEXIM2 pool,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,3113,250822_PTEFB_SIRNA,HEXIM2,1772.4152456761265,1.124670966819673
43,43,E06,1938.8327267071602,1140.2328513040682,1335.5725167721505,1566.1253225211942,HCT116,LARP7 pool,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,2713,250822_PTEFB_SIRNA,LARP7,1779.7273042969834,1.1293107712101078
44,44,E07,2037.6226344223276,2694.533667440892,1526.0651888029997,1324.966592427617,HCT116,HEXIM1 pool + HEXIM2 pool,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,1347,250822_PTEFB_SIRNA,HEXIM1 pool + HEXIM2 pool,1878.5172120121508,1.1919970639922823
45,45,E08,1874.8082161341108,1174.2834484185041,1370.1958007578637,1473.5119126406353,HCT116,HEXIM2 pool + LARP7 pool,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,3022,250822_PTEFB_SIRNA,HEXIM2 pool + LARP7 pool,1715.702793723934,1.0886845644665073
46,46,E09,1909.052805368498,1755.1842625474985,1424.7313487988226,1524.923392612859,HCT116,HEXIM1 pool + LARP7 pool,Total Pol II F12,CDK9,Goat anti-mouse Alexa647,Goat anti-rabbit Alexa488+,2193,250822_PTEFB_SIRNA,HEXIM1 pool + LARP7 pool,1749.9473829583212,1.1104141762922557
