,EXPERIMENT,WELL,CELL,SIRNA,PRIMARY_1,PRIMARY_2,SECONDARY_1,SECONDARY_2,TotalNumberCells,IF_647_Intensity_BGS,IF_647_FC
66,250822_PTEFB_SIRNA,L09,HCT116,HEXIM2 pool + LARP7 pool,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,1767,1595.2826783679668,1.1698465712250157
67,250822_PTEFB_SIRNA,L10,HCT116,HEXIM1 pool + LARP7 pool,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,2115,1464.7476546152407,1.0741231285821566
68,250822_PTEFB_SIRNA,L11,HCT116,INTS8 pool,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,2293,2108.503226542291,1.5461994939422463
69,250822_PTEFB_SIRNA,L12,HCT116,SPT5 pool,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,847,1785.3414319024087,1.309219726947504
70,250822_PTEFB_SIRNA,L13,HCT116,POLR2B,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,154,1138.628425027026,0.8349746267413324
71,250822_PTEFB_SIRNA,L14,HCT116,Scrambled,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,2803,1404.413595552651,1.0298791879442093
72,250822_PTEFB_SIRNA,L15,HCT116,HEXIM1 #1,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,2545,1249.4699569203951,0.9162565135148044
73,250822_PTEFB_SIRNA,L16,HCT116,HEXIM1 #2,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,1853,1239.5714118846527,0.9089977504584498
74,250822_PTEFB_SIRNA,L17,HCT116,HEXIM1 #3,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,1395,2041.134344280307,1.4967968037544042
75,250822_PTEFB_SIRNA,L18,HCT116,HEXIM2 #1,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,3461,1200.468466180946,0.8803229283867419
76,250822_PTEFB_SIRNA,L19,HCT116,HEXIM2 #2,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,3757,1236.0179139071613,0.906391912959433
77,250822_PTEFB_SIRNA,L20,HCT116,HEXIM2 #3,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,1507,1483.4597561773837,1.087845015085232
78,250822_PTEFB_SIRNA,L21,HCT116,LARP7 #1,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,3036,1308.719001837164,0.9597047957434737
79,250822_PTEFB_SIRNA,L22,HCT116,LARP7 #2,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,838,1753.7142655516086,1.2860270146998554
80,250822_PTEFB_SIRNA,M03,HCT116,LARP7 #2,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,925,1795.5009513150126,1.316669866732315
81,250822_PTEFB_SIRNA,M04,HCT116,LARP7 #3,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,3150,1299.3083773415176,0.9528038327050105
82,250822_PTEFB_SIRNA,M05,HCT116,No transfection,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,2984,1310.0160875134954,0.9606559696336044
83,250822_PTEFB_SIRNA,M06,HCT116,HEXIM1 pool,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,2327,1283.4568675690991,0.9411796643946175
84,250822_PTEFB_SIRNA,M07,HCT116,HEXIM2 pool,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,2905,1433.0854899719363,1.0509047515209673
85,250822_PTEFB_SIRNA,M08,HCT116,LARP7 pool,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,2250,1478.0097944108793,1.0838484700388236
86,250822_PTEFB_SIRNA,M09,HCT116,HEXIM1 pool + HEXIM2 pool,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,1714,1374.1662245320022,1.007698301912602
87,250822_PTEFB_SIRNA,M10,HCT116,HEXIM2 pool + LARP7 pool,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,2490,1528.8651954549027,1.1211415575563835
88,250822_PTEFB_SIRNA,M11,HCT116,HEXIM1 pool + LARP7 pool,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,1590,1484.1145091290493,1.0883251560068956
89,250822_PTEFB_SIRNA,M12,HCT116,INTS8 pool,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,1854,2151.5904683112026,1.5777960647133094
90,250822_PTEFB_SIRNA,M13,HCT116,SPT5 pool,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,935,1763.9243637700454,1.293514244740445
91,250822_PTEFB_SIRNA,M14,HCT116,POLR2B,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,134,1306.8404942089744,0.958327255739024
92,250822_PTEFB_SIRNA,M15,HCT116,Scrambled,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,2841,1403.7971009371545,1.0294271024787949
93,250822_PTEFB_SIRNA,M16,HCT116,HEXIM1 #1,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,3470,1254.7026218364751,0.920093711268815
94,250822_PTEFB_SIRNA,M17,HCT116,HEXIM1 #2,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,1435,1362.5241057221983,0.9991609480278494
95,250822_PTEFB_SIRNA,M18,HCT116,HEXIM1 #3,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,1801,1840.8835668525758,1.3499496721860764
96,250822_PTEFB_SIRNA,M19,HCT116,HEXIM2 #1,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,4063,1284.0560302421532,0.9416190400665175
97,250822_PTEFB_SIRNA,M20,HCT116,HEXIM2 #2,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,3962,1297.122101809994,0.9512006015228588
98,250822_PTEFB_SIRNA,M21,HCT116,HEXIM2 #3,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,2089,1521.0896597668648,1.1154396315670694
99,250822_PTEFB_SIRNA,M22,HCT116,LARP7 #1,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,2948,1419.8256764702537,1.0411811159732562
100,250822_PTEFB_SIRNA,N03,HCT116,No transfection,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,2464,1564.1214828703712,1.1469955629351067
101,250822_PTEFB_SIRNA,N04,HCT116,No transfection,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,2654,1454.4169629385017,1.066547465409546
102,250822_PTEFB_SIRNA,N05,HCT116,No transfection,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,2563,1385.8963456558176,1.0163001893165249
