,index,WELL,IF_647_Intensity,IF_488_Intensity,DAPI_Intensity,NucleusArea,CELL,SIRNA,PRIMARY_1,PRIMARY_2,SECONDARY_1,SECONDARY_2,TotalNumberCells,EXPERIMENT,SIRNA_HUE,IF_488_Intensity_BGS,IF_488_FC
32,152,J15,2130.82551130774,695.0936901292451,1414.2170983900055,1228.904392764858,HCT116,HEXIM1 #3,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,1548,250822_PTEFB_SIRNA,HEXIM1,455.337761955141,0.27273672314385133
33,153,J16,1367.997731698203,2029.7767366002959,1084.9995646304678,1601.5389576883385,HCT116,HEXIM2 #1,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,3876,250822_PTEFB_SIRNA,HEXIM2,1790.0208084261917,1.0721808082712108
34,154,J17,1489.0663158670272,2152.458924077824,1269.3456345254183,1473.9886125262212,HCT116,HEXIM2 #2,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,3337,250822_PTEFB_SIRNA,HEXIM2,1912.70299590372,1.1456645836055241
35,155,J18,1737.880199461907,2250.338002060598,1442.6516217521576,1379.7494600431964,HCT116,HEXIM2 #3,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,1852,250822_PTEFB_SIRNA,HEXIM2,2010.5820738864936,1.204291873551209
36,156,J19,1416.6842737661516,2106.021738411111,1174.682315173227,1626.374754006185,HCT116,LARP7 #1,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,3557,250822_PTEFB_SIRNA,LARP7,1866.265810237007,1.1178497900413356
37,157,J20,1937.5622234972702,3646.494885415696,1566.7395827991297,1514.9249492900608,HCT116,LARP7 #2,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,986,250822_PTEFB_SIRNA,LARP7,3406.738957241592,2.040557356400654
38,158,J21,1416.7108021490983,2178.642819539161,1189.774014431654,1660.3280821917808,HCT116,LARP7 #3,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,2920,250822_PTEFB_SIRNA,LARP7,1938.8868913650567,1.1613481276555555
39,159,J22,1704.6087334205204,1881.860818517173,1105.719242000942,1636.9178654292343,HCT116,No transfection,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,2155,250822_PTEFB_SIRNA,Control,1642.1048903430687,0.9835826155239558
40,160,K03,1651.3677093282004,1425.4763039312668,1074.6537006404637,1688.2833027522936,HCT116,No transfection,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,2725,250822_PTEFB_SIRNA,Control,1185.7203757571626,0.7102189119134915
41,161,K04,1506.0302982579874,897.9864303836348,1342.6357466498616,1521.5652342237709,HCT116,HEXIM1 pool,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,2583,250822_PTEFB_SIRNA,HEXIM1,658.2305022095306,0.3942647529937245
42,162,K05,1611.9568234653646,2198.591241506381,1197.2192780935002,1501.5634863701578,HCT116,HEXIM2 pool,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,2788,250822_PTEFB_SIRNA,HEXIM2,1958.8353133322767,1.1732967681897144
43,163,K06,1612.857224217881,2844.066638030427,1400.7711290331372,1531.5028953229398,HCT116,LARP7 pool,pSer2 3E10,HEXIM1,Goat anti-rat Alexa647,Goat anti-rabbit Alexa488+,2245,250822_PTEFB_SIRNA,LARP7,2604.310709856323,1.5599215097047616
